# Digested data for dctcp_tfo_http2_w4 experiment, run at 2026-04-01 21:27:32.723706
# length  cum_frac  samples     p50      p99     p999   s50    s99    s999
      60  0.001926      805   363.3   3889.0   6248.6  16.2  173.8   279.3
      72  0.004214      956   425.8   4064.0   7267.5  19.2  182.8   326.9
      92  0.006932     1136   491.9   4611.1   6599.3  22.1  207.1   296.3
     119  0.009116      913   442.5   3931.7   7776.1  19.8  176.2   348.5
     154  0.011301      913   489.6   4115.6   8263.6  21.8  183.2   367.9
     199  0.013165      779   429.1   3557.0   7007.0  19.3  159.6   314.5
     222  0.016653     1458   437.1   4492.9   9853.4  19.7  202.8   444.8
     227  0.019409     1152   480.6   4251.6   6267.3  21.6  190.9   281.4
     232  0.022104     1126   379.9   4183.9   8001.8  17.1  188.4   360.3
     237  0.024439      976   519.6   4712.3   7696.8  23.5  213.1   348.1
     243  0.027212     1159   430.5   3814.3   6171.4  19.4  171.7   277.9
     248  0.029540      973   464.5   4227.8   7814.0  21.0  190.9   352.8
     254  0.031763      929   521.1   4962.5  11605.8  23.5  223.6   523.0
     259  0.034603     1187   552.6   4355.6   5307.1  24.9  196.6   239.6
     265  0.037089     1039   489.8   4129.4   6385.8  22.1  186.5   288.4
     271  0.039841     1150   488.0   4562.9   6557.7  22.0  205.4   295.1
     279  0.043619     1579   491.1   4055.8   7750.5  22.1  182.9   349.4
     288  0.047502     1623   413.7   3833.5   6387.9  18.7  173.2   288.7
     297  0.051271     1575   458.9   3849.1   8928.5  20.6  172.4   399.8
     303  0.061100     4108   456.2   4121.6   7705.9  20.4  184.2   344.5
     305  0.069108     3347   491.7   4460.5   6734.5  22.0  199.3   300.9
     308  0.077296     3422   481.3   4301.4   6972.9  21.5  192.5   312.0
     310  0.085488     3424   419.7   4008.5   7914.5  18.8  179.1   353.6
     313  0.094602     3809   461.9   4415.0   6979.0  20.7  197.5   312.1
     315  0.102503     3302   452.3   4209.6   6707.3  20.1  187.4   298.6
     318  0.111021     3560   504.4   3877.7   6995.1  22.4  172.2   310.6
     321  0.118790     3247   499.2   4266.8   8591.5  22.1  188.5   379.5
     323  0.127054     3454   474.2   4164.4   7052.5  20.9  183.7   311.1
     326  0.135579     3563   471.0   4043.4   7740.9  20.7  178.0   340.7
     331  0.142599     2934   470.3   4354.9   8629.9  20.7  191.9   380.3
     335  0.148739     2566   440.4   4200.7   8113.4  19.5  185.7   358.7
     340  0.155329     2754   465.0   4194.7   7550.8  20.5  185.2   333.4
     345  0.160999     2370   483.1   4396.2   6368.6  21.5  195.2   282.8
     350  0.166471     2287   449.9   4342.3   7862.1  19.8  191.1   346.0
     355  0.173135     2785   433.7   4206.7   9061.6  19.1  185.6   399.7
     360  0.180050     2890   507.2   4694.5   7259.0  22.4  207.5   320.9
     365  0.187302     3031   440.6   4245.4   8013.3  19.4  186.9   352.9
     371  0.194504     3010   506.1   4172.1   7132.5  22.4  184.5   315.5
     376  0.200022     2306   428.9   4102.7   8525.1  18.9  180.7   375.6
     385  0.203584     1489   459.9   4876.8   7710.9  20.3  214.8   339.7
     395  0.207824     1772   486.8   3511.2   7312.8  21.4  154.7   322.1
     405  0.211844     1680   456.9   3880.8   7012.8  20.1  170.4   308.0
     415  0.215574     1559   458.8   5009.6   8732.5  20.2  220.5   384.4
     425  0.220034     1864   448.3   4102.3   7408.1  19.7  180.0   325.1
     430  0.224178     1732   445.7   3707.3   6420.7  19.5  162.4   281.2
     435  0.228239     1697   468.7   4260.8   6166.2  20.6  187.7   271.6
     441  0.232773     1895   543.7   4460.0  10586.6  23.8  195.4   463.9
     446  0.237302     1893   475.1   4262.1   7065.0  20.9  187.2   310.3
     452  0.241516     1761   481.7   4487.3   8892.5  21.1  196.9   390.2
     457  0.245588     1702   504.9   4813.1   8911.2  22.2  211.9   392.4
     463  0.249768     1747   486.1   5005.9   7972.3  21.3  219.6   349.7
     468  0.253280     1468   438.6   3431.4   5533.9  19.2  150.5   242.7
     474  0.258004     1974   452.0   3819.2   6934.6  19.8  167.4   304.0
     480  0.262114     1718   445.4   4124.8   6414.4  19.5  181.0   281.5
     491  0.281641     8161   453.1   4180.3   7002.6  19.8  182.9   306.3
     502  0.300526     7893   447.5   3832.9   7550.1  19.6  167.9   330.7
     513  0.320465     8333   463.9   4001.1   7052.8  20.3  175.3   309.1
     525  0.339979     8156   442.4   3966.0   7059.7  19.4  173.9   309.6
     537  0.360626     8629   466.3   3952.0   7485.9  20.4  172.9   327.5
     549  0.378160     7328   450.5   4388.9   7804.7  19.7  192.1   341.6
     561  0.398031     8305   457.1   4285.8   7696.0  19.9  187.0   335.8
     574  0.418342     8489   456.9   4380.5   7498.4  20.0  191.4   327.6
     587  0.437697     8089   464.1   3954.6   7341.2  20.2  172.0   319.3
     600  0.456922     8035   490.1   4186.0   7582.6  21.4  182.6   330.7
     607  0.462337     2263   508.6   4391.7   6385.0  22.2  191.3   278.1
     615  0.468859     2726   488.7   4018.7   6543.4  21.3  174.8   284.6
     623  0.475092     2605   485.1   4013.4   6950.0  21.1  174.2   301.6
     630  0.480885     2421   418.1   4326.9   6030.7  18.2  188.3   262.4
     638  0.487781     2882   520.9   4246.2   6962.8  22.5  183.3   300.5
     646  0.493238     2281   462.4   4143.0   7213.1  20.1  179.8   313.1
     654  0.499617     2666   485.3   4266.7   7344.5  21.1  185.3   318.9
     662  0.505905     2628   472.3   4018.0   7262.9  20.5  174.0   314.5
     671  0.510911     2092   479.1   4505.2   7282.5  20.8  195.3   315.7
     679  0.517471     2742   442.9   3899.3   7149.7  19.1  167.9   307.9
     685  0.520943     1451   566.5   4131.7   7067.4  24.5  178.6   305.6
     690  0.524561     1512   485.1   4296.5   8982.9  21.0  185.8   388.4
     696  0.527851     1375   499.4   4395.5   9659.5  21.7  190.8   419.3
     702  0.531500     1525   454.8   4170.7   8196.0  19.7  180.7   355.1
     707  0.535015     1469   436.5   4277.4   6794.7  18.9  184.9   293.8
     713  0.538340     1390   474.1   3674.8   7960.2  20.5  159.2   344.9
     719  0.541633     1376   432.5   3857.7   6052.5  18.7  166.4   261.1
