# Fraction of RTTS longer than a given time for dctcp_tfo_http2_w4 experiment
# Includes messages <= 315 bytes; measured at 2026-04-01 21:27:32.723706
# Data collected at 2026-04-01 21:27:32.723706 
#       usec        frac
      27.190  0.99997666
      27.630  0.99995331
      28.160  0.99992997
      28.870  0.99988329
      29.210  0.99978992
      29.680  0.99969655
      29.980  0.99957983
      30.380  0.99950980
      30.690  0.99934641
      31.070  0.99911298
      31.390  0.99892624
      31.750  0.99869281
      32.100  0.99841270
      32.430  0.99820261
      32.800  0.99768908
      33.130  0.99731559
      33.480  0.99701214
      33.830  0.99659197
      34.180  0.99605509
      34.530  0.99554155
      34.880  0.99467787
      35.230  0.99393091
      35.590  0.99304388
      35.950  0.99192344
      36.320  0.99094304
      36.700  0.98937908
      37.070  0.98823529
      37.450  0.98646125
      37.830  0.98471055
      38.210  0.98302988
      38.600  0.98134921
      38.990  0.97983193
      39.380  0.97773109
      39.780  0.97581699
      40.180  0.97408964
      40.590  0.97236228
      41.000  0.97040149
      41.420  0.96862745
      41.840  0.96669001
      42.270  0.96521942
      42.700  0.96297852
      43.140  0.96106443
      43.580  0.95926704
      44.020  0.95746965
      44.470  0.95613912
      44.920  0.95424837
      45.370  0.95212418
      45.830  0.94957983
      46.290  0.94724556
      46.760  0.94474790
      47.230  0.94229692
      47.710  0.93933240
      48.190  0.93653128
      48.680  0.93356676
      49.180  0.93006536
      49.680  0.92647059
      50.180  0.92303922
      50.690  0.91960784
      51.200  0.91640990
      51.720  0.91323529
      52.240  0.90999066
      52.770  0.90718954
      53.300  0.90459851
      53.840  0.90221755
      54.380  0.89962652
      54.930  0.89778245
      55.480  0.89561158
      56.040  0.89393091
      56.630  0.89199346
      57.200  0.89000934
      57.780  0.88835201
      58.400  0.88674136
      58.990  0.88531746
      59.580  0.88405696
      60.180  0.88270308
      60.790  0.88116246
      61.410  0.87976190
      62.030  0.87873483
      62.670  0.87721755
      63.310  0.87563025
      63.960  0.87422969
      64.600  0.87275910
      65.250  0.87114846
      65.910  0.86981793
      66.590  0.86848739
      67.280  0.86739029
      67.960  0.86605976
      68.660  0.86479925
      69.360  0.86332866
      70.060  0.86202148
      70.770  0.86085434
      71.490  0.85961718
      72.230  0.85859010
      72.960  0.85723623
      73.690  0.85581232
      74.450  0.85457516
      75.240  0.85354809
      76.040  0.85212418
      76.820  0.85088702
      77.600  0.84960317
      78.380  0.84862278
      79.170  0.84719888
      79.970  0.84633520
      80.780  0.84500467
      81.600  0.84348739
      82.420  0.84253035
      83.270  0.84122316
      84.130  0.83989262
      84.990  0.83888889
      85.850  0.83765173
      86.710  0.83641457
      87.610  0.83520075
      88.490  0.83398693
      89.390  0.83251634
      90.300  0.83085901
      91.220  0.82924837
      92.140  0.82812792
      93.100  0.82668067
      94.040  0.82546685
      95.000  0.82401961
      95.990  0.82266573
      96.980  0.82140523
      97.960  0.81984127
      98.940  0.81841737
      99.950  0.81715686
     100.960  0.81570962
     101.970  0.81433240
     103.000  0.81328198
     104.050  0.81216153
     105.120  0.81071429
     106.190  0.80915033
     107.300  0.80772642
     108.420  0.80595238
     109.520  0.80459851
     110.620  0.80298786
     111.730  0.80137722
     112.890  0.79983660
     114.020  0.79855275
     115.170  0.79710551
     116.380  0.79572829
     117.560  0.79421102
     118.740  0.79283380
     119.940  0.79147993
     121.170  0.78998599
     122.440  0.78886555
     123.680  0.78755836
     124.930  0.78599440
     126.190  0.78426704
     127.480  0.78260971
     128.760  0.78123249
     130.090  0.77973856
     131.400  0.77850140
     132.720  0.77658730
     134.050  0.77497666
     135.420  0.77355275
     136.790  0.77219888
     138.180  0.77051821
     139.600  0.76916433
     141.140  0.76757703
     142.560  0.76582633
     144.010  0.76454248
     145.480  0.76293184
     146.950  0.76115780
     148.440  0.75931373
     149.980  0.75777311
     151.480  0.75662932
     153.000  0.75506536
     154.590  0.75315126
     156.180  0.75196078
     157.750  0.75070028
     159.350  0.74913632
     160.990  0.74757236
     162.600  0.74577498
     164.240  0.74355742
     165.900  0.74164332
     167.590  0.73958917
     169.290  0.73774510
     170.990  0.73618114
     172.720  0.73466387
     174.550  0.73288982
     176.310  0.73109244
     178.080  0.72924837
     179.880  0.72752101
     181.680  0.72565359
     183.520  0.72397292
     185.380  0.72210551
     187.240  0.72023810
     189.160  0.71846405
     191.090  0.71650327
     193.050  0.71465920
     194.990  0.71318861
     196.950  0.71169468
     198.920  0.70950047
     200.940  0.70753968
     203.020  0.70539216
     205.100  0.70371148
     207.190  0.70161064
     209.270  0.69962652
     211.370  0.69759570
     213.510  0.69535481
     215.650  0.69334734
     217.810  0.69138655
     220.000  0.68935574
     222.220  0.68734827
     224.480  0.68503735
     226.740  0.68321662
     229.090  0.68141923
     231.420  0.67950514
     233.740  0.67773109
     236.130  0.67577031
     238.520  0.67359944
     240.910  0.67180205
     243.320  0.66932773
     245.760  0.66748366
     248.240  0.66542951
     250.740  0.66349206
     253.260  0.66118114
     255.810  0.65880019
     258.380  0.65667600
     260.980  0.65406162
     263.610  0.65189076
     266.290  0.64967320
     269.150  0.64757236
     271.900  0.64495798
     274.620  0.64220355
     277.480  0.64007937
     280.260  0.63786181
     283.070  0.63545752
     285.970  0.63328665
     288.920  0.63076564
     291.810  0.62838469
     294.730  0.62600373
     297.710  0.62303922
     300.730  0.62051821
     303.740  0.61846405
     306.790  0.61643324
     309.860  0.61360878
     312.980  0.61094771
     316.120  0.60840336
     319.310  0.60576564
     322.530  0.60333800
     325.780  0.60084034
     329.050  0.59817927
     332.350  0.59526144
     335.720  0.59257703
     339.130  0.59026611
     342.530  0.58697479
     345.980  0.58412698
     349.440  0.58174603
     352.960  0.57910831
     356.670  0.57600373
     360.290  0.57303922
     363.910  0.57051821
     367.550  0.56767040
     371.250  0.56440243
     374.980  0.56136788
     378.730  0.55863679
     382.520  0.55515873
     386.360  0.55224090
     390.230  0.54927638
     394.190  0.54687208
     398.190  0.54386088
     402.190  0.54080299
     406.270  0.53774510
     410.340  0.53520075
     414.480  0.53235294
     418.730  0.52913165
     422.940  0.52567694
     427.170  0.52264239
     431.460  0.51956116
     435.780  0.51622316
     440.180  0.51330532
     444.610  0.51043417
     449.060  0.50744631
     453.570  0.50471522
     458.130  0.50168067
     462.760  0.49827264
     467.400  0.49484127
     472.120  0.49131653
     476.890  0.48774510
     481.680  0.48485061
     486.590  0.48137255
     491.470  0.47808123
     496.400  0.47481326
     501.390  0.47166200
     506.420  0.46853408
     511.500  0.46533613
     516.620  0.46227824
     521.870  0.45912698
     527.210  0.45560224
     532.530  0.45238095
     537.910  0.44864613
     543.290  0.44509804
     548.850  0.44161998
     554.370  0.43851541
     559.920  0.43471055
     565.520  0.43190943
     571.210  0.42885154
     576.980  0.42572362
     582.760  0.42205882
     588.710  0.41827731
     594.620  0.41479925
     600.600  0.41094771
     606.620  0.40814659
     612.800  0.40473856
     618.930  0.40137722
     625.230  0.39862278
     631.520  0.39554155
     637.880  0.39190009
     644.330  0.38863212
     650.780  0.38557423
     657.290  0.38183940
     663.910  0.37864146
     670.560  0.37542017
     677.320  0.37264239
     684.130  0.36918768
     691.050  0.36587302
     697.980  0.36302521
     705.090  0.35957049
     712.150  0.35639589
     719.310  0.35319795
     726.510  0.35002334
     733.790  0.34680205
     741.220  0.34365079
     748.160  0.34019608
     755.720  0.33688142
     762.790  0.33349673
     770.410  0.33015873
     778.180  0.32684407
     785.050  0.32355275
     792.550  0.32030812
     800.480  0.31711018
     808.750  0.31405229
     816.840  0.31090103
     824.570  0.30777311
     833.100  0.30469188
     840.200  0.30163399
     848.060  0.29859944
     855.300  0.29561158
     862.360  0.29264706
     870.100  0.28970588
     878.810  0.28699813
     886.840  0.28412698
     893.920  0.28127918
     902.800  0.27845472
     909.890  0.27565359
     918.830  0.27287582
     926.950  0.27014472
     936.240  0.26755369
     944.040  0.26486928
     952.010  0.26220822
     960.090  0.25957049
     966.570  0.25695612
     973.760  0.25436508
     981.720  0.25182073
     989.960  0.24929972
     996.990  0.24680205
    1005.260  0.24432773
    1012.740  0.24187675
    1020.900  0.23944911
    1028.280  0.23704482
    1036.440  0.23466387
    1045.260  0.23230626
    1053.610  0.22997199
    1061.700  0.22766106
    1071.910  0.22537348
    1079.550  0.22310924
    1088.560  0.22086835
    1095.360  0.21865079
    1104.080  0.21645658
    1111.460  0.21428571
    1119.720  0.21213819
    1126.870  0.21001401
    1134.410  0.20791317
    1142.360  0.20581232
    1150.200  0.20373483
    1158.160  0.20168067
    1165.390  0.19964986
    1173.010  0.19764239
    1182.060  0.19565826
    1191.880  0.19369748
    1198.360  0.19176004
    1206.820  0.18982260
    1215.510  0.18790850
    1224.230  0.18601774
    1232.310  0.18415033
    1241.780  0.18230626
    1250.970  0.18046218
    1258.640  0.17864146
    1266.180  0.17684407
    1273.210  0.17507003
    1282.290  0.17329599
    1289.780  0.17154528
    1296.590  0.16981793
    1304.480  0.16811391
    1310.920  0.16640990
    1320.510  0.16472923
    1329.140  0.16307190
    1338.370  0.16143791
    1346.210  0.15980392
    1353.590  0.15819328
    1361.610  0.15660598
    1370.170  0.15501867
    1377.470  0.15345472
    1383.910  0.15191410
    1391.420  0.15037348
    1400.540  0.14885621
    1408.590  0.14736228
    1417.510  0.14586835
    1426.160  0.14439776
    1433.270  0.14295051
    1441.960  0.14150327
    1449.790  0.14007937
    1458.440  0.13865546
    1467.320  0.13725490
    1476.350  0.13587768
    1485.300  0.13450047
    1492.080  0.13314659
    1500.960  0.13179272
    1509.220  0.13046218
    1516.350  0.12915500
    1525.090  0.12784781
    1535.220  0.12656396
    1543.580  0.12528011
    1553.210  0.12401961
    1561.670  0.12275910
    1567.740  0.12152194
    1575.450  0.12028478
    1584.570  0.11907096
    1594.280  0.11785714
    1603.060  0.11666667
    1612.030  0.11549953
    1621.290  0.11433240
    1628.290  0.11318861
    1637.700  0.11204482
    1645.280  0.11092437
    1652.850  0.10980392
    1661.000  0.10868347
    1668.360  0.10758637
    1675.940  0.10648926
    1685.590  0.10541550
    1694.000  0.10434174
    1700.720  0.10329132
    1710.060  0.10224090
    1718.890  0.10121382
    1725.500  0.10018674
    1733.650  0.09918301
    1741.230  0.09817927
    1748.030  0.09717554
    1753.840  0.09619514
    1764.140  0.09521475
    1772.310  0.09425770
    1780.500  0.09330065
    1788.590  0.09236695
    1793.900  0.09143324
    1800.700  0.09049953
    1807.750  0.08958917
    1814.990  0.08867880
    1825.000  0.08779178
    1833.290  0.08690476
    1841.230  0.08601774
    1851.110  0.08515406
    1857.600  0.08429038
    1866.780  0.08342670
    1873.820  0.08258637
    1882.240  0.08174603
    1890.270  0.08090570
    1898.760  0.08008870
    1905.840  0.07927171
    1913.910  0.07847806
    1923.110  0.07768441
    1930.560  0.07689076
    1939.680  0.07612045
    1947.960  0.07535014
    1954.260  0.07457983
    1963.850  0.07383287
    1973.980  0.07308590
    1983.510  0.07233894
    1989.990  0.07161531
    1996.620  0.07089169
    2004.020  0.07016807
    2013.360  0.06944444
    2021.490  0.06874416
    2028.280  0.06804388
    2036.720  0.06734360
    2043.840  0.06666667
    2053.590  0.06598973
    2067.050  0.06531279
    2076.360  0.06465920
    2085.970  0.06400560
    2096.020  0.06335201
    2104.050  0.06269841
    2111.480  0.06206816
    2118.510  0.06143791
    2126.000  0.06080766
    2133.750  0.06017740
    2142.150  0.05957049
    2150.350  0.05896359
    2158.480  0.05835668
    2168.070  0.05774977
    2177.970  0.05716620
    2184.820  0.05658263
    2195.540  0.05599907
    2204.500  0.05543884
    2213.220  0.05487862
    2221.710  0.05431839
    2229.680  0.05375817
    2246.730  0.05319795
    2252.370  0.05266106
    2264.190  0.05212418
