# Digested data for dctcp_tfo_load_aware_w4 experiment, run at 2026-04-01 21:27:32.723706
# length  cum_frac  samples     p50      p99     p999   s50    s99    s999
      60  0.002254      953   426.8   2745.2   3955.7  19.1  122.7   176.8
      72  0.004605      994   399.1   2644.9   4295.9  18.0  119.0   193.2
      92  0.007665     1294   405.2   2464.8   3068.7  18.2  110.7   137.8
     119  0.009824      913   441.3   2524.4 211270.5  19.8  113.2  9469.8
     154  0.012007      923   422.5   2610.3   3534.8  18.8  116.2   157.4
     199  0.014249      948   401.1   2762.8   3960.7  18.0  124.0   177.8
     222  0.017628     1429   421.0   2517.7   3026.8  19.0  113.7   136.7
     227  0.020329     1142   416.0   2412.6   3065.0  18.7  108.3   137.6
     232  0.022727     1014   441.8   2644.8   3142.0  19.9  119.1   141.5
     237  0.025395     1128   430.2   2630.7   3599.4  19.5  119.0   162.8
     243  0.027752      997   439.9   2912.1   3996.1  19.8  131.1   179.9
     248  0.030463     1146   416.6   2890.5   3586.3  18.8  130.5   161.9
     254  0.033007     1076   408.0   2696.8   3405.9  18.4  121.5   153.5
     259  0.035585     1090   437.6   2761.9   3638.9  19.8  124.7   164.3
     265  0.038179     1097   408.4   2570.2   3517.1  18.4  116.1   158.9
     271  0.040809     1112   404.6   2616.2   3525.8  18.2  117.7   158.7
     279  0.044144     1410   415.6   2464.0   3340.3  18.7  111.1   150.6
     288  0.047386     1371   431.7   2583.9   3735.2  19.5  116.8   168.8
     297  0.050602     1360   420.0   2608.6   3467.5  18.8  116.8   155.3
     303  0.060178     4049   432.5   2626.5   3630.4  19.3  117.4   162.3
     305  0.068905     3690   439.0   2602.7   3424.3  19.6  116.3   153.0
     308  0.077478     3625   427.6   2567.6   3310.7  19.1  114.9   148.1
     310  0.086050     3625   435.5   2624.8   3463.7  19.5  117.3   154.8
     313  0.094363     3515   452.1   2652.5   3518.6  20.2  118.6   157.4
     315  0.103054     3675   437.7   2614.6   3490.2  19.5  116.4   155.4
     318  0.112017     3790   432.9   2479.9   3258.9  19.2  110.1   144.7
     321  0.120441     3562   452.9   2705.4   3445.7  20.0  119.5   152.2
     323  0.129128     3673   436.5   2594.6   4055.5  19.3  114.5   178.9
     326  0.138017     3759   430.6   2617.0   3607.0  19.0  115.2   158.8
     331  0.144535     2756   442.3   2716.3   3902.6  19.5  119.7   172.0
     335  0.150809     2653   428.2   2625.6   3345.3  18.9  116.1   147.9
     340  0.157024     2628   437.7   2627.5   3991.3  19.3  116.0   176.2
     345  0.163677     2813   434.8   2650.5   3826.2  19.3  117.7   169.9
     350  0.170199     2758   443.1   2694.4   3320.6  19.5  118.6   146.2
     355  0.176812     2796   429.3   2702.7   3870.9  18.9  119.2   170.7
     360  0.183285     2737   427.1   2629.0   3930.5  18.9  116.2   173.8
     365  0.189911     2802   428.2   2739.5   3683.7  18.9  120.6   162.2
     371  0.196495     2784   406.3   2706.5   3568.9  18.0  119.7   157.8
     376  0.203018     2758   419.3   2618.9   3582.1  18.5  115.4   157.8
     385  0.207156     1750   428.3   2523.3   3699.2  18.9  111.2   163.0
     395  0.211188     1705   437.5   2607.4   3282.3  19.3  114.9   144.6
     405  0.215329     1751   444.6   2680.5   3495.8  19.5  117.7   153.5
     415  0.219312     1684   428.6   2841.8   3760.3  18.9  125.1   165.5
     425  0.223427     1740   435.6   2486.9   3165.4  19.1  109.1   138.9
     430  0.227485     1716   414.0   2795.9   3415.6  18.1  122.5   149.6
     435  0.231870     1854   435.9   2598.3   3383.6  19.2  114.5   149.1
     441  0.235890     1700   438.0   2644.8   5408.9  19.2  115.9   237.0
     446  0.239920     1704   416.2   2590.3   4084.3  18.3  113.8   179.4
     452  0.244167     1796   436.7   2559.3   3333.6  19.2  112.3   146.3
     457  0.248230     1718   431.1   2650.6   3639.9  19.0  116.7   160.3
     463  0.252464     1790   437.4   2624.9   3619.8  19.2  115.1   158.8
     468  0.256635     1764   447.2   2464.3   3405.3  19.6  108.1   149.4
     474  0.260564     1661   404.7   2650.2   4135.5  17.7  116.2   181.3
     480  0.264463     1649   443.5   2732.2   3617.8  19.5  119.9   158.7
     491  0.284270     8375   434.9   2716.8   3509.0  19.0  118.8   153.5
     502  0.303716     8223   413.2   2669.4   3515.9  18.1  116.9   154.0
     513  0.323636     8423   426.0   2609.4   3536.3  18.7  114.3   155.0
     525  0.343190     8268   427.3   2610.7   3671.1  18.7  114.5   161.0
     537  0.362925     8345   426.4   2633.0   3637.4  18.7  115.2   159.1
     549  0.382388     8230   432.3   2708.8   3557.0  18.9  118.5   155.7
     561  0.401937     8266   424.8   2619.8   3470.9  18.5  114.3   151.4
     574  0.421310     8192   423.1   2621.3   3572.2  18.5  114.5   156.1
     587  0.440497     8113   433.6   2654.5   3739.8  18.9  115.5   162.7
     600  0.460086     8283   430.1   2618.8   3546.1  18.8  114.2   154.7
     607  0.465674     2363   422.1   2570.9   3496.7  18.4  112.0   152.3
     615  0.471315     2385   439.4   2765.5   3739.3  19.1  120.3   162.7
     623  0.477094     2444   425.6   2630.0   3324.4  18.5  114.1   144.3
     630  0.482863     2439   430.1   2478.9   3512.1  18.7  107.9   152.8
     638  0.488732     2482   441.6   2684.0   3386.8  19.1  115.8   146.2
     646  0.494590     2477   427.3   2596.8   3523.9  18.5  112.7   152.9
     654  0.500581     2533   441.6   2597.6   3707.8  19.2  112.8   161.0
     662  0.506476     2493   419.6   2551.9   3444.9  18.2  110.5   149.2
     671  0.512218     2428   411.7   2634.4   3613.8  17.8  114.2   156.6
     679  0.517908     2406   412.6   2591.7   3888.1  17.8  111.6   167.4
     685  0.521837     1661   417.4   2615.6   3583.3  18.0  113.1   154.9
     690  0.525297     1463   450.5   2727.1   3365.7  19.5  117.9   145.5
     696  0.528782     1474   436.3   2508.2   3273.0  18.9  108.9   142.1
     702  0.532524     1582   421.1   2604.1   3252.2  18.2  112.8   140.9
     707  0.536147     1532   434.2   2580.0   3648.0  18.8  111.5   157.7
     713  0.539765     1530   466.6   2713.1   4265.8  20.2  117.6   184.8
     719  0.543261     1478   414.4   2798.1   3721.3  17.9  120.7   160.5
     725  0.546460     1353   432.9   2522.0   3328.9  18.8  109.3   144.2
     731  0.549984     1490   424.6   2504.8   3701.5  18.3  108.2   159.9
     737  0.553567     1515   437.9   2547.1   3286.3  19.0  110.5   142.6
     749  0.558153     1939   420.3   2683.7   3648.2  18.2  116.2   158.0
     762  0.562899     2007   428.6   2603.9   3321.9  18.5  112.5   143.5
     774  0.567532     1959   404.7   2499.1   3566.8  17.5  108.0   154.1
     787  0.572590     2139   410.0   2578.6   3133.7  17.7  111.3   135.2
     800  0.577441     2051   441.9   2460.0   3653.1  19.0  105.7   157.0
     816  0.580447     1271   453.0   2653.6   3390.1  19.4  113.8   145.4
     833  0.583493     1288   408.0   2655.1   4103.9  17.6  114.6   177.2
     850  0.586574     1303   449.1   2562.3   3692.9  19.2  109.7   158.2
     867  0.589623     1289   458.4   2338.6   2712.6  19.7  100.2   116.3
     885  0.592513     1222   411.0   2844.0   3875.2  17.6  122.0   166.2
     914  0.596138     1533   428.3   2666.9   3463.2  18.3  114.3   148.4
     945  0.599704     1508   425.0   2549.2   3652.3  18.2  109.3   156.5
     976  0.603474     1594   423.6   2599.2   3550.4  18.1  111.0   151.7
    1009  0.607180     1567   424.9   2541.4   3847.1  18.1  108.3   164.0
    1042  0.610810     1535   424.2   2603.2   3153.2  18.1  111.1   134.5
    1085  0.614499     1560   409.0   2595.0   3868.1  17.5  110.8   165.1
    1130  0.618354     1630   430.4   2723.3   3657.9  18.2  115.4   155.1
    1177  0.622053     1564   413.6   2578.2   3194.0  17.5  109.2   135.3
    1226  0.625917     1634   449.0   2590.1   3489.3  19.0  109.9   148.0
    1277  0.629491     1511   417.5   2543.4   4169.0  17.6  107.5   176.1
    1316  0.632816     1406   448.2   2432.9   3103.3  18.9  102.7   130.9
    1357  0.636098     1388   439.0   2533.7   3509.6  18.4  106.4   147.4
    1399  0.639627     1492   444.8   2484.4   2920.0  18.7  104.6   122.9
    1436  0.642361     1156   468.4   2714.6   3600.8  16.7   96.6   128.1
