# Fraction of RTTS longer than a given time for dctcp_tfo_load_aware_w4 experiment
# Includes messages <= 315 bytes; measured at 2026-04-01 21:27:32.723706
# Data collected at 2026-04-01 21:27:32.723706 
#       usec        frac
      31.570  0.99997705
      32.200  0.99995410
      32.830  0.99988526
      33.350  0.99981641
      33.700  0.99970167
      34.150  0.99960988
      34.530  0.99947219
      34.880  0.99933450
      35.240  0.99901322
      35.600  0.99862310
      36.010  0.99830182
      36.380  0.99772811
      36.750  0.99715440
      37.130  0.99639710
      37.530  0.99545621
      37.910  0.99430879
      38.300  0.99325317
      38.690  0.99164678
      39.080  0.99008629
      39.480  0.98852579
      39.880  0.98678171
      40.280  0.98526712
      40.690  0.98368368
      41.100  0.98205434
      41.520  0.98065449
      41.940  0.97909400
      42.360  0.97794658
      42.790  0.97647788
      43.240  0.97494033
      43.690  0.97351753
      44.130  0.97237011
      44.580  0.97119974
      45.070  0.96963925
      45.530  0.96814760
      45.990  0.96716082
      46.450  0.96560033
      46.920  0.96374151
      47.390  0.96220397
      47.870  0.95990912
      48.350  0.95784377
      48.840  0.95495227
      49.330  0.95153295
      49.830  0.94758583
      50.330  0.94409767
      50.840  0.93918671
      51.360  0.93482651
      51.880  0.92998440
      52.400  0.92544061
      52.930  0.92046080
      53.470  0.91559574
      54.010  0.91084542
      54.570  0.90639343
      55.120  0.90214797
      55.680  0.89820084
      56.240  0.89507986
      56.810  0.89205067
      57.380  0.88911327
      57.960  0.88661190
      58.550  0.88415642
      59.140  0.88165504
      59.740  0.87924546
      60.340  0.87759317
      60.950  0.87527538
      61.560  0.87325592
      62.180  0.87167248
      62.810  0.86999725
      63.440  0.86836791
      64.080  0.86689921
      64.730  0.86549936
      65.390  0.86382412
      66.050  0.86210299
      66.720  0.86038186
      67.400  0.85905085
      68.080  0.85751331
      68.770  0.85606756
      69.480  0.85471360
      70.180  0.85361208
      70.910  0.85200569
      71.630  0.85051404
      72.360  0.84971085
      73.110  0.84865522
      73.850  0.84714063
      74.610  0.84558014
      75.370  0.84413439
      76.130  0.84271158
      76.910  0.84142647
      77.690  0.83988893
      78.490  0.83823664
      79.310  0.83688269
      80.110  0.83541399
      80.930  0.83424362
      81.740  0.83293556
      82.560  0.83181109
      83.410  0.83043418
      84.300  0.82885074
      85.200  0.82768037
      86.060  0.82669359
      86.930  0.82527079
      87.800  0.82403158
      88.680  0.82263172
      89.590  0.82109418
      90.510  0.81992381
      91.430  0.81836332
      92.360  0.81698641
      93.290  0.81560951
      94.260  0.81430145
      95.230  0.81294749
      96.200  0.81154764
      97.170  0.81012484
      98.160  0.80893152
      99.190  0.80780705
     100.190  0.80647604
     101.200  0.80530567
     102.220  0.80395172
     103.250  0.80250597
     104.310  0.80106022
     105.360  0.79968331
     106.420  0.79809987
     107.500  0.79663117
     108.580  0.79504773
     109.680  0.79367083
     110.780  0.79227097
     111.890  0.79073343
     113.020  0.78921884
     114.160  0.78797962
     115.340  0.78671746
     116.500  0.78501928
     117.680  0.78366532
     118.860  0.78196714
     120.060  0.78029190
     121.310  0.77845603
     122.530  0.77701028
     123.820  0.77542684
     125.070  0.77393519
     126.370  0.77237470
     127.640  0.77090600
     128.920  0.76881770
     130.210  0.76689003
     131.520  0.76498531
     132.850  0.76328713
     134.190  0.76181843
     135.540  0.76009730
     136.900  0.75846796
     138.270  0.75658619
     139.660  0.75477327
     141.060  0.75309804
     142.500  0.75146870
     143.940  0.74990821
     145.380  0.74846246
     146.850  0.74655774
     148.330  0.74485956
     149.840  0.74325317
     151.370  0.74144024
     152.890  0.73976501
     154.420  0.73763081
     155.980  0.73563429
     157.550  0.73411970
     159.130  0.73239857
     160.740  0.73053975
     162.350  0.72870387
     163.990  0.72695979
     165.640  0.72482559
     167.300  0.72243896
     168.990  0.72051129
     170.680  0.71899670
