# Digested data for dctcp_tfo_pool_w4 experiment, run at 2026-04-01 21:27:32.723706
# length  cum_frac  samples     p50      p99     p999   s50    s99    s999
      60  0.002242      948   423.8   4535.4  11958.7  18.9  202.7   534.6
      72  0.004415      919   455.4   3952.8  11988.7  20.5  177.8   539.3
      92  0.007509     1308   452.1   3736.1  10017.7  20.3  167.8   449.8
     119  0.009741      944   357.1   4007.9  35124.8  16.0  179.6  1574.4
     154  0.011976      945   435.0   3589.0  12263.0  19.4  159.8   546.0
     199  0.014270      970   482.2   3780.9  26960.9  21.6  169.7  1210.1
     222  0.017701     1451   409.7   4820.2  46306.7  18.5  217.6  2090.6
     227  0.020263     1083   428.6   3364.6  24840.0  19.2  151.1  1115.4
     232  0.022840     1090   420.6   5846.7  26501.9  18.9  263.2  1193.2
     237  0.025291     1036   385.0   3775.7  15252.2  17.4  170.8   689.8
     243  0.027920     1112   447.2   4688.4  70546.3  20.1  211.1  3176.3
     248  0.030616     1140   426.5   6585.4  27492.6  19.3  297.3  1241.2
     254  0.033019     1016   402.8   3936.2  15773.6  18.2  177.4   710.8
     259  0.035578     1082   489.2   4515.2  12228.8  22.1  203.8   552.1
     265  0.038144     1085   419.2   4154.1  15084.5  18.9  187.6   681.3
     271  0.040823     1133   405.2   3274.0  25900.5  18.2  147.3  1165.6
     279  0.044094     1383   418.7   5268.8  86061.1  18.9  237.5  3880.1
     288  0.047504     1442   436.5   4777.1  81946.7  19.7  215.9  3703.0
     297  0.050907     1439   419.7   4684.9  16152.9  18.8  209.8   723.4
     303  0.060604     4100   424.5   4511.3  30344.7  19.0  201.7  1356.5
     305  0.069323     3687   420.5   3710.5  32868.5  18.8  165.8  1468.7
     308  0.078009     3673   425.9   4159.1  23806.7  19.1  186.1  1065.2
     310  0.086578     3623   412.4   3852.5  26479.3  18.4  172.1  1183.2
     313  0.095035     3576   411.4   4957.8  40659.1  18.4  221.7  1818.4
     315  0.103324     3505   421.1   3774.4  21056.2  18.8  168.1   937.5
     318  0.111580     3491   438.1   4078.9  12038.4  19.5  181.1   534.6
     321  0.120275     3677   415.1   3670.6  25564.2  18.3  162.1  1129.2
     323  0.129142     3749   429.9   4134.5  44871.1  19.0  182.4  1979.3
     326  0.138074     3777   433.8   3627.0  14214.1  19.1  159.6   625.6
     331  0.144724     2812   426.4   3983.2  33256.6  18.8  175.5  1465.7
     335  0.151270     2768   413.2   3822.5  28395.7  18.3  169.0  1255.3
     340  0.157710     2723   415.8   4105.0  23846.6  18.4  181.2  1052.8
     345  0.164204     2746   425.8   4222.6  18433.7  18.9  187.5   818.5
     350  0.170726     2758   429.0   4125.4  51845.5  18.9  181.6  2281.9
     355  0.177606     2909   433.7   4184.6  30795.8  19.1  184.6  1358.4
