# Digested data for dctcp_tfo_staggered_w4 experiment, run at 2026-04-01 21:27:32.723706
# length  cum_frac  samples     p50      p99     p999   s50    s99    s999
      60  0.002097      883   389.5   2880.7   6427.9  17.4  128.8   287.3
      72  0.004359      953   373.1   2759.3   9024.9  16.8  124.1   406.0
      92  0.007192     1193   378.2   2778.0   5303.9  17.0  124.7   238.2
     119  0.009329      900   377.2   3070.5   4755.8  16.9  137.6   213.2
     154  0.011439      889   361.4   2760.2   4402.8  16.1  122.9   196.0
     199  0.013814     1000   380.4   2520.8   5289.3  17.1  113.1   237.4
     222  0.017200     1426   381.4   3005.5   6020.0  17.2  135.7   271.8
     227  0.019771     1083   370.2   3103.6   4098.2  16.6  139.4   184.0
     232  0.022530     1162   389.0   2534.8   3221.7  17.5  114.1   145.1
     237  0.024978     1031   414.7   3163.3   7325.9  18.8  143.1   331.3
     243  0.027506     1065   415.5   3383.0   8763.6  18.7  152.3   394.6
     248  0.030047     1070   369.8   2918.7   6531.6  16.7  131.8   294.9
     254  0.032692     1114   376.9   3058.1   8373.9  17.0  137.8   377.4
     259  0.035470     1170   377.7   3025.0   5660.8  17.1  136.6   255.6
     265  0.037903     1025   371.0   2766.0  11473.1  16.8  124.9   518.2
     271  0.040316     1016   424.1   3671.0   7099.6  19.1  165.2   319.5
     279  0.043533     1355   401.9   2910.0   8291.4  18.1  131.2   373.8
     288  0.046885     1412   417.6   2980.1   7239.8  18.9  134.7   327.2
     297  0.050316     1445   376.5   3227.6   7692.6  16.9  144.5   344.5
     303  0.059647     3930   398.5   2968.9   7537.1  17.8  132.7   336.9
     305  0.068245     3621   379.6   2813.5   8360.3  17.0  125.7   373.6
     308  0.076940     3662   385.0   2951.4   4563.8  17.2  132.1   204.2
     310  0.085622     3657   391.4   2984.1   9575.5  17.5  133.3   427.9
     313  0.094284     3648   375.0   2835.5   6146.2  16.8  126.8   274.9
     315  0.102741     3562   373.8   2763.3   5280.3  16.6  123.0   235.1
     318  0.111179     3554   368.0   2923.2   7883.3  16.3  129.8   350.1
     321  0.119516     3511   394.2   2892.9   6725.4  17.4  127.8   297.1
     323  0.128094     3613   401.6   2987.8   7844.2  17.7  131.8   346.0
     326  0.136554     3563   378.6   2899.6   5065.2  16.7  127.6   222.9
     331  0.143199     2799   383.9   2908.3   9971.7  16.9  128.2   439.5
     335  0.149705     2740   411.8   2856.2   5514.0  18.2  126.3   243.8
     340  0.156439     2836   406.1   2916.9   5586.1  17.9  128.8   246.6
     345  0.163020     2772   393.7   2946.1   6540.2  17.5  130.8   290.4
     350  0.169599     2771   379.4   2839.4   7772.4  16.7  125.0   342.1
     355  0.176328     2834   393.6   2879.2   5210.0  17.4  127.0   229.8
     360  0.182701     2684   412.3   2983.0   9879.5  18.2  131.9   436.8
     365  0.189014     2659   384.8   2943.4   7041.1  16.9  129.6   310.0
     371  0.195622     2783   396.2   2962.2   7630.0  17.5  131.0   337.5
     376  0.202094     2726   416.4   2872.6   5308.2  18.3  126.5   233.8
     385  0.206176     1719   422.5   2739.4   6562.3  18.6  120.7   289.1
     395  0.210074     1642   367.4   2785.3   7144.2  16.2  122.7   314.7
     405  0.214286     1774   388.1   2755.3   4685.3  17.0  121.0   205.8
     415  0.218460     1758   406.0   2943.9  10769.2  17.9  129.6   474.0
     425  0.222622     1753   383.6   2971.5   8828.7  16.8  130.4   387.4
     430  0.226521     1642   378.1   3237.0  10363.0  16.6  141.8   453.9
     435  0.230650     1739   379.8   2906.7   5998.5  16.7  128.0   264.2
     441  0.234679     1697   387.5   3159.2   9894.3  17.0  138.4   433.6
     446  0.238820     1744   391.5   2733.6   7570.1  17.2  120.1   332.5
     452  0.243201     1845   374.5   2869.3   6215.7  16.4  125.9   272.7
     457  0.247308     1730   373.5   2947.1   7118.8  16.4  129.8   313.5
     463  0.251302     1682   385.1   2876.1   6948.5  16.9  126.1   304.8
     468  0.255421     1735   382.3   2845.7   5773.0  16.8  124.8   253.2
     474  0.259367     1662   406.2   2906.0   9638.2  17.8  127.4   422.5
     480  0.263501     1741   385.1   3076.6  10301.4  16.9  135.0   452.0
     491  0.282545     8021   389.5   2961.5   7101.3  17.0  129.6   310.6
     502  0.301715     8074   383.9   2934.0   5476.3  16.8  128.5   239.9
     513  0.321341     8266   397.9   3023.7   6826.3  17.4  132.5   299.1
     525  0.341238     8380   380.6   2904.3   6043.8  16.7  127.4   265.1
     537  0.360916     8288   382.5   2859.9   6151.8  16.7  125.1   269.1
     549  0.380227     8133   388.9   3050.6   7572.1  17.0  133.5   331.4
     561  0.399658     8184   361.2   2908.8   6134.3  15.8  126.9   267.6
     574  0.419887     8520   384.8   2942.2   6105.7  16.8  128.5   266.7
     587  0.439577     8293   400.7   2888.5   7859.9  17.4  125.6   341.9
     600  0.459693     8472   396.7   2953.1   6619.7  17.3  128.8   288.7
     607  0.465555     2469   384.2   2977.2   5130.1  16.7  129.7   223.4
     615  0.471070     2323   411.0   3053.2   6923.3  17.9  132.8   301.1
     623  0.476671     2359   384.5   2892.3   8365.4  16.7  125.5   363.1
     630  0.482301     2371   366.9   2997.2  11546.4  16.0  130.4   502.5
     638  0.488120     2451   365.6   2854.9   6351.9  15.8  123.2   274.1
     646  0.494023     2486   403.7   2887.4   4239.2  17.5  125.3   184.0
     654  0.499840     2450   365.3   2697.4   7610.9  15.9  117.1   330.5
     662  0.505904     2554   398.3   2894.0   5120.1  17.3  125.3   221.7
     671  0.511711     2446   392.2   2873.4   5622.1  17.0  124.6   243.7
     679  0.517167     2298   408.1   3338.7   6593.8  17.6  143.8   284.0
     685  0.520634     1460   359.9   2488.5  11778.7  15.6  107.6   509.2
     690  0.524250     1523   368.4   3121.1   9175.9  15.9  134.9   396.7
     696  0.527847     1515   405.0   2850.1   4868.6  17.6  123.7   211.3
     702  0.531323     1464   367.1   2969.7   5517.6  15.9  128.7   239.1
     707  0.535058     1573   377.9   2784.2   4928.1  16.3  120.4   213.1
     713  0.538605     1494   351.9   2912.8   5236.4  15.2  126.2   226.9
     719  0.542107     1475   390.5   3169.2   5667.8  16.8  136.7   244.5
     725  0.545866     1583   392.7   2898.9   6428.3  17.0  125.6   278.5
     731  0.549380     1480   408.0   2972.0   6890.5  17.6  128.4   297.6
     737  0.552972     1513   368.1   2663.9   8684.6  16.0  115.6   376.8
     749  0.557699     1991   392.2   2788.6   7507.3  17.0  120.8   325.1
     762  0.562600     2064   412.4   2868.2   4606.0  17.8  123.9   199.0
     774  0.567667     2134   393.1   2917.9   5103.3  17.0  126.1   220.5
     787  0.572543     2054   406.0   2885.2   7171.1  17.5  124.5   309.5
     800  0.577501     2088   380.8   2801.3   4948.8  16.4  120.4   212.7
     816  0.580588     1300   373.2   2946.5   4452.5  16.0  126.4   191.0
     833  0.583510     1231   442.7   2810.1   4138.1  19.1  121.3   178.7
     850  0.586379     1208   342.9   2855.6   3919.5  14.7  122.3   167.9
     867  0.589387     1267   374.4   2802.9   5403.7  16.0  120.1   231.6
     885  0.592416     1276   399.2   3251.4  12636.4  17.1  139.4   541.9
     914  0.596047     1529   432.1   2984.2   6282.2  18.5  127.9   269.2
     945  0.599732     1552   396.8   2981.7   7246.3  17.0  127.8   310.6
     976  0.603521     1596   395.1   3069.1   5634.9  16.9  131.1   240.7
    1009  0.607265     1577   397.7   3006.0   6424.8  17.0  128.1   273.9
    1042  0.610929     1543   357.6   2570.3   3687.3  15.3  109.7   157.3
    1085  0.614410     1466   375.4   3065.1   6752.6  16.0  130.8   288.2
    1130  0.617862     1454   395.5   2885.3   7705.2  16.8  122.3   326.6
    1177  0.621613     1580   388.1   2942.3   9336.1  16.4  124.6   395.4
    1226  0.625348     1573   394.7   3021.7   9261.8  16.7  128.2   392.9
    1277  0.628948     1516   431.9   2827.7   5206.6  18.2  119.5   220.0
    1316  0.632340     1429   405.4   3118.2   6159.8  17.1  131.6   259.9
    1357  0.635771     1445   383.4   2502.1   5950.7  16.1  105.1   249.9
    1399  0.639093     1399   413.9   2720.3   4655.6  17.4  114.5   195.9
    1436  0.641531     1027   407.7   3097.6   7100.7  14.5  110.2   252.6
    1484  0.644269     1153   381.6   3184.3   5168.5  13.5  112.7   183.0
    1534  0.647175     1224   413.6   3035.7   6091.9  14.6  106.9   214.6
    1559  0.651335     1752   383.7   2964.3   9928.7  13.5  104.5   350.0
    1585  0.655397     1711   394.3   2900.7   4993.8  13.8  101.7   175.2
    1611  0.659621     1779   397.0   3017.2   7401.9  13.9  105.8   259.4
    1637  0.663776     1750   398.2   2771.5   8420.5  13.9   97.0   294.6
    1664  0.667817     1702   388.0   2909.0  10552.5  13.6  101.7   369.1
    1865  0.670550     1151   406.3   3064.5   6411.9  14.2  107.1   224.1
    2091  0.673710     1331   423.9   3215.6   8309.6  14.7  111.6   288.3
    2412  0.677034     1400   384.2   2835.0   3887.6  13.3   97.9   134.2
    2742  0.679910     1211   398.6   2772.4   4873.8  13.7   95.6   168.1
    3118  0.682552     1113   414.6   3081.2   5587.7  13.4   99.9   181.1
    3544  0.685406     1202   362.8   2907.3   6594.8  11.7   93.6   212.3
    4030  0.688049     1113   403.6   3159.5   7885.1  12.7   99.7   248.9
    4582  0.690794     1156   387.7   2913.9   9511.0  11.5   86.4   282.1
    5210  0.693462     1124   395.8   2815.5   4485.7  11.5   81.5   129.8
    5652  0.696307     1198   435.8   3363.7   7701.3  12.4   95.6   219.0
    6132  0.699344     1279   421.5   2808.0   6060.7  11.2   74.8   161.5
    6653  0.702338     1261   424.4   3150.4   8045.8  11.3   83.9   214.2
    7217  0.705512     1337   415.2   3120.9   6604.4  10.5   79.2   167.7
    7830  0.708563     1285   447.7   3285.8   4734.6  11.2   82.5   118.8
   10373  0.711127     1080   412.0   3401.7   8021.0   9.1   74.8   176.4
   13741  0.713713     1089   465.1   2988.9   4334.1   9.2   59.2    85.8
   18203  0.716310     1094   446.1   2954.8   7676.9   7.6   50.2   130.3
   24115  0.718706     1009   507.6   3104.0   6258.3   6.8   41.8    84.3
   31946  0.721474     1166   499.1   2679.7   4831.7   5.4   28.8    51.9
   33343  0.724362     1216   508.8   3006.1   7782.5   5.3   31.3    81.1
   34801  0.727189     1191   513.1   3334.6   5951.2   5.2   33.9    60.5
   36322  0.729951     1163   508.8   3100.0   7387.3   5.0   30.8    73.3
   37450  0.732705     1160   533.4   2865.3   6681.9   5.1   27.2    63.3
   38377  0.735188     1046   565.5   2913.6   3704.3   5.2   26.8    34.1
   39327  0.737969     1171   498.9   3225.6   7150.1   4.6   29.7    65.8
   40382  0.741727     1583   516.3   3073.8   7081.7   4.7   27.7    63.8
   41214  0.745346     1524   497.6   3402.1   8020.6   4.4   30.1    71.0
   42062  0.749270     1653   564.9   3051.0   6219.2   5.1   27.8    56.6
   42928  0.752970     1558   524.1   2902.4   7734.5   4.7   25.8    68.8
   43811  0.756640     1546   545.0   2987.7   7348.1   4.8   26.5    65.1
   44531  0.760534     1640   541.2   3112.1   6778.8   4.7   26.9    58.5
   45079  0.764772     1785   566.1   3261.5   9675.9   4.9   28.2    83.7
   45634  0.768930     1751   544.6   3122.2   5722.1   4.6   26.5    48.5
   46195  0.773256     1822   543.4   3194.2   7229.2   4.6   26.9    60.8
   46763  0.777230     1674   554.6   3148.4   6911.3   4.7   26.5    58.2
   47435  0.783280     2548   530.2   3028.6   7357.3   4.4   25.2    61.3
   47823  0.787212     1656   601.1   3060.6   5231.6   5.0   25.5    43.6
   48215  0.790933     1567   542.4   2978.3   3966.8   4.5   24.7    32.9
   48609  0.794727     1598   540.6   3205.2   5655.6   4.4   26.2    46.2
   49007  0.798554     1612   550.5   3448.0   7598.9   4.5   28.1    62.0
   49408  0.802296     1576   538.2   3046.7   6233.8   4.4   24.8    50.7
   49813  0.805986     1554   544.0   3126.7   5511.7   4.3   25.0    44.0
   50221  0.809675     1554   566.8   3110.2   5446.0   4.5   24.9    43.6
   50632  0.813417     1576   530.4   2936.3   8501.5   4.2   23.5    68.0
   51046  0.817019     1517   540.7   3063.9   9791.7   4.3   24.5    78.2
   55381  0.820070     1285   564.5   3133.9   5684.8   4.2   23.1    41.9
   60084  0.823150     1297   569.0   3100.3   4151.5   4.0   21.6    28.9
   64132  0.826654     1476   602.4   3157.1   7243.2   4.0   21.1    48.5
   66528  0.829377     1147   643.9   3672.9   6222.0   4.2   24.0    40.6
   69014  0.832350     1252   675.5   3685.5   9376.9   4.3   23.4    59.6
   71156  0.835064     1143   648.5   3935.1   5362.0   4.0   24.2    32.9
   72473  0.837844     1171   683.3   3716.6   5581.2   4.1   22.3    33.5
   73814  0.840525     1129   687.5   3640.3   4554.0   4.2   22.0    27.5
   75180  0.843298     1168   655.6   3577.9   4949.6   3.8   20.8    28.8
   75795  0.846394     1304   685.2   3313.2   5670.2   3.9   19.0    32.6
   76416  0.849350     1245   688.6   3914.7   5497.4   3.9   22.4    31.5
   77041  0.852266     1228   680.1   3741.4   9744.5   3.9   21.2    55.3
   77672  0.855319     1286   685.3   3468.4   5585.6   3.9   19.7    31.7
   78307  0.858277     1246   698.4   3729.8   4552.0   3.9   20.9    25.5
   78948  0.861248     1251   645.1   3467.2   5506.8   3.6   19.4    30.7
   79595  0.864270     1273   652.2   3442.8  12218.4   3.6   18.8    66.8
   80246  0.867181     1226   688.2   3620.3   6680.1   3.8   20.0    36.8
   80903  0.870009     1191   687.8   3228.3   3870.9   3.8   17.8    21.3
   81565  0.872685     1127   700.3   3495.5   5137.4   3.8   19.1    28.0
   85305  0.875864     1339   706.6   3727.1   4746.9   3.7   19.4    24.8
   89216  0.879190     1401   715.2   3663.0   4526.0   3.6   18.5    22.9
   93306  0.882552     1416   700.0   3285.2   4937.7   3.1   14.6    22.0
   97584  0.885888     1405   698.8   3816.2   6558.2   3.0   16.3    28.0
