# Digested data for dctcp_w4 experiment, run at 2026-04-01 21:27:32.723706
# length  cum_frac  samples     p50      p99     p999   s50    s99    s999
     227  0.032694       29  3486.9  42429.2  42429.2 156.6 1905.2  1905.2
     288  0.062007       26  2364.2  70312.2  70312.2 106.4 3175.8  3175.8
     305  0.093574       28  4150.0  68564.7  68564.7 185.5 3065.0  3065.0
     313  0.121759       25  3303.1  43155.7  43155.7 147.6 1930.9  1930.9
     321  0.155581       30  4419.9  42890.3  42890.3 195.2 1901.4  1901.4
     331  0.186020       27  3193.6  72457.2  72457.2 140.9 3189.1  3189.1
     350  0.216460       27  3833.0  73234.0  73234.0 168.7 3237.6  3237.6
     365  0.249154       29  1283.2  45050.6  45050.6  56.7 1983.7  1983.7
     395  0.278467       26  3710.0  41834.5  41834.5 163.4 1842.9  1842.9
     435  0.308906       27  4169.2  69615.8  69615.8 182.9 3054.7  3054.7
     463  0.340474       28  2119.1  43904.1  43904.1  92.9 1928.2  1928.2
     491  0.375423       31  3101.9  74227.6  74227.6 136.0 3255.6  3255.6
     513  0.421646       41  2505.6  43291.6  43291.6 109.8 1897.1  1897.1
     537  0.470124       43  4910.3  50151.4  50151.4 215.4 2193.8  2193.8
     549  0.510710       36  4753.2  73555.7  73555.7 208.0 3219.1  3219.1
     561  0.547914       33  1925.0  42203.5  42203.5  84.0 1841.3  1841.3
     574  0.579481       28  3190.7  35653.7  35653.7 139.4 1557.6  1557.6
     587  0.608794       26  3721.9  73645.6  73645.6 161.9 3203.4  3203.4
     600  0.638106       26  4244.7  71375.1  71375.1 185.1 3112.7  3112.7
     638  0.676437       34  4656.6  36130.2  36130.2 202.1 1559.4  1559.4
     671  0.709132       29  4253.2  75131.3  75131.3 184.6 3256.7  3256.7
     707  0.739572       27  3060.9  71465.4  71465.4 131.8 3089.7  3089.7
     749  0.768884       26  5858.5  46205.2  46205.2 253.7 1993.3  1993.3
     816  0.801578       29  1931.3  43500.7  43500.7  83.0 1877.5  1877.5
     976  0.833145       28  3935.4  69975.3  69975.3 168.7 2989.1  2989.1
    1226  0.866967       30  3869.8  73841.8  73841.8 164.0 3127.6  3127.6
    1534  0.896280       26  2859.7  43482.7  43482.7 108.4 1787.3  1787.3
    1664  0.933484       33  4335.0  42240.9  42240.9 151.6 1478.0  1478.0
    4030  0.965051       28  1817.3  73393.0  73393.0  58.5 2362.2  2362.2
    7830  0.994363       26  3663.4  67674.9  67674.9 102.4 1803.2  1803.2
   13741  1.000000        5  6026.6  28660.9  28660.9 119.3  630.5   630.5
