# Digested data for homa_w4 experiment, run at 2026-04-01 21:27:32.723706
# length  cum_frac  samples     p50      p99     p999   s50    s99    s999
      60  0.002281      905   162.3    392.6    468.8   7.3   17.5    21.0
      72  0.004571      909   175.6    366.6    413.6   7.9   16.5    18.6
      92  0.007608     1205   164.0    390.2   1008.5   7.4   17.5    45.3
     119  0.009709      834   165.8    350.4   1219.6   7.4   15.7    54.7
     154  0.011990      905   164.0    363.4    431.0   7.3   16.2    19.2
     199  0.014268      904   168.4    364.6    420.3   7.6   16.4    18.9
     222  0.017917     1448   165.0    370.2    457.0   7.4   16.7    20.6
     227  0.020603     1066   162.3    381.2    428.5   7.3   17.1    19.2
     232  0.023125     1001   169.5    374.9    437.1   7.6   16.9    19.7
     237  0.025811     1066   172.2    362.8    466.9   7.8   16.4    21.1
     243  0.028346     1006   165.1    392.9    539.7   7.4   17.7    24.3
     248  0.030773      963   165.8    365.9    564.2   7.5   16.5    25.5
     254  0.033288      998   159.7    380.3    435.2   7.2   17.1    19.6
     259  0.036027     1087   165.8    394.1    522.0   7.5   17.8    23.6
     265  0.038633     1034   161.4    364.3    486.4   7.3   16.5    22.0
     271  0.041238     1034   166.8    364.8    423.5   7.5   16.4    19.1
     279  0.044318     1222   170.0    372.1    480.4   7.7   16.8    21.7
     288  0.047420     1231   164.6    381.3    483.4   7.4   17.2    21.8
     297  0.050774     1331   166.4    375.4    698.6   7.5   16.8    31.3
     303  0.060410     3824   167.5    372.2    521.9   7.5   16.6    23.3
     305  0.068846     3348   166.5    381.2    555.3   7.4   17.0    24.8
     308  0.077543     3451   166.2    378.8    536.0   7.4   16.9    24.0
     310  0.085868     3304   166.0    373.2    465.2   7.4   16.7    20.8
     313  0.094441     3402   164.6    369.9    440.2   7.4   16.5    19.7
     315  0.103079     3428   167.9    368.7    493.6   7.5   16.4    22.0
     318  0.111385     3296   167.3    368.0    448.4   7.4   16.3    19.9
     321  0.120111     3463   164.6    375.4    521.7   7.3   16.6    23.0
     323  0.128976     3518   167.3    365.9    500.2   7.4   16.1    22.1
     326  0.137458     3366   164.6    397.9    585.0   7.2   17.5    25.7
     331  0.144033     2609   167.1    372.1    551.4   7.4   16.4    24.3
     335  0.150769     2673   164.8    383.6    758.2   7.3   17.0    33.5
     340  0.157603     2712   161.2    373.6    521.4   7.1   16.5    23.0
     345  0.164132     2591   164.2    374.2    497.5   7.3   16.6    22.1
     350  0.170943     2703   163.1    375.7    512.0   7.2   16.5    22.5
     355  0.177414     2568   162.2    372.4    496.0   7.2   16.4    21.9
     360  0.183792     2531   164.2    378.4    567.0   7.3   16.7    25.1
     365  0.190480     2654   165.9    381.4    602.2   7.3   16.8    26.5
     371  0.196832     2521   167.3    398.6    491.4   7.4   17.6    21.7
     376  0.203631     2698   165.2    395.4    533.4   7.3   17.4    23.5
     385  0.207779     1646   168.4    363.6    467.8   7.4   16.0    20.6
     395  0.212103     1716   174.4    396.6    592.3   7.7   17.5    26.1
