# Fraction of RTTS longer than a given time for homa_w4 experiment
# Includes messages <= 315 bytes; measured at 2026-04-01 21:27:32.723706
# Data collected at 2026-04-01 21:27:32.723706 
#       usec        frac
      25.560  0.99997555
      27.040  0.99995111
      27.800  0.99992666
      28.530  0.99990221
      28.900  0.99985332
      29.400  0.99980443
      29.720  0.99970664
      30.330  0.99960886
      30.680  0.99958441
      31.040  0.99946218
      31.390  0.99943774
      31.770  0.99924216
      32.170  0.99911993
      32.500  0.99887547
      32.840  0.99865545
      33.220  0.99850878
      33.700  0.99838654
      34.080  0.99826431
      34.440  0.99804430
      34.960  0.99784873
      35.310  0.99762871
      35.690  0.99726202
      36.050  0.99704200
      36.430  0.99669975
      36.800  0.99635750
      37.250  0.99608859
      37.660  0.99577079
      38.040  0.99525742
      38.440  0.99476849
      38.870  0.99420623
      39.260  0.99376620
      39.670  0.99327727
      40.090  0.99293502
      40.500  0.99261722
      40.940  0.99215274
      41.360  0.99159048
      41.780  0.99102821
      42.200  0.99056373
      42.630  0.99005036
      43.060  0.98939031
      43.530  0.98890138
      44.010  0.98811910
      44.490  0.98750795
      44.940  0.98711680
      45.400  0.98655454
      45.880  0.98591894
      46.340  0.98513665
      46.820  0.98469662
      47.310  0.98388989
      47.790  0.98313206
      48.270  0.98237422
      48.760  0.98154305
      49.260  0.98085855
      49.770  0.97978292
      50.270  0.97900064
      50.780  0.97782721
      51.310  0.97680047
      51.830  0.97606708
      52.350  0.97508923
      52.880  0.97423361
      53.420  0.97320686
      53.960  0.97171564
      54.500  0.97054222
      55.050  0.96931990
      55.630  0.96826871
      56.190  0.96738865
      56.780  0.96609299
      57.350  0.96479734
      57.940  0.96333056
      58.530  0.96169266
      59.130  0.96034812
      59.740  0.95827018
      60.340  0.95646115
      60.960  0.95450545
      61.570  0.95279421
      62.190  0.95064294
      62.820  0.94829609
      63.450  0.94604703
      64.090  0.94389576
      64.740  0.94157336
      65.400  0.93915318
      66.060  0.93712414
      66.730  0.93536401
      67.400  0.93306605
      68.080  0.93047475
      68.770  0.92803012
      69.460  0.92548770
      70.160  0.92240747
      70.870  0.91979172
      71.580  0.91700484
      72.300  0.91426686
      73.030  0.91157776
      73.770  0.90839975
      74.510  0.90517284
      75.260  0.90221483
      76.020  0.89869457
      76.790  0.89539432
      77.560  0.89177627
      78.340  0.88867159
      79.130  0.88537134
      79.930  0.88194886
      80.740  0.87811079
      81.550  0.87468831
      82.370  0.87116804
      83.210  0.86701217
      84.050  0.86356525
      84.900  0.86021611
      85.750  0.85625581
      86.610  0.85268665
      87.480  0.84848189
      88.360  0.84442380
      89.270  0.84031682
      90.170  0.83628319
      91.090  0.83220066
      92.010  0.82819146
      92.940  0.82410893
      93.870  0.81965971
      94.810  0.81535716
      95.760  0.81027233
      96.720  0.80645871
      97.690  0.80244952
      98.670  0.79804919
      99.660  0.79381998
     100.670  0.78927297
     101.680  0.78521488
     102.700  0.78030118
     103.750  0.77590085
     104.790  0.77132939
     105.840  0.76585342
     106.900  0.76115973
     107.970  0.75634381
     109.050  0.75135677
     110.150  0.74705422
     111.260  0.74253166
     112.390  0.73778908
     113.520  0.73263091
     114.670  0.72808390
     115.820  0.72321909
     116.980  0.71810981
     118.150  0.71326945
     119.340  0.70798905
     120.540  0.70273310
     121.750  0.69781939
     122.970  0.69263678
     124.210  0.68728304
     125.460  0.68153816
     126.720  0.67603775
     128.010  0.67043954
     129.300  0.66508581
     130.600  0.65899868
     131.920  0.65386496
     133.240  0.64829120
     134.560  0.64178849
     135.910  0.63584804
     137.270  0.62951645
     138.650  0.62355156
     140.040  0.61790446
     141.450  0.61198846
     142.870  0.60599912
     144.240  0.59993644
     145.690  0.59419156
     147.110  0.58822667
     148.510  0.58233511
     149.670  0.57649245
     150.890  0.57072312
     152.250  0.56500269
     153.530  0.55933115
     154.830  0.55373295
     155.940  0.54818364
     157.160  0.54268322
     158.480  0.53725615
     159.660  0.53187796
     160.790  0.52654867
     161.970  0.52126827
     163.010  0.51603677
     164.110  0.51085415
     165.180  0.50574488
     166.190  0.50068450
     167.190  0.49567301
     168.230  0.49071041
     169.190  0.48579670
     170.260  0.48093189
     171.280  0.47611597
     172.340  0.47134895
     173.330  0.46663081
     174.310  0.46196157
     175.310  0.45734122
     176.370  0.45274532
     177.350  0.44819831
     178.430  0.44370019
     179.320  0.43925097
     180.300  0.43485063
     181.300  0.43049919
     182.220  0.42617220
     183.200  0.42189410
     184.270  0.41766489
     185.110  0.41348457
     185.970  0.40932870
     186.850  0.40522173
     187.600  0.40116364
     188.450  0.39713001
     189.380  0.39314526
     190.170  0.38920941
     191.000  0.38529800
     191.800  0.38143549
     192.570  0.37759742
     193.350  0.37380824
     194.180  0.37006796
     195.050  0.36635212
     195.780  0.36268518
     196.610  0.35904268
     197.470  0.35544908
     198.310  0.35187992
     199.130  0.34835965
     199.810  0.34486383
     200.470  0.34139246
     201.220  0.33796998
     202.030  0.33457195
     202.740  0.33122280
     203.550  0.32789811
     204.260  0.32459786
     205.030  0.32134650
     205.710  0.31811959
     206.490  0.31491713
     207.070  0.31176356
     207.700  0.30863443
     208.410  0.30552975
     209.190  0.30247396
     209.870  0.29944262
     210.610  0.29643573
     211.260  0.29345328
     211.950  0.29049528
     212.830  0.28758617
     213.490  0.28470151
     214.190  0.28184129
     214.960  0.27900552
     215.590  0.27619420
     216.220  0.27343177
     216.780  0.27069379
