# Digested data for homa_w4 experiment, run at 2026-04-20 21:47:42.593783
# Averaged across 1 repeated sample(s)
# length  cum_frac  samples     p50      p99     p999   s50    s99    s999
      72  0.004416      957    92.7    255.2   2765.6   6.1   17.0   179.2
      92  0.007522      673    91.5    237.2    268.8   6.2   16.2    18.3
     119  0.009917      519    87.6    252.6   1386.4   6.0   17.3    95.0
     199  0.014251      939    87.0    258.0    489.3   6.0   17.9    33.9
     222  0.017532      711    91.7    246.8    314.7   6.4   17.2    21.9
     227  0.020167      571    89.9    263.1   2511.7   6.3   18.4   176.1
     232  0.022664      541    92.5    264.6    497.4   6.5   18.7    35.1
     237  0.025151      539    89.2    248.3    538.3   6.3   17.5    37.9
     243  0.027698      552    89.4    287.1    441.9   6.4   20.6    31.7
     248  0.030407      587    87.8    268.5    375.0   6.3   19.4    27.0
     254  0.033107      585    84.8    248.0    681.9   6.1   17.9    49.3
     259  0.035733      569    86.4    249.3    380.2   6.3   18.1    27.6
     265  0.038340      565    86.0    239.7    271.1   6.3   17.5    19.8
     271  0.041017      580    92.0    253.4    905.8   6.7   18.5    66.0
     279  0.044206      691    89.9    268.9    415.1   6.5   19.6    30.2
     288  0.047473      708    86.7    248.8    326.2   6.3   18.1    23.8
     297  0.050713      702    87.6    254.8    288.8   6.4   18.5    21.0
     303  0.060413     2102    88.6    259.4    508.1   6.4   18.8    36.9
     305  0.069273     1920    90.4    249.9    505.8   6.6   18.1    36.7
     308  0.077617     1808    89.3    267.4    460.2   6.5   19.4    33.3
     310  0.086201     1860    88.7    265.6   1140.9   6.4   19.3    82.8
     313  0.094452     1788    87.8    295.6   1659.5   6.4   21.5   120.6
     315  0.102994     1851    88.7    298.9    565.1   6.5   21.8    41.2
     318  0.111735     1894    85.8    264.5    446.4   6.2   19.2    32.5
     321  0.120452     1889    88.2    241.2    373.0   6.4   17.5    27.0
     323  0.128860     1822    87.2    255.3    375.2   6.3   18.4    27.1
     326  0.137259     1820    89.6    248.6    397.3   6.5   18.0    28.8
     331  0.143656     1386    89.5    249.8    380.9   6.5   18.1    27.6
     335  0.150393     1460    89.9    257.7    604.6   6.5   18.7    43.9
     340  0.156803     1389    90.8    267.3    641.3   6.6   19.4    46.6
     345  0.162992     1341    90.2    242.1    296.3   6.6   17.6    21.5
     350  0.169406     1390    91.0    291.7    806.9   6.6   21.2    58.7
     355  0.175826     1391    88.8    284.2    485.0   6.4   20.6    35.2
     360  0.182642     1477    89.7    257.0    421.9   6.5   18.7    30.6
     365  0.188946     1366    90.9    272.4    344.2   6.6   19.8    25.0
     371  0.195226     1361    88.2    266.5    407.8   6.4   19.3    29.6
     376  0.201973     1462    91.3    270.1    410.8   6.6   19.5    29.6
     385  0.206127      900    87.7    273.5    748.9   6.3   19.8    54.2
     395  0.210405      927    89.8    273.1    446.1   6.5   19.7    32.3
     405  0.214466      880    87.3    283.9    460.8   6.3   20.6    33.4
     415  0.218425      858    85.5    256.1    389.2   6.2   18.5    28.1
     425  0.222551      894    88.0    261.0    462.6   6.3   18.8    33.4
     430  0.226640      886    91.9    256.9   1519.3   6.6   18.6   109.9
     435  0.230738      888    91.0    247.8   2456.8   6.5   17.7   175.9
     441  0.234886      899    85.1    252.3    455.7   6.1   18.2    32.8
     446  0.239054      903    89.0    240.8    321.6   6.4   17.4    23.3
     452  0.243170      892    90.2    252.0    315.5   6.5   18.3    22.9
     457  0.247291      893    93.0    251.9   2179.3   6.7   18.2   157.7
     463  0.251348      879    87.4    266.8    665.4   6.3   19.3    48.0
     468  0.255344      866    89.6    310.1    672.3   6.5   22.4    48.6
     474  0.259331      864    88.9    251.7    350.2   6.4   18.1    25.2
     480  0.263300      860    89.5    247.6   1380.8   6.5   17.9    99.8
     491  0.282558     4173    89.8    272.9    429.3   6.5   19.7    31.0
     502  0.301742     4157    89.4    265.8    469.9   6.5   19.2    33.9
     513  0.321355     4250    89.0    253.6    420.7   6.4   18.3    30.4
     525  0.340816     4217    90.5    258.1    496.2   6.5   18.6    35.7
     537  0.360226     4206    90.1    245.6    417.9   6.5   17.7    30.0
     549  0.379677     4215    89.7    252.7    368.0   6.4   18.1    26.4
     561  0.398870     4159    89.8    269.7    427.7   6.4   19.3    30.7
     574  0.418571     4269    90.4    259.4    637.8   6.5   18.6    45.6
     587  0.438415     4300    90.1    259.8    451.7   6.4   18.6    32.3
     600  0.458042     4253    89.8    257.4    450.8   6.4   18.4    32.2
     607  0.464041     1300    88.9    302.3    691.6   6.3   21.5    49.3
     615  0.469907     1271    92.0    256.8    346.4   6.6   18.3    24.7
     623  0.475500     1212    89.8    261.4    376.3   6.4   18.6    26.8
     630  0.481416     1282    89.6    255.4    406.3   6.4   18.2    28.9
     638  0.486829     1173    90.5    274.7    360.8   6.4   19.5    25.7
     646  0.492547     1239    88.8    252.2    442.1   6.3   18.0    31.5
     654  0.498260     1238    86.9    243.8    925.6   6.2   17.3    65.7
     662  0.504135     1273    88.2    254.2    484.5   6.2   17.9    34.1
     671  0.509922     1254    92.0    264.9    368.3   6.5   18.8    26.1
     679  0.515635     1238    89.0    267.6    399.0   6.3   19.0    28.3
     685  0.519119      755    90.8    234.9    339.4   6.4   16.6    24.0
     690  0.522525      738    88.8    258.2   3084.6   6.3   18.2   217.4
     696  0.526125      780    90.6    240.1    387.0   6.4   16.9    27.3
     702  0.529632      760    93.1    309.6    752.4   6.6   21.8    53.0
     707  0.533365      809    87.7    244.2    375.7   6.2   17.2    26.5
     713  0.536933      773    90.0    253.8   3350.8   6.3   17.8   235.6
     719  0.540638      803    91.6    255.9   4886.1   6.4   17.9   341.9
     725  0.544206      773    86.0    259.4    541.6   6.1   18.3    38.2
     731  0.547787      776    85.9    234.2    286.0   6.0   16.5    20.1
     737  0.551285      758    85.8    245.1    442.1   6.0   17.2    31.1
     749  0.555978     1017    89.5    262.3    324.9   6.2   18.3    22.6
     762  0.560782     1041    92.3    264.9    310.9   6.5   18.7    21.9
     774  0.565614     1047    87.6    243.8    352.7   6.2   17.1    24.8
     787  0.570432     1044    87.7    261.3    408.1   6.1   18.3    28.6
     800  0.575402     1077    94.5    255.9   1130.6   6.6   17.8    78.6
