# Fraction of RTTS longer than a given time for homa_w4 experiment
# Includes messages <= 315 bytes; measured at 2026-04-20 21:47:42.593783
# Averaged across 1 repeated sample(s)
# Data collected at 2026-04-20 21:47:42.593783 
#       usec        frac
      18.370  0.99995519
      20.710  0.99991039
      21.180  0.99986558
      21.670  0.99977597
      22.080  0.99968635
      22.430  0.99955193
      22.720  0.99941751
      23.060  0.99919348
      23.320  0.99887983
      23.640  0.99874541
      23.880  0.99834215
      24.130  0.99807330
      24.420  0.99762524
      24.710  0.99722197
      24.960  0.99686352
      25.220  0.99632584
      25.480  0.99565373
      25.740  0.99516086
      26.000  0.99480240
      26.260  0.99408549
      26.540  0.99332377
      26.810  0.99229322
      27.080  0.99135227
      27.370  0.98996326
      27.650  0.98857425
      27.940  0.98727485
      28.230  0.98593064
      28.520  0.98449682
      28.810  0.98248051
      29.100  0.98059862
      29.400  0.97880634
      29.700  0.97598351
      30.010  0.97347433
      30.320  0.97042746
      30.630  0.96724617
      30.940  0.96451295
      31.250  0.96151089
      31.570  0.95837441
      31.890  0.95519312
      32.210  0.95214625
      32.540  0.94833766
      32.870  0.94524599
      33.200  0.94134779
      33.540  0.93794247
      33.880  0.93440272
      34.220  0.93037010
      34.570  0.92629268
      34.920  0.92194641
      35.270  0.91822744
      35.630  0.91495654
      35.990  0.91132718
      36.350  0.90783224
      36.720  0.90451653
      37.090  0.90138005
      37.470  0.89757147
      37.860  0.89367327
      38.240  0.88964065
      38.630  0.88672820
      39.020  0.88363653
      39.420  0.88036562
      39.820  0.87696030
      40.220  0.87351017
      40.630  0.87032888
      41.040  0.86701317
      41.460  0.86342862
      41.890  0.86020253
      42.310  0.85737969
      42.740  0.85433283
      43.170  0.85097231
      43.610  0.84725334
      44.050  0.84398244
      44.500  0.84017385
      44.950  0.83685814
      45.400  0.83327359
      45.860  0.82964423
      46.320  0.82637333
      46.800  0.82238552
      47.270  0.81898020
      47.750  0.81485796
      48.240  0.81078054
      48.730  0.80688234
      49.220  0.80253607
      49.720  0.79854826
      50.220  0.79482929
      50.730  0.79084147
      51.240  0.78721212
      51.760  0.78380679
      52.280  0.77937091
      52.820  0.77502464
      53.350  0.77090241
      53.890  0.76781074
      54.440  0.76391254
      54.990  0.75956627
      55.540  0.75553365
      56.100  0.75069451
      56.680  0.74625863
      57.250  0.74280850
