# Digested data for unloaded_w4 experiment, run at 2026-04-21 01:13:26.813337
# Averaged across 1 repeated sample(s)
# length  cum_frac  samples     p50      p99     p999   s50    s99    s999
      60  0.005090      500    16.1     34.2     59.0   1.0    2.1     3.7
      72  0.010180      500    15.8     34.5    237.9   1.0    2.2    15.1
      92  0.015271      500    15.6     32.6     34.4   1.0    2.1     2.2
     119  0.020361      500    15.6     33.1     33.3   1.0    2.1     2.1
     154  0.025451      500    15.4     32.8     34.2   1.0    2.1     2.2
     199  0.030541      500    15.3     32.9     38.1   1.0    2.2     2.5
     222  0.035631      500    15.2     33.1     47.0   1.0    2.2     3.1
     227  0.040722      500    15.2     30.3     32.4   1.0    2.0     2.1
     232  0.045812      500    15.1     32.5     34.1   1.0    2.2     2.3
     237  0.050902      500    15.0     32.1     48.5   1.0    2.1     3.2
     243  0.055992      500    15.1     32.5    232.1   1.0    2.2    15.3
     248  0.061082      500    15.0     32.0     35.5   1.0    2.1     2.4
     254  0.066173      500    14.9     30.9     33.5   1.0    2.1     2.3
     259  0.071263      500    14.9     31.6     35.9   1.0    2.1     2.4
     265  0.076353      500    14.8     31.8     56.4   1.0    2.2     3.8
     271  0.081443      500    14.8     32.2     45.9   1.0    2.2     3.1
     279  0.086533      500    14.8     32.2    243.9   1.0    2.2    16.5
     288  0.091624      500    14.8     31.1     33.4   1.0    2.1     2.3
     297  0.096714      500    14.8     31.8     33.1   1.0    2.1     2.2
     303  0.101804      500    14.8     30.7     34.9   1.0    2.1     2.4
     305  0.106894      500    14.8     31.7     49.7   1.0    2.1     3.4
     308  0.111984      500    14.8     31.7     46.8   1.0    2.1     3.2
     310  0.117075      500    14.9     32.0     45.5   1.0    2.2     3.1
     313  0.122165      500    14.8     31.8     38.4   1.0    2.1     2.6
     315  0.127255      500    14.7     31.9     32.4   1.0    2.2     2.2
     318  0.132345      500    14.8     32.3     38.9   1.0    2.2     2.6
     321  0.137435      500    14.8     32.0    224.2   1.0    2.2    15.1
     323  0.142526      500    14.8     32.2     32.5   1.0    2.2     2.2
     326  0.147616      500    14.8     31.8     32.5   1.0    2.1     2.2
