# Fraction of RTTS longer than a given time for dctcp_w4 experiment
# Includes messages <= 315 bytes; measured at 2026-04-21 01:23:19.687976
# Averaged across 1 repeated sample(s)
# Data collected at 2026-04-21 01:23:19.687976 
#       usec        frac
     239.800  0.99989113
     256.460  0.99978225
     295.300  0.99967338
     423.940  0.99956451
     431.510  0.99945563
     460.690  0.99934676
     497.350  0.99923789
     538.570  0.99912901
     571.690  0.99902014
     647.410  0.99891127
     766.780  0.99880240
     825.740  0.99858465
     875.640  0.99847578
     963.250  0.99836690
    1027.750  0.99814916
    1081.660  0.99804028
    1149.540  0.99782254
    1218.450  0.99760479
    1235.650  0.99749592
    1302.570  0.99738704
    1376.270  0.99727817
    1419.160  0.99716930
    1459.300  0.99706042
    1515.120  0.99695155
    1537.480  0.99684268
    1559.040  0.99673381
    1595.460  0.99662493
    1638.790  0.99651606
    1667.500  0.99618944
    1697.220  0.99597169
    1723.050  0.99586282
    1764.840  0.99575395
    1809.910  0.99553620
    1859.270  0.99531845
    1926.490  0.99520958
    1950.750  0.99499183
    1981.740  0.99488296
    2127.790  0.99466522
    2223.330  0.99433860
    2258.720  0.99422972
    2318.110  0.99412085
    2394.320  0.99390310
    2456.130  0.99379423
    2594.250  0.99368536
    2628.900  0.99346761
    2697.020  0.99335874
    2725.450  0.99324986
    2892.370  0.99314099
    2953.600  0.99303212
    2991.160  0.99281437
    3026.720  0.99270550
    3064.770  0.99237888
    3100.950  0.99216113
    3184.250  0.99194339
    3274.750  0.99161677
    3330.450  0.99150789
    3379.140  0.99129015
    3445.690  0.99118127
    3480.370  0.99107240
    3518.450  0.99096353
    3632.530  0.99085465
    3728.980  0.99074578
    3771.160  0.99031029
    3848.140  0.98987480
    3897.400  0.98976592
    3999.430  0.98954818
    4134.090  0.98922156
    4194.890  0.98900381
    4244.840  0.98878606
    4334.390  0.98867719
    4427.710  0.98845944
    4490.880  0.98802395
    4537.840  0.98780621
    4609.300  0.98769733
    4703.900  0.98726184
    4754.490  0.98671747
    4847.530  0.98639085
    4911.420  0.98617311
    5012.670  0.98584649
    5065.350  0.98541100
    5150.680  0.98508438
    5202.460  0.98464888
    5258.170  0.98410452
    5333.070  0.98388677
    5446.570  0.98366903
    5510.290  0.98334241
    5593.190  0.98279804
    5651.020  0.98247142
    5736.710  0.98214480
    5818.480  0.98170931
    5891.160  0.98094720
    5951.590  0.98072945
    6055.410  0.98018508
    6125.050  0.97985846
    6189.750  0.97942297
    6261.260  0.97887861
    6326.030  0.97855199
    6397.170  0.97811649
    6476.370  0.97746326
    6541.360  0.97702776
    6614.640  0.97648340
    6701.700  0.97615678
    6786.950  0.97561241
    6872.000  0.97485030
    6948.320  0.97441481
    7030.050  0.97376157
    7117.730  0.97321720
    7200.870  0.97289058
    7274.170  0.97234622
    7359.230  0.97180185
    7462.240  0.97114861
    7543.220  0.97049537
    7624.400  0.96984213
    7719.090  0.96929777
    7810.230  0.96864453
    7946.110  0.96788242
    8048.970  0.96722918
    8144.600  0.96614045
    8265.720  0.96526946
    8353.410  0.96450735
    8464.320  0.96385411
    8555.310  0.96309200
    8642.560  0.96265651
    8730.140  0.96178552
    8824.810  0.96102341
    8913.320  0.96026130
    9016.540  0.95906369
    9110.870  0.95819271
    9204.750  0.95699510
    9314.640  0.95634186
    9418.660  0.95557975
    9534.700  0.95470876
    9630.170  0.95383778
    9746.700  0.95264017
    9871.530  0.95231355
    9971.980  0.95155144
   10101.230  0.95078933
   10245.350  0.94904736
   10365.220  0.94817637
   10472.620  0.94730539
   10579.590  0.94665215
   10686.210  0.94545455
   10820.520  0.94414807
   10954.530  0.94327708
   11079.780  0.94207948
   11199.040  0.94077300
   11316.570  0.93924878
   11430.620  0.93848666
   11563.570  0.93707131
   11682.770  0.93554709
   11816.050  0.93434948
   11936.690  0.93271639
   12082.830  0.93151878
   12204.570  0.92988568
   12328.180  0.92934132
   12489.990  0.92825259
   12627.040  0.92727273
   12769.200  0.92651062
   12899.590  0.92520414
   13040.050  0.92400653
   13205.680  0.92270005
   13351.050  0.92117583
   13498.820  0.92019597
   13639.870  0.91856287
   13776.290  0.91758302
   13916.920  0.91594992
   14061.030  0.91420795
   14238.430  0.91333696
   14395.800  0.91203048
   14561.880  0.91039739
   14714.900  0.90854654
   14866.370  0.90658683
   15022.080  0.90495373
   15174.020  0.90266739
   15370.840  0.89972782
   15535.370  0.89787697
   15690.990  0.89624388
   15851.050  0.89417529
   16058.950  0.89254219
   16228.250  0.89080022
   16391.700  0.88862275
   16556.200  0.88677191
   16729.570  0.88524769
   16904.230  0.88285248
   17074.150  0.88023952
   17248.820  0.87860642
   17431.640  0.87664671
   17605.980  0.87370713
   17792.290  0.87098530
   17972.000  0.86891671
   18167.170  0.86630376
   18349.820  0.86325531
   18534.730  0.86096897
   18724.250  0.85759390
   18914.160  0.85465433
   19103.910  0.85291236
   19295.160  0.85040827
   19496.700  0.84812194
   19703.850  0.84474687
   19913.850  0.84191617
   20116.750  0.83810561
   20326.480  0.83516603
   20530.630  0.83309744
   20741.970  0.83037561
   20962.850  0.82765378
   21181.240  0.82460533
   21395.940  0.82188351
   21613.850  0.81894393
   21838.840  0.81622210
   22060.910  0.81360915
   22285.170  0.80958084
   22514.000  0.80696788
   22741.230  0.80424605
   22976.180  0.80032662
   23227.800  0.79782254
   23475.740  0.79433860
   23717.600  0.79150789
   23955.250  0.78889494
   24194.880  0.78584649
   24439.000  0.78236255
   24687.420  0.77811649
   24943.970  0.77463255
   25196.440  0.77082199
   25453.070  0.76712030
   25707.960  0.76298312
   25971.090  0.75851932
   26235.640  0.75394665
   26504.820  0.75035384
   26775.390  0.74567229
   27055.340  0.74120849
   27326.190  0.73674469
   27616.820  0.73304300
   27906.550  0.72857921
   28190.550  0.72400653
   28476.490  0.71954273
   28768.110  0.71464344
   29067.290  0.71039739
   29373.410  0.70615133
   29693.750  0.70146979
   29993.140  0.69700599
   30293.500  0.69286881
   30633.990  0.68786064
   30941.700  0.68361459
   31252.450  0.67915079
   31566.320  0.67370713
   31890.900  0.66848122
   32213.470  0.66314643
   32551.250  0.65704954
   32880.370  0.65127926
   33211.910  0.64659771
   33552.760  0.64267828
   33913.880  0.63854110
   34261.600  0.63331519
   34605.160  0.62787153
   34954.480  0.62308111
   35276.250  0.61676647
   35629.520  0.61088732
   35939.300  0.60468155
   36307.700  0.59858465
   36676.120  0.59390310
   36987.290  0.58791508
   37369.190  0.58258029
   37721.670  0.57670114
   38007.060  0.57093087
   38356.920  0.56516059
   38623.490  0.55949918
   38984.230  0.55383778
   39387.890  0.54850299
   39760.720  0.54295046
   40112.070  0.53750680
   40449.700  0.53206315
   40787.790  0.52672836
   41212.930  0.52204682
   41482.850  0.51682090
   41863.410  0.51159499
   42171.820  0.50647795
   42516.380  0.50136091
   42825.530  0.49624388
   43129.710  0.49123571
   43441.550  0.48622754
   43867.290  0.48132825
   44192.960  0.47642896
   44465.990  0.47163854
   44826.590  0.46684812
   45190.940  0.46216658
   45453.020  0.45748503
   45825.060  0.45280348
   46073.690  0.44823081
   46427.300  0.44365814
   46755.450  0.43919434
   46980.420  0.43473054
   47296.150  0.43037561
   47680.040  0.42602069
   48017.050  0.42166576
   48457.350  0.41741971
   48774.070  0.41317365
   49055.630  0.40903647
   49388.390  0.40489929
   49712.390  0.40076211
   50075.270  0.39673381
   50341.830  0.39270550
   50625.520  0.38867719
   50974.530  0.38475776
   51235.340  0.38083832
   51471.110  0.37702776
   51784.530  0.37321720
   52133.770  0.36940664
   52490.990  0.36570495
   52763.040  0.36200327
   53032.120  0.35830158
   53298.980  0.35470876
   53560.250  0.35111595
   53824.530  0.34752314
   54072.740  0.34403919
   54354.930  0.34055525
   54613.100  0.33707131
   54902.110  0.33369624
   55146.430  0.33032118
   55499.430  0.32694611
   55765.960  0.32357104
   56017.530  0.32030484
   56314.180  0.31703865
   56674.490  0.31377246
   56947.410  0.31061513
   57203.890  0.30745781
   57480.540  0.30430049
   57686.670  0.30125204
   57951.100  0.29820359
   58220.240  0.29515514
   58482.050  0.29210670
   58783.480  0.28916712
   59115.730  0.28622754
