# Digested data for dctcp_w4 experiment, run at 2026-04-21 03:59:05.049299
# Averaged across 1 repeated sample(s)
# length  cum_frac  samples     p50      p99     p999   s50    s99    s999
      72  0.004598      531 28341.8 103704.4 141810.5 1789.6 6605.4  8770.0
     119  0.009993      623 27662.0 105746.5 1048686.4 1781.2 6893.5 67526.5
     199  0.014332      501 28302.2  94682.6 146726.1 1884.3 6303.8  9768.7
     227  0.020290      688 29123.2 116021.8 1037666.4 1960.3 7839.3 70112.6
     237  0.025278      576 28479.9 109924.1 139470.2 1945.6 7477.8  9539.7
     248  0.030439      596 30595.9 122298.7 1055896.4 2117.4 8463.6 72720.1
     259  0.035704      608 29126.8 109762.8 1042850.8 2026.3 7622.4 72420.2
     271  0.041142      628 29407.4 116354.0 1023122.1 2053.6 8125.3 71447.1
     288  0.047645      751 29145.6 108163.5 1034783.4 2033.9 7548.0 72211.0
     303  0.060981     1540 28327.6 113462.7 1026170.2 1972.7 7917.8 71460.3
     305  0.069476      981 29605.4 123464.6 1098530.2 2066.0 8615.8 76659.5
     308  0.078482     1040 29617.3 112088.3 143579.0 2061.1 7800.2  9991.6
     310  0.086874      969 29995.2 116778.0 1058717.0 2094.6 8154.9 73932.8
     313  0.095429      988 28753.9 113635.7 1069138.5 2001.0 7907.8 74400.7
     315  0.104037      994 28542.1 104360.5 1078008.4 1994.6 7292.8 75332.5
     318  0.112117      933 28696.2 103034.9 1067139.7 1998.3 7175.1 74313.4
     321  0.120889     1013 29567.5 111782.4 133117.4 2061.9 7795.1  9282.9
     323  0.129644     1011 29705.1 107918.4 138720.5 2075.8 7541.5  9694.0
     326  0.138251      994 30108.3 113361.3 1035242.2 2096.7 7894.2 72092.1
     331  0.144625      736 29937.3 100562.0 1080032.6 2084.8 7002.9 75211.2
     335  0.151241      764 27655.4 129820.8 1040462.2 1928.5 9053.1 72556.6
     340  0.157450      717 26185.0 101457.2 1081984.6 1826.0 7075.1 75452.2
     345  0.163806      734 30239.9 109220.7 1071025.8 2108.8 7616.5 74688.0
     350  0.170405      762 29338.5 112526.9 1021422.5 2040.2 7825.2 71030.8
     355  0.176951      756 30406.7 104058.4 1069801.4 2116.0 7241.4 74446.9
     360  0.183438      749 29864.1 105462.0 118418.7 2075.3 7328.8  8229.2
     365  0.190253      787 29677.0 122488.8 1051944.5 2048.1 8453.3 72598.0
     371  0.196895      767 29110.9 125333.6 1123682.8 2018.8 8691.7 77925.3
     376  0.203199      728 29252.1 117782.6 1041775.7 2028.6 8168.0 72245.2
     395  0.211833      997 27891.3 114411.8 148189.1 1937.6 7950.8 10298.1
     415  0.220250      972 28486.9  99394.9 145561.6 1978.0 6902.4 10080.4
     430  0.228225      921 27591.7 119872.8 1072532.1 1917.4 8301.4 74533.2
     441  0.236132      913 29374.7 110400.7 1023159.0 2041.3 7672.0 70954.2
     452  0.244722      992 29555.7 108765.1 1072336.4 2049.6 7547.0 74623.3
     457  0.249095      505 27671.7  96358.1 1039668.5 1903.1 6627.1 71504.0
     463  0.253546      514 29133.1  97628.9 138682.5 2016.1 6756.3  9597.4
     474  0.261704      942 29668.7  98445.1 1032383.8 2057.5 6827.0 71593.9
     491  0.286176     2826 29221.5 115993.3 1068560.0 2019.0 8010.6 73795.6
     502  0.305417     2222 29107.1 110189.0 1020622.7 2004.6 7588.8 70290.8
     513  0.324789     2237 29663.8 111210.7 1021907.1 2045.8 7669.7 70476.3
     525  0.344247     2247 28402.2 113743.1 1037020.6 1956.1 7833.5 71420.1
     537  0.364407     2328 29209.0 114624.9 1031269.7 2011.6 7894.3 71024.1
     549  0.384194     2285 30024.3 110855.0 152457.7 2066.4 7629.4 10492.6
     561  0.402934     2164 28730.4 109541.5 1057854.8 1978.7 7544.2 72855.0
     574  0.422115     2215 29239.3 110521.9 1055312.0 1991.8 7528.7 71887.7
     587  0.441963     2292 29772.3 111692.7 1032776.6 2040.6 7655.4 70786.6
