# Fraction of RTTS longer than a given time for unloaded_w4 experiment
# Includes messages <= 303 bytes; measured at 2026-04-21 05:42:41.889438
# Averaged across 1 repeated sample(s)
# Data collected at 2026-04-21 05:42:41.889438 
#       usec        frac
      14.260  0.99990000
      14.410  0.99900000
      14.560  0.98960000
      14.600  0.97970000
      14.640  0.96990000
      14.660  0.96020000
      14.680  0.95050000
      14.700  0.94090000
      14.720  0.93140000
      14.730  0.92200000
      14.750  0.91270000
      14.760  0.90350000
      14.780  0.89440000
      14.790  0.88540000
      14.800  0.87650000
      14.810  0.86770000
      14.820  0.85900000
      14.830  0.85040000
      14.840  0.84180000
      14.850  0.83330000
      14.860  0.82490000
      14.870  0.81660000
      14.880  0.80840000
      14.890  0.80030000
      14.900  0.79220000
      14.910  0.78420000
      14.910  0.77630000
      14.920  0.76850000
      14.930  0.76080000
      14.940  0.75310000
      14.940  0.74550000
      14.950  0.73800000
      14.960  0.73060000
      14.970  0.72320000
      14.970  0.71590000
      14.980  0.70870000
      14.990  0.70160000
      14.990  0.69450000
      15.000  0.68750000
      15.010  0.68060000
      15.020  0.67370000
      15.020  0.66690000
      15.030  0.66020000
      15.040  0.65350000
      15.040  0.64690000
      15.050  0.64040000
      15.060  0.63390000
      15.070  0.62750000
      15.070  0.62120000
      15.080  0.61490000
      15.090  0.60870000
      15.090  0.60260000
      15.100  0.59650000
      15.100  0.59050000
      15.110  0.58450000
      15.120  0.57860000
      15.130  0.57280000
      15.140  0.56700000
      15.140  0.56130000
      15.150  0.55560000
      15.160  0.55000000
      15.160  0.54450000
      15.170  0.53900000
      15.180  0.53360000
      15.180  0.52820000
      15.190  0.52290000
      15.190  0.51760000
      15.200  0.51240000
      15.200  0.50720000
      15.210  0.50210000
      15.220  0.49700000
      15.220  0.49200000
      15.230  0.48700000
      15.240  0.48210000
      15.240  0.47720000
      15.250  0.47240000
      15.260  0.46760000
      15.270  0.46290000
      15.270  0.45820000
      15.280  0.45360000
      15.280  0.44900000
      15.290  0.44450000
      15.300  0.44000000
      15.310  0.43560000
      15.310  0.43120000
      15.320  0.42680000
      15.330  0.42250000
      15.330  0.41820000
      15.340  0.41400000
      15.350  0.40980000
      15.350  0.40570000
      15.360  0.40160000
      15.370  0.39750000
      15.370  0.39350000
      15.380  0.38950000
      15.390  0.38560000
      15.390  0.38170000
      15.400  0.37780000
      15.410  0.37400000
      15.410  0.37020000
      15.420  0.36640000
      15.430  0.36270000
      15.440  0.35900000
      15.440  0.35540000
      15.450  0.35180000
      15.460  0.34820000
      15.460  0.34470000
      15.470  0.34120000
      15.470  0.33770000
      15.480  0.33430000
      15.480  0.33090000
      15.490  0.32750000
      15.500  0.32420000
      15.510  0.32090000
      15.510  0.31760000
      15.520  0.31440000
      15.520  0.31120000
      15.530  0.30800000
      15.530  0.30490000
      15.540  0.30180000
      15.540  0.29870000
      15.550  0.29570000
      15.560  0.29270000
      15.560  0.28970000
      15.570  0.28680000
      15.570  0.28390000
      15.580  0.28100000
      15.590  0.27810000
      15.590  0.27530000
      15.600  0.27250000
      15.600  0.26970000
      15.610  0.26700000
      15.610  0.26430000
      15.620  0.26160000
      15.630  0.25890000
      15.630  0.25630000
      15.640  0.25370000
      15.640  0.25110000
      15.650  0.24850000
      15.660  0.24600000
      15.660  0.24350000
      15.670  0.24100000
      15.670  0.23850000
      15.680  0.23610000
      15.680  0.23370000
      15.690  0.23130000
      15.690  0.22890000
      15.700  0.22660000
      15.710  0.22430000
      15.710  0.22200000
      15.720  0.21970000
      15.730  0.21750000
      15.730  0.21530000
      15.740  0.21310000
      15.740  0.21090000
      15.750  0.20870000
      15.760  0.20660000
      15.760  0.20450000
      15.770  0.20240000
      15.770  0.20030000
      15.780  0.19820000
      15.780  0.19620000
      15.790  0.19420000
      15.800  0.19220000
      15.800  0.19020000
      15.810  0.18820000
      15.820  0.18630000
      15.820  0.18440000
      15.830  0.18250000
      15.840  0.18060000
      15.850  0.17870000
      15.850  0.17690000
      15.860  0.17510000
      15.860  0.17330000
      15.870  0.17150000
      15.880  0.16970000
      15.880  0.16800000
      15.890  0.16630000
      15.890  0.16460000
      15.900  0.16290000
      15.910  0.16120000
      15.920  0.15950000
      15.920  0.15790000
      15.930  0.15630000
      15.940  0.15470000
      15.940  0.15310000
      15.950  0.15150000
      15.950  0.14990000
      15.960  0.14840000
      15.970  0.14690000
      15.980  0.14540000
      15.990  0.14390000
      15.990  0.14240000
      16.000  0.14090000
      16.010  0.13940000
      16.020  0.13800000
      16.030  0.13660000
      16.030  0.13520000
      16.040  0.13380000
      16.050  0.13240000
      16.050  0.13100000
      16.060  0.12960000
      16.070  0.12830000
      16.080  0.12700000
      16.090  0.12570000
      16.100  0.12440000
      16.110  0.12310000
      16.120  0.12180000
      16.130  0.12050000
      16.140  0.11920000
      16.150  0.11800000
      16.160  0.11680000
      16.170  0.11560000
      16.180  0.11440000
      16.190  0.11320000
      16.200  0.11200000
      16.200  0.11080000
      16.210  0.10960000
      16.220  0.10850000
      16.230  0.10740000
      16.250  0.10630000
      16.260  0.10520000
      16.260  0.10410000
      16.270  0.10300000
      16.290  0.10190000
      16.300  0.10080000
      16.320  0.09970000
      16.330  0.09870000
      16.340  0.09770000
      16.350  0.09670000
      16.360  0.09570000
      16.380  0.09470000
      16.390  0.09370000
      16.400  0.09270000
      16.410  0.09170000
      16.430  0.09070000
      16.440  0.08970000
      16.460  0.08880000
      16.480  0.08790000
      16.490  0.08700000
      16.520  0.08610000
      16.530  0.08520000
      16.540  0.08430000
      16.560  0.08340000
      16.570  0.08250000
      16.580  0.08160000
      16.600  0.08070000
      16.610  0.07980000
      16.630  0.07900000
      16.640  0.07820000
      16.650  0.07740000
      16.670  0.07660000
      16.680  0.07580000
      16.710  0.07500000
      16.720  0.07420000
      16.740  0.07340000
      16.750  0.07260000
      16.770  0.07180000
      16.800  0.07100000
      16.830  0.07020000
      16.840  0.06940000
      16.850  0.06870000
      16.880  0.06800000
      16.890  0.06730000
      16.900  0.06660000
      16.920  0.06590000
      16.930  0.06520000
      16.950  0.06450000
      17.000  0.06380000
      17.040  0.06310000
      17.060  0.06240000
      17.100  0.06170000
      17.130  0.06100000
      17.140  0.06030000
      17.160  0.05960000
      17.180  0.05900000
      17.210  0.05840000
      17.250  0.05780000
      17.260  0.05720000
      17.300  0.05660000
      17.350  0.05600000
      17.370  0.05540000
      17.420  0.05480000
      17.460  0.05420000
      17.490  0.05360000
      17.530  0.05300000
      17.570  0.05240000
      17.640  0.05180000
      17.740  0.05120000
      17.870  0.05060000
      18.020  0.05000000
      18.150  0.04950000
      18.340  0.04930000
      18.780  0.04880000
      19.040  0.04860000
      20.150  0.04830000
      20.360  0.04820000
      20.770  0.04800000
      21.100  0.04770000
      21.330  0.04750000
      21.520  0.04700000
      21.790  0.04650000
      21.950  0.04600000
      22.240  0.04550000
      22.420  0.04500000
      22.650  0.04450000
      22.900  0.04410000
      23.040  0.04360000
      23.250  0.04310000
      23.430  0.04260000
      23.650  0.04210000
      23.780  0.04160000
      23.870  0.04110000
      23.980  0.04060000
      24.100  0.04010000
      24.220  0.03960000
      24.290  0.03920000
      24.330  0.03880000
      24.400  0.03840000
      24.480  0.03800000
      24.600  0.03760000
      24.800  0.03720000
      24.880  0.03680000
      25.140  0.03640000
      25.200  0.03600000
      25.410  0.03560000
      25.570  0.03520000
      25.640  0.03480000
      25.870  0.03440000
      26.000  0.03400000
