# Digested data for dctcp_w4 experiment, run at 2026-04-21 04:12:50.250351
# Averaged across 1 repeated sample(s)
# length  cum_frac  samples     p50      p99     p999   s50    s99    s999
      60  0.002057      638   350.8   2938.3   8426.8  20.8  174.6   500.7
      72  0.004184      660   390.9   4185.5  11311.5  24.1  257.9   697.0
      92  0.007156      922   368.8   2699.7   6723.6  23.2  169.6   422.3
     119  0.009419      702   370.5   3511.3   8125.3  23.5  222.5   514.9
     154  0.011750      723   378.4   2507.3  10390.4  24.1  159.7   661.8
     199  0.013910      670   378.8   4361.4  12410.6  24.1  278.0   791.0
     222  0.017301     1052   358.2   2920.2   5042.8  22.9  187.1   323.1
     227  0.019893      804   353.4   3284.5   5897.6  23.0  213.7   383.7
     232  0.022420      784   371.1   2647.8  14372.2  24.0  171.6   931.4
     237  0.024845      752   354.3   2970.7  22299.6  23.2  194.2  1457.5
     243  0.027569      845   387.3   3416.0  14432.4  25.5  224.7   949.5
     248  0.030154      802   354.3   2697.5   9739.9  23.4  178.2   643.3
     254  0.032714      794   368.7   2883.0   9108.7  24.4  191.1   603.6
     259  0.035176      764   319.4   2855.8  12716.8  21.3  190.9   850.1
     265  0.037765      803   346.7   2540.6   6092.0  23.2  169.8   407.2
     271  0.040428      826   350.9   2674.5  18011.8  23.4  178.3  1200.8
     279  0.043835     1057   420.4   3091.1   8176.6  28.0  205.5   543.7
     288  0.047072     1004   368.6   3006.6  13980.1  24.5  200.0   930.1
     297  0.050431     1042   382.6   2578.3   6973.2  25.6  172.5   466.4
     303  0.059960     2956   394.5   3171.0  12056.4  26.2  210.8   801.6
     305  0.068428     2627   357.7   2958.2  11017.9  23.8  196.6   732.1
     308  0.077039     2671   376.4   2949.4  13205.5  25.0  196.2   878.6
     310  0.085713     2691   392.1   3405.9  10504.8  26.1  226.6   698.9
     313  0.094356     2681   371.4   3012.2   6958.9  24.7  200.5   463.3
     315  0.102854     2636   385.5   3057.3  11926.4  25.6  202.9   791.4
     318  0.111377     2644   365.7   2934.1  10892.8  24.4  195.6   726.2
     321  0.119826     2621   394.2   2933.3  11050.2  26.3  195.7   737.2
     323  0.128269     2619   383.6   2593.1   7822.1  25.6  173.1   522.2
     326  0.136599     2584   378.1   3002.3   9137.8  25.2  200.2   609.2
     331  0.142940     1967   373.8   2793.8  11515.0  24.9  185.9   766.1
     335  0.149416     2009   384.7   2801.0  10574.2  25.6  186.2   703.1
     340  0.156076     2066   370.4   3067.0   6886.2  24.6  204.1   458.2
     345  0.162233     1910   366.9   3371.6  13739.2  24.3  223.7   911.7
     350  0.168706     2008   370.0   2776.8   7855.4  24.5  183.9   520.2
     355  0.175492     2105   370.4   2917.4  11838.4  24.5  192.8   782.4
     360  0.182155     2067   365.0   3177.2   7429.1  24.1  210.0   491.0
     365  0.188760     2049   376.2   2848.7   7308.0  25.2  190.5   488.8
     371  0.195598     2121   386.6   2837.6  17479.1  25.8  189.2  1165.3
     376  0.201964     1975   378.0   2932.0  12264.6  25.1  194.6   813.8
     385  0.206107     1285   391.5   4225.7  10945.4  26.0  280.6   726.8
     395  0.210220     1276   389.5   2673.1  10578.6  26.0  178.6   706.7
     405  0.214369     1287   376.9   3116.2  13182.0  24.9  206.1   871.8
     415  0.218234     1199   378.0   2752.2  12400.3  25.2  183.4   826.1
     425  0.222293     1259   372.2   3055.9   7937.1  24.8  204.0   529.8
     430  0.226587     1332   366.2   2704.6   8010.0  24.5  181.1   536.5
     435  0.230729     1285   396.8   3227.9  15293.0  26.5  215.3  1020.2
     441  0.235068     1346   400.8   2816.0  12779.6  26.7  187.6   851.4
     446  0.239385     1339   369.4   2816.6  12475.4  24.6  187.5   830.6
     452  0.243385     1241   382.0   4004.7  13722.3  25.3  265.6   910.0
     457  0.247447     1260   391.7   2855.8  12811.4  25.9  188.9   847.3
     463  0.251496     1256   361.2   2702.5   5509.1  23.9  178.5   363.9
     468  0.255712     1308   398.0   3022.0   9496.6  26.4  200.1   628.9
     474  0.259674     1229   357.3   3242.8  15596.6  23.7  214.9  1033.6
     480  0.263733     1259   365.2   3485.7  10006.1  24.2  231.3   664.0
     491  0.284267     6370   376.9   2858.8   8884.3  24.9  189.2   588.0
     502  0.303890     6087   382.2   3214.6  12361.2  25.2  211.9   814.8
     513  0.323180     5984   384.4   2876.0  10810.9  25.4  190.1   714.5
     525  0.342860     6105   372.5   3072.4  10691.1  24.6  203.1   706.6
     537  0.362009     5940   371.4   2745.0   9799.2  24.6  181.5   648.1
     549  0.381157     5940   379.1   2996.8  14712.5  25.0  197.7   970.5
     561  0.401076     6179   377.8   2973.1   8257.7  25.0  197.0   547.2
     574  0.420589     6053   376.2   3018.0   7964.6  25.0  200.3   528.5
     587  0.440201     6084   380.6   2996.6  10090.0  25.1  197.7   665.6
     600  0.459521     5993   383.3   2872.4  10711.4  25.1  188.4   702.4
     607  0.465375     1816   372.7   2828.3  14144.0  24.6  186.8   934.2
     615  0.470949     1729   384.0   3144.9   9984.0  25.3  207.3   658.1
     623  0.476758     1802   346.8   2663.3   6991.0  22.8  175.1   459.6
     630  0.482631     1822   370.3   3850.4  13317.6  24.3  253.1   875.6
     638  0.488314     1763   368.1   2964.9   6726.3  24.1  194.4   441.1
     646  0.493981     1758   391.7   2709.9   7429.8  25.8  178.4   489.1
     654  0.499636     1754   390.8   2951.7   9437.5  25.6  193.2   617.6
     662  0.505387     1784   363.7   3204.6  13979.8  23.8  209.4   913.7
     671  0.511138     1784   372.4   2960.5   6391.5  24.3  193.4   417.5
     679  0.516873     1779   377.3   3346.0  12389.8  24.6  218.0   807.1
     685  0.520535     1136   402.4   2674.2   7440.6  26.3  174.4   485.4
     690  0.523923     1051   407.9   3206.9   6851.4  26.6  208.8   446.1
     696  0.527433     1089   387.1   2729.3   3897.0  25.3  178.6   255.0
     702  0.530818     1050   391.4   4720.1  14281.7  25.5  307.1   929.2
     707  0.534274     1072   395.1   2645.9   7600.5  25.7  171.9   493.9
     713  0.537855     1111   384.7   2621.9   5775.4  25.1  170.9   376.5
     719  0.541546     1145   390.9   3026.7  12018.1  25.3  196.3   779.4
     725  0.545131     1112   399.1   3374.9  12878.1  25.8  217.7   830.8
     731  0.548645     1090   406.9   3012.9  11746.0  26.5  196.0   764.2
     737  0.552178     1096   386.3   3099.4  12813.2  25.2  202.3   836.4
     749  0.557113     1531   354.5   2830.9   7590.7  23.0  183.9   493.2
     762  0.562074     1539   403.2   2755.3  12763.5  26.2  179.4   831.0
     774  0.566749     1450   401.8   2852.8  10840.8  26.1  185.5   704.9
     787  0.571426     1451   359.4   3030.8  11566.5  23.4  196.9   751.6
     800  0.575939     1400   366.0   2846.7   8648.0  23.7  184.6   560.8
     816  0.578957      936   381.4   2858.1  18011.0  24.7  185.0  1165.8
     833  0.581829      891   382.9   2474.0   3975.2  24.7  159.7   256.6
     850  0.584717      896   370.0   2968.8  24587.2  23.9  191.4  1585.2
     867  0.588057     1036   355.5   2520.1   4392.3  22.7  161.1   280.8
     885  0.591045      927   408.9   3495.1  11566.9  26.2  223.6   740.0
     914  0.594914     1200   376.9   2657.2   7641.5  24.2  170.3   489.8
     945  0.598876     1229   385.0   2962.3  10598.4  24.6  189.5   678.1
     976  0.602663     1175   396.6   3020.1  11835.9  25.3  192.9   755.8
    1009  0.606293     1126   382.7   2653.5   6160.2  24.3  168.7   391.6
    1042  0.609946     1133   419.5   2692.5   6920.7  26.3  168.8   433.9
    1085  0.613598     1133   381.0   3005.5   8555.3  24.0  189.4   539.1
    1130  0.617141     1099   341.8   2612.4   4719.8  21.5  164.6   297.4
    1177  0.620696     1103   355.1   3072.8  12112.4  22.4  193.5   762.7
    1226  0.624230     1096   395.6   3157.8   8168.8  24.6  196.3   507.7
    1277  0.627701     1077   380.7   3643.6  18690.7  23.6  225.8  1158.0
    1316  0.630774      953   383.3   3348.5  11843.9  23.6  206.3   729.8
    1357  0.634229     1072   370.3   3207.8   9218.9  22.7  196.7   565.2
    1399  0.637437      995   417.5   2786.5  37596.1  25.6  170.9  2306.5
    1436  0.640328      897   391.4   2691.8  13243.6  16.5  113.2   557.2
    1484  0.643304      923   416.1   3058.6   8481.8  17.5  128.9   357.6
    1534  0.646292      927   388.3   2662.1  14089.1  16.3  111.6   590.5
    1559  0.650296     1242   384.9   2813.5   9476.9  16.2  118.6   399.4
    1585  0.654451     1289   390.1   3183.3  16414.8  16.4  134.2   692.0
    1611  0.658500     1256   356.6   3393.6   9229.5  15.0  142.7   388.1
    1637  0.662336     1190   362.3   2852.8  13193.1  15.2  119.8   553.9
    1664  0.666524     1299   386.3   2975.9  13925.7  16.2  125.0   584.9
    1865  0.669431      902   400.2   3103.4  16795.3  16.9  130.9   708.7
    2091  0.672355      907   365.5   2640.2   8973.3  15.4  111.3   378.1
    2412  0.675837     1080   394.4   2865.4   7961.3  16.6  120.7   335.4
    2742  0.678616      862   406.5   3314.0  19714.3  17.1  139.4   829.0
    3118  0.681285      828   360.6   4544.0  16668.6  14.2  178.5   654.7
    3544  0.684244      918   429.3   3537.8  15284.5  16.8  138.2   597.1
    4030  0.687078      879   389.5   3111.1  10869.2  15.2  121.4   424.2
    4582  0.689918      881   398.9   2577.4  11509.4  14.6   94.1   420.4
    5210  0.692542      814   394.9   3907.0  11304.3  14.4  142.0   410.9
    5652  0.695678      973   398.2   2592.7  20494.6  14.6   95.0   751.0
    6132  0.698634      917   379.6   2718.6  10652.5  13.1   93.6   366.7
    6653  0.701723      958   398.4   3249.1  11804.4  13.7  111.5   405.0
    7217  0.704717      929   419.1   3018.2   6030.6  13.7   98.6   197.0
