# Fraction of RTTS longer than a given time for dctcp_w4 experiment
# Includes messages <= 315 bytes; measured at 2026-04-21 04:12:50.250351
# Averaged across 1 repeated sample(s)
# Data collected at 2026-04-21 04:12:50.250351 
#       usec        frac
      28.570  0.99996866
      29.350  0.99993732
      30.010  0.99990597
      30.490  0.99984329
      30.890  0.99974926
      31.350  0.99952987
      31.700  0.99943584
      32.070  0.99937316
      32.400  0.99918511
      32.750  0.99899705
      33.110  0.99880900
      33.500  0.99840155
      33.850  0.99790008
      34.200  0.99739861
      34.550  0.99664640
      34.910  0.99601956
      35.260  0.99526735
      35.620  0.99435843
      35.990  0.99360622
      36.360  0.99275998
      36.730  0.99197643
      37.100  0.99072275
      37.480  0.98978249
      37.870  0.98871686
      38.250  0.98758854
      38.660  0.98636620
      39.050  0.98511252
      39.450  0.98385884
      39.850  0.98282455
      40.250  0.98172757
      40.670  0.98085000
      41.090  0.97969034
      41.510  0.97875008
      41.970  0.97824861
      42.430  0.97740237
      42.860  0.97599198
      43.290  0.97476964
      43.730  0.97370401
      44.190  0.97235630
      44.640  0.97088322
      45.090  0.96966088
      45.550  0.96796841
      46.010  0.96618191
      46.480  0.96376857
      46.950  0.96135523
      47.420  0.95837773
      47.900  0.95568232
      48.380  0.95220335
      48.870  0.94828559
      49.360  0.94446186
      49.860  0.94066947
      50.360  0.93672037
      50.870  0.93258321
      51.380  0.92904156
      51.900  0.92490441
      52.420  0.92064189
      52.950  0.91710023
      53.480  0.91343321
      54.020  0.90967216
      54.570  0.90575440
      55.120  0.90246349
      55.680  0.89901586
      56.240  0.89588165
      56.810  0.89302952
      57.380  0.89027142
      57.960  0.88760735
      58.540  0.88484924
      59.130  0.88227920
      59.730  0.87955244
      60.330  0.87760923
      60.960  0.87516455
      61.570  0.87325268
      62.220  0.87124679
      62.850  0.86914687
      63.480  0.86692158
      64.120  0.86494703
      64.780  0.86347395
      65.430  0.86159343
      66.090  0.85927412
      66.770  0.85773836
      67.440  0.85557575
      68.120  0.85356986
      68.810  0.85150129
      69.500  0.84952673
      70.200  0.84808500
      70.910  0.84645521
      71.620  0.84491945
      72.340  0.84347772
      73.070  0.84140914
      73.810  0.83890177
      74.560  0.83673917
      75.320  0.83473328
      76.080  0.83269604
      76.870  0.83097223
      77.640  0.82887231
      78.420  0.82689776
      79.220  0.82517395
      80.040  0.82351282
      80.850  0.82185169
      81.680  0.82022190
      82.500  0.81831004
      83.350  0.81639817
      84.200  0.81458033
      85.050  0.81273115
      85.920  0.81110136
      86.780  0.80922084
      87.670  0.80743434
      88.550  0.80561650
      89.450  0.80392403
      90.360  0.80235692
      91.280  0.80091519
      92.220  0.79912869
      93.210  0.79724817
      94.210  0.79571241
      95.160  0.79411396
      96.160  0.79276625
      97.130  0.79132452
      98.120  0.78991412
      99.110  0.78844105
     100.120  0.78684260
     101.130  0.78511879
     102.150  0.78311289
     103.180  0.78157713
     104.220  0.77966527
     105.290  0.77769072
     106.370  0.77606093
     107.480  0.77439980
     108.590  0.77277001
     109.680  0.77117157
     110.780  0.76963581
     111.910  0.76838212
     113.030  0.76665831
     114.190  0.76521657
     115.340  0.76358679
     116.510  0.76236445
