# Digested data for homa_w4 experiment, run at 2026-04-21 04:12:50.250351
# Averaged across 1 repeated sample(s)
# length  cum_frac  samples     p50      p99     p999   s50    s99    s999
      72  0.004405      956    93.3    380.0   2538.3   5.7   23.4   150.8
      92  0.007373      644    91.8    353.4    540.4   5.8   22.2    33.9
     154  0.011842      970    91.9    312.6   1569.1   5.8   19.8    99.9
     222  0.017229     1169    97.0    303.9    643.0   6.2   19.4    41.2
     227  0.019635      522    91.1    310.0    476.8   5.9   20.2    31.0
     232  0.022335      586    93.3    361.1    515.7   6.0   23.4    33.4
     237  0.025063      592    93.5    364.0   1142.0   6.1   23.8    74.6
     243  0.027745      582    85.8    389.6   1140.8   5.6   25.6    75.1
     248  0.030542      607    90.0    328.3    571.0   5.9   21.7    37.7
     254  0.033007      535    89.9    324.7    396.0   6.0   21.5    26.2
     259  0.035809      608    88.6    294.2   1909.3   5.9   19.7   127.6
     265  0.038592      604    93.6    370.4   1819.9   6.3   24.8   121.7
     271  0.041246      576   103.1    349.1    634.7   6.9   23.3    42.3
     279  0.044573      722    95.4    337.3    501.1   6.3   22.4    33.3
     288  0.047918      726    87.7    334.6    541.2   5.8   22.3    36.0
     297  0.051195      711    93.0    328.9    805.7   6.2   22.0    53.9
     303  0.060747     2073    91.6    313.4    777.8   6.1   20.8    51.7
     305  0.069304     1857    90.5    342.0   1045.8   6.0   22.7    69.5
     308  0.077773     1838    92.3    355.6    786.3   6.1   23.7    52.3
     310  0.086082     1803    93.1    369.4    914.8   6.2   24.6    60.9
     313  0.094851     1903    91.6    342.5    493.5   6.1   22.8    32.9
     315  0.103509     1879    91.3    386.5   1594.8   6.1   25.6   105.8
     318  0.111637     1764    91.2    368.2    816.8   6.1   24.5    54.5
     321  0.120162     1850    91.6    345.5    557.1   6.1   23.0    37.2
     323  0.129171     1955    97.5    367.5    597.3   6.5   24.5    39.9
     326  0.137852     1884    91.9    342.1    565.8   6.1   22.8    37.7
     331  0.144478     1438    95.0    301.0    462.5   6.3   20.0    30.8
     335  0.151123     1442    95.0    412.4    645.3   6.3   27.4    42.9
     340  0.157570     1399    93.7    341.1    629.2   6.2   22.7    41.9
     345  0.163952     1385    92.6    355.4   2059.5   6.1   23.6   136.7
     350  0.170643     1452    93.9    347.7    492.4   6.2   23.0    32.6
     355  0.177264     1437    93.9    304.2    409.1   6.2   20.1    27.0
     360  0.183748     1407    90.4    361.4    729.3   6.0   23.9    48.2
     365  0.190015     1360    94.9    375.9   1247.3   6.3   25.1    83.4
     371  0.196539     1416    93.8    369.2    583.8   6.3   24.6    38.9
     376  0.202917     1384    93.1    366.5    569.8   6.2   24.3    37.8
     385  0.206981      882    97.7    375.2    793.1   6.5   24.9    52.7
     395  0.211087      891    90.3    353.8    566.2   6.0   23.6    37.8
     405  0.215128      877    94.7    353.0    525.8   6.3   23.3    34.8
     415  0.219390      925    91.0    360.9    563.5   6.1   24.0    37.5
     425  0.223680      931    88.1    333.3    498.4   5.9   22.3    33.3
     430  0.227652      862    92.9    332.5    714.2   6.2   22.3    47.8
