# Digested data for unloaded_w4 experiment, run at 2026-04-21 04:12:50.250351
# Averaged across 1 repeated sample(s)
# length  cum_frac  samples     p50      p99     p999   s50    s99    s999
      60  0.005109      500    16.8     34.2     95.7   1.0    2.0     5.7
      72  0.010218      500    16.2     33.7     34.2   1.0    2.1     2.1
      92  0.015327      500    15.9     33.6     36.6   1.0    2.1     2.3
     119  0.020436      500    15.8     32.7     47.7   1.0    2.1     3.0
     154  0.025545      500    15.7     33.7    230.4   1.0    2.1    14.7
     199  0.030654      500    15.7     33.3     48.8   1.0    2.1     3.1
     222  0.035762      500    15.6     32.8     34.0   1.0    2.1     2.2
     227  0.040871      500    15.4     33.3     44.3   1.0    2.2     2.9
     232  0.045980      500    15.4     32.3     33.3   1.0    2.1     2.2
     237  0.051089      500    15.3     32.4    233.8   1.0    2.1    15.3
     243  0.056198      500    15.2     32.3     33.5   1.0    2.1     2.2
     248  0.061307      500    15.1     31.6     33.1   1.0    2.1     2.2
     254  0.066416      500    15.1     32.5     42.3   1.0    2.2     2.8
     259  0.071525      500    15.0     32.5     42.0   1.0    2.2     2.8
     265  0.076634      500    15.0     31.7     33.3   1.0    2.1     2.2
     271  0.081743      500    15.0     31.7     32.6   1.0    2.1     2.2
     279  0.086852      500    15.0     32.1     33.9   1.0    2.1     2.3
     288  0.091961      500    15.0     31.5     45.2   1.0    2.1     3.0
     297  0.097070      500    14.9     31.8     43.3   1.0    2.1     2.9
     303  0.102178      500    15.0     39.1    225.9   1.0    2.6    15.0
     305  0.107287      500    15.1     32.0     32.7   1.0    2.1     2.2
     308  0.112396      500    15.0     31.4     44.9   1.0    2.1     3.0
     310  0.117505      500    15.0     31.8     33.7   1.0    2.1     2.2
     313  0.122614      500    15.0     31.9     34.9   1.0    2.1     2.3
     315  0.127723      500    15.1     32.1    273.5   1.0    2.1    18.1
     318  0.132832      500    15.0     31.6     32.9   1.0    2.1     2.2
     321  0.137941      500    15.0     31.5     33.2   1.0    2.1     2.2
     323  0.143050      500    15.0     32.0     38.6   1.0    2.1     2.6
     326  0.148159      500    15.0     31.6     33.7   1.0    2.1     2.2
