# Fraction of RTTS longer than a given time for unloaded_w4 experiment
# Includes messages <= 303 bytes; measured at 2026-04-21 04:12:50.250351
# Averaged across 1 repeated sample(s)
# Data collected at 2026-04-21 04:12:50.250351 
#       usec        frac
      14.170  0.99990000
      14.320  0.99970000
      14.470  0.99570000
      14.570  0.98570000
      14.610  0.97580000
      14.660  0.96600000
      14.690  0.95630000
      14.720  0.94670000
      14.740  0.93720000
      14.760  0.92780000
      14.780  0.91850000
      14.800  0.90930000
      14.820  0.90020000
      14.830  0.89110000
      14.840  0.88210000
      14.860  0.87320000
      14.870  0.86440000
      14.880  0.85570000
      14.890  0.84710000
      14.910  0.83860000
      14.920  0.83020000
      14.930  0.82180000
      14.940  0.81350000
      14.950  0.80530000
      14.960  0.79720000
      14.970  0.78920000
      14.980  0.78130000
      14.990  0.77340000
      15.000  0.76560000
      15.010  0.75790000
      15.010  0.75030000
      15.020  0.74270000
      15.030  0.73520000
      15.040  0.72780000
      15.050  0.72050000
      15.060  0.71320000
      15.070  0.70600000
      15.080  0.69890000
      15.090  0.69190000
      15.100  0.68490000
      15.110  0.67800000
      15.110  0.67120000
      15.120  0.66440000
      15.130  0.65770000
      15.140  0.65110000
      15.150  0.64450000
      15.160  0.63800000
      15.170  0.63160000
      15.180  0.62520000
      15.180  0.61890000
      15.190  0.61270000
      15.200  0.60650000
      15.210  0.60040000
      15.220  0.59430000
      15.230  0.58830000
      15.240  0.58240000
      15.250  0.57650000
      15.260  0.57070000
      15.270  0.56490000
      15.280  0.55920000
      15.290  0.55360000
      15.300  0.54800000
      15.310  0.54250000
      15.320  0.53700000
      15.320  0.53160000
      15.330  0.52620000
      15.340  0.52090000
      15.350  0.51560000
      15.360  0.51040000
      15.370  0.50520000
      15.380  0.50010000
      15.390  0.49500000
      15.400  0.49000000
      15.400  0.48510000
      15.420  0.48020000
      15.420  0.47530000
      15.430  0.47050000
      15.440  0.46570000
      15.450  0.46100000
      15.460  0.45630000
      15.470  0.45170000
      15.480  0.44710000
      15.480  0.44260000
      15.490  0.43810000
      15.500  0.43370000
      15.500  0.42930000
      15.510  0.42500000
      15.520  0.42070000
      15.530  0.41640000
      15.540  0.41220000
      15.540  0.40800000
      15.550  0.40390000
      15.560  0.39980000
      15.570  0.39580000
      15.580  0.39180000
      15.580  0.38780000
      15.590  0.38390000
      15.600  0.38000000
      15.610  0.37620000
      15.610  0.37240000
      15.620  0.36860000
      15.630  0.36490000
      15.640  0.36120000
      15.640  0.35750000
      15.650  0.35390000
      15.660  0.35030000
      15.660  0.34670000
      15.670  0.34320000
      15.680  0.33970000
      15.680  0.33630000
      15.690  0.33290000
      15.700  0.32950000
      15.700  0.32620000
      15.710  0.32290000
      15.720  0.31960000
      15.720  0.31640000
      15.730  0.31320000
      15.740  0.31000000
      15.740  0.30680000
      15.750  0.30370000
      15.760  0.30060000
      15.770  0.29750000
      15.770  0.29450000
      15.780  0.29150000
      15.790  0.28850000
      15.800  0.28560000
      15.810  0.28270000
      15.810  0.27980000
      15.820  0.27700000
      15.830  0.27420000
      15.840  0.27140000
      15.840  0.26860000
      15.850  0.26590000
      15.860  0.26320000
      15.870  0.26050000
      15.880  0.25780000
      15.890  0.25520000
      15.890  0.25260000
      15.900  0.25000000
      15.910  0.24750000
      15.920  0.24500000
      15.920  0.24250000
      15.920  0.24000000
      15.930  0.23750000
      15.940  0.23510000
      15.950  0.23270000
      15.960  0.23030000
      15.960  0.22790000
      15.970  0.22560000
      15.980  0.22330000
      15.990  0.22100000
      16.000  0.21870000
      16.010  0.21650000
      16.020  0.21430000
      16.020  0.21210000
      16.030  0.20990000
      16.040  0.20780000
      16.050  0.20570000
      16.060  0.20360000
      16.070  0.20150000
      16.080  0.19940000
      16.080  0.19740000
      16.090  0.19540000
      16.100  0.19340000
      16.110  0.19140000
      16.120  0.18940000
      16.130  0.18750000
      16.140  0.18560000
      16.140  0.18370000
      16.160  0.18180000
      16.170  0.17990000
      16.180  0.17810000
      16.190  0.17630000
      16.200  0.17450000
      16.200  0.17270000
      16.220  0.17090000
      16.230  0.16910000
      16.240  0.16740000
      16.250  0.16570000
      16.250  0.16400000
      16.270  0.16230000
      16.280  0.16060000
      16.290  0.15890000
      16.300  0.15730000
      16.310  0.15570000
      16.330  0.15410000
      16.340  0.15250000
      16.360  0.15090000
      16.370  0.14930000
      16.380  0.14780000
      16.390  0.14630000
      16.400  0.14480000
      16.420  0.14330000
      16.430  0.14180000
      16.440  0.14030000
      16.460  0.13880000
      16.470  0.13740000
      16.490  0.13600000
      16.500  0.13460000
      16.510  0.13320000
      16.520  0.13180000
      16.530  0.13040000
      16.540  0.12900000
      16.550  0.12770000
      16.570  0.12640000
      16.580  0.12510000
      16.590  0.12380000
      16.600  0.12250000
      16.620  0.12120000
      16.630  0.11990000
      16.650  0.11870000
      16.680  0.11750000
      16.690  0.11630000
      16.710  0.11510000
      16.730  0.11390000
      16.760  0.11270000
      16.780  0.11150000
      16.800  0.11030000
      16.820  0.10910000
      16.840  0.10800000
      16.860  0.10690000
      16.890  0.10580000
      16.900  0.10470000
      16.920  0.10360000
      16.950  0.10250000
      16.980  0.10140000
      17.000  0.10030000
      17.020  0.09920000
      17.040  0.09820000
      17.070  0.09720000
      17.100  0.09620000
      17.120  0.09520000
      17.150  0.09420000
      17.160  0.09320000
      17.210  0.09220000
      17.270  0.09120000
      17.310  0.09020000
      17.400  0.08920000
      17.450  0.08830000
      17.500  0.08740000
      17.610  0.08650000
      17.650  0.08560000
      17.760  0.08470000
      17.940  0.08430000
      18.170  0.08380000
      18.430  0.08310000
      18.730  0.08280000
      19.070  0.08260000
      19.520  0.08240000
      19.730  0.08220000
      19.970  0.08210000
      20.210  0.08180000
      20.450  0.08120000
      20.660  0.08080000
      20.940  0.08030000
      21.180  0.07970000
      21.370  0.07890000
      21.600  0.07820000
      21.810  0.07740000
      22.030  0.07660000
      22.220  0.07580000
      22.400  0.07500000
      22.580  0.07420000
      22.810  0.07340000
      22.980  0.07260000
      23.110  0.07180000
      23.310  0.07100000
      23.490  0.07020000
      23.630  0.06940000
      23.760  0.06870000
      23.830  0.06800000
      23.970  0.06730000
      24.090  0.06660000
      24.260  0.06590000
      24.370  0.06520000
      24.420  0.06450000
      24.590  0.06380000
      24.680  0.06310000
      24.730  0.06240000
      24.830  0.06170000
      24.930  0.06100000
      25.030  0.06030000
      25.260  0.05960000
      25.370  0.05900000
