# Fraction of RTTS longer than a given time for unloaded_w4 experiment
# Includes messages <= 303 bytes; measured at 2026-04-21 00:09:15.835317
# Averaged across 1 repeated sample(s)
# Data collected at 2026-04-21 00:09:15.835317 
#       usec        frac
      14.230  0.99990000
      14.380  0.99950000
      14.530  0.99370000
      14.580  0.98370000
      14.620  0.97380000
      14.650  0.96400000
      14.670  0.95430000
      14.690  0.94470000
      14.700  0.93520000
      14.720  0.92580000
      14.730  0.91650000
      14.740  0.90730000
      14.750  0.89820000
      14.760  0.88920000
      14.770  0.88030000
      14.780  0.87140000
      14.790  0.86260000
      14.800  0.85390000
      14.810  0.84530000
      14.820  0.83680000
      14.830  0.82840000
      14.840  0.82010000
      14.850  0.81180000
      14.850  0.80360000
      14.860  0.79550000
      14.870  0.78750000
      14.870  0.77960000
      14.880  0.77180000
      14.890  0.76400000
      14.890  0.75630000
      14.900  0.74870000
      14.900  0.74120000
      14.910  0.73370000
      14.920  0.72630000
      14.920  0.71900000
      14.930  0.71180000
      14.930  0.70460000
      14.940  0.69750000
      14.950  0.69050000
      14.950  0.68350000
      14.960  0.67660000
      14.960  0.66980000
      14.970  0.66310000
      14.980  0.65640000
      14.980  0.64980000
      14.990  0.64330000
      14.990  0.63680000
      15.000  0.63040000
      15.000  0.62400000
      15.010  0.61770000
      15.020  0.61150000
      15.020  0.60530000
      15.030  0.59920000
      15.030  0.59320000
      15.040  0.58720000
      15.040  0.58130000
      15.050  0.57540000
      15.050  0.56960000
      15.060  0.56390000
      15.060  0.55820000
      15.070  0.55260000
      15.070  0.54700000
      15.080  0.54150000
      15.080  0.53600000
      15.090  0.53060000
      15.100  0.52520000
      15.100  0.51990000
      15.110  0.51470000
      15.110  0.50950000
      15.120  0.50440000
      15.120  0.49930000
      15.130  0.49430000
      15.130  0.48930000
      15.140  0.48440000
      15.140  0.47950000
      15.150  0.47470000
      15.150  0.46990000
      15.160  0.46520000
      15.170  0.46050000
      15.170  0.45580000
      15.180  0.45120000
      15.180  0.44660000
      15.190  0.44210000
      15.200  0.43760000
      15.200  0.43320000
      15.210  0.42880000
      15.210  0.42450000
      15.220  0.42020000
      15.220  0.41590000
      15.230  0.41170000
      15.230  0.40750000
      15.240  0.40340000
      15.240  0.39930000
      15.250  0.39530000
      15.260  0.39130000
      15.260  0.38730000
      15.270  0.38340000
      15.280  0.37950000
      15.280  0.37570000
      15.290  0.37190000
      15.300  0.36810000
      15.300  0.36440000
      15.310  0.36070000
      15.320  0.35700000
      15.320  0.35340000
      15.330  0.34980000
      15.340  0.34630000
      15.340  0.34280000
      15.350  0.33930000
      15.360  0.33590000
      15.360  0.33250000
      15.370  0.32910000
      15.380  0.32580000
      15.380  0.32250000
      15.390  0.31920000
      15.400  0.31600000
      15.410  0.31280000
      15.420  0.30960000
      15.420  0.30650000
      15.430  0.30340000
      15.440  0.30030000
      15.440  0.29720000
      15.450  0.29420000
      15.460  0.29120000
      15.470  0.28820000
      15.480  0.28530000
      15.480  0.28240000
      15.490  0.27950000
      15.500  0.27670000
      15.510  0.27390000
      15.520  0.27110000
      15.520  0.26830000
      15.530  0.26560000
      15.530  0.26290000
      15.540  0.26020000
      15.550  0.25750000
      15.550  0.25490000
      15.560  0.25230000
      15.570  0.24970000
      15.580  0.24720000
      15.580  0.24470000
      15.590  0.24220000
      15.600  0.23970000
      15.610  0.23730000
      15.620  0.23490000
      15.620  0.23250000
      15.640  0.23010000
      15.650  0.22770000
      15.660  0.22540000
      15.660  0.22310000
      15.670  0.22080000
      15.680  0.21850000
      15.690  0.21630000
      15.700  0.21410000
      15.710  0.21190000
      15.720  0.20970000
      15.730  0.20760000
      15.730  0.20550000
      15.750  0.20340000
      15.760  0.20130000
      15.760  0.19920000
      15.780  0.19720000
      15.780  0.19520000
      15.790  0.19320000
      15.800  0.19120000
      15.810  0.18920000
      15.820  0.18730000
      15.830  0.18540000
      15.840  0.18350000
      15.850  0.18160000
      15.860  0.17970000
      15.870  0.17790000
      15.880  0.17610000
      15.900  0.17430000
      15.900  0.17250000
      15.920  0.17070000
      15.930  0.16890000
      15.940  0.16720000
      15.950  0.16550000
      15.960  0.16380000
      15.970  0.16210000
      15.990  0.16040000
      16.000  0.15870000
      16.010  0.15710000
      16.020  0.15550000
      16.030  0.15390000
      16.050  0.15230000
      16.060  0.15070000
      16.070  0.14910000
      16.070  0.14760000
      16.090  0.14610000
      16.100  0.14460000
      16.110  0.14310000
      16.120  0.14160000
      16.130  0.14010000
      16.140  0.13860000
      16.150  0.13720000
      16.170  0.13580000
      16.180  0.13440000
      16.200  0.13300000
      16.210  0.13160000
      16.220  0.13020000
      16.230  0.12880000
      16.250  0.12750000
      16.260  0.12620000
      16.280  0.12490000
      16.290  0.12360000
      16.300  0.12230000
      16.320  0.12100000
