# Fraction of RTTS longer than a given time for dctcp_pool_p4_w4 experiment
# Includes messages <= 315 bytes; measured at 2026-04-21 01:42:07.100829
# Averaged across 1 repeated sample(s)
# Data collected at 2026-04-21 01:42:07.100829 
#       usec        frac
      45.630  0.99954275
      48.650  0.99908551
      50.920  0.99862826
      52.320  0.99817101
      55.620  0.99771376
      56.490  0.99725652
      57.270  0.99634202
      57.870  0.99588477
      58.780  0.99497028
      60.500  0.99359854
      61.800  0.99176955
      63.000  0.99085505
      65.490  0.98902606
      67.140  0.98856882
      69.130  0.98719707
      70.790  0.98582533
      71.750  0.98491084
      72.720  0.98445359
      74.050  0.98308185
      75.940  0.98262460
      77.780  0.98125286
      79.260  0.98079561
      80.720  0.98033836
      81.880  0.97988112
      82.910  0.97759488
      85.660  0.97668038
      86.680  0.97530864
      87.940  0.97485139
      89.300  0.97347965
      90.760  0.97210791
      91.820  0.97119342
      93.040  0.96936443
      94.550  0.96890718
      96.000  0.96570645
      96.970  0.96479195
      97.970  0.96296296
      99.620  0.96159122
     100.980  0.96021948
     102.300  0.95884774
     103.360  0.95793324
     104.510  0.95747599
     106.670  0.95564701
     108.060  0.95290352
     109.640  0.95198903
     112.660  0.94741655
     113.820  0.94558756
     115.020  0.94330133
     116.390  0.94147234
     119.290  0.93918610
     120.610  0.93644262
     121.960  0.93507087
     123.330  0.93461363
     124.730  0.93187014
     125.980  0.93095565
     127.370  0.92821216
     129.000  0.92684042
     131.520  0.92592593
     132.930  0.92226795
     134.630  0.92043896
     136.810  0.91952446
     138.220  0.91678098
     139.660  0.91266575
     141.380  0.90900777
     142.820  0.90626429
     144.320  0.90489255
     146.160  0.90352080
     147.660  0.90169182
     149.490  0.89849108
     151.120  0.89711934
     153.120  0.89483310
     155.170  0.89300412
     157.110  0.89071788
     159.040  0.88888889
     160.660  0.88843164
     162.430  0.88614540
     166.130  0.88477366
     167.820  0.88294467
     173.530  0.88065844
     175.800  0.87791495
     178.480  0.87700046
     180.660  0.87379973
     183.160  0.87242798
     185.040  0.87151349
     187.080  0.86968450
     189.190  0.86877000
     193.050  0.86648377
     195.440  0.86511203
     197.680  0.86191129
     199.880  0.85825332
     202.300  0.85505258
     204.350  0.85368084
     206.550  0.85230910
     208.890  0.85139460
     211.100  0.85002286
     213.500  0.84773663
     215.950  0.84590764
     218.620  0.84453589
     221.330  0.84087791
     224.880  0.83859168
     227.130  0.83584819
     229.710  0.83447645
     232.290  0.83219021
     234.860  0.82898948
     238.660  0.82716049
     241.720  0.82487426
     244.710  0.82304527
     249.440  0.81938729
     252.370  0.81710105
     255.120  0.81572931
     257.960  0.81298583
     261.380  0.80704161
     264.330  0.80384088
     267.070  0.80201189
     269.800  0.80064015
     272.620  0.79926840
     275.440  0.79606767
     278.770  0.79240969
     281.870  0.79103795
     286.590  0.78920896
     289.490  0.78600823
     293.070  0.78326475
     296.410  0.78052126
     300.100  0.77914952
     304.590  0.77823503
     308.150  0.77686328
     311.890  0.77549154
     315.450  0.77320530
     318.710  0.77229081
     322.330  0.77000457
     325.800  0.76817558
     329.340  0.76543210
     333.160  0.76268861
     336.880  0.75857339
     341.760  0.75674440
     345.650  0.75400091
     352.980  0.75171468
     357.580  0.74805670
     361.890  0.74622771
     367.250  0.74531321
     371.140  0.74256973
     378.090  0.74028349
     381.970  0.73799726
     386.170  0.73525377
     391.590  0.73251029
     397.040  0.72930956
     402.150  0.72519433
     409.240  0.72245085
     415.930  0.71925011
     420.120  0.71696388
     427.810  0.71422039
     432.660  0.71193416
     437.140  0.70919067
     444.730  0.70690444
     449.240  0.70461820
     455.550  0.70233196
     461.500  0.70096022
     467.180  0.69821674
     472.020  0.69638775
     480.400  0.69593050
     487.050  0.69364426
     492.040  0.69135802
     497.610  0.68907179
     505.020  0.68678555
     510.720  0.68541381
     516.670  0.68221308
     522.760  0.68084134
     528.060  0.67855510
     533.640  0.67489712
     539.270  0.67169639
     544.670  0.67078189
     551.430  0.66895290
     559.080  0.66758116
     564.970  0.66666667
     572.010  0.66483768
     579.670  0.66300869
     588.890  0.66117970
     595.410  0.65980796
     601.660  0.65614998
     607.830  0.65432099
     616.830  0.65249200
     623.220  0.65112026
     631.420  0.64974851
     637.880  0.64837677
     644.600  0.64609053
     652.050  0.64426155
     661.820  0.64288980
     668.710  0.64106081
     678.450  0.63968907
     691.280  0.63831733
     698.220  0.63786008
     710.790  0.63648834
     723.660  0.63511660
     734.910  0.63328761
     743.450  0.63054412
     752.400  0.63008688
     762.080  0.62780064
     772.310  0.62597165
     780.430  0.62459991
     791.770  0.62414266
     800.750  0.62277092
     817.180  0.62185642
     827.470  0.62139918
     835.840  0.62048468
     852.910  0.61957019
     861.680  0.61865569
     883.820  0.61682670
     892.840  0.61545496
     903.670  0.61408322
     913.920  0.61271148
     933.430  0.61179698
     954.300  0.61133973
     965.170  0.61088249
     997.830  0.60951075
    1014.400  0.60905350
    1026.880  0.60813900
    1043.900  0.60768176
    1096.130  0.60631001
    1121.430  0.60585277
    1164.340  0.60539552
    1241.960  0.60493827
    1343.990  0.60448102
    1369.840  0.60402378
    1427.640  0.60310928
    1442.120  0.60265203
    1468.960  0.60219479
    1550.000  0.60173754
    1620.580  0.60128029
