# Digested data for dctcp_w4 experiment, run at 2026-04-21 01:42:07.100829
# Averaged across 1 repeated sample(s)
# length  cum_frac  samples     p50      p99     p999   s50    s99    s999
     237  0.026504      282 407785.0 946408.3 1276637.8 25695.3 60013.2 79789.9
     297  0.052162      273 367202.5 946360.5 1099854.2 23968.8 61412.1 71465.5
     308  0.081109      308 366490.7 977948.9 1116357.4 23875.6 63462.0 72726.9
     315  0.107425      280 387247.2 977937.1 1005006.3 25227.8 63834.0 65387.5
     326  0.138722      333 401517.6 1053862.6 1284316.9 26124.0 68700.3 83778.0
     350  0.168609      318 384463.3 967334.3 1610633.3 24981.4 62732.4 104654.5
     371  0.196711      299 360587.2 1043875.4 1112197.7 23404.1 67779.9 72127.0
     425  0.222932      279 350468.9 948062.6 980252.8 22802.1 61682.7 63777.0
     457  0.248026      267 381465.1 978033.1 1105811.4 24738.3 63674.0 71852.6
     491  0.284774      391 388541.8 1044135.2 1133732.8 25083.4 67581.6 73475.9
     513  0.324248      420 358152.1 969101.8 1015577.3 23211.4 62806.3 65818.4
     537  0.361466      396 356689.5 1115514.1 1290178.2 23054.2 71922.3 83452.7
     561  0.398778      397 353511.0 968069.0 1107409.4 22748.5 62536.8 71538.1
     587  0.431955      353 370709.7 1068359.0 1286210.6 23913.0 68704.8 82981.3
     607  0.460244      301 366516.0 1038677.7 1163589.8 23570.2 66796.0 74828.9
     646  0.488534      301 385594.6 1090080.8 1385063.3 24612.3 69832.2 88333.1
     685  0.514662      278 377725.7 1030784.9 1241576.9 23906.7 65529.9 78930.5
     731  0.543515      307 376786.9 894710.7 1113596.8 23817.1 56591.4 70214.2
     787  0.568609      267 392965.8 1087026.7 1232797.7 24616.0 68452.6 77194.6
     945  0.594925      280 382578.2 1027848.5 1337288.8 24020.6 64482.3 83061.4
    1226  0.621617      284 354089.4 967322.0 1217243.1 21909.2 58911.2 74999.6
    1559  0.648026      281 364412.2 987782.4 1181023.3 17672.7 54437.9 58008.1
    2412  0.674530      282 343709.6 1034463.9 1118546.5 14297.4 42941.6 46528.6
    6653  0.702726      300 378948.4 946721.8 969843.8 13777.1 35693.0 37663.8
   36322  0.730921      300 368088.0 1029026.1 1421054.8 7605.8 26297.6 29738.9
   44531  0.759023      299 386360.6 1168203.2 1291746.9 4437.4 13187.1 14145.3
   47823  0.785056      277 409382.8 1104158.2 1225262.8 4350.6 11429.0 12989.2
   50632  0.812782      295 397605.8 1205076.1 1592187.1 3642.8 10607.1 13409.0
   73814  0.837876      267 397182.9 1098336.6 1235160.1 2295.3 6132.3  7820.4
   80246  0.865883      298 403164.8 1466389.6 1706498.8 833.5 5354.2  5592.4
  105871  0.892575      284 550262.3 1724288.8 2123547.5 893.1 2633.3  3017.1
  149091  0.917575      266 813178.2 1856280.2 2745003.2 339.9 2286.0  2464.1
  223195  0.944455      286 846666.2 2330858.0 2832378.1 168.4  440.2   553.0
  643946  0.971617      289 1269355.9 3003611.0 5218852.7 224.6  508.8   790.0
 1000000  1.000000      302 2456391.0 4962132.1 6618699.9 326.4  635.6   869.1
