# Digested data for unloaded_w4 experiment, run at 2026-04-21 01:42:07.100829
# Averaged across 1 repeated sample(s)
# length  cum_frac  samples     p50      p99     p999   s50    s99    s999
      60  0.005791      500    16.7     33.5     50.6   1.0    2.0     3.0
      72  0.011581      500    16.4     34.5     45.4   1.0    2.1     2.8
      92  0.017372      500    16.3     33.8     34.1   1.0    2.1     2.1
     119  0.023162      500    16.0     33.7     38.0   1.0    2.1     2.4
     154  0.028953      500    15.9     33.1     36.6   1.0    2.1     2.3
     199  0.034744      500    15.8     33.3    219.8   1.0    2.1    13.9
     222  0.040534      500    15.8     32.4     41.2   1.0    2.1     2.6
     227  0.046325      500    15.7     33.2     46.4   1.0    2.1     2.9
     232  0.052115      500    15.6     33.2     44.1   1.0    2.1     2.8
     237  0.057906      500    15.5     33.0     44.0   1.0    2.1     2.8
     243  0.063696      500    15.4     32.8     39.5   1.0    2.1     2.6
     248  0.069487      500    15.4     33.1     45.7   1.0    2.1     3.0
     254  0.075278      500    15.4     32.4    252.4   1.0    2.1    16.4
     259  0.081068      500    15.4     32.4     47.1   1.0    2.1     3.1
     265  0.086859      500    15.5     34.4     50.1   1.0    2.2     3.2
     271  0.092649      500    15.4     32.3     32.6   1.0    2.1     2.1
     279  0.098440      500    15.3     33.0     46.1   1.0    2.2     3.0
     288  0.104231      500    15.3     32.5     39.8   1.0    2.1     2.6
     297  0.110021      500    15.4     32.7     44.8   1.0    2.1     2.9
     303  0.115812      500    15.3     32.2     34.9   1.0    2.1     2.3
     305  0.121602      500    15.4     33.1    221.8   1.0    2.1    14.4
     308  0.127393      500    15.3     32.6     43.3   1.0    2.1     2.8
     310  0.133184      500    15.4     32.5     46.0   1.0    2.1     3.0
     313  0.138974      500    15.3     32.7     41.1   1.0    2.1     2.7
     315  0.144765      500    15.3     32.6     33.3   1.0    2.1     2.2
     318  0.150555      500    15.3     32.2     32.6   1.0    2.1     2.1
     321  0.156346      500    15.3     32.8     33.2   1.0    2.1     2.2
     323  0.162136      500    15.5     32.7    217.2   1.0    2.1    14.0
     326  0.167927      500    15.5     32.6     33.3   1.0    2.1     2.2
     331  0.173718      500    15.4     32.8     33.1   1.0    2.1     2.2
     335  0.179508      500    15.4     33.7     46.0   1.0    2.2     3.0
     340  0.185299      500    15.4     32.5     41.7   1.0    2.1     2.7
     345  0.191089      500    15.4     32.4     48.1   1.0    2.1     3.1
     350  0.196880      500    15.4     32.2     32.9   1.0    2.1     2.1
     355  0.202671      500    15.4     33.2    225.4   1.0    2.2    14.6
     360  0.208461      500    15.4     32.9     40.8   1.0    2.1     2.6
     365  0.214252      500    15.4     32.6     50.0   1.0    2.1     3.2
     371  0.220042      500    15.4     32.8     38.7   1.0    2.1     2.5
     376  0.225833      500    15.4     33.1     38.7   1.0    2.2     2.5
     385  0.231624      500    15.4     34.8     48.0   1.0    2.3     3.1
     395  0.237414      500    15.4     32.6     35.7   1.0    2.1     2.3
     405  0.243205      500    15.4     32.6     34.5   1.0    2.1     2.2
     415  0.248995      500    15.4     32.8    207.2   1.0    2.1    13.4
     425  0.254786      500    15.4     33.2     46.2   1.0    2.2     3.0
     430  0.260577      500    15.4     32.6     45.2   1.0    2.1     2.9
     435  0.266367      500    15.4     33.0     47.5   1.0    2.1     3.1
     441  0.272158      500    15.4     32.8     48.5   1.0    2.1     3.1
     446  0.277948      500    15.4     32.9     45.0   1.0    2.1     2.9
     452  0.283739      500    15.4     33.0     49.0   1.0    2.1     3.2
     457  0.289529      500    15.4     32.5    229.9   1.0    2.1    14.9
     463  0.295320      500    15.4     33.5     46.8   1.0    2.2     3.0
     468  0.301111      500    15.4     35.9     48.1   1.0    2.3     3.1
     474  0.306901      500    15.4     33.0     46.3   1.0    2.1     3.0
     480  0.312692      500    15.4     32.1     33.4   1.0    2.1     2.2
     491  0.318482      500    15.5     32.5     32.9   1.0    2.1     2.1
     502  0.324273      500    15.4     32.5     45.6   1.0    2.1     3.0
     513  0.330064      500    15.4     32.8     33.2   1.0    2.1     2.2
     525  0.335854      500    15.5     33.0    214.5   1.0    2.1    13.9
     537  0.341645      500    15.5     32.7     44.4   1.0    2.1     2.9
     549  0.347435      500    15.5     32.8     33.3   1.0    2.1     2.1
     561  0.353226      500    15.5     39.6     49.5   1.0    2.6     3.2
     574  0.359017      500    15.6     33.0     43.0   1.0    2.1     2.8
     587  0.364807      500    15.5     32.6     45.2   1.0    2.1     2.9
     600  0.370598      500    15.5     33.0     45.5   1.0    2.1     2.9
     607  0.376388      500    15.6     32.9    237.0   1.0    2.1    15.2
     615  0.382179      500    15.6     32.9     47.4   1.0    2.1     3.0
     623  0.387969      500    15.7     33.3     48.3   1.0    2.1     3.1
     630  0.393760      500    15.7     33.4     47.5   1.0    2.1     3.0
     638  0.399551      500    15.6     33.0     36.8   1.0    2.1     2.4
     646  0.405341      500    15.8     33.2     36.4   1.0    2.1     2.3
     654  0.411132      500    15.7     32.6     33.1   1.0    2.1     2.1
     662  0.416922      500    15.8     33.3     46.6   1.0    2.1     3.0
     671  0.422713      500    15.9     33.2    230.7   1.0    2.1    14.5
     679  0.428504      500    15.8     33.6     45.0   1.0    2.1     2.8
     685  0.434294      500    15.8     33.6     38.8   1.0    2.1     2.5
     690  0.440085      500    15.8     33.6     45.7   1.0    2.1     2.9
     696  0.445875      500    15.8     33.4     45.0   1.0    2.1     2.8
     702  0.451666      500    15.7     33.0     35.0   1.0    2.1     2.2
     707  0.457457      500    15.9     33.7     48.8   1.0    2.1     3.1
     713  0.463247      500    15.9     33.4    227.4   1.0    2.1    14.3
     719  0.469038      500    15.8     35.9     49.1   1.0    2.3     3.1
     725  0.474828      500    15.8     33.3     50.9   1.0    2.1     3.2
     731  0.480619      500    15.8     33.0     45.8   1.0    2.1     2.9
     737  0.486409      500    15.8     33.0     34.0   1.0    2.1     2.1
     749  0.492200      500    16.0     33.5     35.8   1.0    2.1     2.2
     762  0.497991      500    15.9     33.4     48.4   1.0    2.1     3.0
     774  0.503781      500    15.9     33.4    242.9   1.0    2.1    15.3
     787  0.509572      500    16.0     34.0     45.0   1.0    2.1     2.8
     800  0.515362      500    15.9     33.3     49.5   1.0    2.1     3.1
     816  0.521153      500    15.9     33.5     47.2   1.0    2.1     3.0
     833  0.526944      500    15.9     33.5     45.3   1.0    2.1     2.9
     850  0.532734      500    15.9     33.3     48.8   1.0    2.1     3.1
     867  0.538525      500    15.9     34.1     47.5   1.0    2.1     3.0
     885  0.544315      500    16.0     33.7    223.4   1.0    2.1    13.9
     914  0.550106      500    16.1     33.7     34.2   1.0    2.1     2.1
     945  0.555897      500    16.1     33.8     41.6   1.0    2.1     2.6
     976  0.561687      500    16.1     33.5     33.7   1.0    2.1     2.1
    1009  0.567478      500    16.1     33.6     50.1   1.0    2.1     3.1
    1042  0.573268      500    16.2     33.5     34.3   1.0    2.1     2.1
    1085  0.579059      500    16.2     33.5     47.9   1.0    2.1     3.0
    1130  0.584850      500    16.3     34.2    237.4   1.0    2.1    14.5
    1177  0.590640      500    16.4     33.7     38.8   1.0    2.1     2.4
    1226  0.596431      500    16.5     34.1     35.5   1.0    2.1     2.2
    1277  0.602221      500    16.5     33.9     34.7   1.0    2.1     2.1
    1316  0.608012      500    16.6     33.5     40.0   1.0    2.0     2.4
    1357  0.613802      500    16.6     34.3     51.4   1.0    2.1     3.1
    1399  0.619593      500    16.7     34.2     35.0   1.0    2.0     2.1
    1436  0.625384      500    24.1     64.0    235.8   1.0    2.7     9.8
    1484  0.631174      500    24.1     41.8     42.4   1.0    1.7     1.8
    1534  0.636965      500    24.1     41.3     58.8   1.0    1.7     2.4
    1559  0.642755      500    24.1     41.7     46.3   1.0    1.7     1.9
    1585  0.648546      500    24.0     42.2     50.3   1.0    1.8     2.1
    1611  0.654337      500    24.2     45.8    238.5   1.0    1.9     9.9
    1637  0.660127      500    24.1     41.6     50.8   1.0    1.7     2.1
    1664  0.665918      500    24.1     42.0     48.2   1.0    1.7     2.0
    1865  0.671708      500    24.0     42.1     47.7   1.0    1.8     2.0
    2091  0.677499      500    24.2     46.7     63.0   1.0    1.9     2.6
    2412  0.683290      500    24.2     45.0    241.9   1.0    1.9    10.0
    2742  0.689080      500    24.3     41.5     52.9   1.0    1.7     2.2
    3118  0.694871      500    25.8     44.0     52.6   1.0    1.7     2.0
    3544  0.700661      500    26.0     43.9     56.9   1.0    1.7     2.2
    4030  0.706452      500    26.0     45.0    239.5   1.0    1.7     9.2
    4582  0.712242      500    27.6     45.6     63.3   1.0    1.7     2.3
    5210  0.718033      500    27.7     48.8     62.5   1.0    1.8     2.3
    5652  0.723824      500    27.7     46.5     64.2   1.0    1.7     2.3
    6132  0.729614      500    29.5     48.8    255.5   1.0    1.7     8.7
    6653  0.735405      500    29.7     50.7     71.5   1.0    1.7     2.4
    7217  0.741195      500    31.1     52.9     71.1   1.0    1.7     2.3
    7830  0.746986      500    31.2     49.9     63.0   1.0    1.6     2.0
   10373  0.752777      500    34.7     65.1    282.4   1.0    1.9     8.1
   13741  0.758567      500    39.1     68.3     74.3   1.0    1.7     1.9
   18203  0.764358      500    44.0     73.3     81.8   1.0    1.7     1.9
   24115  0.770148      500    57.4     97.4    262.9   1.0    1.7     4.6
   31946  0.775939      500    67.3    100.6    400.5   1.0    1.5     5.9
   33343  0.781730      500    69.0    102.0    285.0   1.0    1.5     4.1
   34801  0.787520      500    74.9    107.5    279.8   1.0    1.4     3.7
   36322  0.793311      500    76.7    109.3    124.2   1.0    1.4     1.6
   37450  0.799101      500    82.3    116.2    298.3   1.0    1.4     3.6
   38377  0.804892      500    83.7    184.9    295.5   1.0    2.2     3.5
   39327  0.810682      500    83.9    118.2    142.5   1.0    1.4     1.7
   40382  0.816473      500    85.5    133.1    346.4   1.0    1.6     4.1
   41214  0.822264      500    87.0    145.8    296.5   1.0    1.7     3.4
   42062  0.828054      500    87.4    130.8    161.1   1.0    1.5     1.8
   42928  0.833845      500    89.2    126.1    315.8   1.0    1.4     3.5
   43811  0.839635      500    89.4    120.1    306.6   1.0    1.3     3.4
   44531  0.845426      500    91.3    125.8    359.6   1.0    1.4     3.9
   45079  0.851217      500    91.6    124.1    124.7   1.0    1.4     1.4
   45634  0.857007      500    93.8    127.3    307.0   1.0    1.4     3.3
   46195  0.862798      500    93.9    165.1    297.9   1.0    1.8     3.2
   46763  0.868588      500    95.0    195.7    305.4   1.0    2.1     3.2
   47435  0.874379      500    96.4    125.3    327.2   1.0    1.3     3.4
   47823  0.880170      500    96.6    126.8    129.8   1.0    1.3     1.3
   48215  0.885960      500    97.0    194.4    377.8   1.0    2.0     3.9
   48609  0.891751      500   118.7    212.0    386.5   1.0    1.8     3.3
   49007  0.897541      500   113.6    203.2    319.3   1.0    1.8     2.8
   49408  0.903332      500    98.9    201.1    370.3   1.0    2.0     3.7
   49813  0.909122      500   102.1    205.8    308.2   1.0    2.0     3.0
   50221  0.914913      500   101.8    209.2    311.1   1.0    2.1     3.1
   50632  0.920704      500   137.6    223.5    276.9   1.0    1.6     2.0
   51046  0.926494      500   157.9    224.0    380.7   1.0    1.4     2.4
   55381  0.932285      500   161.6    258.6    378.1   1.0    1.6     2.3
