# Digested data for dctcp_pool_w4 experiment, run at 2026-04-21 04:41:27.695299
# Averaged across 1 repeated sample(s)
# length  cum_frac  samples     p50      p99     p999   s50    s99    s999
      60  0.002311      725   401.5   3318.4  58283.1  22.3  184.3  3236.2
      72  0.004634      729   413.2   2888.2   4870.9  23.9  166.9   281.6
      92  0.007707      964   403.2   3215.6  23020.5  23.8  189.5  1356.5
     119  0.009919      694   412.0   3402.1   5241.5  25.0  206.2   317.7
     154  0.012131      694   429.7   3269.4   9055.5  26.3  200.1   554.2
     199  0.014537      755   408.9   3640.5  92346.9  25.2  224.4  5693.4
     222  0.017900     1055   403.8   3216.7   4266.4  25.0  199.1   264.0
     227  0.020641      860   391.8   3119.2  24559.7  24.3  193.7  1525.4
     232  0.023296      833   395.7   3058.1   4826.2  24.7  190.9   301.3
     237  0.025935      828   421.2   3189.8  12294.8  26.5  200.6   773.3
     243  0.028517      810   382.0   3103.7   4204.3  24.1  195.6   264.9
     248  0.031111      814   395.5   3162.6  25719.3  25.0  199.8  1624.7
     254  0.033769      834   361.9   2813.0   3556.7  23.0  178.5   225.7
     259  0.036431      835   421.1   2878.2 147326.6  26.8  183.1  9371.9
     265  0.039025      814   393.8   3117.4   5693.2  25.0  197.7   361.0
     271  0.041514      781   427.5   2996.6  63848.1  27.1  189.9  4046.1
     279  0.044925     1070   391.3   3085.1   4168.7  24.8  195.6   264.3
     288  0.048313     1063   380.9   3238.2   4184.6  24.2  205.3   265.4
     297  0.051580     1025   446.9   3078.4   4243.8  28.3  195.2   269.1
     303  0.061390     3078   387.8   3269.9   6099.5  24.6  207.2   386.5
     305  0.069852     2655   393.8   3213.2  47901.2  24.9  203.2  3029.8
     308  0.078420     2688   386.6   3035.8   8732.8  24.5  192.1   552.7
     310  0.086381     2498   418.2   3308.5   8765.8  26.5  209.7   555.5
     313  0.095025     2712   384.4   2977.9   4338.7  24.3  188.1   274.1
     315  0.103599     2690   387.5   3243.1   4437.5  24.5  205.4   281.0
     318  0.111899     2604   380.7   3376.6  54749.8  24.1  213.3  3458.6
     321  0.120061     2561   411.2   3282.0  51587.2  26.1  208.0  3269.2
     323  0.128543     2661   417.5   3181.5   4168.7  26.0  198.2   259.7
     326  0.136919     2628   414.2   3181.0  26202.8  26.2  201.3  1658.4
     331  0.143367     2023   425.2   3289.7   4480.2  26.9  207.8   283.0
     335  0.149878     2043   405.9   3213.9   4835.0  25.7  203.2   305.6
     340  0.156626     2117   396.1   3105.9   4618.7  25.0  196.1   291.6
     345  0.163080     2025   398.7   3168.0   3882.0  25.3  200.6   245.9
     350  0.169633     2056   380.2   3065.9   4935.2  24.1  194.0   312.4
     355  0.176202     2061   416.7   3246.2  40428.2  26.2  203.8  2537.9
     360  0.182937     2113   393.4   3067.4   8035.7  24.8  193.3   506.3
     365  0.189553     2076   394.1   3236.7  44723.7  24.9  204.7  2828.8
