# Fraction of RTTS longer than a given time for dctcp_pool_w4 experiment
# Includes messages <= 315 bytes; measured at 2026-04-21 04:41:27.695299
# Averaged across 1 repeated sample(s)
# Data collected at 2026-04-21 04:41:27.695299 
#       usec        frac
      33.320  0.99996923
      34.550  0.99993847
      34.910  0.99981541
      35.260  0.99950775
      35.620  0.99935393
      36.020  0.99910780
      36.390  0.99867709
      36.770  0.99796948
      37.140  0.99741570
      37.520  0.99686192
      37.900  0.99618508
      38.290  0.99572360
      38.680  0.99504676
      39.070  0.99403150
      39.470  0.99320084
      39.870  0.99215481
      40.280  0.99123185
      40.690  0.98981664
      41.110  0.98843219
      41.530  0.98726311
      41.950  0.98624785
      42.410  0.98541718
      42.870  0.98427886
      43.300  0.98332513
      43.750  0.98200222
      44.200  0.98114078
      44.660  0.98034088
      45.110  0.97932562
      45.570  0.97849495
      46.040  0.97763352
      46.530  0.97624908
      47.010  0.97526458
      47.490  0.97400320
      47.970  0.97286488
      48.450  0.97138814
      48.940  0.96969604
      49.430  0.96803470
      49.930  0.96578883
      50.430  0.96354295
      50.940  0.95988186
      51.450  0.95708221
      51.970  0.95329806
      52.490  0.94976003
      53.020  0.94668349
      53.560  0.94256092
      54.100  0.93896136
      54.650  0.93520797
      55.200  0.93080852
      55.760  0.92683977
      56.320  0.92327098
      56.890  0.91985602
      57.460  0.91597957
      58.040  0.91342604
      58.630  0.91053409
      59.220  0.90705759
      59.840  0.90391952
      60.450  0.90118139
      61.070  0.89853556
      61.690  0.89588974
      62.310  0.89281319
      62.940  0.89013660
      63.570  0.88770613
      64.210  0.88515260
      64.880  0.88299902
      65.530  0.88096850
      66.190  0.87927640
      66.870  0.87739970
      67.540  0.87487694
      68.220  0.87263106
      68.930  0.87072360
      69.640  0.86890844
      70.340  0.86663180
      71.060  0.86460128
      71.780  0.86303224
      72.500  0.86118632
      73.280  0.85930962
      74.040  0.85718681
      74.810  0.85549471
      75.560  0.85352572
      76.330  0.85183362
      77.130  0.85001846
      77.920  0.84795717
      78.700  0.84604972
      79.490  0.84426532
      80.300  0.84241939
      81.130  0.84066576
      81.950  0.83860448
      82.770  0.83675855
      83.620  0.83512798
      84.480  0.83328206
      85.330  0.83174379
      86.210  0.82989786
      87.080  0.82799040
      87.960  0.82639060
      88.850  0.82460620
      89.740  0.82306793
      90.640  0.82165272
      91.550  0.81943761
      92.470  0.81725326
      93.430  0.81543810
      94.420  0.81405365
      95.380  0.81239232
      96.360  0.81014644
      97.330  0.80833128
      98.350  0.80697760
      99.350  0.80525474
     100.350  0.80380876
     101.380  0.80239355
     102.400  0.80039380
     103.480  0.79888629
     104.530  0.79691730
     105.600  0.79531750
     106.670  0.79356387
     107.770  0.79208713
     108.880  0.79008737
     109.980  0.78864140
     111.080  0.78722619
     112.200  0.78553409
     113.360  0.78381122
     114.510  0.78199606
     115.670  0.78036549
     116.840  0.77864263
     118.040  0.77704283
     119.250  0.77513537
     120.460  0.77350480
     121.670  0.77196653
     122.920  0.77015137
     124.180  0.76821314
     125.440  0.76649028
     126.700  0.76489048
     128.000  0.76307531
     129.290  0.76110633
     130.590  0.75938346
     131.910  0.75769136
     133.240  0.75581467
     134.580  0.75443022
     135.940  0.75289195
     137.320  0.75107679
     138.710  0.74910780
     140.110  0.74720034
     141.520  0.74560054
     142.980  0.74375461
     144.430  0.74187792
     145.890  0.74037042
     147.360  0.73849372
     148.860  0.73655550
     150.360  0.73492493
     151.870  0.73310977
     153.390  0.73126384
     155.000  0.72932562
     156.550  0.72735663
     158.150  0.72551071
     159.740  0.72348019
     161.360  0.72160349
     162.990  0.71923456
     164.620  0.71720404
     166.320  0.71517352
     167.990  0.71345065
     169.700  0.71166626
     171.400  0.70938961
     173.120  0.70738986
     174.890  0.70502092
     176.640  0.70311346
     178.420  0.70089835
     180.250  0.69911396
     182.070  0.69739109
     183.910  0.69569899
     185.800  0.69400689
     187.690  0.69176101
     189.570  0.68939207
     191.490  0.68720773
     193.540  0.68514644
     195.520  0.68280827
     197.480  0.68071622
     199.460  0.67880876
     201.510  0.67650135
     203.560  0.67425548
     205.600  0.67151735
     207.670  0.66930224
     209.750  0.66668718
     211.860  0.66428747
     213.980  0.66204159
     216.120  0.65951883
     218.290  0.65758061
     220.480  0.65582698
     222.700  0.65388875
     224.930  0.65195053
     227.210  0.64958159
     229.490  0.64721265
     231.790  0.64478218
     234.110  0.64213635
     236.480  0.63958282
     238.860  0.63690623
     241.270  0.63481418
     243.760  0.63259906
     246.210  0.62995324
     248.690  0.62776889
     251.190  0.62475388
     253.750  0.62204652
     256.300  0.61995447
     258.880  0.61783165
     261.480  0.61497047
     264.130  0.61220158
     266.780  0.60915580
     269.450  0.60684839
     272.250  0.60497170
     275.040  0.60281811
     277.810  0.60047994
     280.600  0.59795717
     283.410  0.59506522
     286.250  0.59208097
     289.120  0.58943515
     292.020  0.58700468
     294.950  0.58411272
     297.900  0.58143613
     300.890  0.57860571
     303.900  0.57642136
     306.950  0.57389860
     310.040  0.57119124
     313.180  0.56823776
     316.380  0.56556116
     319.560  0.56322299
     322.790  0.56057716
     326.030  0.55750062
     329.300  0.55470096
     332.600  0.55183977
     335.980  0.54928624
     339.360  0.54697883
     342.780  0.54396382
     346.250  0.54101034
     349.790  0.53799532
     353.320  0.53525720
     356.920  0.53227295
     360.530  0.52901181
     364.140  0.52559685
     367.790  0.52270490
     371.470  0.52008984
     375.200  0.51716712
     378.980  0.51415210
     382.770  0.51104479
     386.620  0.50812208
     390.540  0.50535319
     394.500  0.50187669
     398.490  0.49901551
     402.540  0.49615432
     406.600  0.49332390
     410.750  0.49018582
     414.860  0.48680162
     419.010  0.48418656
     423.240  0.48095619
     427.490  0.47751046
     431.810  0.47446468
     436.170  0.47160349
     440.580  0.46868078
     445.000  0.46600418
     449.480  0.46286611
     453.980  0.45985110
     458.560  0.45732833
     463.240  0.45434408
     467.900  0.45080605
     472.580  0.44732956
     477.350  0.44379153
     482.280  0.44068422
     487.150  0.43702314
     492.030  0.43314669
     496.960  0.42982402
     501.940  0.42677824
     507.080  0.42354787
     512.200  0.42019444
     517.340  0.41705636
     522.520  0.41413365
     527.810  0.41031873
     533.090  0.40699606
     538.450  0.40358110
     543.860  0.40068915
     549.360  0.39733571
     554.890  0.39428993
     560.510  0.39127492
     566.150  0.38785996
     571.740  0.38395274
     577.550  0.38038395
     583.350  0.37696899
     589.240  0.37426163
     595.180  0.37072360
     601.150  0.36764706
     607.180  0.36484740
     613.350  0.36174009
     619.560  0.35863278
     625.770  0.35515629
     632.070  0.35223357
     637.850  0.34869555
     644.100  0.34518828
     650.110  0.34171179
     656.550  0.33826606
     663.140  0.33506645
     669.780  0.33174379
     676.010  0.32842112
     682.800  0.32519075
     689.260  0.32192961
     696.170  0.31869924
     702.780  0.31549963
     709.830  0.31245385
     716.980  0.30956190
     722.680  0.30645459
     729.650  0.30337805
     736.610  0.30033227
