# Fraction of RTTS longer than a given time for dctcp_w4 experiment
# Includes messages <= 315 bytes; measured at 2026-04-21 05:53:05.974791
# Averaged across 5 repeated sample(s)
# Data collected at 2026-04-21 05:53:05.974791 
#       usec        frac
      28.460  0.99999387
      29.870  0.99997664
      30.570  0.99997054
      30.910  0.99995249
      31.560  0.99994123
      31.940  0.99991322
      32.280  0.99988980
      32.660  0.99982447
      32.990  0.99977304
      33.370  0.99973662
      33.730  0.99964886
      34.070  0.99953652
      34.430  0.99938877
      34.780  0.99915220
      35.130  0.99895160
      35.490  0.99873778
      35.850  0.99848413
      36.210  0.99812359
      36.580  0.99773164
      36.950  0.99735488
      37.320  0.99689943
      37.700  0.99639418
      38.080  0.99594193
      38.470  0.99553592
      38.860  0.99497749
      39.250  0.99437829
      39.650  0.99377485
      40.050  0.99322468
      40.460  0.99251753
      40.870  0.99190196
      41.280  0.99119190
      41.700  0.99048235
      42.120  0.98979106
      42.560  0.98909266
      43.000  0.98835805
      43.450  0.98766184
      43.890  0.98689864
      44.330  0.98623373
      44.780  0.98547391
      45.230  0.98470100
      45.690  0.98388894
      46.150  0.98291308
      46.620  0.98178210
      47.090  0.98065480
      47.570  0.97930604
      48.050  0.97798723
      48.540  0.97648153
      49.030  0.97492974
      49.530  0.97313014
      50.030  0.97118433
      50.540  0.96899276
      51.050  0.96667696
      51.570  0.96406109
      52.090  0.96135304
      52.620  0.95860604
      53.150  0.95578055
      53.690  0.95288394
      54.230  0.94993889
      54.780  0.94703766
      55.330  0.94397809
      55.890  0.94103390
      56.450  0.93805199
      57.020  0.93516487
      57.600  0.93179143
      58.180  0.92867890
      58.770  0.92574542
      59.360  0.92287658
      59.960  0.92010242
      60.560  0.91737173
      61.170  0.91425542
      61.790  0.91159675
      62.410  0.90883841
      63.040  0.90612805
      63.680  0.90338967
      64.320  0.90076203
      64.970  0.89828883
      65.620  0.89623384
      66.280  0.89380934
      66.950  0.89115853
      67.620  0.88875230
      68.300  0.88618263
      68.990  0.88363226
      69.680  0.88130358
      70.380  0.87885679
      71.090  0.87670936
      71.810  0.87411616
      72.530  0.87202876
      73.260  0.86978214
      74.000  0.86720932
      74.750  0.86463388
      75.500  0.86188854
      76.260  0.85948568
      77.030  0.85713226
      77.810  0.85499365
      78.590  0.85257370
      79.380  0.85024901
      80.190  0.84773688
      81.000  0.84521922
      81.810  0.84295125
      82.630  0.84061260
      83.460  0.83836885
      84.300  0.83570847
      85.150  0.83320962
      86.010  0.83068239
      86.880  0.82810059
      87.750  0.82551676
      88.630  0.82288389
      89.520  0.82035817
      90.420  0.81800029
      91.330  0.81559076
      92.250  0.81311094
      93.180  0.81075849
