# Digested data for homa_w4 experiment, run at 2026-04-21 05:53:05.974791
# Averaged across 1 repeated sample(s)
# length  cum_frac  samples     p50      p99     p999   s50    s99    s999
      60  0.002335      507    93.6    360.5    429.0   5.9   22.7    27.0
      92  0.007370     1093    91.8    339.6    436.9   6.0   22.3    28.7
     119  0.009774      522    90.4    292.3    423.0   6.0   19.2    27.8
     199  0.013924      901    93.8    349.9    715.1   6.3   23.4    47.9
     222  0.017295      732    91.0    381.2    890.0   6.1   25.5    59.5
     227  0.020027      593    95.2    351.7    644.8   6.4   23.7    43.5
     232  0.022767      595    93.1    340.7    529.4   6.4   23.3    36.1
     237  0.025416      575    90.8    350.9    560.7   6.2   24.0    38.4
     243  0.028138      591    88.5    320.6    541.0   6.0   21.8    36.9
     248  0.030791      576    94.0    304.6    505.1   6.5   21.0    34.9
     254  0.033527      594    95.1    364.8    609.4   6.5   25.0    41.8
     259  0.036051      548    85.2    368.3    528.9   5.9   25.5    36.6
     265  0.038695      574    96.3    396.5    799.0   6.7   27.5    55.4
     271  0.041205      545    96.2    354.5    929.5   6.7   24.6    64.6
     279  0.044406      695    95.5    421.3    623.5   6.6   29.3    43.3
     288  0.047547      682    96.2    319.4   1075.3   6.7   22.3    75.0
     297  0.051011      752    98.5    392.4    573.5   6.9   27.3    39.9
     303  0.060670     2097    94.3    384.3    616.5   6.6   26.7    42.8
     305  0.069458     1908    97.4    329.0    721.1   6.8   22.9    50.2
     308  0.077675     1784    93.8    329.2    744.9   6.6   23.0    52.0
     310  0.085989     1805    94.2    330.0    785.4   6.5   22.9    54.5
     313  0.094731     1898    92.5    336.7    701.1   6.4   23.2    48.3
     315  0.103372     1876    92.3    370.5    552.0   6.4   25.7    38.4
     318  0.112049     1884    93.2    316.4    581.8   6.5   22.0    40.5
     321  0.120566     1849    94.1    347.0    493.6   6.5   24.1    34.3
     323  0.129211     1877    93.7    353.1    834.1   6.5   24.6    58.0
     326  0.137364     1770    95.7    318.4    635.1   6.7   22.3    44.4
     331  0.143489     1330    92.2    328.6    495.9   6.4   22.8    34.5
     335  0.150164     1449    93.1    360.5    704.9   6.5   25.1    49.2
     340  0.156667     1412    96.1    348.3    541.3   6.7   24.3    37.8
     345  0.163290     1438    91.4    337.1    553.6   6.4   23.6    38.7
     350  0.170070     1472    93.8    300.6    403.7   6.5   21.0    28.2
     355  0.176795     1460    93.7    400.3    723.5   6.5   27.8    50.3
     360  0.183400     1434    93.7    364.7    594.3   6.5   25.4    41.4
