# Fraction of RTTS longer than a given time for homa_w4 experiment
# Includes messages <= 315 bytes; measured at 2026-04-21 05:53:05.974791
# Averaged across 1 repeated sample(s)
# Data collected at 2026-04-21 05:53:05.974791 
#       usec        frac
      19.330  0.99995544
      20.690  0.99991089
      21.020  0.99982177
      21.350  0.99973266
      21.630  0.99955443
      21.890  0.99937620
      22.120  0.99924253
      22.370  0.99897518
      22.680  0.99879695
      22.920  0.99870784
      23.400  0.99857417
      23.660  0.99839594
      23.930  0.99803948
      24.170  0.99754935
      24.440  0.99710377
      24.760  0.99652453
      25.010  0.99590073
      25.270  0.99532148
      25.540  0.99438578
      25.810  0.99394020
      26.070  0.99318273
      26.350  0.99255893
      26.630  0.99193512
      26.910  0.99068752
      27.190  0.98970726
      27.470  0.98877155
      27.750  0.98743483
      28.030  0.98614267
      28.320  0.98436038
      28.610  0.98266720
      28.900  0.98092947
      29.190  0.97905806
      29.490  0.97723121
      29.790  0.97522613
      30.100  0.97290915
      30.410  0.97054761
      30.720  0.96849797
      31.040  0.96618099
      31.360  0.96381945
      31.680  0.96105690
      32.000  0.95802700
      32.330  0.95508622
      32.670  0.95161075
      33.000  0.94884819
      33.340  0.94550639
      33.680  0.94269928
      34.020  0.93895647
      34.370  0.93588201
      34.720  0.93307490
      35.070  0.92982222
      35.430  0.92661409
      35.790  0.92358419
      36.150  0.92028695
      36.520  0.91654413
      36.890  0.91302411
      37.260  0.90994965
      37.640  0.90669697
      38.030  0.90331061
      38.420  0.89961235
      38.810  0.89618144
      39.200  0.89377534
      39.600  0.89021076
      40.000  0.88722542
      40.420  0.88406185
      40.830  0.88121018
      41.240  0.87871497
      41.660  0.87510582
      42.080  0.87207593
      42.510  0.86926881
      42.940  0.86561511
      43.370  0.86262977
      43.810  0.85879784
      44.250  0.85509959
      44.700  0.85166867
      45.150  0.84854966
      45.610  0.84525242
      46.070  0.84248986
      46.540  0.83870249
      47.020  0.83522702
      47.500  0.83117230
      47.990  0.82805329
      48.470  0.82511251
      48.960  0.82172615
      49.450  0.81793878
      49.950  0.81437419
      50.450  0.81085416
      50.960  0.80777971
      51.470  0.80497260
      52.000  0.80069509
      52.530  0.79726418
      53.070  0.79383327
      53.610  0.79026868
      54.160  0.78661498
      54.730  0.78229292
      55.280  0.77895112
      55.840  0.77462906
      56.400  0.77048523
      56.970  0.76669786
      57.540  0.76250947
      58.120  0.75818741
      58.710  0.75408813
      59.320  0.75088001
      59.920  0.74718175
      60.520  0.74308248
      61.130  0.73876042
      61.750  0.73466114
      62.370  0.72949249
      63.000  0.72387827
      63.630  0.71960077
      64.270  0.71514503
      64.920  0.71015461
      65.570  0.70605534
