# Digested data for dctcp_static_load_aware_w4 experiment, run at 2026-04-21 06:52:01.850377
# Averaged across 5 repeated sample(s)
# length  cum_frac  samples     p50      p99     p999   s50    s99    s999
      60  0.002187     2378    67.9 165714.6 290693.4   4.1 9911.2 17386.0
      72  0.004432     2442    68.3 205890.7 212924.6   4.2 12608.1 13038.9
      92  0.007453     3286    67.5  41788.4 214495.1   4.2 2600.4 13347.5
     119  0.009729     2475    67.5  42440.3 213275.9   4.3 2677.6 13455.9
     154  0.011964     2431    66.2  83551.8 215461.5   4.2 5304.9 13680.1
     199  0.014274     2512    68.6  82639.0 253257.2   4.4 5290.6 16213.6
     222  0.017682     3706    68.5 123774.9 210909.9   4.4 8001.0 13633.5
     227  0.020254     2798    68.8  82205.1 253339.3   4.5 5351.9 16493.4
     232  0.022896     2873    68.7 165260.9 214487.3   4.5 10865.3 14101.7
     237  0.025619     2961    68.1 123151.9 216289.6   4.5 8134.2 14286.0
     243  0.028250     2862    68.0 125447.0 214578.9   4.5 8346.4 14276.7
     248  0.030765     2735    68.4  41422.3 211033.6   4.6 2770.7 14116.0
     254  0.033397     2863    67.2 123882.9 214079.0   4.5 8319.9 14377.4
     259  0.036001     2831    67.3 123734.5 211848.6   4.5 8309.9 14227.6
     265  0.038602     2829    67.9  41922.2 211511.4   4.6 2824.9 14252.8
     271  0.041245     2875    66.7  82839.1 212743.0   4.5 5578.4 14326.1
     279  0.044530     3572    67.6  41692.1 209988.4   4.6 2813.2 14169.3
     288  0.047833     3593    69.3 122966.1 309196.3   4.7 8275.0 20807.3
     297  0.051208     3670    68.0  83089.4 213883.6   4.6 5587.7 14383.6
     303  0.060730    10356    67.5 164735.1 214165.2   4.5 11048.6 14363.9
     305  0.069172     9181    66.7  43132.8 213434.7   4.5 2898.7 14343.7
     308  0.077696     9271    67.8 123045.8 211874.9   4.5 8247.0 14200.7
     310  0.086270     9324    68.1   1453.8 213334.3   4.6   97.6 14317.7
     313  0.094787     9263    68.1  41690.2 214093.8   4.6 2790.5 14330.2
     315  0.103194     9144    67.3  82238.7 212835.3   4.5 5515.7 14274.7
     318  0.111783     9341    68.0  41445.3 212160.0   4.6 2781.6 14238.9
     321  0.120385     9355    66.7  82336.9 212066.9   4.5 5529.7 14242.2
     323  0.129005     9375    68.0 123307.3 215218.1   4.6 8264.6 14424.8
     326  0.137830     9598    67.4  41370.6 211882.1   4.5 2774.7 14210.7
     331  0.144328     7066    68.5  82558.8 213597.3   4.6 5526.0 14297.0
     335  0.150775     7012    67.4  82297.1 213767.4   4.5 5515.9 14327.6
     340  0.157221     7010    67.4 164472.8 215477.3   4.5 11031.0 14451.9
     345  0.163712     7060    67.3 123766.6 212860.1   4.5 8289.8 14257.2
     350  0.170205     7062    69.1  42073.7 212496.4   4.6 2816.2 14223.3
     355  0.176675     7036    68.4 123930.0 214345.0   4.6 8278.6 14318.3
     360  0.183310     7216    68.0  41766.3 212484.9   4.5 2786.3 14175.1
     365  0.189794     7052    67.7  41266.9 212087.0   4.5 2745.6 14110.9
     371  0.196303     7079    67.4 123520.0 212558.2   4.5 8251.2 14198.9
     376  0.202860     7131    66.5   1306.0 213690.1   4.4   86.8 14198.7
     385  0.206965     4464    67.9  82985.7 212465.4   4.5 5536.1 14173.8
     395  0.211042     4435    65.9 124094.4 214148.6   4.4 8300.6 14324.3
     405  0.215103     4416    68.5 164265.5 216466.8   4.6 11009.8 14508.5
     415  0.219196     4452    67.6 122818.8 211154.6   4.5 8215.3 14124.1
     425  0.223305     4468    67.8 123535.5 213631.4   4.5 8257.7 14280.2
     430  0.227365     4416    67.5  41396.4 214381.6   4.5 2772.7 14359.1
     435  0.231551     4552    68.7  82877.2 214132.3   4.6 5551.0 14342.4
     441  0.235529     4327    68.1 165586.1 217500.3   4.6 11076.0 14548.5
     446  0.239577     4402    67.2  41701.4 252443.4   4.5 2791.3 16897.1
     452  0.243719     4505    69.7 124253.7 218117.2   4.7 8311.3 14589.8
     457  0.247714     4345    68.8 123411.9 212011.6   4.6 8216.5 14115.3
     463  0.251729     4366    68.0  82291.4 212797.0   4.5 5500.8 14224.4
     468  0.255761     4386    67.6  41372.2 210182.6   4.5 2736.3 13901.0
     474  0.259806     4399    67.2  41418.6 214277.2   4.5 2752.1 14237.7
     480  0.264080     4648    67.9 124286.1 217084.5   4.5 8302.3 14501.3
     491  0.283532    21155    68.1 164021.1 214764.5   4.5 10905.7 14279.6
     502  0.303136    21321    67.6 163793.2 213075.1   4.5 10897.7 14176.7
     513  0.322775    21359    67.7    678.6 213338.5   4.5   45.1 14175.3
     525  0.342204    21130    67.3 164076.3 212894.2   4.5 10931.1 14183.5
     537  0.361623    21120    67.8  41613.2 213543.4   4.5 2768.7 14207.8
     549  0.381071    21151    67.4 123116.5 213538.5   4.5 8175.1 14179.2
     561  0.400444    21069    67.9  41526.7 214237.9   4.5 2755.6 14216.2
     574  0.419742    20988    67.8  41374.9 213099.6   4.5 2751.0 14168.9
     587  0.438989    20932    67.8  41719.9 213660.3   4.5 2764.7 14159.1
     600  0.458537    21260    68.5  41999.8 214729.6   4.5 2779.6 14211.1
     607  0.464402     6379    67.7  83031.4 211799.1   4.5 5487.9 13998.6
     615  0.470246     6356    68.1 164087.6 253775.0   4.5 10823.7 16739.8
     623  0.476098     6364    67.8 123220.1 251845.0   4.5 8117.3 16590.6
     630  0.481890     6299    67.2  41445.0 213879.1   4.4 2732.0 14098.8
     638  0.487687     6305    68.0  42162.0 213035.9   4.5 2768.4 13987.9
