# Fraction of RTTS longer than a given time for dctcp_static_load_aware_w4 experiment
# Includes messages <= 315 bytes; measured at 2026-04-21 06:52:01.850377
# Averaged across 5 repeated sample(s)
# Data collected at 2026-04-21 06:52:01.850377 
#       usec        frac
      31.270  0.99999098
      31.590  0.99995541
      31.920  0.99992042
      32.240  0.99988319
      32.580  0.99982937
      32.930  0.99973225
      33.260  0.99956030
      33.600  0.99925920
      33.940  0.99883886
      34.280  0.99822312
      34.640  0.99737541
      34.990  0.99605216
      35.340  0.99458794
      35.700  0.99272375
      36.060  0.99044220
      36.430  0.98740212
      36.800  0.98390476
      37.170  0.98003558
      37.550  0.97584990
      37.930  0.97106099
      38.310  0.96549891
      38.700  0.95922789
      39.090  0.95294960
      39.490  0.94562464
      39.890  0.93845086
      40.290  0.93139921
      40.700  0.92348056
      41.110  0.91549158
      41.530  0.90716520
      41.950  0.89904342
      42.370  0.89125177
      42.800  0.88392981
      43.230  0.87611397
      43.670  0.86854530
      44.110  0.86114905
      44.560  0.85380698
      45.010  0.84645429
      45.470  0.83893744
      45.930  0.83105156
      46.390  0.82359395
      46.860  0.81666035
      47.330  0.80891035
      47.810  0.80120122
      48.290  0.79346104
      48.760  0.78545264
      49.210  0.77746173
      49.650  0.76946604
      50.080  0.76166827
      50.490  0.75387926
      50.920  0.74617226
      51.330  0.73854984
      51.720  0.73114928
      52.110  0.72383479
      52.490  0.71649934
      52.860  0.70913152
      53.230  0.70199821
      53.590  0.69490352
      53.940  0.68791033
      54.310  0.68095479
      54.700  0.67405366
      55.060  0.66718813
      55.430  0.66043674
      55.790  0.65382594
      56.170  0.64716989
      56.520  0.64052037
      56.880  0.63405268
      57.280  0.62759174
      57.660  0.62112896
      58.070  0.61487366
      58.500  0.60867970
      58.920  0.60258343
      59.310  0.59653910
      59.740  0.59044682
      60.170  0.58444954
      60.640  0.57856909
      61.090  0.57274535
      61.530  0.56697054
      61.980  0.56121948
      62.480  0.55558913
      62.970  0.54988146
      63.460  0.54434185
      63.950  0.53882375
      64.450  0.53340326
      64.950  0.52802704
      65.450  0.52272905
      65.940  0.51750080
      66.440  0.51232046
      66.920  0.50711442
      67.450  0.50200367
      67.970  0.49691971
      68.510  0.49192643
      69.050  0.48689171
      69.580  0.48197801
      70.080  0.47714330
      70.610  0.47232196
      71.140  0.46751563
      71.670  0.46281472
      72.190  0.45816903
      72.720  0.45351378
      73.310  0.44893706
      73.810  0.44444557
      74.350  0.43998883
      74.840  0.43555256
      75.390  0.43118029
      75.910  0.42674402
      76.460  0.42246806
      76.950  0.41824044
      77.510  0.41400370
      78.060  0.40983715
      78.590  0.40572082
      79.120  0.40164322
      79.670  0.39760802
      80.240  0.39357413
      80.830  0.38958814
      81.370  0.38566027
      81.930  0.38176903
      82.490  0.37794607
      83.020  0.37415784
      83.610  0.37040090
      84.170  0.36666225
      84.790  0.36296097
      85.380  0.35927324
      86.010  0.35567866
      86.630  0.35201847
      87.180  0.34846924
      87.770  0.34497480
      88.430  0.34151215
      89.030  0.33801273
      89.620  0.33460783
      90.230  0.33122390
      90.850  0.32787586
      91.540  0.32457942
      92.130  0.32131751
      92.780  0.31807376
      93.370  0.31487906
      94.020  0.31171262
      94.680  0.30856327
      95.300  0.30543551
      95.940  0.30229686
      96.550  0.29927088
      97.240  0.29621936
      97.950  0.29325366
      98.610  0.29026471
      99.250  0.28732783
      99.880  0.28445008
     100.620  0.28158326
     101.280  0.27873973
     102.060  0.27593090
     102.750  0.27317147
     103.380  0.27040147
     104.110  0.26769365
     104.790  0.26498978
     105.460  0.26230341
     106.160  0.25967262
     106.930  0.25706655
     107.620  0.25448507
     108.400  0.25192602
     109.200  0.24938285
     109.960  0.24682618
     110.740  0.24433690
     111.470  0.24186051
     112.260  0.23943465
     113.030  0.23702557
     113.740  0.23462135
     114.580  0.23226764
     115.280  0.22992639
     116.000  0.22761446
     116.690  0.22531122
     117.420  0.22305482
     118.190  0.22081049
     118.950  0.21856310
     119.760  0.21633580
     120.450  0.21415493
     121.220  0.21195161
     122.000  0.20981945
     122.760  0.20772074
     123.560  0.20561102
     124.360  0.20354756
     125.170  0.20150733
     125.920  0.19948941
     126.690  0.19748985
     127.500  0.19548405
     128.270  0.19352407
     129.120  0.19157857
     129.890  0.18964258
     130.750  0.18771620
     131.540  0.18582290
     132.250  0.18394394
     133.080  0.18209872
     133.870  0.18026353
     134.670  0.17845822
     135.580  0.17665650
     136.310  0.17486625
     137.140  0.17306838
     137.940  0.17132588
     138.770  0.16958750
     139.590  0.16787829
     140.410  0.16619673
     141.240  0.16451660
     142.160  0.16286304
     142.970  0.16122811
     143.830  0.15959730
     144.670  0.15800098
     145.510  0.15640267
     146.280  0.15482616
     147.180  0.15326104
     148.020  0.15170154
     148.840  0.15017592
     149.620  0.14866427
     150.420  0.14714421
     151.240  0.14566111
     152.160  0.14418215
     152.960  0.14273866
     153.810  0.14129765
     154.780  0.13987445
     155.630  0.13846520
     156.490  0.13707837
     157.470  0.13570297
     158.390  0.13433779
     159.250  0.13298150
     160.010  0.13164580
     160.880  0.13032376
     161.760  0.12899427
     162.630  0.12768746
     163.480  0.12640679
     164.490  0.12511409
     165.390  0.12385490
     166.300  0.12260262
     167.220  0.12136926
     168.100  0.12014490
     169.060  0.11893225
     170.080  0.11772628
     170.890  0.11654213
     171.740  0.11535349
     172.670  0.11419509
     173.580  0.11304715
     174.400  0.11190200
     175.320  0.11078008
     176.170  0.10965183
     177.060  0.10855373
     177.940  0.10745576
     178.940  0.10637226
     179.700  0.10530588
     180.590  0.10424417
     181.550  0.10319814
     182.420  0.10214052
     183.230  0.10111108
     184.050  0.10009730
     184.960  0.09908704
     186.000  0.09809301
     186.970  0.09711129
     188.030  0.09613686
     188.980  0.09516455
     190.060  0.09420748
     190.920  0.09325766
     191.920  0.09232051
     192.910  0.09138480
     193.900  0.09046985
     194.940  0.08955968
     195.920  0.08865974
     196.950  0.08777302
     197.960  0.08689286
     198.850  0.08601670
     199.680  0.08512969
     200.620  0.08427069
     201.700  0.08341480
     202.650  0.08257480
     203.690  0.08174062
     204.770  0.08091701
     205.890  0.08009564
     207.090  0.07929064
     208.130  0.07849620
     209.190  0.07770702
     210.150  0.07692192
     211.550  0.07613003
     212.470  0.07536147
     213.460  0.07459950
     214.630  0.07385335
     215.690  0.07311381
     216.850  0.07237648
     217.930  0.07164645
     218.940  0.07092805
     220.080  0.07019180
     220.990  0.06948501
     221.970  0.06878773
     223.060  0.06809453
     224.040  0.06741226
     225.140  0.06673170
     226.120  0.06603666
     226.970  0.06535197
     228.030  0.06469801
     229.220  0.06404704
     230.450  0.06340380
     231.600  0.06276069
     232.670  0.06213118
     233.850  0.06150176
     234.980  0.06088581
     236.250  0.06027156
     237.370  0.05966231
     238.400  0.05905897
     239.610  0.05846174
     240.640  0.05786459
     241.940  0.05728362
     243.030  0.05670670
     244.000  0.05612751
     245.190  0.05555921
     246.050  0.05499571
     247.170  0.05444354
     248.120  0.05388597
     249.120  0.05334089
     250.510  0.05280543
     251.620  0.05226423
     252.450  0.05173756
     253.900  0.05120800
     255.190  0.05067864
     256.300  0.05016455
     257.670  0.04966178
     258.630  0.04915972
     259.650  0.04865596
     260.910  0.04816788
     261.790  0.04767928
     262.980  0.04720012
     264.140  0.04672297
     265.230  0.04624812
     266.490  0.04578116
     268.080  0.04531592
     269.480  0.04485085
     270.730  0.04439408
     272.000  0.04394966
     273.470  0.04349551
     274.610  0.04305239
     275.820  0.04262098
     277.320  0.04218838
     278.700  0.04175330
     279.830  0.04133079
     280.950  0.04091036
     282.550  0.04049283
     283.910  0.04008002
     285.270  0.03966070
     286.720  0.03925702
     287.950  0.03885028
     289.410  0.03845413
     290.740  0.03806763
     291.610  0.03767463
     292.950  0.03729111
     294.190  0.03691413
     295.540  0.03653867
     297.280  0.03617147
     298.510  0.03580008
     299.700  0.03543882
     301.160  0.03507778
     302.560  0.03472113
     303.770  0.03437340
     305.540  0.03402821
     306.900  0.03367497
     308.390  0.03333673
     309.730  0.03299705
     311.150  0.03266551
     312.970  0.03233035
     314.750  0.03200300
     315.930  0.03167729
     317.290  0.03135619
     319.400  0.03103856
     320.500  0.03072464
     321.500  0.03041351
     323.320  0.03010832
     325.200  0.02980254
     326.700  0.02950332
     328.090  0.02920281
     329.730  0.02890587
     331.580  0.02861442
     333.580  0.02832669
     335.360  0.02803828
     336.510  0.02774377
     338.740  0.02746051
     340.960  0.02717774
     342.530  0.02689687
     344.210  0.02662197
     345.420  0.02634841
     347.060  0.02607773
     348.820  0.02581615
     350.450  0.02554926
     352.590  0.02529098
     354.050  0.02503058
     356.140  0.02477959
     358.160  0.02452611
     360.190  0.02427887
     362.010  0.02402780
     363.610  0.02378039
     365.350  0.02353764
     367.200  0.02330004
     368.880  0.02306041
     371.120  0.02282049
     373.190  0.02258582
     375.740  0.02235140
     377.980  0.02212155
     379.730  0.02189550
     382.030  0.02166789
     384.000  0.02144616
     386.280  0.02122996
     388.340  0.02101358
     390.490  0.02080210
     393.990  0.02058604
     396.500  0.02037091
     399.020  0.02015892
     401.060  0.01995380
     403.210  0.01974789
     406.410  0.01954140
     409.230  0.01934053
     411.340  0.01914441
     414.540  0.01895083
     418.080  0.01875617
     420.220  0.01856259
     423.090  0.01837181
     425.810  0.01818762
     428.220  0.01799799
     430.610  0.01781088
     434.010  0.01762860
     436.160  0.01744461
     440.280  0.01726248
     443.980  0.01708119
     446.780  0.01690648
     449.810  0.01673379
     452.000  0.01655794
     456.580  0.01639442
     460.830  0.01622442
     465.020  0.01605545
