# Estimated CE-Marked Packets by Message Length for dctcp_static_load_aware_w4 (DCTCP + Static Scheduler + Load-Aware (20 us))
# Values are estimated by distributing aggregate TCP/IP events
# across message-length buckets in proportion to estimated
# packet counts per bucket.
# aggregate_ect0_packets 81669708
# aggregate_ce_packets   0
# length  cum_frac  messages  est_packets  est_events
      60  0.002187     2378       2378.0       0.000
      72  0.004432     2442       2442.0       0.000
      92  0.007453     3286       3286.0       0.000
     119  0.009729     2475       2475.0       0.000
     154  0.011964     2431       2431.0       0.000
     199  0.014274     2512       2512.0       0.000
     222  0.017682     3706       3706.0       0.000
     227  0.020254     2798       2798.0       0.000
     232  0.022896     2873       2873.0       0.000
     237  0.025619     2961       2961.0       0.000
     243  0.028250     2862       2862.0       0.000
     248  0.030765     2735       2735.0       0.000
     254  0.033397     2863       2863.0       0.000
     259  0.036001     2831       2831.0       0.000
     265  0.038602     2829       2829.0       0.000
     271  0.041245     2875       2875.0       0.000
     279  0.044530     3572       3572.0       0.000
     288  0.047833     3593       3593.0       0.000
     297  0.051208     3670       3670.0       0.000
     303  0.060730    10356      10356.0       0.000
     305  0.069172     9181       9181.0       0.000
     308  0.077696     9271       9271.0       0.000
     310  0.086270     9324       9324.0       0.000
     313  0.094787     9263       9263.0       0.000
     315  0.103194     9144       9144.0       0.000
     318  0.111783     9341       9341.0       0.000
     321  0.120385     9355       9355.0       0.000
     323  0.129005     9375       9375.0       0.000
     326  0.137830     9598       9598.0       0.000
     331  0.144328     7066       7066.0       0.000
     335  0.150775     7012       7012.0       0.000
     340  0.157221     7010       7010.0       0.000
     345  0.163712     7060       7060.0       0.000
     350  0.170205     7062       7062.0       0.000
     355  0.176675     7036       7036.0       0.000
     360  0.183310     7216       7216.0       0.000
     365  0.189794     7052       7052.0       0.000
     371  0.196303     7079       7079.0       0.000
     376  0.202860     7131       7131.0       0.000
     385  0.206965     4464       4464.0       0.000
     395  0.211042     4435       4435.0       0.000
     405  0.215103     4416       4416.0       0.000
     415  0.219196     4452       4452.0       0.000
     425  0.223305     4468       4468.0       0.000
     430  0.227365     4416       4416.0       0.000
     435  0.231551     4552       4552.0       0.000
     441  0.235529     4327       4327.0       0.000
     446  0.239577     4402       4402.0       0.000
     452  0.243719     4505       4505.0       0.000
     457  0.247714     4345       4345.0       0.000
     463  0.251729     4366       4366.0       0.000
     468  0.255761     4386       4386.0       0.000
     474  0.259806     4399       4399.0       0.000
     480  0.264080     4648       4648.0       0.000
     491  0.283532    21155      21155.0       0.000
     502  0.303136    21321      21321.0       0.000
     513  0.322775    21359      21359.0       0.000
     525  0.342204    21130      21130.0       0.000
     537  0.361623    21120      21120.0       0.000
     549  0.381071    21151      21151.0       0.000
     561  0.400444    21069      21069.0       0.000
     574  0.419742    20988      20988.0       0.000
     587  0.438989    20932      20932.0       0.000
     600  0.458537    21260      21260.0       0.000
     607  0.464402     6379       6379.0       0.000
     615  0.470246     6356       6356.0       0.000
     623  0.476098     6364       6364.0       0.000
     630  0.481890     6299       6299.0       0.000
     638  0.487687     6305       6305.0       0.000
     646  0.493352     6161       6161.0       0.000
     654  0.499185     6344       6344.0       0.000
     662  0.504900     6215       6215.0       0.000
     671  0.510720     6330       6330.0       0.000
     679  0.516457     6239       6239.0       0.000
     685  0.520062     3921       3921.0       0.000
     690  0.523574     3819       3819.0       0.000
     696  0.527081     3814       3814.0       0.000
     702  0.530494     3712       3712.0       0.000
     707  0.534031     3847       3847.0       0.000
     713  0.537608     3890       3890.0       0.000
     719  0.541099     3797       3797.0       0.000
     725  0.544513     3713       3713.0       0.000
     731  0.548120     3923       3923.0       0.000
     737  0.551656     3845       3845.0       0.000
     749  0.556481     5248       5248.0       0.000
     762  0.561415     5366       5366.0       0.000
     774  0.566314     5328       5328.0       0.000
     787  0.571155     5265       5265.0       0.000
     800  0.575982     5250       5250.0       0.000
     816  0.578935     3211       3211.0       0.000
     833  0.582009     3343       3343.0       0.000
     850  0.584925     3172       3172.0       0.000
     867  0.587943     3282       3282.0       0.000
     885  0.590851     3163       3163.0       0.000
     914  0.594519     3989       3989.0       0.000
     945  0.598259     4067       4067.0       0.000
     976  0.602000     4069       4069.0       0.000
    1009  0.605674     3996       3996.0       0.000
    1042  0.609389     4040       4040.0       0.000
    1085  0.613036     3966       3966.0       0.000
    1130  0.616811     4106       4106.0       0.000
    1177  0.620433     3939       3939.0       0.000
    1226  0.624115     4005       4005.0       0.000
