# Digested data for dctcp_w4 experiment, run at 2026-04-21 06:52:01.850377
# Averaged across 5 repeated sample(s)
# length  cum_frac  samples     p50      p99     p999   s50    s99    s999
      60  0.002198     3615   264.7  14848.3 126254.4  15.8  888.1  7551.1
      72  0.004384     3596   258.6  12402.2 107497.9  15.8  759.5  6582.8
      92  0.007428     5006   259.6  15374.0 169639.8  16.2  956.7 10556.3
     119  0.009568     3519   259.1  11990.8 108458.0  16.3  756.5  6842.8
     154  0.011794     3662   253.7  12463.6 133529.5  16.1  791.3  8478.1
     199  0.014074     3750   258.4  11685.8 135682.8  16.5  748.1  8686.5
     222  0.017580     5766   253.5  12856.2 119945.9  16.4  831.0  7753.5
     227  0.020143     4215   261.4  10473.6 156410.5  17.0  681.9 10183.0
     232  0.022746     4282   253.6  10122.1  98491.3  16.7  665.5  6475.4
     237  0.025333     4255   258.3  13062.3 194118.9  17.1  862.8 12821.6
     243  0.027980     4353   249.2  10097.9 239783.2  16.6  671.9 15953.6
     248  0.030565     4252   267.2  12341.4 136961.0  17.9  825.5  9161.3
     254  0.033095     4161   260.4  14761.7 108295.7  17.5  991.4  7273.0
     259  0.035712     4304   266.4  17273.2 191194.0  17.9 1160.1 12840.4
     265  0.038333     4311   268.3  15219.9 155141.8  18.1 1025.6 10454.3
     271  0.040910     4238   264.1  13209.3 187677.1  17.8  889.5 12638.2
     279  0.044330     5625   252.2   9579.7  65565.0  17.0  646.4  4424.1
     288  0.047743     5613   259.8  15632.7  72009.6  17.5 1052.0  4845.9
     297  0.051128     5568   253.8  12839.8 106301.8  17.1  863.5  7148.7
     303  0.060689    15725   254.2  12448.5 142736.0  17.0  834.9  9573.2
     305  0.069165    13940   253.9  13256.7 134378.8  17.1  890.9  9030.8
     308  0.077676    13999   256.6  11372.5  89586.8  17.2  762.2  6004.5
     310  0.086011    13708   260.0  13030.7 137545.7  17.4  874.5  9231.3
     313  0.094574    14085   262.0  14747.7  97051.9  17.5  987.1  6496.1
     315  0.103130    14071   254.8  12721.7 107267.0  17.1  853.2  7194.3
     318  0.111849    14341   263.4  11907.7 110039.8  17.7  799.2  7385.2
     321  0.120319    13930   258.1  13053.2 135302.5  17.3  876.6  9086.8
     323  0.128857    14043   254.8  14628.4 137472.3  17.1  980.5  9214.0
     326  0.137362    13989   256.9  14050.4  97759.9  17.2  942.4  6556.7
     331  0.143876    10713   259.2  13045.6 127341.4  17.4  873.2  8523.5
     335  0.150410    10746   255.3  14152.7 114951.3  17.1  948.6  7704.5
     340  0.156927    10719   261.9  14599.3 119848.4  17.6  979.2  8038.1
     345  0.163472    10765   259.5  13452.0 119275.5  17.4  901.0  7989.0
     350  0.170009    10752   257.1  12051.6 117319.8  17.2  806.7  7852.7
     355  0.176400    10511   255.6  12206.7  79484.8  17.1  815.4  5309.6
     360  0.183016    10882   257.2  11581.6 126908.0  17.2  772.6  8466.2
     365  0.189551    10748   252.0  16155.7 126712.1  16.8 1074.9  8430.6
     371  0.196150    10853   257.2  14301.4 144804.0  17.2  955.3  9672.9
     376  0.202522    10480   263.1  15612.8 138394.9  17.5 1037.4  9195.7
     385  0.206676     6833   259.6  13177.5 107193.0  17.3  879.1  7151.0
     395  0.210787     6761   262.9  11668.7  69545.6  17.6  780.5  4651.9
     405  0.214885     6740   254.2  16674.6  93042.8  17.0 1117.6  6236.1
     415  0.219001     6769   259.9  12072.8  55316.1  17.4  807.5  3700.1
     425  0.223167     6853   256.9  14548.1 129926.0  17.2  972.5  8684.9
     430  0.227293     6785   254.8  15182.3 114544.1  17.1 1016.9  7672.1
     435  0.231378     6719   255.8  12451.7  82905.6  17.1  834.0  5553.0
     441  0.235483     6751   257.3  12418.9 143555.0  17.2  830.7  9602.3
     446  0.239566     6716   258.6  13752.1 110332.9  17.3  920.5  7385.1
     452  0.243644     6707   263.3  14547.4 136434.3  17.6  973.1  9126.0
     457  0.247757     6765   262.0  12927.2  64167.6  17.4  860.7  4272.1
     463  0.251802     6652   262.3  17082.6 129099.1  17.5 1141.9  8629.6
     468  0.255988     6885   253.5  18748.5 149844.0  16.8 1240.0  9910.3
     474  0.260086     6741   262.0  10566.7  85277.7  17.4  702.1  5666.3
     480  0.264219     6797   260.9  13784.4 146007.4  17.4  920.8  9753.3
     491  0.283578    31841   259.2  12060.9 137249.4  17.2  801.9  9125.6
     502  0.303165    32214   258.1  12487.8 120615.5  17.2  830.9  8025.0
     513  0.322721    32164   258.6  12676.8 108405.4  17.2  842.3  7203.0
     525  0.342501    32533   257.2  12646.3 109548.0  17.1  842.5  7298.3
     537  0.361955    31997   259.3  12588.3 101756.2  17.3  837.5  6770.2
     549  0.381279    31782   261.8  12914.5 127728.0  17.4  857.5  8481.3
     561  0.400852    32191   262.1  13807.5 111771.3  17.4  916.2  7416.8
