# Fraction of RTTS longer than a given time for dctcp_w4 experiment
# Includes messages <= 315 bytes; measured at 2026-04-21 06:52:01.850377
# Averaged across 5 repeated sample(s)
# Data collected at 2026-04-21 06:52:01.850377 
#       usec        frac
      29.340  0.99999398
      31.030  0.99998250
      31.350  0.99996545
      31.740  0.99993598
      32.150  0.99989568
      32.480  0.99984932
      32.830  0.99980380
      33.170  0.99975692
      33.520  0.99966804
      33.890  0.99955668
      34.230  0.99946178
      34.600  0.99928483
      34.960  0.99911075
      35.310  0.99889923
      35.690  0.99862422
      36.060  0.99826624
      36.430  0.99791968
      36.800  0.99760120
      37.170  0.99712462
      37.550  0.99673145
      37.930  0.99621489
      38.310  0.99561197
      38.700  0.99498121
      39.090  0.99436434
      39.490  0.99372540
      39.890  0.99317201
      40.290  0.99248982
      40.700  0.99190737
      41.110  0.99127553
      41.530  0.99055335
      41.950  0.98983011
      42.370  0.98911027
      42.800  0.98832463
      43.230  0.98746433
      43.670  0.98676632
      44.110  0.98606491
      44.560  0.98533543
      45.010  0.98454237
      45.470  0.98371412
      45.930  0.98280003
      46.390  0.98180320
      46.860  0.98079804
      47.330  0.97971331
      47.810  0.97862129
      48.290  0.97730529
      48.780  0.97580456
      49.270  0.97411996
      49.770  0.97234060
      50.270  0.97039827
      50.780  0.96836212
      51.290  0.96621537
      51.810  0.96384513
      52.330  0.96115050
      52.860  0.95865752
      53.390  0.95585674
      53.930  0.95286666
      54.470  0.94999434
      55.020  0.94700028
      55.580  0.94410425
      56.140  0.94122339
      56.710  0.93814195
      57.280  0.93529336
      57.860  0.93231138
      58.440  0.92932742
      59.030  0.92645608
      59.630  0.92350035
      60.230  0.92051564
      60.840  0.91745806
      61.450  0.91465020
      62.070  0.91207206
      62.700  0.90952071
      63.330  0.90701383
      63.970  0.90414241
      64.610  0.90168192
      65.260  0.89936895
      65.920  0.89688159
      66.580  0.89443947
      67.250  0.89216134
      67.930  0.88987082
      68.610  0.88761304
      69.300  0.88529445
      70.000  0.88295322
      70.700  0.88056239
      71.410  0.87831093
      72.130  0.87613323
      72.860  0.87374464
      73.590  0.87147955
      74.330  0.86917863
      75.080  0.86691364
      75.840  0.86471424
      76.600  0.86205926
      77.370  0.85985328
      78.160  0.85750625
      78.950  0.85520540
      79.740  0.85295067
      80.540  0.85059451
      81.350  0.84832920
      82.170  0.84595253
      83.000  0.84373753
      83.840  0.84136606
      84.680  0.83897249
      85.530  0.83648200
      86.390  0.83390761
      87.260  0.83132212
      88.140  0.82871482
      89.030  0.82616648
      89.930  0.82376094
      90.830  0.82136093
      91.740  0.81917459
      92.660  0.81691591
      93.590  0.81454417
      94.530  0.81225509
      95.480  0.80974931
      96.440  0.80739136
      97.410  0.80472263
      98.390  0.80237865
      99.380  0.79990277
     100.380  0.79751897
     101.390  0.79485487
     102.410  0.79229282
     103.440  0.78978108
     104.480  0.78731525
     105.530  0.78473878
     106.590  0.78224402
     107.660  0.77997777
     108.750  0.77749875
     109.840  0.77493200
     110.940  0.77230633
     112.050  0.76995635
     113.180  0.76756453
     114.320  0.76515859
     115.470  0.76250865
     116.630  0.75984953
     117.800  0.75737550
     118.980  0.75475783
     120.170  0.75214233
     121.380  0.74914944
     122.600  0.74642837
     123.830  0.74385275
     125.070  0.74108229
