# Estimated CE-Marked Packets by Message Length for dctcp_w4 (DCTCP)
# Values are estimated by distributing aggregate TCP/IP events
# across message-length buckets in proportion to estimated
# packet counts per bucket.
# aggregate_ect0_packets 128426356
# aggregate_ce_packets   0
# length  cum_frac  messages  est_packets  est_events
      60  0.002198     3615       3615.0       0.000
      72  0.004384     3596       3596.0       0.000
      92  0.007428     5006       5006.0       0.000
     119  0.009568     3519       3519.0       0.000
     154  0.011794     3662       3662.0       0.000
     199  0.014074     3750       3750.0       0.000
     222  0.017580     5766       5766.0       0.000
     227  0.020143     4215       4215.0       0.000
     232  0.022746     4282       4282.0       0.000
     237  0.025333     4255       4255.0       0.000
     243  0.027980     4353       4353.0       0.000
     248  0.030565     4252       4252.0       0.000
     254  0.033095     4161       4161.0       0.000
     259  0.035712     4304       4304.0       0.000
     265  0.038333     4311       4311.0       0.000
     271  0.040910     4238       4238.0       0.000
     279  0.044330     5625       5625.0       0.000
     288  0.047743     5613       5613.0       0.000
     297  0.051128     5568       5568.0       0.000
     303  0.060689    15725      15725.0       0.000
     305  0.069165    13940      13940.0       0.000
     308  0.077676    13999      13999.0       0.000
     310  0.086011    13708      13708.0       0.000
     313  0.094574    14085      14085.0       0.000
     315  0.103130    14071      14071.0       0.000
     318  0.111849    14341      14341.0       0.000
     321  0.120319    13930      13930.0       0.000
     323  0.128857    14043      14043.0       0.000
     326  0.137362    13989      13989.0       0.000
     331  0.143876    10713      10713.0       0.000
     335  0.150410    10746      10746.0       0.000
     340  0.156927    10719      10719.0       0.000
     345  0.163472    10765      10765.0       0.000
     350  0.170009    10752      10752.0       0.000
     355  0.176400    10511      10511.0       0.000
     360  0.183016    10882      10882.0       0.000
     365  0.189551    10748      10748.0       0.000
     371  0.196150    10853      10853.0       0.000
     376  0.202522    10480      10480.0       0.000
     385  0.206676     6833       6833.0       0.000
     395  0.210787     6761       6761.0       0.000
     405  0.214885     6740       6740.0       0.000
     415  0.219001     6769       6769.0       0.000
     425  0.223167     6853       6853.0       0.000
     430  0.227293     6785       6785.0       0.000
     435  0.231378     6719       6719.0       0.000
     441  0.235483     6751       6751.0       0.000
     446  0.239566     6716       6716.0       0.000
     452  0.243644     6707       6707.0       0.000
     457  0.247757     6765       6765.0       0.000
     463  0.251802     6652       6652.0       0.000
     468  0.255988     6885       6885.0       0.000
     474  0.260086     6741       6741.0       0.000
     480  0.264219     6797       6797.0       0.000
     491  0.283578    31841      31841.0       0.000
     502  0.303165    32214      32214.0       0.000
     513  0.322721    32164      32164.0       0.000
     525  0.342501    32533      32533.0       0.000
     537  0.361955    31997      31997.0       0.000
     549  0.381279    31782      31782.0       0.000
     561  0.400852    32191      32191.0       0.000
     574  0.420465    32259      32259.0       0.000
     587  0.440155    32384      32384.0       0.000
     600  0.459434    31709      31709.0       0.000
     607  0.465129     9366       9366.0       0.000
     615  0.470983     9628       9628.0       0.000
     623  0.476672     9357       9357.0       0.000
     630  0.482536     9645       9645.0       0.000
     638  0.488324     9519       9519.0       0.000
     646  0.494148     9579       9579.0       0.000
     654  0.499988     9605       9605.0       0.000
     662  0.505751     9479       9479.0       0.000
     671  0.511445     9364       9364.0       0.000
     679  0.517281     9599       9599.0       0.000
     685  0.520806     5798       5798.0       0.000
     690  0.524334     5803       5803.0       0.000
     696  0.527874     5821       5821.0       0.000
     702  0.531370     5751       5751.0       0.000
     707  0.534829     5689       5689.0       0.000
     713  0.538365     5816       5816.0       0.000
     719  0.541797     5645       5645.0       0.000
     725  0.545330     5810       5810.0       0.000
     731  0.548945     5945       5945.0       0.000
     737  0.552556     5940       5940.0       0.000
     749  0.557435     8025       8025.0       0.000
     762  0.562186     7814       7814.0       0.000
     774  0.567009     7931       7931.0       0.000
     787  0.571806     7891       7891.0       0.000
     800  0.576608     7897       7897.0       0.000
     816  0.579600     4921       4921.0       0.000
     833  0.582578     4898       4898.0       0.000
