# Digested data for homa_w4 experiment, run at 2026-04-21 06:52:01.850377
# Averaged across 5 repeated sample(s)
# length  cum_frac  samples     p50      p99     p999   s50    s99    s999
      60  0.002271     2446    93.7    336.3    634.3   5.6   20.1    37.9
      72  0.004557     2463    96.1    317.1    494.7   5.9   19.4    30.3
      92  0.007502     3173    91.9    330.2    513.6   5.7   20.5    32.0
     119  0.009682     2348    94.5    358.4    610.8   6.0   22.6    38.5
     154  0.011839     2324    93.8    394.5   1024.6   6.0   25.0    65.1
     199  0.014065     2398    95.0    329.0    880.0   6.1   21.1    56.3
     222  0.017465     3662    92.1    332.0    744.1   6.0   21.5    48.1
     227  0.020045     2780    93.0    377.2    606.7   6.1   24.6    39.5
     232  0.022640     2795    94.9    371.5    779.9   6.2   24.4    51.3
     237  0.025209     2767    91.7    318.8    555.3   6.1   21.1    36.7
     243  0.027736     2723    93.2    357.4    524.9   6.2   23.8    34.9
     248  0.030238     2695    94.0    319.7    619.6   6.3   21.4    41.4
     254  0.032851     2815    96.0    343.0    747.8   6.4   23.0    50.2
     259  0.035545     2902    94.5    357.2    572.2   6.3   24.0    38.4
     265  0.038136     2791    95.0    364.7    981.2   6.4   24.6    66.1
     271  0.040688     2749    92.9    340.9    854.5   6.3   23.0    57.5
     279  0.044001     3569    94.9    342.1   1068.7   6.4   23.1    72.1
     288  0.047284     3537    92.2    367.3    830.2   6.2   24.7    55.9
     297  0.050662     3639    94.7    329.7    780.0   6.4   22.2    52.5
     303  0.060381    10469    93.3    336.1    620.2   6.3   22.5    41.6
     305  0.068714     8977    93.5    323.8    582.3   6.3   21.8    39.1
     308  0.077146     9083    94.0    352.9    682.6   6.3   23.7    45.8
     310  0.085699     9214    93.3    326.4    600.9   6.3   21.9    40.3
     313  0.094205     9163    93.8    337.6    574.2   6.3   22.6    38.4
     315  0.102804     9264    94.3    331.4    594.7   6.3   22.2    39.9
     318  0.111411     9271    92.6    327.4   1153.0   6.2   22.0    77.4
     321  0.119752     8986    94.4    342.4    884.7   6.3   23.0    59.4
     323  0.128340     9251    92.3    334.2    686.4   6.2   22.4    46.0
     326  0.136686     8991    93.5    336.4    665.0   6.3   22.6    44.6
     331  0.143237     7057    93.7    334.4    565.1   6.3   22.4    37.8
     335  0.149691     6953    93.4    337.8    793.9   6.3   22.6    53.2
     340  0.156236     7050    95.5    339.5    747.8   6.4   22.8    50.2
     345  0.162855     7131    93.7    334.3    634.5   6.3   22.4    42.5
     350  0.169564     7227    93.6    325.6    552.5   6.3   21.8    37.0
     355  0.176088     7028    93.1    344.6    690.3   6.2   23.0    46.1
     360  0.182532     6942    94.9    343.9    916.7   6.3   22.9    61.2
     365  0.188981     6947    92.5    326.3    543.5   6.2   21.7    36.2
     371  0.195522     7046    94.6    364.6    939.4   6.3   24.4    62.8
     376  0.202129     7118    94.1    319.0    617.7   6.3   21.2    41.0
     385  0.206203     4388    92.4    315.0   1133.4   6.2   21.0    75.6
     395  0.210297     4410    94.6    332.5    525.7   6.3   22.2    35.2
     405  0.214383     4402    94.0    327.8   1252.2   6.3   22.0    83.9
     415  0.218421     4350    92.4    341.4    884.3   6.2   22.8    59.1
     425  0.222481     4374    93.5    365.2   1431.8   6.2   24.4    95.7
     430  0.226729     4576    93.9    346.0    853.5   6.3   23.2    57.2
     435  0.230826     4413    93.4    356.6   1067.7   6.3   23.9    71.5
     441  0.234928     4419    96.2    347.4    730.9   6.4   23.2    48.9
     446  0.238939     4321    93.3    345.1   1007.9   6.2   23.1    67.5
     452  0.243005     4380    94.1    319.4    983.5   6.3   21.4    65.8
     457  0.247046     4353    92.6    312.9    506.4   6.2   20.8    33.7
     463  0.251158     4430    95.0    306.0    632.2   6.3   20.5    42.3
     468  0.255293     4454    96.0    342.6    663.7   6.4   22.7    43.9
     474  0.259443     4471    96.9    340.3   1061.9   6.4   22.6    70.6
     480  0.263562     4437    95.7    343.4   1023.1   6.4   22.9    68.3
     491  0.282899    20831    94.3    336.2    639.8   6.3   22.4    42.5
     502  0.302340    20943    93.1    337.3    620.2   6.2   22.4    41.3
     513  0.322009    21188    93.7    350.5    626.6   6.2   23.3    41.6
     525  0.341559    21060    93.3    334.4    542.5   6.2   22.3    36.1
     537  0.361210    21170    94.1    335.1    597.1   6.3   22.3    39.7
     549  0.380591    20878    94.2    335.6    610.9   6.3   22.3    40.6
