# Fraction of RTTS longer than a given time for homa_w4 experiment
# Includes messages <= 315 bytes; measured at 2026-04-21 06:52:01.850377
# Averaged across 5 repeated sample(s)
# Data collected at 2026-04-21 06:52:01.850377 
#       usec        frac
      18.870  0.99999098
      19.470  0.99996407
      19.750  0.99993693
      20.000  0.99991900
      20.340  0.99987396
      20.560  0.99985591
      20.820  0.99984684
      21.060  0.99979281
      21.280  0.99974752
      21.500  0.99966660
      21.720  0.99962145
      21.950  0.99950422
      22.180  0.99935057
      22.410  0.99921518
      22.690  0.99908866
      22.970  0.99894401
      23.200  0.99880850
      23.440  0.99858234
      23.680  0.99829339
      23.920  0.99804969
      24.160  0.99768832
      24.410  0.99728183
      24.670  0.99692067
      24.920  0.99655961
      25.170  0.99608077
      25.430  0.99547557
      25.690  0.99489746
      25.950  0.99412088
      26.210  0.99332708
      26.480  0.99246852
      26.750  0.99145812
      27.020  0.99045553
      27.300  0.98926351
      27.580  0.98819744
      27.860  0.98707774
      28.140  0.98572278
      28.430  0.98428712
      28.720  0.98277002
      29.010  0.98107143
      29.310  0.97925593
      29.610  0.97760302
      29.910  0.97556401
      30.210  0.97348758
      30.520  0.97107810
      30.830  0.96888255
      31.140  0.96667231
      31.460  0.96413641
      31.780  0.96170758
      32.100  0.95891684
      32.430  0.95617229
      32.760  0.95338081
      33.090  0.95049161
      33.430  0.94737548
      33.770  0.94430470
      34.110  0.94173246
      34.460  0.93838242
      34.810  0.93517622
      35.160  0.93215021
      35.520  0.92871841
      35.880  0.92564844
      36.240  0.92272376
      36.610  0.91969805
      36.980  0.91657479
      37.350  0.91363915
      37.730  0.91080428
      38.110  0.90774349
      38.500  0.90446533
      38.890  0.90092435
      39.280  0.89792648
      39.680  0.89464992
      40.080  0.89140897
      40.490  0.88836495
      40.900  0.88536600
      41.310  0.88235933
      41.730  0.87906534
      42.150  0.87626672
      42.580  0.87357535
      43.010  0.87066774
      43.450  0.86765887
      43.890  0.86476865
      44.330  0.86139938
      44.780  0.85836608
      45.230  0.85515253
      45.690  0.85181240
      46.150  0.84864257
      46.620  0.84579684
      47.090  0.84276410
      47.570  0.83964857
      48.050  0.83644384
      48.540  0.83316703
      49.030  0.83003596
      49.530  0.82662132
      50.030  0.82334451
      50.540  0.81956994
      51.050  0.81610026
      51.580  0.81246052
      52.100  0.80881280
      52.630  0.80512003
      53.160  0.80154545
      53.700  0.79809598
      54.240  0.79466560
      54.790  0.79101976
      55.340  0.78726492
      55.900  0.78355385
      56.460  0.77957137
      57.030  0.77538134
      57.610  0.77120821
      58.190  0.76727072
      58.780  0.76317927
      59.370  0.75868131
      59.970  0.75411087
      60.570  0.74946791
      61.180  0.74495259
      61.800  0.74026669
      62.420  0.73548884
      63.050  0.73088510
      63.690  0.72557427
      64.330  0.72071675
      64.980  0.71596532
      65.630  0.71088103
      66.290  0.70620361
      66.960  0.70095733
      67.630  0.69554743
      68.310  0.69011973
      69.000  0.68470159
      69.700  0.67983263
      70.400  0.67466633
      71.110  0.66950974
      71.830  0.66390203
      72.550  0.65772628
      73.280  0.65241481
      74.020  0.64697045
      74.770  0.64190640
      75.520  0.63650852
      76.280  0.63017796
      77.050  0.62429853
      77.830  0.61839956
      78.610  0.61245937
      79.390  0.60629407
      80.140  0.60021551
      80.940  0.59417590
      81.700  0.58821360
      82.520  0.58236169
      83.310  0.57652759
      84.030  0.57069387
      84.760  0.56494995
      85.590  0.55929544
      86.370  0.55362360
      87.190  0.54804469
      87.920  0.54252550
      88.590  0.53705532
      89.350  0.53168170
      90.090  0.52631774
      90.810  0.52102714
      91.510  0.51573465
      92.180  0.51053292
      92.920  0.50536032
      93.600  0.50025813
      94.360  0.49520202
      95.090  0.49016294
      95.760  0.48525925
      96.380  0.48033202
      97.090  0.47544536
      97.800  0.47066139
      98.480  0.46588476
      99.160  0.46115241
      99.830  0.45644848
     100.450  0.45180742
     101.080  0.44727288
     101.710  0.44274934
     102.360  0.43830484
     103.040  0.43383587
     103.700  0.42942969
     104.280  0.42509595
     104.880  0.42084200
     105.540  0.41661517
     106.180  0.41240909
