# Fraction of RTTS longer than a given time for dctcp_http2_s2_w4 experiment
# Includes messages <= 315 bytes; measured at 2026-04-20 22:06:50.283378
# Averaged across 1 repeated sample(s)
# Data collected at 2026-04-20 22:06:50.283378 
#       usec        frac
     214.270  0.99807692
     359.940  0.99615385
     434.400  0.99423077
     506.990  0.99230769
     634.630  0.99038462
     720.830  0.98846154
     734.240  0.98653846
     751.430  0.98461538
     768.450  0.98269231
     875.710  0.98076923
     959.940  0.97884615
     990.600  0.97692308
    1186.990  0.97500000
    1248.240  0.97307692
    1331.700  0.97115385
    1767.350  0.96923077
    1937.740  0.96730769
    2282.690  0.96538462
    2477.660  0.96346154
    2535.910  0.96153846
    2614.640  0.95769231
    2799.610  0.95576923
    2984.810  0.95384615
    3033.140  0.95192308
    3067.600  0.94423077
    3193.720  0.93846154
    3233.570  0.93653846
    3325.890  0.93076923
    3406.380  0.92884615
    3525.640  0.92307692
    3592.410  0.91923077
    3676.420  0.91153846
    3717.380  0.90576923
    3815.740  0.90192308
    3866.180  0.89423077
    3906.660  0.89230769
    4002.450  0.88846154
    4119.390  0.88269231
    4184.330  0.88076923
    4306.000  0.87884615
    4403.530  0.87692308
    4482.670  0.87500000
    4626.820  0.87115385
    4752.750  0.86923077
    5245.270  0.86730769
    5319.780  0.86538462
    5402.260  0.86153846
    5548.060  0.85961538
    5588.290  0.85000000
    5660.770  0.84423077
    5726.410  0.84230769
    5841.810  0.83846154
    5912.610  0.83461538
    6029.870  0.82692308
    6117.250  0.81730769
    6182.630  0.81346154
    6284.560  0.80961538
    6367.110  0.80576923
    6469.980  0.79615385
    6543.100  0.79423077
    6638.290  0.78846154
    6716.040  0.78461538
    6830.220  0.77884615
    6941.110  0.77115385
    7028.360  0.76538462
    7117.690  0.75961538
    7227.820  0.75576923
    7470.580  0.75384615
    7619.390  0.74807692
    7883.550  0.74615385
    7990.340  0.74423077
    8222.880  0.74038462
    8404.820  0.73653846
    8552.350  0.73076923
    8651.420  0.72692308
    8714.080  0.71923077
    8795.830  0.71153846
    8944.630  0.70576923
    9028.760  0.69807692
    9150.650  0.69038462
    9228.610  0.68269231
    9356.400  0.67500000
    9643.810  0.66923077
    9762.630  0.66538462
   10120.570  0.66346154
   10383.850  0.65961538
   10499.760  0.65576923
   10664.090  0.65384615
   10779.110  0.65000000
   10972.630  0.64615385
   11111.940  0.64230769
   11173.840  0.63461538
   11302.610  0.63076923
   11418.750  0.62500000
   11501.590  0.61730769
   11603.120  0.60961538
   11722.730  0.60576923
   11825.110  0.59807692
   11986.140  0.59038462
   12081.250  0.58269231
   12263.470  0.57500000
   12404.300  0.57307692
   12468.680  0.56730769
   12759.530  0.56153846
   13072.080  0.55769231
   13281.690  0.55576923
   13457.700  0.55192308
   13646.450  0.55000000
   13926.710  0.54423077
   14050.130  0.53846154
   14177.750  0.53269231
   14288.030  0.52692308
   14441.420  0.52115385
   14506.730  0.51538462
   14547.690  0.50961538
   14662.320  0.50384615
   14707.350  0.49807692
   14781.390  0.49230769
   14827.690  0.48653846
   14919.690  0.48076923
   14980.760  0.47500000
   15113.410  0.46923077
   15216.580  0.46346154
   15355.170  0.45769231
   15543.060  0.45384615
   15745.830  0.45192308
   15907.420  0.44807692
   16493.550  0.44615385
   16681.910  0.44230769
   16754.170  0.43653846
   16822.540  0.43076923
   16929.130  0.42500000
   17060.100  0.41923077
   17110.960  0.41346154
   17277.790  0.40769231
   17430.840  0.40192308
   17614.250  0.39615385
   17864.650  0.39038462
   18118.550  0.38653846
   18245.840  0.38076923
   18313.020  0.37692308
   18551.900  0.37307692
   18992.970  0.36923077
   19568.150  0.36538462
   19871.830  0.36153846
   20136.580  0.35769231
   20225.890  0.35384615
   20253.050  0.35000000
   20405.280  0.34615385
   20468.740  0.34230769
   20645.020  0.33846154
   20744.590  0.33461538
   20957.130  0.33076923
   21040.030  0.32692308
   21118.270  0.32307692
   21235.860  0.31923077
   21544.900  0.31730769
   21812.160  0.31346154
   21979.220  0.30961538
   22461.030  0.30576923
   22724.720  0.30192308
   22746.060  0.29807692
   22935.990  0.29423077
   23070.200  0.29038462
   23095.130  0.28653846
   23246.980  0.28269231
   23484.760  0.27884615
   23540.790  0.27500000
   23600.220  0.27115385
   23921.470  0.26923077
   24209.400  0.26538462
   24676.020  0.26153846
   25327.160  0.25769231
   25713.110  0.25384615
   25810.460  0.25000000
   25818.020  0.24615385
   25879.140  0.24230769
   25919.360  0.23846154
   26077.360  0.23461538
   26119.590  0.23076923
   26285.340  0.22692308
   26494.980  0.22307692
   27705.870  0.22115385
   28080.630  0.21923077
   28466.170  0.21538462
   28715.910  0.21153846
   28924.480  0.20769231
   29993.860  0.20384615
   31331.400  0.20000000
   31768.830  0.19807692
   32530.140  0.19615385
   33328.460  0.19230769
   33514.670  0.19038462
   33843.410  0.18846154
   33890.880  0.18653846
   33952.600  0.18461538
   34003.320  0.18269231
   34205.640  0.18076923
   34230.610  0.17884615
   34298.810  0.17692308
   34623.110  0.17500000
   35371.800  0.17307692
   35578.210  0.17115385
   36490.440  0.16923077
   36643.240  0.16730769
   36797.700  0.16538462
   37018.400  0.16346154
   37647.030  0.16153846
   42275.190  0.15961538
   42320.910  0.15769231
   70238.270  0.15576923
 1013191.820  0.15384615
 1013519.790  0.15192308
 1013773.070  0.15000000
 1013820.050  0.14807692
 1014500.610  0.14615385
 1014529.080  0.14423077
 1015723.060  0.14230769
 1016129.260  0.14038462
 1017532.290  0.13846154
 1017805.200  0.13653846
 1017833.720  0.13461538
 1017863.280  0.13269231
 1019028.600  0.13076923
 1019641.130  0.12884615
 1020638.370  0.12692308
 1022215.980  0.12500000
 1022971.330  0.12307692
 1023358.020  0.12115385
 1027530.380  0.11923077
 1027560.900  0.11730769
 1027835.950  0.11538462
 1028007.840  0.11346154
 1028156.900  0.11153846
 1028307.110  0.10961538
 1028850.710  0.10769231
 1028856.900  0.10576923
 1028979.610  0.10384615
 1029422.430  0.10192308
 1030902.030  0.10000000
 1031095.700  0.09807692
 1033545.250  0.09615385
 1034778.840  0.09423077
 1036998.340  0.09230769
 1039520.590  0.09038462
 1044346.170  0.08846154
 1044684.270  0.08653846
 1044767.230  0.08461538
