# Digested data for dctcp_http2_s8_w4 experiment, run at 2026-04-20 22:06:50.283378
# Averaged across 1 repeated sample(s)
# length  cum_frac  samples     p50      p99     p999   s50    s99    s999
     243  0.025977      202 12161.5 2117128.1 2119763.3 736.0 129892.7 132305.6
     303  0.058771      255  9719.9 2112194.3 2142854.3 620.5 133692.1 137011.1
     310  0.084234      198 14110.2 1122243.7 2116835.3 905.1 71984.8 135781.6
     318  0.111626      213 12058.5 2107110.9 2114638.0 740.7 129112.2 129573.4
     326  0.139789      219 12830.0 1088733.9 3125970.9 781.8 66345.8 190491.8
     345  0.166409      207 11531.1 2107273.4 2119788.9 698.9 126867.8 128472.1
     365  0.195473      226 11897.7 1094890.7 1147684.8 718.6 66916.2 69430.4
     415  0.222865      213 12261.7 1108845.1 3128361.7 758.3 68616.6 195522.6
     452  0.247942      195 11984.2 2112711.5 2112792.6 748.8 131720.2 132417.3
     491  0.287166      305 11893.0 1122587.1 3123020.7 766.3 72378.3 194580.7
     513  0.329604      330 12830.5 1133926.3 2119712.1 824.6 72874.4 136228.3
     537  0.367541      295 12227.6 3123135.8 3128690.9 774.9 198086.0 198773.2
     561  0.412166      347 12316.5 1091533.7 3125539.1 789.5 70015.0 200355.1
     587  0.450746      300 12155.5 2110008.3 3125782.5 777.1 133207.6 197334.8
     607  0.476209      198 12723.6 2112322.1 2117239.9 801.2 132268.1 132576.1
     646  0.505015      224 10646.5 1097453.5 2145391.4 658.0 68122.5 132759.4
     690  0.531893      209  9116.5 1106331.9 3128137.4 558.4 68339.9 190623.9
     737  0.559671      216 16710.6 1112001.1 1121889.9 1026.4 68586.1 68912.2
     800  0.585262      199 11800.1 2116455.0 3125769.4 717.1 128192.3 189440.6
     945  0.610211      194 12301.2 1122109.4 1151379.6 732.4 67018.6 67965.4
    1226  0.635417      196 11112.2 2109199.7 2109905.9 620.4 118361.4 120704.0
    1559  0.662166      208 14956.6 1106519.0 3125680.1 677.2 59021.3 165292.4
    2742  0.689558      213 11509.3 1103889.9 3130757.5 471.7 45251.2 128573.2
    7830  0.717335      216 14164.8 1107013.5 2106671.4 497.4 41038.7 76273.4
   38377  0.742670      197 11036.9 1097194.0 2109381.8 163.1 27233.0 53824.5
   45079  0.771734      226 12249.3 1106794.9 3128505.2 141.0 12813.9 36879.7
   48609  0.797711      202 10762.3 1109229.4 3125547.8 108.2 11699.2 33873.9
   55381  0.823945      204 13753.8 1164833.4 3130765.7  99.3 10291.9 20622.9
   76416  0.849151      196 12568.5 2120073.6 2145533.6  74.5 12080.7 12245.6
   85305  0.876286      211 13768.4 1106712.0 3128677.9  67.0 5856.7 16935.6
  123857  0.902006      200 22341.0 2087149.2 2155023.4  70.9 5957.0  7024.4
  189618  0.926955      194 24084.1 2151067.0 3215371.1  43.9 5680.1  6402.8
  283277  0.954604      215 28904.8 2109950.6 3175514.2  42.2 3524.6  4953.3
 1000000  1.000000      353 57205.9 3162929.7 3246252.6  22.8 1838.7  2738.5
