# Digested data for dctcp_w4 experiment, run at 2026-04-20 23:30:41.557632
# Averaged across 1 repeated sample(s)
# length  cum_frac  samples     p50      p99     p999   s50    s99    s999
     119  0.009139      573  2565.6 1027923.8 1171663.8 160.9 65338.0 74580.8
     227  0.019363      641  2708.4 1028112.9 1032908.7 176.9 66592.0 67598.7
     248  0.030113      674  2663.9 1029112.0 1047786.6 177.8 68632.7 69802.3
     271  0.040369      643  2618.1 1032346.3 1180381.2 177.4 69894.8 79917.5
     297  0.049763      589  2639.4 1035336.8 1175315.0 178.1 69955.2 79306.0
     303  0.059604      617  2565.1 1024413.4 1049721.9 173.0 69077.1 70783.7
     305  0.068313      546  2703.1 1026366.1 1119453.9 182.8 69395.9 75689.9
     308  0.077245      560  2623.8 1023854.4 1058062.3 177.2 69132.6 71442.4
     310  0.086049      552  2706.1 1030979.7 2094089.5 182.3 69473.0 141111.2
     313  0.094678      541  2526.2 1026004.3 1075636.2 171.4 69606.8 72974.0
     315  0.102796      509  2693.8 1033040.7 1053114.1 183.0 70179.4 71543.1
     318  0.111584      551  2833.9 1022932.2 1035957.4 192.9 69634.6 70521.3
     321  0.120452      556  2567.9 1031691.2 2029322.9 175.0 70326.6 138331.5
     323  0.129352      558  2531.1 1030736.2 1094558.9 172.5 70261.5 74612.1
     326  0.138157      552  2670.2 1023698.1 1189881.4 181.6 69639.3 80944.3
     335  0.150868      797  2693.8 1033919.8 1212374.4 181.9 70047.4 81861.9
     345  0.164378      847  2637.4 1024379.1 1037257.1 179.1 69472.5 70322.5
     355  0.177744      838  2647.5 1031720.4 1132078.5 179.2 69852.4 76647.2
     365  0.190360      791  2778.1 1031738.8 1109231.3 187.5 69707.4 75304.2
     376  0.203566      828  2635.1 1034647.7 1173950.9 178.6 70145.6 79589.9
     395  0.212163      539  2717.0 1024212.7 1039538.7 184.3 69454.9 70525.0
     415  0.220664      533  2658.8 1034815.7 1105259.7 180.2 70156.1 74882.1
     430  0.228942      519  2469.8 1028552.3 1178516.1 167.2 69590.8 79737.2
     446  0.240681      736  2703.9 1029719.2 2033562.0 183.0 69811.5 137775.2
     463  0.252771      758  2506.7 1030706.8 1157031.9 169.4 69669.9 78389.7
     480  0.265595      804  2644.6 1031934.5 1077817.4 179.2 69914.3 73022.9
     491  0.285707     1261  2602.7 1027546.6 1050663.7 175.7 69381.9 70942.9
     502  0.304496     1178  2612.9 1033752.3 1087323.1 176.2 69706.8 73319.2
     513  0.323604     1198  2512.6 1033505.2 2028076.5 169.2 69596.3 136570.8
     525  0.343366     1239  2630.1 1027491.4 1041475.3 177.4 69284.7 70227.6
     537  0.363032     1233  2614.7 1028748.2 1086840.3 176.2 69322.7 73237.2
     549  0.383240     1267  2548.5 1028532.9 1091737.3 171.3 69121.8 73369.4
     561  0.403432     1266  2668.6 1032992.0 1094123.7 179.2 69374.9 73480.4
     574  0.422301     1183  2539.4 1030335.9 1043149.7 170.0 68964.9 69822.6
     587  0.440914     1167  2607.5 1028073.0 1103838.3 174.6 68859.5 73934.2
     600  0.460660     1238  2534.3 1030016.5 1043962.3 169.4 68851.4 69783.6
     615  0.472128      719  2638.7 1031557.5 1077859.3 175.8 68810.2 71809.4
     630  0.483675      724  2641.1 1027570.4 2053616.6 175.7 68413.5 136634.5
     646  0.494872      702  2596.3 1025185.0 2053302.2 171.5 67896.1 135531.5
     662  0.506276      715  2632.6 1027609.9 2054619.8 174.6 68189.1 136248.0
     679  0.517792      722  2567.5 1031215.0 2054207.0 170.3 68383.0 136220.6
     696  0.528813      691  2661.1 1030817.1 1135208.1 176.3 68311.3 75179.3
     713  0.539659      680  2795.3 1031101.0 1045126.5 184.4 68154.9 68894.3
     731  0.549580      622  2556.7 1036666.2 1191889.4 168.8 68608.0 78568.8
     749  0.557650      506  2553.9 1024906.0 1110464.5 168.5 67605.9 73249.6
     774  0.567364      609  2527.1 1025084.8 1076023.6 166.6 67617.7 70977.8
     800  0.577029      606  2707.1 1029556.2 1050455.1 177.9 67556.5 68792.1
     850  0.586503      594  2634.7 1034951.3 2053961.9 173.2 67749.9 134774.4
     914  0.595387      557  2675.4 1034602.8 1201951.7 174.5 67562.7 78456.4
    1009  0.606074      670  2595.4 1026990.7 1101499.7 168.1 66601.2 71433.2
    1130  0.617733      731  2697.2 1027820.5 2040194.6 171.8 65577.9 130447.2
    1226  0.625724      501  2718.0 1026996.7 2083410.0 170.9 64726.7 131528.4
    1357  0.635230      596  2673.4 1035171.1 1164445.4 167.5 64693.6 72868.9
    1484  0.643970      548  2652.8 1029531.8 1138286.8 111.6 62839.6 70657.2
    1585  0.655151      701  2650.3 1030320.4 1039071.7  84.5 41466.4 42550.0
    1664  0.667209      756  2666.4 1028024.8 1051043.4 109.5 42308.8 43146.3
    2412  0.676954      611  2608.8 1027779.2 1058810.7  43.8 41594.1 42183.7
    3544  0.685439      532  2513.7 1027776.6 2055996.1  97.4 41188.1 78790.0
    5210  0.693813      525  2749.2 1028841.2 1043949.2  75.4 38735.6 39365.2
    6653  0.702362      536  2736.8 1030750.1 1168753.1  94.1 36301.4 39325.5
   10373  0.711182      553  2685.3 1033759.0 1276787.8  80.4 32397.0 37267.6
   24115  0.719237      505  2637.3 1028726.1 1039031.9  56.8 25594.5 26255.2
   36322  0.729780      661  2651.2 1023747.9 2042862.0  34.5 14236.4 28228.0
   39327  0.738393      540  2699.8 1025213.4 2036361.0  29.3 12528.8 17231.0
   42062  0.750371      751  2715.4 1031058.4 1042110.1  26.6 11697.9 12003.7
   44531  0.761583      703  2730.5 1028920.1 1050176.1  27.6 11123.5 11222.3
   45634  0.769718      510  2770.8 1029797.6 2053793.9  22.3 8782.2 17514.9
   47435  0.782844      823  2786.5 1032017.2 1055743.2  25.3 10787.5 10930.9
   48609  0.794153      709  2900.5 1033658.7 1116730.5  22.2 8254.4  8353.1
   49813  0.805637      720  2906.5 1027176.9 1044670.8  23.3 8749.2  8875.2
   51046  0.816785      699  2908.9 1022851.2 1038774.1  29.6 10581.4 10735.6
   64132  0.826339      599  2901.7 1025772.1 1047166.5  26.0 9538.5  9850.1
   71156  0.834968      541  3169.2 1027214.9 1074517.1  22.6 8023.8  8104.9
   75180  0.843565      539  3231.3 1033535.9 1038875.2  19.9 6853.7  6972.5
   77041  0.852561      564  3309.8 1028383.6 1033534.6  22.3 6945.8  6998.0
   78948  0.861620      568  3739.2 1032744.2 2064026.3  24.5 6813.2 13379.3
   80903  0.870329      546  4310.4 1033296.8 1054382.5  27.8 6667.1  6782.8
   89216  0.880249      622  5394.2 1034734.6 2025770.8  32.8 6408.1 12756.7
  102058  0.890346      633  5598.4 1028613.2 2035221.4  30.1 5718.3 11340.2
  113929  0.899086      548  5957.4 1038898.1 2039232.1  27.5 4962.7  9881.0
  129272  0.907523      529  5615.1 1045609.9 2056228.0  23.7 4476.5  8655.3
  149091  0.915658      510  6723.9 1035281.4 2053414.4  23.3 3993.6  7989.3
  181304  0.926472      678  6912.9 1034894.1 2061353.5  20.5 3417.1  5849.0
  206566  0.934558      507  8502.6 1043000.3 2057203.2  21.9 2735.7  5402.0
  231530  0.942932      525  8744.9 1040666.6 2038893.1  20.4 2482.9  4887.7
  268113  0.951242      521  9177.2 1041942.5 2042243.8  19.2 2299.8  4324.6
  426666  0.961848      665 11148.5 2028988.4 3048446.9  17.7 2591.9  4468.7
  792711  0.970206      524 18641.1 2056657.8 3078241.7  15.8 2022.8  2160.8
 1000000  1.000000     1868 29486.4 2069872.7 3081266.9  15.5 1092.2  1620.2
