# Fraction of RTTS longer than a given time for dctcp_w4 experiment
# Includes messages <= 315 bytes; measured at 2026-04-20 23:35:25.768687
# Averaged across 1 repeated sample(s)
# Data collected at 2026-04-20 23:35:25.768687 
#       usec        frac
     247.000  0.99981413
     282.260  0.99962825
     302.340  0.99944238
     307.160  0.99925651
     335.820  0.99888476
     347.350  0.99869888
     394.050  0.99851301
     400.140  0.99832714
     405.000  0.99814126
     417.810  0.99795539
     440.250  0.99758364
     477.860  0.99739777
     489.590  0.99702602
     496.190  0.99684015
     507.480  0.99665428
     523.850  0.99628253
     544.960  0.99609665
     555.460  0.99553903
     562.980  0.99479554
     574.200  0.99460967
     589.250  0.99442379
     599.390  0.99423792
     616.530  0.99368030
     623.880  0.99330855
     648.960  0.99312268
     656.810  0.99275093
     669.920  0.99256506
     706.180  0.99219331
     715.350  0.99182156
     738.140  0.99163569
     756.880  0.99126394
     765.340  0.99089219
     777.620  0.99033457
     798.040  0.98996283
     806.130  0.98903346
     816.930  0.98884758
     825.370  0.98828996
     838.740  0.98810409
     849.510  0.98791822
     861.870  0.98717472
     871.450  0.98698885
     885.870  0.98680297
     896.500  0.98661710
     912.580  0.98624535
     932.130  0.98587361
     943.860  0.98531599
     973.250  0.98475836
     987.430  0.98401487
    1010.780  0.98364312
    1025.300  0.98271375
    1048.970  0.98252788
    1077.450  0.98215613
    1113.410  0.98178439
    1125.640  0.98159851
    1146.110  0.98085502
    1161.370  0.98029740
    1200.650  0.97973978
    1220.400  0.97936803
    1253.650  0.97899628
    1311.310  0.97862454
    1338.090  0.97806691
    1358.830  0.97769517
    1376.200  0.97732342
    1419.450  0.97713755
    1433.850  0.97695167
    1453.640  0.97657993
    1519.360  0.97639405
    1541.340  0.97620818
    1593.570  0.97602230
    1649.460  0.97583643
    1708.270  0.97565056
    1754.800  0.97546468
    1779.380  0.97527881
    1798.880  0.97490706
    1855.640  0.97472119
    1890.070  0.97453532
    1923.640  0.97360595
    1952.530  0.97323420
    1977.540  0.97286245
    2003.060  0.97249071
    2039.800  0.97193309
    2063.180  0.97174721
    2099.890  0.97156134
    2122.070  0.97137546
    2144.320  0.97118959
    2167.860  0.97100372
    2191.900  0.97026022
    2232.580  0.96988848
    2257.860  0.96914498
    2281.500  0.96840149
    2306.320  0.96765799
    2354.080  0.96710037
    2381.870  0.96617100
    2409.200  0.96505576
    2449.190  0.96394052
    2476.780  0.96245353
    2503.190  0.96078067
    2530.130  0.95966543
    2557.350  0.95706320
    2588.610  0.95557621
    2614.760  0.95353160
    2641.200  0.95037175
    2675.060  0.94851301
    2705.080  0.94684015
    2735.550  0.94423792
    2764.980  0.94182156
    2796.160  0.93977695
    2825.290  0.93680297
    2854.240  0.93457249
    2883.150  0.93122677
    2913.230  0.92788104
    2943.620  0.92434944
    2973.350  0.92118959
    3011.720  0.91858736
    3042.320  0.91524164
    3076.480  0.91189591
    3107.640  0.90892193
    3138.820  0.90650558
    3173.070  0.90408922
    3205.070  0.90111524
    3237.180  0.90018587
    3271.720  0.89795539
    3309.040  0.89498141
    3342.920  0.89200743
    3382.440  0.88866171
    3417.190  0.88605948
    3453.030  0.88234201
    3487.730  0.87973978
    3526.510  0.87769517
    3562.150  0.87527881
    3604.500  0.87434944
    3651.160  0.87230483
    3690.800  0.87007435
    3730.080  0.86765799
    3767.620  0.86375465
    3807.330  0.86171004
    3848.060  0.85966543
    3888.710  0.85799257
    3928.110  0.85631970
    3968.870  0.85427509
    4008.930  0.85204461
    4049.170  0.84981413
    4096.720  0.84795539
    4139.610  0.84516729
    4183.370  0.84275093
    4230.990  0.83996283
    4274.250  0.83698885
    4321.660  0.83401487
    4366.270  0.83122677
    4412.900  0.82713755
    4457.240  0.82416357
    4510.040  0.82081784
    4561.030  0.81747212
    4611.800  0.81561338
    4657.960  0.81059480
    4706.330  0.80743494
    4753.450  0.80297398
    4802.170  0.79739777
    4852.810  0.79312268
    4906.260  0.78773234
    4958.530  0.78420074
    5008.380  0.78029740
    5064.280  0.77583643
    5119.250  0.77193309
    5171.160  0.76561338
    5227.580  0.76096654
    5291.230  0.75687732
    5345.980  0.75334572
    5401.520  0.74944238
    5462.890  0.74646840
    5519.300  0.74330855
    5575.310  0.74089219
    5633.350  0.73643123
    5705.690  0.73104089
    5765.940  0.72620818
    5827.070  0.72434944
    5886.810  0.72081784
    5947.290  0.71710037
    6011.340  0.71449814
    6073.390  0.71189591
    6139.920  0.70762082
    6204.130  0.70501859
    6275.570  0.70185874
    6343.610  0.69851301
    6409.990  0.69665428
    6474.380  0.69256506
    6539.380  0.68903346
    6605.770  0.68643123
    6677.030  0.68178439
    6744.150  0.67620818
    6811.970  0.67081784
    6886.410  0.66579926
    6956.830  0.66189591
    7028.320  0.65873606
    7101.400  0.65371747
    7168.630  0.64702602
    7240.420  0.64200743
    7313.100  0.63661710
    7386.240  0.63104089
    7461.890  0.62620818
    7538.470  0.62118959
    7621.150  0.61765799
    7698.480  0.61282528
    7777.130  0.60836431
    7863.920  0.60241636
    7945.730  0.59944238
    8026.460  0.59479554
    8108.080  0.59070632
    8194.750  0.58661710
    8288.050  0.58252788
    8386.240  0.57881041
    8472.260  0.57639405
    8556.990  0.57174721
    8644.170  0.56840149
    8731.020  0.56431227
    8819.950  0.56040892
    8913.750  0.55743494
    9004.130  0.55408922
    9108.810  0.55092937
    9202.670  0.54776952
    9297.130  0.54423792
    9390.570  0.54070632
    9493.830  0.53624535
    9596.970  0.53085502
    9693.430  0.52657993
    9793.430  0.52174721
    9878.580  0.51635688
    9971.300  0.51115242
   10081.530  0.50650558
   10182.830  0.50297398
   10281.620  0.49776952
   10385.420  0.49312268
   10473.860  0.48810409
   10580.750  0.48382900
   10682.600  0.47881041
   10779.080  0.47397770
   10889.620  0.47118959
   10996.310  0.46635688
   11123.060  0.46189591
   11234.760  0.45780669
   11351.050  0.45334572
   11466.480  0.44869888
   11582.570  0.44553903
   11702.050  0.44144981
   11819.440  0.43754647
   11938.100  0.43364312
   12059.960  0.42918216
   12183.030  0.42639405
   12300.020  0.42211896
   12429.980  0.41784387
   12557.190  0.41449814
   12691.990  0.41059480
   12826.710  0.40687732
   12969.920  0.40334572
   13066.420  0.39925651
   13195.560  0.39516729
   13274.070  0.39107807
   13365.380  0.38698885
   13499.830  0.38345725
   13611.850  0.37955390
   13750.710  0.37657993
   13916.770  0.37342007
   14014.920  0.36951673
   14136.030  0.36579926
   14305.360  0.36338290
   14408.200  0.35966543
   14521.400  0.35594796
   14671.710  0.35223048
   14759.780  0.34869888
   14936.100  0.34609665
   15082.980  0.34256506
   15200.920  0.33903346
   15337.460  0.33550186
   15496.010  0.33215613
   15598.930  0.32881041
   15742.230  0.32546468
   15885.060  0.32211896
   16041.760  0.31877323
   16183.680  0.31542751
   16313.530  0.31226766
   16474.300  0.30910781
   16595.480  0.30594796
   16759.090  0.30278810
   16930.810  0.29981413
   17103.130  0.29665428
   17277.060  0.29368030
   17450.400  0.29144981
   17546.070  0.28847584
   17725.920  0.28587361
   17854.360  0.28289963
   17980.200  0.27992565
   18073.860  0.27695167
   18242.130  0.27416357
   18402.180  0.27137546
   18565.650  0.26858736
   18758.450  0.26598513
   18871.770  0.26319703
   19019.510  0.26040892
   19174.690  0.25762082
   19319.630  0.25501859
   19441.460  0.25241636
   19511.620  0.24981413
   19626.850  0.24721190
   19747.270  0.24460967
   19929.160  0.24200743
   20033.380  0.23940520
   20175.730  0.23698885
   20283.760  0.23457249
   20427.750  0.23215613
   20625.300  0.22973978
   20773.150  0.22732342
   20965.720  0.22490706
   21258.250  0.22286245
   21441.030  0.22063197
   21685.860  0.21877323
   21885.800  0.21654275
   22006.720  0.21431227
   22116.750  0.21208178
   22339.470  0.21003717
   22579.710  0.20799257
   22773.600  0.20576208
   22914.000  0.20353160
   23065.080  0.20148699
   23204.110  0.19944238
   23429.450  0.19739777
   23644.790  0.19535316
   23855.980  0.19330855
   24096.560  0.19182156
   24303.250  0.18977695
   24523.020  0.18773234
   24789.910  0.18661710
   24989.420  0.18457249
   25180.670  0.18271375
   25456.590  0.18104089
   25775.660  0.17936803
   26082.490  0.17843866
   26377.190  0.17732342
   26529.860  0.17546468
   26735.430  0.17360595
   26972.220  0.17174721
   27213.540  0.16988848
   27500.000  0.16858736
   27660.070  0.16672862
   27966.380  0.16505576
   28248.980  0.16338290
   28439.660  0.16171004
   28576.720  0.16003717
   28787.960  0.15836431
   28992.040  0.15669145
   29127.820  0.15501859
   29432.020  0.15371747
   29512.690  0.15204461
   29742.860  0.15037175
   29981.450  0.14869888
   30284.520  0.14739777
   30470.890  0.14591078
   30773.570  0.14442379
   30947.070  0.14293680
   31135.840  0.14144981
   31374.170  0.13996283
   31513.920  0.13847584
   31721.510  0.13698885
   31890.090  0.13550186
   32135.970  0.13401487
   32315.250  0.13252788
   32541.100  0.13104089
   32881.840  0.12955390
   33347.380  0.12843866
   33480.020  0.12713755
   33846.270  0.12583643
   34097.620  0.12453532
   34204.880  0.12323420
   34397.780  0.12193309
   34571.410  0.12063197
   34956.240  0.11970260
   35299.120  0.11840149
   35649.790  0.11710037
   35879.670  0.11579926
   36313.050  0.11449814
   36559.550  0.11319703
   36991.710  0.11189591
   37363.900  0.11078067
   37522.000  0.10966543
   37935.210  0.10892193
   38079.600  0.10780669
   38374.420  0.10669145
   38678.740  0.10557621
   39120.060  0.10446097
   39354.520  0.10334572
   39643.540  0.10223048
   40066.370  0.10130112
   40347.920  0.10018587
   40841.050  0.09944238
   41020.140  0.09832714
   41385.870  0.09721190
   41669.050  0.09609665
   42099.040  0.09498141
   42425.540  0.09386617
   42776.670  0.09275093
   42959.130  0.09182156
   43209.950  0.09089219
   44168.910  0.09033457
   44580.410  0.08940520
   44845.710  0.08847584
   45157.950  0.08754647
   45409.600  0.08661710
   45918.860  0.08568773
   46416.490  0.08494424
   46764.050  0.08401487
   47233.490  0.08345725
   47914.840  0.08252788
   48318.490  0.08159851
   48677.960  0.08066914
   49202.330  0.07992565
   49633.390  0.07899628
   50067.530  0.07806691
   50572.430  0.07713755
   51146.950  0.07620818
   51773.460  0.07546468
   52736.500  0.07472119
   53345.720  0.07379182
   53663.440  0.07304833
   54212.070  0.07267658
   54269.540  0.07193309
   54633.920  0.07118959
   55299.600  0.07044610
   56118.910  0.06970260
   56713.210  0.06933086
   57560.280  0.06858736
   58521.470  0.06784387
   59207.030  0.06710037
   59820.710  0.06654275
   60483.740  0.06579926
   61352.360  0.06561338
   62255.330  0.06524164
   62898.920  0.06468401
   63564.580  0.06394052
   63890.420  0.06319703
   65437.220  0.06282528
   66479.930  0.06245353
   68703.850  0.06226766
   69439.870  0.06171004
   70147.030  0.06152416
   71355.420  0.06115242
   74437.450  0.06096654
   78074.190  0.06078067
   79514.610  0.06059480
   81767.760  0.06040892
  104893.810  0.06022305
  204948.740  0.06003717
  207256.100  0.05966543
  214395.160  0.05929368
  220581.710  0.05910781
  223407.880  0.05873606
  233851.660  0.05836431
  259784.990  0.05817844
 1004016.260  0.05799257
 1005956.180  0.05724907
 1007756.890  0.05650558
 1008848.190  0.05576208
 1010334.760  0.05501859
 1011033.470  0.05446097
 1012086.150  0.05390335
 1012645.150  0.05334572
 1014281.540  0.05278810
 1014492.030  0.05223048
 1015262.600  0.05167286
 1015505.490  0.05111524
 1016528.100  0.05055762
 1017186.160  0.05000000
 1017402.060  0.04944238
 1017729.730  0.04888476
 1018151.100  0.04832714
 1019236.220  0.04776952
 1019878.490  0.04721190
 1020481.620  0.04665428
 1020657.860  0.04609665
 1020886.470  0.04553903
 1021278.410  0.04498141
 1021385.360  0.04442379
 1021655.380  0.04386617
 1021959.350  0.04330855
 1022695.240  0.04275093
 1023094.400  0.04219331
 1023168.300  0.04163569
 1023555.220  0.04107807
 1023618.530  0.04052045
 1023771.670  0.03996283
 1024064.780  0.03940520
 1024330.610  0.03884758
 1024849.130  0.03828996
 1024942.560  0.03773234
 1025296.960  0.03717472
 1025502.010  0.03661710
 1025590.150  0.03624535
 1025743.270  0.03587361
 1025878.070  0.03550186
 1025920.300  0.03513011
 1026054.420  0.03475836
 1026406.520  0.03438662
 1026576.450  0.03401487
 1026730.330  0.03364312
 1026934.150  0.03327138
 1027060.370  0.03289963
 1027216.690  0.03252788
 1027290.160  0.03215613
 1027329.510  0.03178439
 1027612.570  0.03141264
 1027627.000  0.03104089
 1027747.970  0.03066914
 1027855.820  0.03029740
 1028332.140  0.02992565
 1028483.540  0.02955390
 1028900.860  0.02918216
 1029538.720  0.02881041
 1029724.490  0.02843866
 1030094.060  0.02806691
 1030149.410  0.02769517
 1030363.120  0.02732342
 1030895.840  0.02695167
 1031389.760  0.02657993
 1031650.880  0.02620818
 1031770.640  0.02583643
 1031991.670  0.02546468
 1032795.590  0.02509294
 1033206.620  0.02472119
 1033372.920  0.02434944
 1033504.580  0.02397770
 1033751.530  0.02360595
 1034438.070  0.02323420
 1034540.740  0.02286245
 1035062.540  0.02249071
 1036065.320  0.02211896
 1036120.800  0.02174721
 1036170.150  0.02137546
 1036420.700  0.02100372
 1036517.810  0.02063197
 1036999.340  0.02026022
 1037210.210  0.01988848
 1037474.010  0.01951673
 1037791.060  0.01914498
 1038171.090  0.01877323
 1038302.800  0.01840149
 1038387.930  0.01821561
 1038458.180  0.01802974
 1038715.710  0.01784387
 1038723.360  0.01765799
 1038956.300  0.01747212
 1039276.440  0.01728625
 1039366.810  0.01710037
 1039375.730  0.01691450
 1039399.110  0.01672862
 1039743.880  0.01654275
 1039805.110  0.01635688
 1039997.640  0.01617100
 1040158.110  0.01598513
 1040181.020  0.01579926
 1040423.130  0.01561338
 1040470.980  0.01542751
 1040953.310  0.01524164
 1041177.770  0.01505576
 1041930.240  0.01486989
 1042147.620  0.01468401
 1042166.270  0.01449814
 1043020.440  0.01431227
 1043158.860  0.01412639
 1043291.460  0.01394052
 1043904.230  0.01375465
 1043959.790  0.01356877
