# Digested data for unloaded_w4 experiment, run at 2026-04-20 23:35:25.768687
# Averaged across 1 repeated sample(s)
# length  cum_frac  samples     p50      p99     p999   s50    s99    s999
      60  0.006077      500    17.0     38.3  15824.2   1.0    2.3   930.3
      72  0.012155      500    16.4     33.5     48.5   1.0    2.0     3.0
      92  0.018232      500    16.2     46.6  15506.9   1.0    2.9   957.2
     119  0.024309      500    16.6     36.5  15098.4   1.0    2.2   906.8
     154  0.030387      500    16.7     45.5  15276.0   1.0    2.7   916.9
     199  0.036464      500    16.8     84.5  15428.4   1.0    5.0   917.3
     222  0.042541      500    16.5     33.9     36.2   1.0    2.1     2.2
     227  0.048619      500    16.3     41.5  15740.9   1.0    2.5   963.9
     232  0.054696      500    16.2     67.9  15653.4   1.0    4.2   964.5
     237  0.060773      500    16.4     46.9  15069.7   1.0    2.9   918.3
     243  0.066851      500    16.8     43.2  14868.6   1.0    2.6   886.1
     248  0.072928      500    17.3     94.1  15665.0   1.0    5.4   905.0
     254  0.079005      500    17.2     50.2  15297.7   1.0    2.9   889.4
     259  0.085083      500    17.3  14692.1  15350.3   1.0  850.2   888.3
     265  0.091160      500    17.3     92.9  15492.8   1.0    5.4   896.1
     271  0.097237      500    17.4     50.6  15014.2   1.0    2.9   865.4
     279  0.103315      500    17.3     43.9  15757.7   1.0    2.5   908.7
     288  0.109392      500    17.3     36.7  15004.4   1.0    2.1   868.8
     297  0.115469      500    17.3     36.2     46.8   1.0    2.1     2.7
     303  0.121547      500    17.1     34.5     38.1   1.0    2.0     2.2
     305  0.127624      500    16.8     34.1     38.1   1.0    2.0     2.3
     308  0.133701      500    16.7     36.7  15744.7   1.0    2.2   941.1
     310  0.139779      500    16.4     34.3  15248.9   1.0    2.1   928.1
     313  0.145856      500    16.0     34.1  15007.3   1.0    2.1   937.4
     315  0.151933      500    16.1     49.0  15146.2   1.0    3.0   941.3
     318  0.158011      500    16.1     36.7  14761.2   1.0    2.3   918.6
     321  0.164088      500    16.2     91.9  15601.2   1.0    5.7   962.4
     323  0.170165      500    16.1     39.7  14720.8   1.0    2.5   913.2
     326  0.176243      500    15.8    110.2  15363.5   1.0    7.0   974.2
     331  0.182320      500    15.8     38.3  16446.5   1.0    2.4  1042.2
     335  0.188397      500    16.0     48.3  15255.8   1.0    3.0   954.1
     340  0.194474      500    16.0     35.5   1122.8   1.0    2.2    70.0
     345  0.200552      500    15.9     79.1  15522.7   1.0    5.0   976.3
     350  0.206629      500    15.9     34.4  15747.5   1.0    2.2   992.3
     355  0.212706      500    15.7    127.0  15393.9   1.0    8.1   979.3
     360  0.218784      500    15.6    127.5  15284.9   1.0    8.2   979.2
     365  0.224861      500    15.9     32.6   1164.6   1.0    2.1    73.4
     371  0.230938      500    15.9    144.3  25993.0   1.0    9.0  1629.7
     376  0.237016      500    16.0     34.2  15580.5   1.0    2.1   974.4
     385  0.243093      500    16.3   1111.5  16800.9   1.0   68.4  1033.3
     395  0.249170      500    16.8   1142.8  15690.0   1.0   68.1   934.5
     405  0.255248      500    16.6     85.0  15566.1   1.0    5.1   934.9
     415  0.261325      500    16.6     33.5  15355.2   1.0    2.0   923.9
     425  0.267402      500    16.6     35.5  15639.7   1.0    2.1   941.0
     430  0.273480      500    16.7    102.8  16247.1   1.0    6.2   974.6
     435  0.279557      500    16.6    130.0  15736.5   1.0    7.8   948.6
     441  0.285634      500    16.6     35.4   1138.4   1.0    2.1    68.7
     446  0.291712      500    16.0     33.1  16514.3   1.0    2.1  1029.6
     452  0.297789      500    16.1     34.8  15579.2   1.0    2.2   967.7
     457  0.303866      500    16.2   1140.7  16234.9   1.0   70.5  1003.4
     463  0.309944      500    15.9    118.5  15348.7   1.0    7.5   964.7
     468  0.316021      500    15.6     84.0  15132.5   1.0    5.4   973.1
     474  0.322098      500    15.5     45.3   1130.0   1.0    2.9    73.0
     480  0.328176      500    15.6     47.7  15346.3   1.0    3.1   982.5
     491  0.334253      500    15.6    104.8  16326.9   1.0    6.7  1048.6
     502  0.340330      500    15.9     92.0  15333.2   1.0    5.8   966.8
     513  0.346408      500    15.9    229.1  15578.7   1.0   14.4   976.7
     525  0.352485      500    16.1     78.2  15349.8   1.0    4.9   951.6
     537  0.358562      500    15.9     54.4  15311.5   1.0    3.4   961.2
     549  0.364640      500    15.6     63.9  15313.6   1.0    4.1   984.2
     561  0.370717      500    15.4    124.8  15876.8   1.0    8.1  1027.6
     574  0.376794      500    15.6     40.3  14902.7   1.0    2.6   956.5
     587  0.382872      500    15.6     32.6     36.4   1.0    2.1     2.3
     607  0.394577      963    15.6    122.8  15643.0   1.0    7.9  1005.3
     615  0.400654      500    15.6     38.3  15292.0   1.0    2.5   982.1
     623  0.406731      500    15.7    221.1  16260.4   1.0   14.1  1036.4
     630  0.412809      500    15.8     40.0  15455.4   1.0    2.5   977.0
     638  0.418886      500    15.6     45.4  15647.1   1.0    2.9  1001.1
     646  0.424963      500    15.8    102.4  15250.1   1.0    6.5   963.4
     654  0.431041      500    16.0     42.8  15648.3   1.0    2.7   976.2
     662  0.437118      500    15.8     47.0  15456.2   1.0    3.0   978.2
     671  0.443195      500    16.0     40.0   1181.0   1.0    2.5    73.8
     679  0.449273      500    15.9   1142.3  15539.5   1.0   72.0   979.8
     685  0.455350      500    16.0   1188.7  15352.2   1.0   74.2   958.9
     690  0.461427      500    16.3  14740.3  15521.0   1.0  906.0   954.0
     696  0.467505      500    16.4    230.4  15475.2   1.0   14.1   945.3
     702  0.473582      500    16.1     65.5  15338.5   1.0    4.1   950.3
