# Fraction of RTTS longer than a given time for unloaded_w4 experiment
# Includes messages <= 279 bytes; measured at 2026-04-20 23:35:25.768687
# Averaged across 1 repeated sample(s)
# Data collected at 2026-04-20 23:35:25.768687 
#       usec        frac
      15.390  0.99988235
      15.550  0.99823529
      15.710  0.98988235
      15.790  0.97988235
      15.850  0.97000000
      15.900  0.96023529
      15.940  0.95058824
      15.980  0.94105882
      16.000  0.93164706
      16.030  0.92223529
      16.050  0.91294118
      16.070  0.90376471
      16.100  0.89470588
      16.120  0.88564706
      16.140  0.87670588
      16.160  0.86788235
      16.180  0.85917647
      16.200  0.85047059
      16.210  0.84188235
      16.230  0.83341176
      16.250  0.82505882
      16.270  0.81670588
      16.280  0.80847059
      16.300  0.80035294
      16.320  0.79223529
      16.330  0.78423529
      16.350  0.77635294
      16.360  0.76858824
      16.370  0.76082353
      16.390  0.75317647
      16.410  0.74552941
      16.420  0.73800000
      16.440  0.73058824
      16.450  0.72317647
      16.470  0.71588235
      16.490  0.70870588
      16.500  0.70152941
      16.520  0.69447059
      16.540  0.68741176
      16.550  0.68047059
      16.570  0.67364706
      16.580  0.66682353
      16.600  0.66011765
      16.610  0.65341176
      16.630  0.64682353
      16.640  0.64035294
      16.660  0.63388235
      16.670  0.62752941
      16.680  0.62117647
      16.700  0.61494118
      16.720  0.60870588
      16.730  0.60258824
      16.740  0.59647059
      16.750  0.59047059
      16.770  0.58447059
      16.780  0.57858824
      16.800  0.57270588
      16.810  0.56694118
      16.820  0.56117647
      16.840  0.55552941
      16.850  0.54988235
      16.860  0.54435294
      16.870  0.53882353
      16.880  0.53341176
      16.900  0.52800000
      16.910  0.52270588
      16.920  0.51741176
      16.940  0.51223529
      16.950  0.50705882
      16.960  0.50188235
      16.970  0.49682353
      16.980  0.49176471
      16.990  0.48682353
      17.000  0.48188235
      17.010  0.47705882
      17.030  0.47223529
      17.040  0.46741176
      17.050  0.46270588
      17.060  0.45800000
      17.070  0.45341176
      17.080  0.44882353
      17.090  0.44423529
      17.100  0.43976471
      17.110  0.43529412
      17.120  0.43094118
      17.130  0.42658824
      17.130  0.42223529
      17.140  0.41800000
      17.150  0.41376471
      17.160  0.40952941
      17.170  0.40541176
      17.180  0.40129412
      17.180  0.39717647
      17.190  0.39317647
      17.200  0.38917647
      17.210  0.38517647
      17.220  0.38129412
      17.230  0.37741176
      17.240  0.37352941
      17.240  0.36976471
      17.250  0.36600000
      17.260  0.36223529
      17.270  0.35858824
      17.280  0.35494118
      17.290  0.35129412
      17.290  0.34776471
      17.300  0.34423529
      17.310  0.34070588
      17.320  0.33729412
      17.330  0.33388235
      17.330  0.33047059
      17.340  0.32705882
      17.350  0.32376471
      17.360  0.32047059
      17.370  0.31717647
      17.380  0.31400000
      17.380  0.31082353
      17.390  0.30764706
      17.400  0.30447059
      17.420  0.30141176
      17.420  0.29835294
      17.430  0.29529412
      17.440  0.29223529
      17.450  0.28929412
      17.470  0.28635294
      17.480  0.28341176
      17.490  0.28047059
      17.500  0.27764706
      17.510  0.27482353
      17.520  0.27200000
      17.540  0.26917647
      17.550  0.26647059
      17.560  0.26376471
      17.570  0.26105882
      17.580  0.25835294
      17.600  0.25576471
      17.610  0.25317647
      17.630  0.25058824
      17.640  0.24800000
      17.660  0.24541176
      17.680  0.24294118
      17.690  0.24047059
      17.710  0.23800000
      17.720  0.23552941
      17.730  0.23305882
      17.760  0.23070588
      17.780  0.22835294
      17.790  0.22600000
      17.810  0.22364706
      17.840  0.22129412
      17.860  0.21905882
      17.890  0.21682353
      17.910  0.21458824
      17.940  0.21235294
      17.970  0.21011765
      18.000  0.20800000
      18.030  0.20588235
      18.060  0.20376471
      18.090  0.20164706
      18.110  0.19952941
      18.150  0.19752941
      18.190  0.19552941
      18.230  0.19352941
      18.260  0.19152941
      18.300  0.18952941
      18.330  0.18752941
      18.370  0.18564706
      18.430  0.18376471
      18.460  0.18188235
      18.500  0.18000000
      18.590  0.17811765
      18.610  0.17623529
      18.650  0.17447059
      18.700  0.17270588
      18.730  0.17094118
      18.790  0.16917647
      18.830  0.16741176
      18.870  0.16564706
      18.950  0.16388235
      19.010  0.16223529
      19.070  0.16058824
      19.130  0.15894118
      19.200  0.15729412
      19.240  0.15564706
      19.310  0.15400000
      19.400  0.15235294
      19.440  0.15082353
      19.500  0.14929412
      19.560  0.14776471
      19.620  0.14623529
      19.690  0.14470588
      19.770  0.14317647
      19.850  0.14164706
      20.050  0.14035294
      20.190  0.13894118
      20.400  0.13823529
      20.650  0.13776471
      20.920  0.13694118
      21.150  0.13600000
      21.410  0.13529412
      21.660  0.13447059
      21.930  0.13376471
      22.180  0.13258824
      22.380  0.13117647
      22.510  0.12976471
      22.630  0.12835294
      22.700  0.12705882
      22.760  0.12576471
      22.890  0.12447059
      22.970  0.12317647
      23.070  0.12188235
