# Fraction of RTTS longer than a given time for dctcp_w4 experiment
# Includes messages <= 315 bytes; measured at 2026-04-20 22:52:58.093296
# Averaged across 1 repeated sample(s)
# Data collected at 2026-04-20 22:52:58.093296 
#       usec        frac
     154.310  0.99981762
     186.950  0.99963524
     217.660  0.99945285
     235.870  0.99927047
     257.360  0.99908809
     261.560  0.99872333
     265.420  0.99854094
     274.750  0.99817618
     277.530  0.99799380
     287.220  0.99781142
     290.420  0.99762904
     314.490  0.99744665
     338.130  0.99726427
     365.160  0.99653474
     381.960  0.99635236
     400.910  0.99580522
     404.990  0.99562283
     415.000  0.99544045
     420.580  0.99507569
     425.550  0.99489331
     432.180  0.99471092
     437.000  0.99452854
     446.640  0.99416378
     454.990  0.99379902
     467.650  0.99343425
     477.000  0.99288711
     483.300  0.99215758
     491.020  0.99197520
     501.610  0.99124567
     509.740  0.99069852
     515.580  0.99015138
     522.330  0.98978661
     535.800  0.98942185
     542.190  0.98850994
     556.530  0.98814518
     563.500  0.98778041
     574.880  0.98759803
     582.580  0.98723327
     588.480  0.98705088
     596.850  0.98650374
     603.930  0.98595659
     613.150  0.98577421
     622.300  0.98540945
     628.990  0.98467992
     636.240  0.98376801
     648.250  0.98303848
     655.800  0.98267372
     662.850  0.98176181
     669.620  0.98066752
     676.370  0.97975561
     683.540  0.97920846
     691.070  0.97774941
     702.130  0.97756703
     709.720  0.97665512
     717.240  0.97629035
     726.930  0.97537844
     734.900  0.97464891
     744.390  0.97355462
     753.140  0.97227795
     761.050  0.97063651
     771.290  0.97027175
     784.440  0.96881269
     793.900  0.96753602
     802.130  0.96571220
     810.650  0.96461791
     818.830  0.96279409
     831.660  0.96169980
     840.210  0.96024074
     849.800  0.95914645
     859.180  0.95714025
     869.280  0.95568120
     880.210  0.95422214
     889.420  0.95203356
     898.820  0.95020974
     908.840  0.94875068
     919.030  0.94710925
     928.500  0.94492066
     938.850  0.94400875
     948.450  0.94200255
     958.330  0.93853730
     968.170  0.93671348
     977.980  0.93525442
     987.780  0.93324822
     997.670  0.93069488
    1007.980  0.92850629
    1018.360  0.92613533
    1029.650  0.92467627
    1040.850  0.92303483
    1051.970  0.91920481
    1063.240  0.91756338
    1074.380  0.91573956
    1086.640  0.91336859
    1097.930  0.90899143
    1109.130  0.90662046
    1120.390  0.90351997
    1131.890  0.90005471
    1144.360  0.89695422
    1156.370  0.89531278
    1168.120  0.89166515
    1181.390  0.88838227
    1194.000  0.88509940
    1209.200  0.88145176
    1221.800  0.87652745
    1234.440  0.87342696
    1246.800  0.87014408
    1259.320  0.86649644
    1272.130  0.86120737
    1285.340  0.85774211
    1298.260  0.85537115
    1311.450  0.85099398
    1325.430  0.84515776
    1339.100  0.84242203
    1352.660  0.83859201
    1366.370  0.83385008
    1382.400  0.82655481
    1396.280  0.82144811
    1410.440  0.81652380
    1425.060  0.81141711
    1440.370  0.80521612
    1454.970  0.80102134
    1470.190  0.79500274
    1484.990  0.78934890
    1500.180  0.78296553
    1515.200  0.77585264
    1529.050  0.76801021
    1544.720  0.76290352
    1560.510  0.75670254
    1576.260  0.75068393
    1591.240  0.74302389
    1605.750  0.73554623
    1619.980  0.72806858
    1636.500  0.72077330
    1647.610  0.71347802
    1658.250  0.70618275
    1670.760  0.69906985
    1685.390  0.69195696
    1697.690  0.68502645
    1714.680  0.67882546
    1728.780  0.67189495
    1745.000  0.66514682
    1759.920  0.65839869
    1773.090  0.65165056
    1783.620  0.64508481
    1800.660  0.63851906
    1813.260  0.63195331
    1828.180  0.62556994
    1840.550  0.61918658
    1854.650  0.61298559
    1866.120  0.60678461
    1876.640  0.60058362
    1891.190  0.59456502
    1901.690  0.58854642
    1915.660  0.58252781
    1927.650  0.57669159
    1941.000  0.57085537
    1949.050  0.56501915
    1958.460  0.55936531
    1973.170  0.55371147
    1986.110  0.54805763
    1995.830  0.54240379
    2006.700  0.53693234
    2015.880  0.53146088
    2028.910  0.52598942
    2039.310  0.52070035
    2047.290  0.51541127
    2058.240  0.51012220
    2075.340  0.50501550
    2084.930  0.49990881
    2094.340  0.49480212
    2104.380  0.48969542
    2120.610  0.48477111
    2133.720  0.47984680
    2149.600  0.47492249
    2158.990  0.46999818
    2170.170  0.46525625
    2190.900  0.46051432
    2207.600  0.45577239
    2220.030  0.45121284
    2232.360  0.44665329
    2243.790  0.44209374
    2256.630  0.43753420
    2268.060  0.43315703
    2279.080  0.42877987
    2296.810  0.42440270
    2310.580  0.42002553
    2322.470  0.41564837
    2335.000  0.41145358
    2350.750  0.40725880
    2357.540  0.40306402
    2368.390  0.39886923
    2386.360  0.39485683
    2394.850  0.39084443
    2410.390  0.38683203
    2422.430  0.38281962
    2436.000  0.37898960
    2453.820  0.37515958
    2468.540  0.37132956
    2481.740  0.36749954
    2494.360  0.36366952
    2503.150  0.36002189
    2515.830  0.35637425
    2525.420  0.35272661
    2546.310  0.34907897
    2567.650  0.34543133
    2579.880  0.34196608
    2599.420  0.33850082
    2612.120  0.33503556
    2629.180  0.33157031
    2646.710  0.32810505
    2662.220  0.32482218
    2674.920  0.32153930
    2686.360  0.31825643
    2695.520  0.31497355
    2718.220  0.31169068
    2744.170  0.30840781
    2756.990  0.30530731
    2767.150  0.30220682
    2782.710  0.29910633
    2798.910  0.29600584
    2808.330  0.29290534
    2825.550  0.28980485
    2838.710  0.28688674
    2852.980  0.28396863
    2870.130  0.28105052
    2879.710  0.27813241
    2896.290  0.27521430
    2913.200  0.27229619
    2929.870  0.26956046
    2943.880  0.26682473
    2957.190  0.26408900
    2976.170  0.26135327
    2994.430  0.25861755
    3007.180  0.25588182
    3025.780  0.25314609
    3052.400  0.25059274
    3063.990  0.24803939
    3078.700  0.24548605
    3093.110  0.24293270
    3106.490  0.24037935
    3126.050  0.23782601
    3134.490  0.23527266
    3149.670  0.23290170
    3169.170  0.23053073
    3184.770  0.22815977
    3203.570  0.22578880
    3217.250  0.22341784
    3233.890  0.22104687
    3254.410  0.21867591
    3267.490  0.21648732
    3289.100  0.21429874
    3310.730  0.21211016
    3328.060  0.20992158
    3339.540  0.20773299
    3372.570  0.20554441
    3384.960  0.20335583
    3403.330  0.20116724
    3421.140  0.19897866
    3447.430  0.19697246
    3462.580  0.19496626
    3475.960  0.19296006
    3492.330  0.19095386
    3514.010  0.18894766
    3530.220  0.18694146
    3545.350  0.18493525
    3573.870  0.18292905
    3608.770  0.18092285
    3628.860  0.17909903
    3639.270  0.17727521
    3655.300  0.17545140
    3682.050  0.17362758
    3700.490  0.17180376
    3716.760  0.16997994
    3733.380  0.16815612
    3744.230  0.16633230
    3761.450  0.16450848
    3778.310  0.16268466
    3808.250  0.16104322
    3838.100  0.15940179
    3863.530  0.15776035
    3898.750  0.15611891
    3930.100  0.15447748
    3968.830  0.15283604
    3986.080  0.15119460
    4010.130  0.14955316
    4030.870  0.14791173
    4067.290  0.14627029
    4107.150  0.14462885
    4136.330  0.14316980
    4155.300  0.14171074
    4195.150  0.14025169
    4239.440  0.13879263
    4289.580  0.13769834
    4337.720  0.13623929
    4381.320  0.13478023
    4398.180  0.13332117
    4432.450  0.13186212
    4460.420  0.13040306
    4488.130  0.12894401
    4535.110  0.12766734
    4565.900  0.12620828
    4589.850  0.12493161
    4617.970  0.12365493
    4629.750  0.12237826
    4672.770  0.12110159
    4727.430  0.12000730
    4751.550  0.11873062
    4781.060  0.11745395
    4824.440  0.11617728
    4874.200  0.11563013
    4899.840  0.11435346
    4914.540  0.11307678
    4931.480  0.11180011
    4980.940  0.11070582
    5027.730  0.10942914
    5055.640  0.10833485
    5106.550  0.10724056
    5170.420  0.10632865
    5222.940  0.10541674
    5292.320  0.10432245
    5346.560  0.10322816
    5371.420  0.10213387
    5466.040  0.10176910
    5526.730  0.10103958
    5635.370  0.09994529
    5731.780  0.09903338
    5797.880  0.09812147
    5860.560  0.09775670
    5925.280  0.09702717
    5993.080  0.09611527
    6053.950  0.09556812
    6123.810  0.09520336
    6217.280  0.09447383
    6299.590  0.09374430
    6372.120  0.09283239
    6442.890  0.09246763
    6526.070  0.09155572
    6610.250  0.09082619
    6681.710  0.08991428
    6783.500  0.08900237
    6825.370  0.08809046
    6894.500  0.08772570
    6978.020  0.08736093
    7182.330  0.08699617
    7218.340  0.08608426
    7329.180  0.08553711
    7527.310  0.08517235
    7616.990  0.08444282
    7733.630  0.08407806
    7814.710  0.08389568
    7931.690  0.08298377
    8022.830  0.08243662
    8110.620  0.08170709
    8212.720  0.08152471
    8302.090  0.08134233
    8449.220  0.08061280
    8546.400  0.08006566
    8671.420  0.07988328
    8785.400  0.07933613
    8893.650  0.07897137
    9161.640  0.07860660
    9456.690  0.07824184
    9565.100  0.07769469
    9770.960  0.07751231
    9947.490  0.07732993
   10062.070  0.07678278
   10163.330  0.07605326
   10266.530  0.07568849
   10383.600  0.07495896
   10488.590  0.07441182
   10646.460  0.07404705
   10867.810  0.07368229
   10978.760  0.07331753
   11118.810  0.07295276
   11253.500  0.07277038
   11444.630  0.07240562
   11561.880  0.07185847
   11677.780  0.07112894
   11840.040  0.07076418
   12028.300  0.07039942
   12449.220  0.07021703
   12596.180  0.06985227
   12865.550  0.06930512
   12908.330  0.06857560
   13223.400  0.06802845
   13373.450  0.06766369
   13656.430  0.06729892
   13825.890  0.06693416
   14145.610  0.06675178
   14332.590  0.06620463
   14603.210  0.06583987
   14744.580  0.06511034
   15009.990  0.06474558
   15230.800  0.06419843
   15433.120  0.06401605
   15620.140  0.06365129
   15779.020  0.06328652
   16017.320  0.06292176
   16520.550  0.06273938
   16748.120  0.06200985
   16966.100  0.06128032
   17152.270  0.06073318
   17884.080  0.06036841
   19537.230  0.06018603
   19795.640  0.06000365
   21092.570  0.05982127
   22109.770  0.05963888
   23876.870  0.05945650
   24493.600  0.05927412
   24965.650  0.05909174
   25438.730  0.05890936
   26888.660  0.05872697
   27353.270  0.05854459
   27707.950  0.05817983
   28038.500  0.05781506
   28379.590  0.05745030
   29188.410  0.05690316
   29573.620  0.05653839
   30006.120  0.05635601
   30534.270  0.05617363
   46940.940  0.05599125
   47880.520  0.05562648
   48656.790  0.05544410
   49575.380  0.05507934
   51746.120  0.05489695
  200918.170  0.05471457
 1002412.270  0.05453219
 1003293.270  0.05398504
 1004046.130  0.05343790
 1005063.330  0.05289075
 1005214.180  0.05234361
 1005583.290  0.05179646
