# Fraction of RTTS longer than a given time for dctcp_load_aware_w4 experiment
# Includes messages <= 315 bytes; measured at 2026-04-21 01:08:17.884497
# Averaged across 1 repeated sample(s)
# Data collected at 2026-04-21 01:08:17.884497 
#       usec        frac
     601.770  0.99971190
     614.940  0.99913570
     631.890  0.99884759
     831.770  0.99855949
     903.470  0.99827139
     995.210  0.99798329
    1030.030  0.99769519
    1146.030  0.99740709
    1317.760  0.99711899
    1446.650  0.99683088
    1817.340  0.99654278
    1897.160  0.99625468
    4018.660  0.99596658
    4645.710  0.99567848
    5406.900  0.99539038
    5592.550  0.99510228
    5977.480  0.99481417
    6044.210  0.99452607
    6153.480  0.99423797
    6215.770  0.99366177
    6289.170  0.99308557
    6379.430  0.99250936
    6513.230  0.99135696
    6585.060  0.99078075
    6669.410  0.99049265
    6737.900  0.98934025
    6905.390  0.98876404
    7038.730  0.98789974
    7120.350  0.98732354
    7252.600  0.98645923
    7336.610  0.98588303
    7450.500  0.98559493
    7531.070  0.98501873
    7654.770  0.98473063
    7776.340  0.98444252
    7887.540  0.98415442
    8080.080  0.98357822
    8207.250  0.98271392
    8318.110  0.98242581
    8530.400  0.98184961
    8676.260  0.98127341
    8785.490  0.98069721
    8896.980  0.98012100
    9057.040  0.97925670
    9365.990  0.97839239
    9697.750  0.97781619
    9877.760  0.97752809
   10032.660  0.97723999
   10415.780  0.97666379
   10561.330  0.97579948
   10761.790  0.97522328
   10914.540  0.97435897
   11101.740  0.97320657
   11323.450  0.97291847
   11437.100  0.97205416
   11847.520  0.97176606
   11990.950  0.97147796
   12122.040  0.97061366
   12244.540  0.97003745
   12371.520  0.96859695
   12500.560  0.96773264
   12632.770  0.96686834
   12814.080  0.96629213
   13205.630  0.96485163
   13421.270  0.96398732
   13571.530  0.96341112
   13750.810  0.96283492
   13905.310  0.96225872
   14120.360  0.96081821
   14301.070  0.95995390
   14522.710  0.95880150
   14673.200  0.95793719
   14829.540  0.95678479
   15006.910  0.95563238
   15184.130  0.95505618
   15380.210  0.95419188
   15651.320  0.95303947
   15917.440  0.95246327
   16103.280  0.95102276
   16286.180  0.95015846
   16450.020  0.94987035
   16623.270  0.94785364
   16890.500  0.94727744
   17152.550  0.94698934
   17378.000  0.94670124
   17585.500  0.94583693
   17809.710  0.94526073
   18018.880  0.94410833
   18301.760  0.94324402
   18529.320  0.94266782
   18734.110  0.94180351
   18974.810  0.94065111
   19184.370  0.93949870
   19417.890  0.93834630
   19630.020  0.93719389
   19853.490  0.93632959
   20061.520  0.93546528
   20324.730  0.93344857
   20545.790  0.93229617
   20767.420  0.93171997
   20997.940  0.92999136
   21468.180  0.92883895
   21690.770  0.92739844
   21933.790  0.92595794
   22219.710  0.92394123
   22496.360  0.92307692
   22797.890  0.92163642
   23209.070  0.92048401
   23463.610  0.91875540
   23802.390  0.91789110
   24043.550  0.91673869
   24342.530  0.91472198
   24598.240  0.91241717
   24879.280  0.91097666
   25134.930  0.90867185
   25419.270  0.90694324
   25785.610  0.90550274
   26133.220  0.90348603
   26422.110  0.90146932
   26847.680  0.90060501
   27124.320  0.89945261
   27455.580  0.89772400
   27743.690  0.89599539
   28029.410  0.89426678
   28342.100  0.89167387
   28638.860  0.88936906
   28930.710  0.88821665
   29222.630  0.88648804
   29762.600  0.88504754
   30123.440  0.88216652
   30428.070  0.88130222
   30810.980  0.87957361
   31163.180  0.87755690
   31499.860  0.87582829
   31831.130  0.87294728
   32345.900  0.86804955
   32738.440  0.86516854
   33108.860  0.86171132
   33467.940  0.85911841
   33810.020  0.85681360
   34160.020  0.85479689
   34575.420  0.85335638
   34957.040  0.85162777
   35332.640  0.84989916
   35738.870  0.84845866
   36103.790  0.84528954
   36539.980  0.84298473
   36909.720  0.84096802
   37326.810  0.83895131
   37735.840  0.83491789
   38125.440  0.83203688
   38519.470  0.82915586
   38932.160  0.82627485
   39385.030  0.82310573
   39821.210  0.82051282
   40329.260  0.81647940
   40802.120  0.81417459
   41238.820  0.81129358
   41764.270  0.80812446
   42202.800  0.80495534
   42791.960  0.80293863
   43236.430  0.80121003
   43682.420  0.79775281
   44250.350  0.79544800
   44796.970  0.79314319
   45281.800  0.79026217
   45855.300  0.78680496
   46378.610  0.78363584
   46876.200  0.78017862
