# Digested data for unloaded_w4 experiment, run at 2026-04-21 05:02:50.781941
# Averaged across 1 repeated sample(s)
# length  cum_frac  samples     p50      p99     p999   s50    s99    s999
      60  0.005044      500    16.4     34.0    236.4   1.0    2.1    14.4
      72  0.010088      500    16.0     33.4     35.6   1.0    2.1     2.2
      92  0.015132      500    15.8     33.9     49.4   1.0    2.1     3.1
     119  0.020176      500    15.7     33.1     35.4   1.0    2.1     2.3
     154  0.025220      500    15.4     32.7     45.7   1.0    2.1     3.0
     199  0.030265      500    15.5     32.0     33.4   1.0    2.1     2.2
     222  0.035309      500    15.3     32.3     34.7   1.0    2.1     2.3
     227  0.040353      500    15.3     32.7     37.5   1.0    2.1     2.5
     232  0.045397      500    15.2     32.4     32.5   1.0    2.1     2.1
     237  0.050441      500    15.2     32.7     33.4   1.0    2.1     2.2
     243  0.055485      500    15.1     32.3    232.2   1.0    2.1    15.4
     248  0.060529      500    15.0     32.4     40.3   1.0    2.2     2.7
     254  0.065573      500    15.0     32.1     32.5   1.0    2.1     2.2
     259  0.070617      500    14.9     31.3     32.5   1.0    2.1     2.2
     265  0.075661      500    14.9     32.2     32.8   1.0    2.2     2.2
     271  0.080705      500    15.0     30.8    232.8   1.0    2.1    15.6
     279  0.085749      500    14.9     32.2     44.5   1.0    2.2     3.0
     288  0.090794      500    14.9     32.4     48.1   1.0    2.2     3.2
     297  0.095838      500    14.9     30.5     32.6   1.0    2.0     2.2
     303  0.100882      500    15.0     30.7     32.6   1.0    2.1     2.2
     305  0.105926      500    14.9     32.2     32.6   1.0    2.2     2.2
     308  0.110970      500    15.0     40.6     44.3   1.0    2.7     3.0
     310  0.116014      500    15.0     43.0     48.3   1.0    2.9     3.2
     313  0.121058      500    14.9     32.0     48.9   1.0    2.1     3.3
     315  0.126102      500    14.9     31.2     33.1   1.0    2.1     2.2
     318  0.131146      500    15.0     30.9     32.4   1.0    2.1     2.2
     321  0.136190      500    15.0     32.2    232.2   1.0    2.2    15.5
     323  0.141234      500    15.0     31.5     42.6   1.0    2.1     2.8
     326  0.146278      500    15.0     32.1     33.9   1.0    2.1     2.3
     331  0.151323      500    15.0     31.5     32.5   1.0    2.1     2.2
     335  0.156367      500    15.1     31.6     32.4   1.0    2.1     2.1
     340  0.161411      500    15.1     32.5    224.5   1.0    2.2    14.9
     345  0.166455      500    15.0     31.8     43.8   1.0    2.1     2.9
     350  0.171499      500    15.0     32.1     38.0   1.0    2.1     2.5
     355  0.176543      500    15.1     32.1     34.0   1.0    2.1     2.3
     360  0.181587      500    15.1     32.9     42.4   1.0    2.2     2.8
     365  0.186631      500    15.0     30.8     48.7   1.0    2.1     3.2
     371  0.191675      500    15.0     31.6     48.9   1.0    2.1     3.3
     376  0.196719      500    15.0     32.2     33.5   1.0    2.1     2.2
     385  0.201763      500    15.0     41.2     45.1   1.0    2.7     3.0
     395  0.206807      500    15.0     32.4     48.5   1.0    2.2     3.2
     405  0.211852      500    15.0     32.2    219.0   1.0    2.1    14.6
     415  0.216896      500    15.0     32.0     32.9   1.0    2.1     2.2
     425  0.221940      500    15.0     31.6     32.8   1.0    2.1     2.2
     430  0.226984      500    15.0     31.9     43.7   1.0    2.1     2.9
     435  0.232028      500    15.0     31.6     36.0   1.0    2.1     2.4
     441  0.237072      500    15.0     32.8    220.6   1.0    2.2    14.7
     446  0.242116      500    15.1     32.2     32.7   1.0    2.1     2.2
     452  0.247160      500    15.0     32.6     37.3   1.0    2.2     2.5
     457  0.252204      500    15.0     32.2     34.9   1.0    2.1     2.3
     463  0.257248      500    15.1     31.2     39.0   1.0    2.1     2.6
     468  0.262292      500    15.0     31.9     32.3   1.0    2.1     2.2
     474  0.267337      500    15.0     32.1     32.6   1.0    2.1     2.2
     480  0.272381      500    14.9     31.4     49.5   1.0    2.1     3.3
     491  0.277425      500    15.0     32.4     48.1   1.0    2.2     3.2
     502  0.282469      500    15.0     31.8     32.4   1.0    2.1     2.2
     513  0.287513      500    15.0     32.2     47.0   1.0    2.1     3.1
     525  0.292557      500    15.0     32.4    257.7   1.0    2.2    17.2
     537  0.297601      500    15.1     31.7     44.4   1.0    2.1     2.9
     549  0.302645      500    15.1     32.0     46.0   1.0    2.1     3.0
     561  0.307689      500    15.1     31.8     32.3   1.0    2.1     2.1
     574  0.312733      500    15.0     31.5     32.5   1.0    2.1     2.2
     587  0.317777      500    15.1     32.3    224.6   1.0    2.1    14.8
     600  0.322821      500    15.1     31.8     33.1   1.0    2.1     2.2
     607  0.327866      500    15.1     32.3     49.5   1.0    2.1     3.3
     615  0.332910      500    15.2     32.1     34.4   1.0    2.1     2.3
     623  0.337954      500    15.2     32.2     33.3   1.0    2.1     2.2
     630  0.342998      500    15.2     31.0     32.4   1.0    2.0     2.1
     638  0.348042      500    15.1     31.8     32.7   1.0    2.1     2.2
     646  0.353086      500    15.2     32.5     32.8   1.0    2.1     2.2
     654  0.358130      500    15.2     31.8     43.0   1.0    2.1     2.8
     662  0.363174      500    15.2     31.2     32.7   1.0    2.1     2.1
     671  0.368218      500    15.3     32.2    232.6   1.0    2.1    15.2
     679  0.373262      500    15.3     32.5     33.2   1.0    2.1     2.2
     685  0.378306      500    15.3     32.3     45.6   1.0    2.1     3.0
     690  0.383350      500    15.3     31.9     32.9   1.0    2.1     2.1
     696  0.388395      500    15.3     32.5     46.9   1.0    2.1     3.1
     702  0.393439      500    15.3     32.2    222.2   1.0    2.1    14.5
     707  0.398483      500    15.3     32.5     43.5   1.0    2.1     2.8
     713  0.403527      500    15.3     32.6     41.9   1.0    2.1     2.7
     719  0.408571      500    15.3     32.6     38.0   1.0    2.1     2.5
     725  0.413615      500    15.3     32.2     32.9   1.0    2.1     2.1
     731  0.418659      500    15.3     32.4     47.1   1.0    2.1     3.1
     737  0.423703      500    15.3     32.4     47.2   1.0    2.1     3.1
     749  0.428747      500    15.4     32.0     35.1   1.0    2.1     2.3
     762  0.433791      500    15.3     31.8     33.2   1.0    2.1     2.2
     774  0.438835      500    15.3     32.6     38.9   1.0    2.1     2.5
     787  0.443880      500    15.5     32.5     43.6   1.0    2.1     2.8
     800  0.448924      500    15.5     33.1    227.5   1.0    2.1    14.7
     816  0.453968      500    15.6     32.5     46.3   1.0    2.1     3.0
     833  0.459012      500    15.5     32.6     33.3   1.0    2.1     2.1
     850  0.464056      500    15.5     32.7     33.5   1.0    2.1     2.2
     867  0.469100      500    15.5     32.7    241.9   1.0    2.1    15.6
     885  0.474144      500    15.6     32.7     38.5   1.0    2.1     2.5
     914  0.479188      500    15.6     32.7     45.2   1.0    2.1     2.9
     945  0.484232      500    15.6     32.9     33.4   1.0    2.1     2.1
     976  0.489276      500    15.6     32.6     33.2   1.0    2.1     2.1
    1009  0.494320      500    15.7     32.5     33.4   1.0    2.1     2.1
    1042  0.499364      500    15.8     31.8     33.0   1.0    2.0     2.1
