# Digested data for dctcp_load_aware_w4 experiment, run at 2026-04-21 06:13:43.742111
# Averaged across 5 repeated sample(s)
# length  cum_frac  samples     p50      p99     p999   s50    s99    s999
      60  0.002174     3570   257.1 123984.3 251798.5  16.0 7729.7 15698.2
      72  0.004315     3515   245.9 124634.9 212672.8  15.7 7948.7 13563.3
      92  0.007237     4797   246.0  42673.6 214117.7  15.9 2760.3 13849.8
     119  0.009458     3646   252.4 124824.6 298238.9  16.5 8169.1 19518.3
     154  0.011728     3727   253.1  43335.2 212309.9  16.8 2877.5 14097.6
     199  0.013966     3676   245.3  83435.0 294285.6  16.4 5566.0 19632.1
     222  0.017335     5531   244.7  42577.8 211473.4  16.5 2874.9 14279.1
     227  0.019917     4239   247.6  42083.1 256295.5  16.7 2841.5 17305.6
     232  0.022624     4445   250.1  83760.6 212462.6  17.0 5705.8 14472.9
     237  0.025174     4187   248.3  83131.6 213163.8  17.1 5709.6 14640.4
     243  0.027759     4243   247.0  83211.5 253517.4  17.0 5742.7 17496.0
     248  0.030358     4267   248.9  43315.2 250645.6  17.2 2999.7 17357.7
     254  0.032896     4168   244.0  83522.5 212096.4  17.0 5820.4 14780.2
     259  0.035574     4397   246.7 123927.8 217843.5  17.3 8678.4 15255.1
     265  0.038222     4348   243.6  83455.3 255728.4  17.0 5836.0 17883.1
     271  0.040814     4255   250.2   2203.6 210868.6  17.5  153.8 14715.2
     279  0.044091     5381   247.5  42971.7 210008.8  17.3 3000.8 14665.4
     288  0.047423     5470   248.6 123902.0 211151.1  17.4 8652.4 14745.2
     297  0.050871     5661   252.9 124770.7 211540.9  17.6 8682.7 14721.0
     303  0.060553    15897   247.5 164619.8 213611.0  17.2 11463.8 14875.4
     305  0.069019    13899   248.6  83351.0 211420.2  17.3 5800.3 14712.6
     308  0.077583    14062   246.9   2237.8 212066.9  17.2  156.3 14809.1
     310  0.085947    13733   248.8  83100.7 212042.9  17.1 5723.2 14603.5
     313  0.094456    13969   248.4 123752.4 211627.3  17.2 8564.2 14645.5
     315  0.103109    14208   246.9 124064.7 212723.4  17.1 8615.6 14772.5
     318  0.111512    13796   246.8 164628.6 212458.3  17.1 11440.5 14764.3
     321  0.120130    14150   242.6 165157.5 212904.8  16.8 11469.3 14785.1
     323  0.128715    14095   245.8  82886.7 211510.7  17.1 5780.1 14749.7
     326  0.137287    14074   247.2  83602.6 213277.6  17.2 5826.0 14862.6
     331  0.143712    10550   249.0 123829.9 211813.0  17.3 8617.3 14739.9
     335  0.150300    10816   248.8 124082.0 211379.0  17.1 8522.1 14517.8
     340  0.156878    10800   246.8  42446.9 212414.8  17.1 2943.6 14730.6
