# Digested data for homa_w4 experiment, run at 2026-04-21 06:13:43.742111
# Averaged across 1 repeated sample(s)
# length  cum_frac  samples     p50      p99     p999   s50    s99    s999
      72  0.004250      913    92.1    333.5    956.9   5.8   20.8    59.7
      92  0.007388      674    92.8    353.4    777.5   6.0   22.9    50.3
     154  0.012336     1063    93.8    347.0    549.5   6.2   23.0    36.0
     222  0.018006     1218    91.0    352.4    520.0   6.1   23.8    34.7
     227  0.020655      569    94.0    303.1    541.0   6.3   20.5    36.5
     232  0.023308      570    87.3    355.9    494.6   5.9   24.2    33.7
     237  0.026138      608    92.6    353.0    499.5   6.4   24.2    34.3
     243  0.028713      553    91.5    256.3    481.8   6.3   17.7    33.3
     248  0.031268      549    90.7    335.1    441.1   6.3   23.2    30.5
     254  0.033624      506    88.1    354.4   4710.0   6.1   24.7   328.2
     259  0.036226      559    85.2    289.6    416.5   6.0   20.3    29.2
     265  0.038782      549    94.2    357.7    949.9   6.6   25.0    66.4
     271  0.041463      576    95.5    419.2    665.1   6.7   29.3    46.4
     279  0.044736      703    88.5    306.2    418.8   6.2   21.4    29.2
     288  0.047929      686    90.4    304.3    798.6   6.3   21.3    55.8
     297  0.051248      713    85.5    305.7    496.0   6.0   21.3    34.5
     303  0.060977     2090    92.6    372.5    629.1   6.5   25.9    43.8
     305  0.069314     1791    92.5    358.5    530.5   6.4   25.0    36.9
     308  0.077745     1811    89.1    369.0    769.5   6.2   25.8    53.7
     310  0.086687     1921    91.4    350.4    625.0   6.3   24.1    43.0
     313  0.095276     1845    92.9    337.7   1752.7   6.4   23.4   121.3
     315  0.104023     1879    91.8    356.2    523.2   6.4   24.7    36.3
     318  0.112905     1908    90.4    324.5    582.5   6.3   22.6    40.5
     321  0.121605     1869    91.7    333.8    633.1   6.4   23.2    44.0
     323  0.130203     1847    88.7    354.1    862.0   6.2   24.7    60.1
     326  0.138852     1858    91.8    365.3    800.0   6.4   25.5    55.7
     331  0.145500     1428    91.6    360.5    632.5   6.4   25.1    44.0
     335  0.151947     1385    93.9    330.1    531.1   6.4   22.7    36.5
     340  0.158455     1398    92.1    341.9    585.2   6.4   23.7    40.6
     345  0.165228     1455    92.6    330.0    635.9   6.4   23.0    44.2
     350  0.171750     1401    89.8    325.5    465.0   6.2   22.6    32.3
     355  0.178332     1414    91.8    336.6    668.7   6.4   23.4    46.5
     360  0.184966     1425    88.3    343.7    578.5   6.1   23.9    40.3
     365  0.191455     1394    91.2    329.0    530.2   6.3   22.7    36.6
     371  0.197874     1379    89.5    336.6   1157.7   6.2   23.4    80.5
     376  0.204471     1417    87.8    354.1    480.1   6.1   24.6    33.4
     385  0.208255      813    93.1    387.9   1327.5   6.5   26.9    92.0
     395  0.212142      835    88.8    318.0    758.0   6.1   22.0    52.5
     405  0.216169      865    92.0    380.5    607.1   6.4   26.4    42.2
     415  0.220470      924    94.8    321.2    645.1   6.6   22.3    44.8
     425  0.224469      859    92.2    355.8    837.1   6.4   24.7    58.2
     430  0.228803      931    92.7    358.2   4210.1   6.5   24.9   293.2
     435  0.233197      944    94.0    352.2    815.6   6.6   24.6    56.9
     441  0.237294      880    97.0    367.9   1432.9   6.8   25.7   100.1
     446  0.241432      889    93.2    337.3   2155.9   6.5   23.5   149.9
     452  0.245310      833    88.2    354.5    755.0   6.1   24.7    52.5
     457  0.249309      859    91.8    331.9    902.3   6.4   23.1    62.7
     463  0.253368      872    90.2    397.7   1109.2   6.3   27.7    77.4
     468  0.257404      867    90.5    284.3    496.2   6.3   19.8    34.5
     474  0.261431      865    90.0    322.1   1152.8   6.2   22.3    79.9
     480  0.265816      942    93.9    370.9    864.8   6.5   25.8    60.3
     491  0.285148     4153    90.5    336.5    511.1   6.3   23.4    35.5
     502  0.305016     4268    91.9    312.0    530.0   6.3   21.5    36.5
     513  0.324391     4162    91.8    339.0    601.6   6.3   23.4    41.6
     525  0.343840     4178    91.7    341.2    588.1   6.3   23.5    40.5
     537  0.363242     4168    89.5    334.7    526.1   6.2   23.1    36.3
     549  0.383096     4265    91.2    316.0    547.0   6.2   21.6    37.3
     561  0.402345     4135    90.5    336.2    563.9   6.2   23.1    38.7
     574  0.421571     4130    90.4    336.3    578.2   6.2   23.0    39.6
     587  0.441201     4217    91.2    321.8    561.0   6.2   22.0    38.3
     600  0.460855     4222    91.0    371.4    621.0   6.2   25.4    42.5
     607  0.466809     1279    91.4    352.9    681.7   6.3   24.3    46.9
     615  0.472349     1190    94.4    358.9    578.1   6.5   24.7    39.7
     623  0.478275     1273    90.5    343.0    488.9   6.2   23.6    33.6
     630  0.484317     1298    88.2    368.7    430.7   6.0   25.2    29.5
     638  0.490424     1312    89.1    325.1    424.3   6.1   22.2    29.0
     646  0.496271     1256    90.2    338.6    438.2   6.2   23.1    30.0
     654  0.501746     1176    86.9    313.1    493.3   5.9   21.4    33.6
     662  0.507369     1208    88.6    368.6    982.2   6.0   25.0    66.7
     671  0.513253     1264    92.6    340.7    629.2   6.3   23.1    42.6
     679  0.518974     1229    92.2    292.8    843.9   6.2   19.8    57.1
     685  0.522759      813    90.0    317.1   3768.5   6.1   21.5   255.1
     690  0.526055      708    89.7    315.5    551.8   6.1   21.4    37.4
     696  0.529797      804    95.1    334.7    735.5   6.5   22.7    49.9
     702  0.533312      755    89.5    309.0    427.2   6.1   21.0    29.0
     707  0.537041      801    90.9    298.2   1675.8   6.2   20.2   113.6
     713  0.540448      732    91.2    358.2    604.8   6.2   24.3    41.1
     719  0.543893      740    88.5    310.2    621.5   6.0   21.0    42.1
     725  0.547631      803    94.5    345.8   2342.0   6.4   23.4   158.6
     731  0.551113      748    91.7    328.7    750.4   6.2   22.3    50.9
     737  0.554404      707    95.9    353.5    645.1   6.5   23.9    43.6
     749  0.558785      941    88.9    318.8   4604.2   6.0   21.5   310.3
     762  0.563575     1029    93.0    340.2    586.8   6.3   22.9    39.6
     774  0.568602     1080    93.1    347.8    550.3   6.3   23.5    37.2
     787  0.573411     1033    90.3    384.9    634.1   6.1   25.9    42.7
     800  0.578010      988    94.1    299.2    638.9   6.3   20.0    42.7
     816  0.580598      556    93.0    389.2   1016.3   6.2   26.0    67.9
     833  0.583675      661    92.8    318.8    589.2   6.2   21.4    39.6
     850  0.586357      576    96.6    322.4    546.6   6.5   21.7    36.7
     867  0.589411      656    90.2    356.6   2191.2   6.0   23.9   146.7
     885  0.592483      660    92.5    420.3    805.3   6.2   28.1    53.8
     914  0.595946      744    97.0    308.1    545.0   6.5   20.6    36.5
     945  0.599931      856    94.1    332.0    612.1   6.2   21.8    40.3
     976  0.603772      825    89.3    314.8    727.7   5.8   20.6    47.7
    1009  0.607305      759    92.6    300.8    570.4   6.0   19.6    37.2
    1042  0.610959      785    97.6    336.7    424.7   6.3   21.9    27.6
    1085  0.614595      781    90.2    363.9   2992.2   5.9   23.7   194.9
    1130  0.618412      820    92.2    298.9    659.3   6.0   19.3    42.6
    1177  0.622080      788    94.8    474.5   1985.1   6.1   30.8   128.7
    1226  0.625962      834    93.9    351.0    586.3   6.1   22.6    37.8
    1277  0.629845      834    96.1    410.1    545.1   6.1   26.2    34.8
    1316  0.633066      692    92.7    355.8    687.9   5.9   22.6    43.8
    1357  0.636474      732    96.0    357.2    612.5   6.1   22.6    38.8
    1399  0.639881      732    97.4    356.9    620.9   6.2   22.6    39.3
    1436  0.642376      536   106.8    441.3    893.6   4.4   18.1    36.6
    1484  0.645667      707   108.9    424.4    689.0   4.5   17.5    28.4
    1534  0.648470      602   108.1    505.1   3820.7   4.4   20.7   156.7
    1559  0.652403      845   107.4    344.5    601.0   4.4   14.2    24.8
    1585  0.656435      866   105.6    331.6    540.5   4.4   13.7    22.3
    1611  0.660308      832   107.7    520.1   2171.2   4.4   21.5    89.6
    1637  0.664414      882   113.2    401.0   2598.1   4.7   16.5   107.1
    1664  0.668761      934   106.4    344.1    705.0   4.4   14.2    29.1
    1865  0.671676      626   107.4    445.2   4157.7   4.4   18.4   172.2
    2091  0.674515      610   108.3    313.4    612.6   4.5   12.9    25.3
    2412  0.677737      692   104.1    360.4    523.7   4.3   14.9    21.6
    2742  0.680497      593   109.2    486.7   1441.3   4.5   20.1    59.5
    3118  0.683230      587   106.3    360.9   1713.7   4.1   13.9    66.2
    3544  0.685985      592   106.8    389.3    685.3   4.1   15.0    26.4
    4030  0.688853      616   111.9    465.3   1056.3   4.3   17.8    40.3
    4582  0.691632      597   114.1    377.4    597.6   4.1   13.6    21.5
    5210  0.694607      639   118.6    376.8   1874.4   4.2   13.5    67.1
    5652  0.697563      635   114.3    420.5    556.4   4.1   15.2    20.1
    6132  0.700351      599   117.9    436.9   1166.5   4.0   14.9    39.7
    6653  0.703246      622   114.4    370.5    532.0   3.9   12.5    18.0
    7217  0.706310      658   119.6    352.4    717.3   3.8   11.3    23.1
    7830  0.709135      607   118.8    408.7   1115.5   3.8   13.1    35.9
   10373  0.711803      573   123.7    449.0    624.9   3.5   12.8    17.8
   13741  0.714624      606   135.7    503.9    800.2   3.5   13.0    20.7
   18203  0.717277      570   138.6    427.7    596.1   3.2    9.8    13.6
   24115  0.719772      536   162.5    448.4    737.2   2.9    8.1    13.3
   31946  0.722309      545   174.5    527.4    675.6   2.7    8.0    10.3
   33343  0.725037      586   182.3    569.9    724.0   2.7    8.5    10.8
   34801  0.727625      556   185.8    524.4    769.4   1.8    5.0     7.4
   36322  0.730586      636   186.2    532.2    696.4   2.5    7.1     9.3
   37450  0.733160      553   202.4    585.4   1227.2   2.0    5.9    12.3
   38377  0.735823      572   200.3    665.3   1067.5   2.3    7.8    12.5
   39327  0.738956      673   198.8    714.5   1006.1   2.4    8.5    11.9
   40382  0.742577      778   197.8    579.4   1278.5   1.7    5.0    11.1
   41214  0.746325      805   208.9    632.0    951.0   2.4    7.3    11.0
   42062  0.750002      790   202.9    588.8   1754.4   2.3    6.7    19.9
   42928  0.753685      791   215.0    733.2   1134.6   2.4    8.3    12.9
   43811  0.757483      816   215.8    694.8   3961.7   2.4    7.9    44.8
   44531  0.761594      883   213.9    705.3    949.4   1.6    5.2     7.0
   45079  0.765713      885   212.4    684.6   1262.5   2.4    7.6    14.0
   45634  0.769777      873   210.2    684.1   1507.5   2.3    7.5    16.4
   46195  0.774004      908   225.7    708.3   1258.3   2.5    7.7    13.7
   46763  0.778305      924   212.9    604.4   1953.3   2.3    6.5    21.1
   47435  0.783887     1199   212.3    706.2   1182.5   2.3    7.5    12.6
   47823  0.787350      744   220.0    730.1   3179.1   2.4    7.8    34.0
   48215  0.790949      773   225.3    729.5   1609.2   2.4    7.8    17.2
   48609  0.794510      765   221.8    737.0    868.5   2.3    7.7     9.1
   49007  0.798313      817   225.4    657.9    841.9   2.4    6.9     8.8
   49408  0.802130      820   222.2    708.8   3801.2   2.3    7.4    39.4
   49813  0.805766      781   222.7    756.9   8421.2   2.3    7.8    86.9
   50221  0.809415      784   225.7    702.9    917.9   2.3    7.2     9.4
   50632  0.813093      790   228.4    632.8   1008.8   2.4    6.5    10.4
   51046  0.816887      815   229.3    685.1   4872.0   2.3    7.0    49.9
   55381  0.819824      631   245.6    734.2   1449.2   2.3    6.9    13.5
   60084  0.822529      581   256.1    841.0   1089.9   2.3    7.5     9.7
   64132  0.825773      697   257.9    689.4    946.6   2.2    5.9     8.1
   66528  0.828757      641   263.6    750.0   1009.6   2.2    6.3     8.5
   69014  0.831443      577   269.5    804.5   1026.3   1.9    5.5     7.1
   71156  0.834227      598   279.6    820.2   1070.5   1.9    5.5     7.2
   72473  0.836978      591   284.5    756.7   1061.8   1.9    5.1     7.1
   73814  0.839664      577   288.7    914.0   2199.7   2.0    6.2    14.9
   75180  0.842369      581   436.7   1265.8   3378.3   3.2    9.3    24.9
   75795  0.845050      576   426.4   1230.7   1451.0   3.1    8.9    10.5
   76416  0.848034      641   421.1   1224.7   2913.5   3.0    8.7    20.8
   77041  0.850864      608   428.9   1157.5   1540.9   3.0    8.2    10.9
   77672  0.853592      586   430.6   1313.3   1789.7   3.0    9.3    12.6
   78307  0.856520      629   424.6   1202.6   1683.3   3.0    8.4    11.8
   78948  0.859486      637   438.0   1344.3   2286.6   3.0    9.2    15.6
   79595  0.862232      590   440.9   1148.1   1494.3   2.9    7.5     9.7
   80246  0.865081      612   436.9   1139.2   2396.5   2.4    6.2    13.1
   80903  0.868144      658   431.5   1151.7   1963.4   2.8    7.5    12.8
   81565  0.871193      655   448.6   1360.4   1719.4   2.9    8.9    11.3
   85305  0.874727      759   438.4   1207.7   1546.1   2.8    7.7     9.8
   89216  0.877664      631   444.6   1326.2   1755.6   2.8    8.4    11.1
   93306  0.881039      725   478.1   1478.7   3842.4   2.8    8.7    22.5
   97584  0.884539      752   481.2   1242.5   1834.5   2.6    6.7     9.8
  102058  0.887877      717   500.2   1421.3   3165.5   2.5    7.2    16.0
  105871  0.890810      630   507.0   1209.5   1907.7   2.4    5.8     9.2
  109826  0.893561      591   532.0   1383.4   1764.1   2.5    6.5     8.3
  113929  0.896340      597   536.4   1476.4   2224.4   2.5    6.8    10.3
  118669  0.898905      551   550.1   1523.4   2009.1   2.3    6.3     8.3
