# Fraction of RTTS longer than a given time for homa_w4 experiment
# Includes messages <= 315 bytes; measured at 2026-04-21 06:13:43.742111
# Averaged across 1 repeated sample(s)
# Data collected at 2026-04-21 06:13:43.742111 
#       usec        frac
      19.740  0.99995525
      20.080  0.99991050
      20.680  0.99982100
      20.930  0.99973150
      21.390  0.99955249
      21.630  0.99946299
      21.860  0.99937349
      22.320  0.99901548
      22.560  0.99879173
      22.810  0.99861273
      23.040  0.99838897
      23.280  0.99803097
      23.540  0.99758346
      23.800  0.99740446
      24.060  0.99695695
      24.320  0.99673320
      24.660  0.99646469
      24.930  0.99592768
      25.180  0.99516692
      25.440  0.99471941
      25.700  0.99427191
      25.970  0.99333214
      26.230  0.99243713
      26.500  0.99136311
      26.770  0.99033384
      27.040  0.98939408
      27.320  0.98787255
      27.600  0.98603777
      27.900  0.98478475
      28.180  0.98330797
      28.470  0.98124944
      28.760  0.97914616
      29.050  0.97757988
      29.360  0.97534234
      29.660  0.97270205
      29.970  0.97077777
      30.270  0.96889824
      30.580  0.96643695
      30.890  0.96352815
      31.200  0.96026134
      31.520  0.95753155
      31.850  0.95489126
      32.170  0.95225096
      32.500  0.94907366
      32.830  0.94504609
      33.170  0.94164504
      33.510  0.93922850
      33.850  0.93654345
      34.200  0.93260539
      34.550  0.92884633
      34.900  0.92584803
      35.250  0.92249172
      35.610  0.91904591
      35.970  0.91519735
      36.330  0.91184105
      36.710  0.90843999
      37.080  0.90472568
      37.460  0.90168263
      37.840  0.89863958
      38.220  0.89546228
      38.610  0.89224022
      39.000  0.88915242
      39.390  0.88633312
      39.790  0.88270831
      40.190  0.87953101
      40.600  0.87639846
      41.010  0.87331066
      41.430  0.86928309
      41.850  0.86570303
      42.270  0.86185447
      42.700  0.85907992
      43.130  0.85576837
      43.580  0.85268057
      44.020  0.84883201
      44.470  0.84547570
      44.920  0.84229840
      45.370  0.83952385
      45.840  0.83643605
      46.300  0.83299024
      46.770  0.83039470
      47.240  0.82735165
      47.720  0.82332408
      48.210  0.81943077
