# Digested data for dctcp_multiplex_w4 experiment, run at 2026-04-21 04:52:11.922026
# Averaged across 1 repeated sample(s)
# length  cum_frac  samples     p50      p99     p999   s50    s99    s999
      60  0.002355      906   430.7  73564.4 135936.6  26.2 4474.7  8268.7
      72  0.004586      858   414.3  54150.6 135673.2  26.4 3446.9  8636.1
      92  0.007482     1114   449.4  73515.5 153746.5  29.1 4755.2  9944.8
     119  0.009894      928   478.8  54679.4  89827.3  31.4 3580.8  5882.6
     154  0.012073      838   452.0  94582.0 140165.3  29.8 6230.7  9233.6
     199  0.014327      867   330.2  88326.2 183247.0  21.9 5857.2 12151.7
     222  0.017600     1259   425.1  82809.4 147113.0  28.5 5557.7  9873.4
     227  0.020306     1041   506.8  76978.8 107881.2  34.3 5215.4  7309.0
     232  0.022861      983   478.5  91863.4 142666.2  32.3 6202.8  9633.1
     237  0.025383      970   412.0  77347.5 242994.0  28.2 5294.1 16632.0
     243  0.028001     1007   393.6  84546.4 127463.8  27.2 5842.9  8808.8
     248  0.030728     1049   392.5  82232.5 119362.4  27.2 5694.8  8266.1
     254  0.033304      991   420.2  71099.8 154364.8  29.2 4944.4 10734.7
     259  0.035891      995   325.1  74456.2 168906.4  22.6 5174.2 11737.8
     265  0.038602     1043   467.7  93586.4 143966.0  32.7 6539.9 10060.5
     271  0.041423     1085   435.4 109778.4 182779.4  30.4 7655.4 12746.1
     279  0.044885     1332   417.5 105629.6 132061.6  29.2 7381.5  9228.6
     288  0.048101     1237   464.2  82117.0 142884.3  32.4 5730.4  9971.0
     297  0.051416     1275   461.4  94963.4 180326.7  32.3 6650.1 12627.9
     303  0.060894     3646   398.2  79310.3 142948.8  27.7 5523.0  9954.6
     305  0.069603     3350   420.7  82076.2 141780.0  29.4 5735.6  9907.8
     308  0.078078     3260   394.2  81077.9 129282.4  27.3 5610.9  8946.9
     310  0.086038     3062   409.3  93258.4 170868.7  28.6 6521.6 11948.9
     313  0.094565     3280   457.3  92639.7 162995.0  31.8 6446.7 11342.7
     315  0.103362     3384   387.9  84193.5 148861.8  27.1 5875.3 10388.1
     318  0.111678     3199   419.3  78872.5 170346.9  29.1 5481.1 11837.9
     321  0.120226     3288   408.4  69929.6 136728.5  28.3 4842.8  9468.7
     323  0.129018     3382   411.1  79904.7 140948.0  28.2 5480.4  9667.2
     326  0.137438     3239   424.3  88020.8 134308.5  29.2 6057.9  9243.5
     331  0.143584     2364   435.2  71764.6 128107.1  30.1 4966.4  8865.5
     335  0.150085     2501   389.8  80654.0 144172.1  27.0 5577.7  9970.4
     340  0.156675     2535   444.8  84254.8 167185.6  30.7 5814.7 11538.0
     345  0.163476     2616   429.8  78214.9 162800.8  29.6 5386.7 11212.2
     350  0.169973     2499   467.9  98232.4 141342.6  32.2 6770.0  9741.0
     355  0.176394     2470   480.1  88093.6 159386.5  33.0 6054.5 10954.4
     360  0.183327     2667   403.5  77422.2 151649.0  27.6 5288.4 10358.5
     365  0.189886     2523   422.4  94429.3 165926.3  29.1 6507.9 11435.3
     371  0.196411     2510   430.9  71977.8 136356.9  29.6 4946.9  9371.6
     376  0.202959     2519   427.4  81627.4 170358.2  29.5 5637.3 11765.1
     385  0.207132     1605   429.5  78731.1 167107.2  29.7 5441.0 11548.5
     395  0.211200     1565   448.5  95595.4 153325.3  30.8 6565.6 10530.6
     405  0.215336     1591   448.0  83182.8 157487.2  30.9 5728.8 10846.2
     415  0.219511     1606   401.6  89165.3 166683.1  27.7 6149.3 11495.4
     425  0.223728     1622   438.3  81497.0 128536.3  30.0 5582.0  8803.9
     430  0.227867     1592   411.1  95794.7 174743.9  28.0 6525.5 11903.5
     435  0.231722     1483   384.6  97663.2 147844.9  26.5 6735.4 10196.2
     441  0.235954     1628   424.9  60563.1 147015.8  29.2 4156.7 10090.3
     446  0.240145     1612   450.6  72631.0 134611.9  30.9 4978.1  9226.3
     452  0.244148     1540   472.9  70126.1 178332.8  31.9 4725.5 12017.0
     457  0.248341     1613   436.2  91009.7 148427.4  29.9 6233.5 10166.3
     463  0.252399     1561   432.1  87866.9 124745.2  29.6 6022.4  8550.0
     468  0.256489     1573   425.7  74570.7 148068.2  29.2 5121.6 10169.5
     474  0.260664     1606   415.0  80618.6 176060.4  28.1 5462.0 11928.2
     480  0.264683     1546   424.0  76739.6 164267.0  28.8 5216.8 11167.0
     491  0.283850     7373   417.4  76554.8 148884.6  28.2 5172.6 10059.8
     502  0.303176     7434   422.8  84741.8 150835.2  28.6 5729.7 10198.5
     513  0.322715     7516   392.1  71975.0 145974.3  26.6 4889.6  9916.7
     525  0.342662     7673   435.0  83992.5 164125.8  29.7 5733.3 11203.1
     537  0.362115     7483   432.9  81212.2 161761.0  29.6 5547.3 11049.3
     549  0.381490     7453   424.4  71824.6 145309.2  28.8 4869.5  9851.5
     561  0.401138     7558   395.0  81058.9 151135.0  27.0 5536.8 10323.4
     574  0.421015     7646   439.7  84690.5 139722.3  30.1 5792.8  9556.9
     587  0.440460     7480   419.8  71800.5 152856.5  28.8 4921.2 10476.8
     600  0.460483     7702   408.8  68752.5 160674.0  27.8 4670.7 10915.4
     607  0.466431     2288   390.8  77200.6 152234.0  26.4 5219.8 10293.0
