# Fraction of RTTS longer than a given time for dctcp_multiplex_w4 experiment
# Includes messages <= 315 bytes; measured at 2026-04-21 04:52:11.922026
# Averaged across 1 repeated sample(s)
# Data collected at 2026-04-21 04:52:11.922026 
#       usec        frac
      30.950  0.99997485
      31.700  0.99994970
      32.200  0.99992455
      32.600  0.99979879
      32.980  0.99974849
      33.350  0.99962274
      33.760  0.99947183
      34.140  0.99932093
      34.500  0.99906942
      34.850  0.99871730
      35.200  0.99831489
      35.580  0.99763581
      35.970  0.99713280
      36.380  0.99645372
      36.760  0.99557344
      37.130  0.99466801
      37.510  0.99366197
      37.890  0.99245473
      38.290  0.99112173
      38.680  0.98973843
      39.070  0.98810362
      39.510  0.98614185
      39.910  0.98453219
      40.310  0.98257042
      40.720  0.98023139
      41.130  0.97834507
      41.550  0.97630785
      41.970  0.97444668
      42.390  0.97248491
      42.820  0.97054829
      43.250  0.96861167
      43.690  0.96612173
      44.130  0.96433602
      44.580  0.96192153
      45.030  0.95960765
      45.490  0.95741952
      45.950  0.95503018
      46.410  0.95256539
      46.890  0.94964789
      47.360  0.94685614
      47.840  0.94401408
      48.320  0.94074447
      48.810  0.93737425
      49.300  0.93367706
      49.800  0.93050805
      50.300  0.92673541
      50.810  0.92339034
      51.320  0.91949195
      51.840  0.91539235
      52.360  0.91119215
      52.890  0.90689135
      53.420  0.90211268
      53.960  0.89788732
      54.500  0.89346076
      55.050  0.88865694
      55.610  0.88397887
      56.170  0.87914990
      56.750  0.87520121
      57.320  0.87110161
      57.900  0.86692656
      58.490  0.86275151
      59.080  0.85907948
      59.680  0.85492958
      60.280  0.85155936
      60.890  0.84801308
      61.500  0.84486922
      62.120  0.84157445
      62.750  0.83805332
      63.380  0.83523642
      64.020  0.83216801
      64.670  0.82952716
      65.320  0.82681087
      65.990  0.82399396
      66.650  0.82135312
      67.330  0.81878773
      68.020  0.81664990
      68.710  0.81421026
      69.400  0.81207243
      70.100  0.81016097
      70.840  0.80704225
      71.550  0.80465292
      72.270  0.80221328
      73.000  0.80000000
      73.750  0.79801308
      74.490  0.79595070
      75.240  0.79408954
      76.000  0.79182596
      76.760  0.78971328
      77.560  0.78752515
      78.350  0.78521127
      79.150  0.78309859
      79.950  0.78126258
      80.750  0.77935111
      81.560  0.77728873
      82.380  0.77547787
      83.210  0.77326459
      84.050  0.77168008
      84.900  0.76966801
      85.760  0.76775654
      86.620  0.76599598
      87.500  0.76426056
      88.400  0.76242455
      89.320  0.76084004
      90.250  0.75902918
      91.210  0.75724346
      92.160  0.75548290
      93.110  0.75379779
      94.050  0.75206237
      95.010  0.75060362
      95.990  0.74874245
      96.950  0.74733400
      97.920  0.74579980
      98.930  0.74459256
      99.940  0.74278169
     100.940  0.74132294
     101.970  0.74004024
     102.990  0.73830483
     104.020  0.73651911
     105.070  0.73506036
     106.130  0.73362676
     107.210  0.73209256
     108.290  0.73038229
     109.400  0.72892354
     110.500  0.72731388
     111.680  0.72585513
     112.810  0.72429577
     113.970  0.72288732
     115.120  0.72147887
     116.290  0.72027163
     117.470  0.71856137
     118.690  0.71717807
     119.890  0.71554326
     121.110  0.71383300
     122.330  0.71212274
     123.560  0.71071429
     124.820  0.70907948
     126.080  0.70757042
     127.360  0.70606137
     128.660  0.70467807
     129.950  0.70329477
     131.250  0.70196177
     132.590  0.70045272
     133.920  0.69869215
     135.270  0.69700704
     136.630  0.69549799
     138.000  0.69413984
     139.390  0.69258048
     140.790  0.69117203
     142.230  0.69001509
     143.720  0.68863179
     145.250  0.68684608
     146.710  0.68538732
     148.310  0.68400402
     149.800  0.68259557
     151.300  0.68116197
     152.820  0.67945171
     154.400  0.67784205
     155.970  0.67671026
     157.530  0.67497485
     159.110  0.67318913
     160.710  0.67168008
     162.340  0.67019618
     164.000  0.66878773
     165.650  0.66732897
     167.320  0.66574447
     169.020  0.66413481
     170.750  0.66244970
     172.540  0.66101610
     174.320  0.65925553
     176.070  0.65759557
     177.840  0.65623742
     179.640  0.65470322
     181.440  0.65326962
     183.260  0.65173541
     185.170  0.64982394
     187.030  0.64851610
     188.920  0.64705734
     190.860  0.64567404
     192.790  0.64406439
     194.720  0.64240443
     196.730  0.64066901
     198.700  0.63888330
     200.750  0.63722334
     202.870  0.63551308
     204.930  0.63380282
     207.050  0.63199195
     209.140  0.63030684
     211.250  0.62864688
     213.410  0.62703722
     215.630  0.62530181
     217.830  0.62331489
     220.010  0.62117706
     222.220  0.61921529
     224.610  0.61742958
     226.860  0.61559356
     229.140  0.61383300
     231.470  0.61172032
     233.930  0.60988431
     236.320  0.60807344
     238.710  0.60623742
     241.110  0.60462777
     243.530  0.60286720
     246.000  0.60138330
     248.500  0.59962274
     250.990  0.59786217
     253.520  0.59612676
     256.090  0.59469316
     258.690  0.59298290
     261.350  0.59097082
     264.120  0.58900905
     266.840  0.58699698
     269.510  0.58498491
     272.260  0.58319920
     275.120  0.58118712
     277.980  0.57914990
     280.920  0.57754024
     283.820  0.57570423
     286.660  0.57371730
     289.610  0.57198189
     292.520  0.57019618
     295.470  0.56825956
     298.450  0.56647384
     301.440  0.56473843
     304.510  0.56285211
     307.560  0.56099095
     310.680  0.55895372
     313.790  0.55709256
     317.010  0.55520624
     320.190  0.55334507
     323.470  0.55148390
     326.740  0.54934608
     330.030  0.54723340
     333.380  0.54539738
     336.800  0.54351107
     340.290  0.54109658
     343.810  0.53948692
     347.430  0.53704728
     350.920  0.53483400
     354.650  0.53299799
     358.320  0.53073441
     361.950  0.52884809
     365.570  0.52665996
     369.250  0.52462274
     372.990  0.52283702
     376.720  0.52074950
     380.530  0.51888833
     384.470  0.51695171
     388.320  0.51463783
     392.210  0.51275151
     396.160  0.51061368
     400.130  0.50885312
     404.160  0.50711771
     408.210  0.50548290
     412.300  0.50342052
     416.440  0.50145875
     420.610  0.49954728
     424.900  0.49773642
     429.170  0.49587525
     433.540  0.49396378
     437.910  0.49207746
     442.380  0.49019115
     446.840  0.48780181
     451.310  0.48586519
     455.890  0.48390342
     460.460  0.48169014
     465.110  0.47975352
     469.850  0.47771630
     474.600  0.47567907
     479.360  0.47356640
     484.170  0.47162978
     489.330  0.46986922
     494.230  0.46798290
     499.410  0.46594567
     504.410  0.46426056
     509.460  0.46252515
     514.570  0.46081489
     519.860  0.45910463
     525.230  0.45752012
     530.500  0.45535714
     535.820  0.45319416
     541.180  0.45133300
     546.700  0.44952213
     552.220  0.44735915
     557.820  0.44544769
     563.420  0.44371227
     569.110  0.44182596
     574.850  0.43998994
     580.790  0.43802817
     586.610  0.43558853
     592.510  0.43377767
     598.470  0.43133803
     604.460  0.42945171
     610.530  0.42771630
     616.640  0.42585513
     622.810  0.42417002
     629.160  0.42215795
     635.470  0.42032193
     642.000  0.41830986
     648.510  0.41647384
     655.020  0.41498994
     661.640  0.41315392
     668.300  0.41131791
     674.990  0.40897887
     681.750  0.40653924
     688.630  0.40450201
     695.580  0.40274145
     702.660  0.40115694
     709.720  0.39934608
     716.830  0.39715795
     724.260  0.39534708
     731.580  0.39293260
     739.270  0.39109658
     746.760  0.38880785
     754.350  0.38684608
     761.900  0.38523642
     769.570  0.38337525
     777.270  0.38136318
     785.080  0.37935111
     793.090  0.37784205
     801.060  0.37625755
     809.150  0.37417002
     817.250  0.37210765
     825.510  0.37029678
     833.810  0.36851107
     842.180  0.36700201
     851.130  0.36519115
     859.790  0.36345573
     868.560  0.36179577
     877.430  0.35993461
     886.340  0.35819920
     895.570  0.35631288
     904.530  0.35455231
     913.990  0.35276660
     923.150  0.35103119
     932.410  0.34959759
     941.850  0.34773642
     951.400  0.34579980
