# Fraction of RTTS longer than a given time for dctcp_w4 experiment
# Includes messages <= 315 bytes; measured at 2026-04-21 04:52:11.922026
# Averaged across 1 repeated sample(s)
# Data collected at 2026-04-21 04:52:11.922026 
#       usec        frac
      30.170  0.99996954
      30.800  0.99993908
      31.130  0.99981723
      31.550  0.99972585
      32.040  0.99954309
      32.520  0.99929940
      32.960  0.99911663
      33.390  0.99887295
      33.750  0.99862926
      34.090  0.99832465
      34.440  0.99774590
      34.790  0.99734990
      35.140  0.99698437
      35.540  0.99625331
      35.900  0.99540041
      36.300  0.99463889
      36.670  0.99387736
      37.040  0.99323769
      37.440  0.99241524
      37.820  0.99162326
      38.200  0.99058759
      38.600  0.98976515
      39.010  0.98888178
      39.410  0.98796796
      39.820  0.98696275
      40.220  0.98604892
      40.630  0.98516555
      41.050  0.98449542
      41.480  0.98358159
      41.900  0.98245454
      42.320  0.98169302
      42.760  0.98065735
      43.190  0.97946937
      43.630  0.97870785
      44.090  0.97767218
      44.540  0.97654513
      45.000  0.97529623
      45.450  0.97419964
      45.910  0.97258521
      46.400  0.97060526
      46.870  0.96871668
      47.340  0.96664534
      47.820  0.96390387
      48.300  0.96137561
      48.790  0.95848183
      49.280  0.95549666
      49.780  0.95220689
      50.280  0.94861251
      50.790  0.94538365
      51.300  0.94169789
      51.820  0.93792074
      52.340  0.93457004
      52.870  0.93070151
      53.400  0.92674160
      53.940  0.92308630
      54.480  0.91982698
      55.030  0.91684182
      55.590  0.91382619
      56.150  0.91038411
      56.720  0.90733802
      57.290  0.90438332
      57.870  0.90185507
      58.450  0.89902221
      59.040  0.89707271
      59.640  0.89448354
      60.250  0.89183344
      60.870  0.88982302
      61.490  0.88750800
      62.110  0.88534527
      62.750  0.88315209
      63.390  0.88144628
      64.040  0.87964909
      64.700  0.87769959
      65.360  0.87596333
      66.020  0.87401383
      66.700  0.87200341
      67.370  0.87038899
      68.050  0.86843949
      68.750  0.86667276
      69.440  0.86493649
      70.160  0.86304791
      70.920  0.86161625
      71.650  0.85975814
      72.370  0.85768680
      73.110  0.85585915
      73.850  0.85445795
      74.590  0.85278260
      75.340  0.85104633
      76.110  0.84949283
      76.880  0.84772610
      77.670  0.84620305
      78.450  0.84471047
      79.240  0.84333973
      80.050  0.84148162
      80.860  0.83977581
      81.670  0.83843553
      82.490  0.83697341
      83.320  0.83541990
      84.190  0.83392732
      85.050  0.83213013
      85.910  0.83021109
      86.850  0.82850528
      87.740  0.82679948
      88.660  0.82552012
      89.550  0.82399708
      90.470  0.82259588
      91.380  0.82104237
      92.310  0.81973255
      93.250  0.81808767
      94.200  0.81656462
      95.160  0.81488927
      96.130  0.81321393
      97.120  0.81147766
      98.110  0.80986323
      99.100  0.80818788
     100.140  0.80669530
     101.220  0.80492857
     102.250  0.80349691
     103.300  0.80224801
     104.340  0.80069451
     105.390  0.79938469
     106.460  0.79773980
     107.560  0.79627768
     108.660  0.79505925
     109.770  0.79350574
     110.910  0.79207408
     112.060  0.79070334
     113.200  0.78908892
     114.340  0.78747449
     115.510  0.78595145
     116.690  0.78421518
     117.870  0.78263121
     119.060  0.78123001
     120.260  0.77946328
     121.480  0.77806208
     122.700  0.77678272
     123.930  0.77529014
     125.180  0.77391940
     126.440  0.77218313
     127.710  0.77075147
     129.000  0.76938073
     130.300  0.76785769
     131.610  0.76633464
     132.970  0.76496390
     134.300  0.76341040
     135.680  0.76188736
     137.050  0.76045569
     138.430  0.75862804
     139.840  0.75680039
     141.240  0.75524689
     142.660  0.75384569
     144.090  0.75204849
     145.540  0.75028176
     147.020  0.74888056
     148.570  0.74744890
     150.080  0.74601724
     151.590  0.74418959
     153.120  0.74263608
     154.670  0.74062567
     156.260  0.73867617
     157.870  0.73709221
     159.450  0.73523409
     161.180  0.73358920
     162.810  0.73191386
     164.440  0.73048220
     166.090  0.72883731
     167.770  0.72658320
     169.460  0.72481647
     171.160  0.72298882
     172.890  0.72100886
     174.620  0.71918121
     176.400  0.71729264
     178.210  0.71564775
     180.000  0.71388102
     181.830  0.71254074
     183.670  0.71065217
     185.510  0.70912912
     187.370  0.70733193
     189.260  0.70544336
     191.230  0.70352432
     193.150  0.70151391
     195.130  0.69986902
     197.090  0.69776722
     199.080  0.69581772
     201.080  0.69383777
     203.130  0.69170550
     205.180  0.68960370
     207.240  0.68734960
     209.420  0.68500411
     211.540  0.68308508
     213.670  0.68092236
     215.810  0.67912516
     217.980  0.67708429
     220.170  0.67498248
     222.450  0.67281976
     224.690  0.67071796
     226.940  0.66864662
     229.220  0.66678851
     231.580  0.66438210
     233.940  0.66240214
     236.400  0.66026988
     238.790  0.65777209
     241.200  0.65530476
     243.630  0.65274605
     246.110  0.65046148
     248.610  0.64845106
     251.100  0.64580097
     253.640  0.64369917
     256.190  0.64153645
     258.770  0.63961741
     261.480  0.63669317
     264.120  0.63434768
     266.810  0.63166712
     269.490  0.62898657
     272.230  0.62670200
     274.970  0.62405191
     277.740  0.62161504
     280.610  0.61926955
     283.420  0.61655853
     286.290  0.61442627
     289.160  0.61189802
     292.110  0.60927838
     295.070  0.60668921
     298.060  0.60352128
     301.050  0.60096256
     304.180  0.59855615
     307.230  0.59584514
     310.310  0.59267721
     313.480  0.58999665
     316.620  0.58752932
     319.800  0.58503153
     323.100  0.58256420
     326.350  0.57994456
     329.630  0.57723354
     333.000  0.57433976
     336.420  0.57129367
     339.800  0.56843035
     343.200  0.56578026
     346.690  0.56285601
     350.260  0.55968808
     353.780  0.55712937
     357.330  0.55438789
     360.960  0.55094581
     364.570  0.54844802
     368.280  0.54540193
     371.970  0.54226446
     375.790  0.53964483
     379.660  0.53684243
     383.520  0.53397910
     387.360  0.53114624
     391.240  0.52861799
     395.180  0.52593743
     399.140  0.52276950
     403.140  0.51938835
     407.230  0.51658595
     411.340  0.51399677
     415.460  0.51146852
     419.670  0.50836151
     423.890  0.50537634
     428.180  0.50175150
     432.500  0.49882726
     436.830  0.49602486
     441.220  0.49291785
     445.710  0.48968899
     450.260  0.48639922
     454.840  0.48317037
     459.470  0.48006336
     464.070  0.47683451
     468.760  0.47378842
     473.530  0.47043772
     478.300  0.46681288
     483.090  0.46318803
     487.930  0.45974596
     492.860  0.45639526
     497.870  0.45298364
     503.000  0.44960249
     508.050  0.44622133
     513.270  0.44351031
     518.410  0.44022054
     523.660  0.43677846
     528.930  0.43345822
     534.260  0.43053398
     539.720  0.42760974
     545.140  0.42416766
     550.690  0.42148710
     556.200  0.41831917
     561.790  0.41536446
     567.510  0.41210515
     573.200  0.40908952
     578.740  0.40497731
     584.560  0.40144385
     590.410  0.39827591
     596.320  0.39486430
     602.030  0.39090438
     608.290  0.38758415
     614.490  0.38408115
     620.860  0.38164428
     627.070  0.37868957
     633.360  0.37527796
     639.740  0.37183588
     646.190  0.36897255
     652.710  0.36546955
     659.350  0.36193609
     665.960  0.35882908
     672.490  0.35523470
     679.240  0.35215815
     686.110  0.34899022
     693.000  0.34566999
     699.980  0.34256298
     706.740  0.33912090
     712.550  0.33570928
     719.700  0.33293734
     726.480  0.32958665
     733.840  0.32666240
     740.920  0.32337263
     748.110  0.32011331
     754.960  0.31688446
     762.350  0.31368607
     768.720  0.31054860
     776.060  0.30744159
     782.410  0.30436504
     789.920  0.30131896
     797.970  0.29860794
     805.680  0.29559231
     813.370  0.29260715
     820.910  0.28965244
     829.160  0.28678912
     836.650  0.28389534
     844.180  0.28103201
     850.930  0.27819915
     858.830  0.27539675
     865.500  0.27262481
     873.330  0.26988333
     880.340  0.26717232
     887.130  0.26449176
     894.660  0.26184166
     903.370  0.25922203
     910.020  0.25660239
     916.490  0.25401322
     922.590  0.25145451
     929.260  0.24892625
     934.630  0.24642846
     942.440  0.24396113
     950.470  0.24149380
     958.280  0.23905693
     966.260  0.23665052
     973.780  0.23427457
     981.080  0.23192909
     988.090  0.22958360
     996.200  0.22726857
    1003.070  0.22498401
    1009.230  0.22272990
    1016.330  0.22047580
    1025.260  0.21825216
    1034.550  0.21605897
    1042.420  0.21389625
    1049.320  0.21173353
    1056.610  0.20960127
    1064.180  0.20749947
    1073.340  0.20539767
    1080.720  0.20332633
    1090.420  0.20128545
    1098.640  0.19924457
    1106.400  0.19723415
    1114.220  0.19525420
    1121.780  0.19327424
    1129.480  0.19132474
    1138.180  0.18940571
    1146.610  0.18748667
    1153.230  0.18559810
    1162.020  0.18373999
    1168.820  0.18188187
    1176.470  0.18005422
    1183.740  0.17822657
    1190.630  0.17642938
    1197.540  0.17466265
    1204.720  0.17289592
    1213.660  0.17115965
    1219.640  0.16942338
    1227.640  0.16771757
    1237.910  0.16601176
    1246.230  0.16433641
    1254.520  0.16269152
    1264.100  0.16104664
    1273.950  0.15943221
    1280.800  0.15781778
    1287.830  0.15623382
    1296.260  0.15464985
    1304.770  0.15309635
    1314.740  0.15154284
    1323.550  0.15001980
    1331.840  0.14849676
    1341.140  0.14700417
    1351.300  0.14551159
    1357.600  0.14404947
    1366.340  0.14258735
    1376.330  0.14115569
    1384.930  0.13972402
    1393.740  0.13832282
    1405.120  0.13692162
    1412.680  0.13555088
    1422.450  0.13418015
    1431.040  0.13280941
    1441.100  0.13146913
    1449.070  0.13012885
    1457.720  0.12881903
    1468.300  0.12750921
    1477.560  0.12622986
    1484.020  0.12495050
    1493.100  0.12367114
    1500.920  0.12242225
    1511.660  0.12117335
    1522.640  0.11995492
    1532.130  0.11873648
    1539.530  0.11754851
    1548.060  0.11636053
    1557.140  0.11517256
    1565.930  0.11401505
    1573.300  0.11285753
    1582.320  0.11170002
    1592.180  0.11057297
    1602.820  0.10944592
    1610.870  0.10834933
    1618.490  0.10725273
    1627.150  0.10615614
    1636.250  0.10509001
    1646.650  0.10402388
    1656.050  0.10295775
    1665.380  0.10192208
    1674.990  0.10088641
    1683.590  0.09985074
