# Digested data for unloaded_w4 experiment, run at 2026-04-21 04:52:11.922026
# Averaged across 1 repeated sample(s)
# length  cum_frac  samples     p50      p99     p999   s50    s99    s999
      60  0.005085      500    16.4     34.0    238.5   1.0    2.1    14.5
      72  0.010169      500    15.7     33.9     51.6   1.0    2.2     3.3
      92  0.015254      500    15.5     33.7     47.3   1.0    2.2     3.1
     119  0.020339      500    15.3     33.1     40.4   1.0    2.2     2.6
     154  0.025423      500    15.2     37.5     50.1   1.0    2.5     3.3
     199  0.030508      500    15.1     40.1     48.6   1.0    2.7     3.2
     222  0.035593      500    14.9     32.4     33.6   1.0    2.2     2.3
     227  0.040677      500    14.8     32.0     32.9   1.0    2.2     2.2
     232  0.045762      500    14.8     33.0     33.8   1.0    2.2     2.3
     237  0.050847      500    14.6     32.6    221.9   1.0    2.2    15.2
     243  0.055931      500    14.5     32.1     47.8   1.0    2.2     3.3
     248  0.061016      500    14.4     32.1     33.0   1.0    2.2     2.3
     254  0.066101      500    14.4     30.8     31.7   1.0    2.1     2.2
     259  0.071185      500    14.4     31.4     32.2   1.0    2.2     2.2
     265  0.076270      500    14.3     31.7     45.2   1.0    2.2     3.2
     271  0.081355      500    14.3     32.2    231.0   1.0    2.2    16.1
     279  0.086439      500    14.3     30.5     33.3   1.0    2.1     2.3
     288  0.091524      500    14.3     40.0     47.8   1.0    2.8     3.3
     297  0.096609      500    14.3     36.4     41.8   1.0    2.5     2.9
     303  0.101693      500    14.4     32.4     41.2   1.0    2.3     2.9
     305  0.106778      500    14.3     31.1     33.1   1.0    2.2     2.3
     308  0.111863      500    14.4     31.9     32.6   1.0    2.2     2.3
     310  0.116947      500    14.3     31.8     32.6   1.0    2.2     2.3
     313  0.122032      500    14.4     31.1     32.3   1.0    2.2     2.2
     315  0.127116      500    14.3     31.5     31.8   1.0    2.2     2.2
     318  0.132201      500    14.4     30.9    226.4   1.0    2.2    15.7
     321  0.137286      500    14.4     30.6     32.4   1.0    2.1     2.2
     323  0.142370      500    14.6     32.6     40.1   1.0    2.2     2.8
     326  0.147455      500    14.5     32.3     34.1   1.0    2.2     2.3
     331  0.152540      500    14.4     32.0     33.2   1.0    2.2     2.3
     335  0.157624      500    14.5     30.5     32.4   1.0    2.1     2.2
     340  0.162709      500    14.5     31.6     48.0   1.0    2.2     3.3
     345  0.167794      500    14.5     31.9    239.8   1.0    2.2    16.5
     350  0.172878      500    14.5     31.7     33.1   1.0    2.2     2.3
     355  0.177963      500    14.6     31.7     33.3   1.0    2.2     2.3
     360  0.183048      500    14.6     32.1     33.8   1.0    2.2     2.3
     365  0.188132      500    14.5     32.3     44.4   1.0    2.2     3.1
     371  0.193217      500    14.6     36.4     53.0   1.0    2.5     3.6
     376  0.198302      500    14.5     31.5     32.4   1.0    2.2     2.2
     385  0.203386      500    14.5     31.5     31.7   1.0    2.2     2.2
     395  0.208471      500    14.6     31.8     47.1   1.0    2.2     3.2
     405  0.213556      500    14.5     31.7    225.1   1.0    2.2    15.5
     415  0.218640      500    14.5     30.7     39.2   1.0    2.1     2.7
     425  0.223725      500    14.6     31.8     32.8   1.0    2.2     2.2
     430  0.228810      500    14.7     31.9     37.5   1.0    2.2     2.6
     435  0.233894      500    14.5     32.4     33.8   1.0    2.2     2.3
     441  0.238979      500    14.6     31.4     46.9   1.0    2.2     3.2
     446  0.244064      500    14.6     31.9    226.4   1.0    2.2    15.5
     452  0.249148      500    14.8     32.7     43.2   1.0    2.2     2.9
     457  0.254233      500    14.6     31.9     32.5   1.0    2.2     2.2
     463  0.259318      500    14.6     31.8     32.7   1.0    2.2     2.2
     468  0.264402      500    14.6     32.4     46.8   1.0    2.2     3.2
     474  0.269487      500    14.8     32.4     43.9   1.0    2.2     3.0
     480  0.274572      500    14.7     32.2     33.2   1.0    2.2     2.3
     491  0.279656      500    14.8     32.4     44.5   1.0    2.2     3.0
     502  0.284741      500    14.8     32.1     32.7   1.0    2.2     2.2
     513  0.289826      500    14.7     31.8     32.8   1.0    2.2     2.2
     525  0.294910      500    14.7     31.6    233.7   1.0    2.2    16.0
     537  0.299995      500    14.6     32.1     32.8   1.0    2.2     2.2
     549  0.305080      500    14.8     32.6     44.9   1.0    2.2     3.0
     561  0.310164      500    14.6     32.0     32.8   1.0    2.2     2.2
     574  0.315249      500    14.6     33.3     49.2   1.0    2.3     3.4
     587  0.320334      500    14.6     30.5     33.4   1.0    2.1     2.3
     600  0.325418      500    14.7     32.6    226.7   1.0    2.2    15.4
     607  0.330503      500    14.8     31.4     32.6   1.0    2.1     2.2
     615  0.335588      500    14.8     32.0     33.0   1.0    2.2     2.2
     623  0.340672      500    14.8     31.8     33.2   1.0    2.2     2.2
     630  0.345757      500    14.8     32.2     33.0   1.0    2.2     2.2
     638  0.350842      500    14.9     32.4     32.9   1.0    2.2     2.2
     646  0.355926      500    14.8     32.0     32.7   1.0    2.2     2.2
     654  0.361011      500    14.8     32.9     33.9   1.0    2.2     2.3
     662  0.366095      500    14.8     32.8     46.9   1.0    2.2     3.2
     671  0.371180      500    15.1     31.8     32.5   1.0    2.1     2.1
     679  0.376265      500    15.1     31.9    228.8   1.0    2.1    15.2
     685  0.381349      500    14.9     32.5     34.4   1.0    2.2     2.3
     690  0.386434      500    14.9     33.8     38.0   1.0    2.3     2.5
     696  0.391519      500    14.9     36.2     42.5   1.0    2.4     2.9
     702  0.396603      500    14.9     32.2     34.0   1.0    2.2     2.3
     707  0.401688      500    14.8     32.1     32.7   1.0    2.2     2.2
     713  0.406773      500    14.9     37.7    220.9   1.0    2.5    14.9
