# Fraction of RTTS longer than a given time for unloaded_w4 experiment
# Includes messages <= 303 bytes; measured at 2026-04-21 04:52:11.922026
# Averaged across 1 repeated sample(s)
# Data collected at 2026-04-21 04:52:11.922026 
#       usec        frac
      13.830  0.99990000
      13.960  0.98990000
      14.010  0.98000000
      14.030  0.97020000
      14.050  0.96040000
      14.070  0.95070000
      14.090  0.94110000
      14.100  0.93160000
      14.120  0.92220000
      14.130  0.91290000
      14.140  0.90370000
      14.160  0.89460000
      14.170  0.88560000
      14.180  0.87670000
      14.190  0.86790000
      14.200  0.85920000
      14.210  0.85060000
      14.230  0.84200000
      14.240  0.83350000
      14.250  0.82510000
      14.260  0.81680000
      14.270  0.80860000
      14.280  0.80050000
      14.290  0.79240000
      14.300  0.78440000
      14.310  0.77650000
      14.320  0.76870000
      14.330  0.76100000
      14.340  0.75330000
      14.350  0.74570000
      14.360  0.73820000
      14.370  0.73080000
      14.380  0.72340000
      14.390  0.71610000
      14.400  0.70890000
      14.410  0.70180000
      14.430  0.69470000
      14.440  0.68770000
      14.450  0.68080000
      14.460  0.67390000
      14.470  0.66710000
      14.470  0.66040000
      14.480  0.65370000
      14.490  0.64710000
      14.500  0.64060000
      14.520  0.63410000
      14.530  0.62770000
      14.540  0.62140000
      14.550  0.61510000
      14.560  0.60890000
      14.570  0.60280000
      14.580  0.59670000
      14.590  0.59070000
      14.600  0.58470000
      14.600  0.57880000
      14.610  0.57300000
      14.620  0.56720000
      14.630  0.56150000
      14.640  0.55580000
      14.650  0.55020000
      14.660  0.54460000
      14.670  0.53910000
      14.680  0.53370000
      14.690  0.52830000
      14.700  0.52300000
      14.710  0.51770000
      14.710  0.51250000
      14.720  0.50730000
      14.730  0.50220000
      14.740  0.49710000
      14.750  0.49210000
      14.760  0.48710000
      14.760  0.48220000
      14.770  0.47730000
      14.780  0.47250000
      14.790  0.46770000
      14.800  0.46300000
      14.810  0.45830000
      14.820  0.45370000
      14.830  0.44910000
      14.840  0.44460000
      14.850  0.44010000
      14.860  0.43560000
      14.870  0.43120000
      14.880  0.42680000
      14.890  0.42250000
      14.890  0.41820000
      14.900  0.41400000
      14.910  0.40980000
      14.920  0.40570000
      14.930  0.40160000
      14.940  0.39750000
      14.950  0.39350000
      14.960  0.38950000
      14.970  0.38560000
      14.980  0.38170000
      14.990  0.37780000
      15.000  0.37400000
      15.010  0.37020000
      15.010  0.36640000
      15.020  0.36270000
      15.030  0.35900000
      15.040  0.35540000
      15.050  0.35180000
      15.060  0.34820000
      15.070  0.34470000
      15.080  0.34120000
      15.090  0.33770000
      15.100  0.33430000
      15.110  0.33090000
      15.120  0.32750000
      15.120  0.32420000
      15.130  0.32090000
      15.140  0.31760000
      15.150  0.31440000
      15.160  0.31120000
      15.170  0.30800000
      15.180  0.30490000
      15.190  0.30180000
      15.200  0.29870000
      15.210  0.29570000
      15.220  0.29270000
      15.230  0.28970000
      15.230  0.28680000
      15.240  0.28390000
      15.250  0.28100000
      15.250  0.27810000
      15.260  0.27530000
      15.270  0.27250000
      15.280  0.26970000
      15.290  0.26700000
      15.300  0.26430000
      15.310  0.26160000
      15.320  0.25890000
      15.330  0.25630000
      15.340  0.25370000
      15.340  0.25110000
      15.350  0.24850000
      15.360  0.24600000
      15.370  0.24350000
      15.380  0.24100000
      15.390  0.23850000
      15.400  0.23610000
      15.410  0.23370000
      15.420  0.23130000
      15.430  0.22890000
      15.440  0.22660000
      15.450  0.22430000
      15.460  0.22200000
      15.470  0.21970000
      15.480  0.21750000
      15.490  0.21530000
      15.500  0.21310000
      15.510  0.21090000
      15.510  0.20870000
      15.520  0.20660000
      15.530  0.20450000
      15.550  0.20240000
      15.550  0.20030000
      15.560  0.19820000
      15.580  0.19620000
      15.590  0.19420000
