# Digested data for dctcp_multiplex_s2_w4 experiment, run at 2026-04-21 06:02:29.629696
# Averaged across 5 repeated sample(s)
# length  cum_frac  samples     p50      p99     p999   s50    s99    s999
      60  0.002183     4211   232.7  49678.4 211969.4  13.8 2941.3 12550.0
      72  0.004393     4265   225.3  48040.2 173715.4  13.8 2943.6 10644.3
      92  0.007332     5671   219.6  51808.3 192040.3  13.6 3217.9 11928.0
     119  0.009457     4099   221.0  50519.1 254684.5  13.9 3177.3 16017.9
     154  0.011706     4339   218.8  43742.1 246782.0  13.9 2779.0 15678.7
     199  0.014002     4430   220.1  57936.9 204458.8  14.1 3706.8 13081.2
     222  0.017366     6491   222.5  45262.9 147291.4  14.3 2918.3  9496.5
     227  0.019872     4835   223.9  65044.3 224109.4  14.5 4207.3 14496.1
     232  0.022350     4782   224.7  50006.3 188902.4  14.6 3253.5 12290.3
     237  0.025060     5228   222.0  46302.0 199801.4  14.5 3030.2 13076.0
     243  0.027713     5119   215.6  44601.8 186706.6  14.3 2953.8 12364.7
     248  0.030250     4895   223.3  48084.8 203331.9  14.9 3201.4 13537.4
     254  0.032781     4883   213.0  56825.4 198126.4  14.2 3785.8 13199.6
     259  0.035363     4981   223.6  59977.8 231968.4  14.9 3995.9 15454.3
     265  0.037963     5017   223.4  49968.4 186140.1  14.9 3331.2 12409.3
     271  0.040619     5124   218.5  33638.3 160669.6  14.6 2242.6 10711.3
     279  0.043920     6369   221.8  42292.4 169683.2  14.9 2838.4 11388.1
     288  0.047178     6286   221.3  51679.5 176174.8  14.7 3431.6 11698.2
     297  0.050474     6360   219.1  49296.8 154691.7  14.7 3301.9 10361.1
     303  0.060180    18726   220.6  48685.6 197919.0  14.8 3263.1 13265.4
     305  0.068757    16549   218.8  43975.3 168112.3  14.7 2947.4 11267.6
     308  0.077220    16328   223.9  49439.3 187403.1  15.0 3320.3 12585.8
     310  0.085603    16174   214.7  48539.6 184057.9  14.4 3251.1 12328.1
     313  0.093997    16195   222.5  50013.4 208957.5  14.8 3336.4 13939.8
     315  0.102443    16296   221.2  48207.6 198231.0  14.7 3207.4 13189.0
     318  0.111161    16822   225.4  42290.7 187075.7  14.9 2798.9 12380.9
     321  0.119650    16377   220.2  45203.2 193251.2  14.7 3023.6 12926.5
     323  0.128248    16590   221.4  52121.7 195096.9  14.8 3488.7 13058.7
     326  0.136669    16247   222.3  55296.1 202996.0  14.9 3696.3 13569.2
     331  0.143119    12445   219.9  37364.7 196539.3  14.7 2491.0 13102.6
     335  0.149636    12573   224.2  47447.0 177808.4  15.0 3169.5 11877.6
     340  0.156197    12660   216.0  46140.6 169741.6  14.4 3084.3 11346.4
     345  0.162644    12439   220.4  53577.1 190631.4  14.8 3588.6 12768.3
     350  0.169254    12753   220.2  53693.4 196227.8  14.7 3584.3 13099.3
     355  0.175707    12450   216.9  55035.7 176234.6  14.4 3656.9 11709.9
     360  0.182180    12489   228.3  48119.3 180737.2  15.2 3197.3 12009.1
     365  0.188682    12545   218.3  52678.3 212039.0  14.6 3514.2 14145.4
     371  0.195198    12573   228.6  57170.7 174026.5  15.2 3811.4 11601.8
     376  0.201911    12951   219.9  51345.6 216785.2  14.7 3423.0 14452.3
     385  0.205921     7738   217.4  51555.4 201196.9  14.4 3416.5 13333.1
     395  0.210004     7876   223.6  46556.8 183526.1  14.9 3093.5 12194.4
     405  0.214027     7763   215.9  48161.3 215124.3  14.4 3206.5 14322.5
     415  0.218041     7745   223.4  44329.3 167404.6  14.9 2957.3 11167.8
     425  0.222089     7809   226.9  47167.6 208293.9  15.1 3144.5 13886.3
     430  0.226186     7905   223.1  47537.3 213749.2  14.9 3171.3 14259.5
     435  0.230297     7933   219.6  47693.4 180642.3  14.6 3177.4 12034.8
     441  0.234517     8141   218.8  37551.8 174279.2  14.6 2505.1 11626.4
     446  0.238582     7843   217.1  49488.6 183635.4  14.4 3288.3 12201.7
     452  0.242633     7816   221.9  49030.9 203364.9  14.8 3264.4 13539.6
     457  0.246658     7766   221.5  46178.5 190896.8  14.7 3070.4 12692.6
     463  0.250709     7816   216.8  43844.2 205792.0  14.4 2921.0 13710.3
     468  0.254794     7882   222.5  49244.8 183215.8  14.8 3280.8 12206.2
     474  0.258848     7821   215.7  44251.0 185981.1  14.4 2950.1 12398.7
     480  0.263031     8071   216.1  46494.8 208105.8  14.4 3095.5 13855.2
     491  0.282613    37782   219.2  54061.6 191580.8  14.5 3585.0 12704.3
     502  0.302266    37919   219.3  52405.4 195210.3  14.5 3468.3 12919.3
     513  0.321810    37708   219.1  52569.9 202323.4  14.5 3481.5 13398.9
     525  0.341251    37509   222.4  47025.0 188267.2  14.7 3112.2 12459.8
     537  0.360595    37323   221.1  44814.7 177210.6  14.7 2975.7 11767.0
     549  0.380081    37596   220.6  43286.0 194701.2  14.6 2868.5 12902.7
     561  0.399463    37396   221.5  53560.0 199117.2  14.7 3556.4 13221.6
     574  0.418879    37460   222.1  47261.9 190401.1  14.7 3125.8 12592.7
     587  0.438244    37363   220.4  47199.6 181855.6  14.6 3119.6 12019.5
     600  0.457944    38009   219.0  53940.7 193369.5  14.5 3562.8 12772.1
     607  0.463690    11086   218.5  39268.2 174463.1  14.4 2595.4 11530.9
     615  0.469504    11219   216.1  52464.2 196945.5  14.2 3444.8 12931.4
     623  0.475339    11257   226.8  53100.1 208507.4  14.9 3479.7 13663.7
     630  0.481032    10985   216.1  50308.5 180144.7  14.2 3311.9 11859.4
     638  0.486800    11128   222.0  53777.1 199918.1  14.6 3526.4 13109.4
     646  0.492659    11305   215.8  53148.1 164022.6  14.1 3471.5 10713.4
     654  0.498402    11080   224.6  46039.3 179702.3  14.6 2997.4 11699.4
     662  0.504181    11150   223.7  48844.0 178068.9  14.6 3179.9 11593.0
     671  0.510072    11367   224.5  60479.8 187151.7  14.6 3934.9 12176.4
     679  0.515837    11123   221.1  39206.0 170949.7  14.4 2547.5 11107.8
     685  0.519419     6910   225.8  48972.5 179333.6  14.7 3186.2 11667.8
     690  0.522984     6878   224.1  42664.7 193277.0  14.6 2784.9 12616.0
