# Fraction of RTTS longer than a given time for dctcp_multiplex_s4_w4 experiment
# Includes messages <= 315 bytes; measured at 2026-04-21 06:02:29.629696
# Averaged across 5 repeated sample(s)
# Data collected at 2026-04-21 06:02:29.629696 
#       usec        frac
      30.900  0.99998956
      32.020  0.99998458
      32.420  0.99996522
      33.190  0.99996059
      33.530  0.99993081
      33.870  0.99990658
      34.220  0.99983338
      34.570  0.99976749
      34.930  0.99972040
      35.280  0.99961468
      35.730  0.99945896
      36.100  0.99931428
      36.470  0.99912524
      36.850  0.99885336
      37.220  0.99854031
      37.600  0.99824318
      37.980  0.99790300
      38.360  0.99744074
      38.750  0.99694220
      39.140  0.99628910
      39.540  0.99566322
      39.940  0.99494084
      40.340  0.99414121
      40.750  0.99331212
      41.160  0.99251461
      41.580  0.99157227
      42.000  0.99065197
      42.420  0.98973389
      42.860  0.98873413
      43.290  0.98759885
      43.730  0.98655370
      44.170  0.98538673
      44.620  0.98421859
      45.070  0.98288559
      45.530  0.98160634
      45.990  0.98033514
      46.450  0.97887049
      46.920  0.97736317
      47.390  0.97593448
      47.870  0.97424599
      48.350  0.97259497
      48.840  0.97095093
      49.330  0.96905824
      49.830  0.96706620
      50.330  0.96496650
      50.840  0.96276635
      51.350  0.96045022
      51.870  0.95803299
      52.390  0.95543517
      52.920  0.95285260
      53.450  0.94968188
      53.990  0.94659295
      54.530  0.94354132
      55.080  0.94018832
      55.640  0.93676580
      56.200  0.93324981
      56.770  0.92960173
      57.340  0.92610311
      57.920  0.92240072
      58.500  0.91872293
      59.090  0.91508429
      59.690  0.91147527
      60.290  0.90769472
      60.900  0.90394721
      61.510  0.90039749
      62.130  0.89690948
      62.760  0.89356507
      63.390  0.89012781
      64.030  0.88687075
      64.680  0.88342505
      65.330  0.88007100
      65.990  0.87705917
      66.650  0.87392632
      67.320  0.87070461
      68.000  0.86768528
      68.680  0.86467490
      69.370  0.86139956
      70.070  0.85856090
      70.780  0.85530689
      71.490  0.85229274
      72.210  0.84915705
      72.940  0.84629620
      73.670  0.84353833
      74.410  0.84084629
      75.160  0.83808279
      75.920  0.83530130
      76.680  0.83227109
      77.450  0.82944147
      78.230  0.82658431
      79.020  0.82391730
      79.820  0.82114167
      80.620  0.81836485
      81.430  0.81559773
      82.250  0.81302630
      83.080  0.81049417
      83.920  0.80783374
      84.760  0.80520519
      85.610  0.80254566
      86.470  0.79984826
      87.340  0.79722186
      88.220  0.79441157
      89.110  0.79158800
      90.010  0.78911051
      90.920  0.78649108
      91.830  0.78392863
      92.750  0.78151153
      93.680  0.77892352
      94.620  0.77641005
      95.570  0.77378811
      96.530  0.77124234
      97.500  0.76848108
      98.480  0.76591723
      99.470  0.76329450
     100.470  0.76074035
     101.480  0.75810286
     102.500  0.75549405
     103.530  0.75305732
     104.570  0.75047346
     105.620  0.74772368
     106.680  0.74509811
     107.750  0.74243117
     108.830  0.73993539
     109.920  0.73734944
     111.020  0.73495305
     112.140  0.73222260
     113.270  0.72950848
     114.410  0.72702440
     115.560  0.72470302
     116.720  0.72203427
     117.890  0.71937273
     119.070  0.71689044
     120.270  0.71421916
     121.490  0.71134477
     122.710  0.70856149
     123.940  0.70576958
     125.180  0.70309034
     126.440  0.70045272
     127.710  0.69796798
     128.990  0.69525898
     130.280  0.69274673
     131.590  0.68995744
     132.910  0.68725016
     134.240  0.68459308
     135.590  0.68189599
     136.950  0.67909921
     138.320  0.67628429
     139.710  0.67349632
     141.110  0.67057591
     142.530  0.66775654
     143.960  0.66498767
     145.400  0.66224666
     146.860  0.65956491
     148.330  0.65691682
     149.820  0.65407986
     151.320  0.65137002
     152.840  0.64872441
     154.370  0.64609314
     155.920  0.64322780
     157.480  0.64043110
     159.060  0.63756598
     160.660  0.63484216
     162.270  0.63181422
     163.900  0.62901345
     165.540  0.62613930
     167.200  0.62331107
     168.880  0.62037959
     170.570  0.61776370
     172.280  0.61494022
     174.010  0.61223874
     175.760  0.60941687
     177.520  0.60666248
     179.300  0.60390030
     181.110  0.60102644
     182.930  0.59836256
     184.760  0.59535518
     186.610  0.59234500
     188.480  0.58955800
     190.370  0.58647706
     192.280  0.58344590
     194.210  0.58044695
     196.170  0.57776254
