# Digested data for dctcp_w4 experiment, run at 2026-04-21 06:02:29.629696
# Averaged across 5 repeated sample(s)
# length  cum_frac  samples     p50      p99     p999   s50    s99    s999
      60  0.002267     3712   264.5  13006.2 137505.0  15.7  770.1  8141.2
      72  0.004498     3655   258.3  17511.9 157496.2  15.8 1073.0  9650.5
      92  0.007492     4903   266.6  15766.0 130517.6  16.6  979.3  8106.7
     119  0.009749     3695   265.0  15376.5 160841.0  16.7  967.1 10115.8
     154  0.011966     3632   257.0  12293.0  89460.2  16.3  781.0  5683.6
     199  0.014145     3568   252.2  15865.6 159365.0  16.1 1015.1 10196.1
     222  0.017597     5653   269.8  10274.8  67361.6  17.4  662.5  4343.1
     227  0.020203     4268   260.6  21669.1 143751.4  16.9 1401.6  9298.3
     232  0.022822     4289   279.1  14066.2 141196.1  18.2  915.2  9186.5
     237  0.025478     4350   271.6  12209.3 106730.6  17.8  799.0  6985.0
     243  0.028106     4303   262.6  17472.6 153206.5  17.4 1157.1 10146.1
     248  0.030692     4236   272.0  20430.8 198491.3  18.1 1360.2 13215.1
     254  0.033267     4216   260.3  18462.1 107546.1  17.3 1230.0  7165.0
     259  0.035876     4273   258.7  14971.2 105967.9  17.2  997.4  7059.8
     265  0.038534     4353   272.3  19562.9 171969.5  18.2 1304.2 11464.6
     271  0.041155     4293   274.5  15065.9 166402.6  18.3 1004.4 11093.5
     279  0.044444     5387   264.2  12204.5  45571.1  17.7  819.1  3058.5
     288  0.047782     5466   265.5  22948.0 103317.7  17.6 1523.8  6860.4
     297  0.051044     5342   260.6  11111.5 106011.4  17.5  744.2  7100.6
     303  0.060765    15920   265.4  15879.5 105319.1  17.8 1064.3  7058.9
     305  0.069227    13858   267.9  18118.2 119537.1  18.0 1214.4  8011.9
     308  0.077873    14159   265.9  16757.1 127961.5  17.9 1125.4  8593.8
     310  0.086462    14067   259.4  15070.7 109296.7  17.4 1009.4  7320.6
     313  0.095055    14072   262.3  15465.7 126389.6  17.5 1031.7  8431.6
     315  0.103570    13945   268.5  15926.1 131733.8  17.9 1059.6  8764.7
     318  0.112165    14075   271.0  15984.0  83428.6  17.9 1057.8  5521.4
     321  0.120796    14136   267.0  19297.9 107551.4  17.9 1290.8  7194.1
     323  0.129243    13833   266.0  16785.4 119319.2  17.8 1123.5  7986.6
     326  0.137845    14088   265.4  15810.1 133714.7  17.7 1056.8  8938.2
     331  0.144206    10416   261.6  16456.4 131503.8  17.4 1097.1  8766.9
     335  0.150650    10554   268.9  15282.4 148225.0  18.0 1020.9  9901.5
     340  0.157096    10557   270.2  17026.0 121933.1  18.1 1138.1  8150.6
     345  0.163762    10916   264.0  16298.4 179397.4  17.7 1091.7 12015.9
     350  0.170292    10694   262.8  14907.6 129865.1  17.5  995.2  8669.2
     355  0.176952    10908   269.3  13117.1  91401.2  17.9  871.6  6073.2
     360  0.183303    10400   263.4  15893.9 156241.9  17.5 1056.1 10381.5
     365  0.189798    10637   267.7  15618.7 127589.1  17.9 1041.9  8511.6
     371  0.196261    10584   267.6  16400.6 106639.1  17.8 1093.4  7109.3
     376  0.202883    10845   260.3  15440.0  88099.9  17.4 1029.3  5873.3
     385  0.207035     6800   273.6  14658.9 141808.3  18.1  971.4  9397.5
     395  0.211157     6750   270.9  12759.3 104644.0  18.0  847.8  6953.1
     405  0.215208     6635   266.0  16470.6  85551.7  17.7 1096.6  5695.9
     415  0.219334     6757   264.9  19364.4 124117.8  17.7 1291.8  8280.0
     425  0.223312     6514   266.5  16971.1  98041.3  17.8 1131.4  6536.1
     430  0.227380     6663   266.1  15684.3 105845.8  17.7 1046.3  7061.1
     435  0.231425     6623   261.2  15105.5  83357.1  17.4 1006.4  5553.4
     441  0.235530     6724   264.8  17574.0 108547.4  17.7 1172.4  7241.3
     446  0.239693     6817   273.7  12639.4  97837.2  18.2  839.8  6500.8
     452  0.243761     6663   272.9  15573.1  83677.3  18.2 1036.8  5571.1
     457  0.247881     6746   260.3  15927.5  53811.1  17.3 1059.0  3577.9
     463  0.251961     6683   264.9  20218.6 135007.0  17.6 1347.0  8994.5
     468  0.256137     6839   266.3  12434.1 104415.8  17.7  828.4  6956.4
     474  0.260177     6615   263.5  15039.6 148309.0  17.6 1002.6  9887.3
     480  0.264306     6763   264.9  13893.3  84599.8  17.6  925.0  5632.5
     491  0.283719    31792   262.4  15878.3 108029.3  17.4 1052.9  7163.7
     502  0.303152    31825   262.9  14008.7  91532.4  17.4  927.1  6057.7
     513  0.322887    32319   264.1  13928.5  88246.0  17.5  922.4  5844.1
     525  0.342602    32287   264.2  15955.2 128775.2  17.5 1055.9  8522.5
     537  0.361943    31675   263.2  14915.7 108207.3  17.5  990.4  7185.1
     549  0.381322    31736   265.1  14822.3 105588.4  17.6  982.3  6997.2
     561  0.400730    31784   267.5  15597.0  96853.9  17.8 1035.7  6431.2
     574  0.420088    31703   263.7  15582.5 114591.8  17.4 1030.6  7578.8
     587  0.439644    32027   267.3  16200.6  93224.4  17.7 1070.8  6161.6
     600  0.459163    31966   267.3  15508.7 120192.9  17.7 1024.4  7938.8
     607  0.464896     9389   263.2  17276.6 106915.9  17.4 1141.9  7066.5
     615  0.470660     9439   268.2  16341.9 157299.7  17.6 1073.0 10328.3
     623  0.476422     9437   269.0  13739.7 125137.1  17.6  900.4  8200.3
     630  0.482162     9400   269.2  17685.7 117702.4  17.7 1164.3  7748.7
     638  0.487917     9425   265.5  14613.1 114862.3  17.4  958.2  7532.0
     646  0.493604     9313   259.1  12399.0 105815.2  16.9  809.9  6911.5
     654  0.499199     9162   263.5  13788.2  97523.4  17.2  897.7  6349.2
     662  0.504937     9397   270.1  17766.6 129662.7  17.6 1156.7  8441.6
     671  0.510829     9650   267.4  15651.6 111043.1  17.4 1018.3  7224.7
     679  0.516442     9193   269.3  19855.8 159115.9  17.5 1290.2 10338.9
     685  0.519973     5782   262.4  20606.9 124988.8  17.1 1340.7  8132.0
     690  0.523490     5760   269.7  12312.2 119106.5  17.6  803.7  7774.6
     696  0.527045     5821   273.1  15524.7 123530.2  17.8 1011.4  8047.6
     702  0.530526     5701   269.3  16140.5  75580.0  17.6 1052.2  4927.0
     707  0.534097     5849   261.1  15083.9 138260.2  17.0  982.7  9007.2
     713  0.537627     5780   260.3  15237.9  78643.9  17.0  993.3  5126.7
     719  0.541202     5855   266.0  18062.8  74037.4  17.3 1174.4  4813.9
     725  0.544674     5686   266.2  15355.8  64563.9  17.3 1000.4  4206.1
     731  0.548220     5808   270.4  16929.4 152690.9  17.6 1102.2  9940.8
     737  0.551753     5786   257.4  14602.8  89211.2  16.8  950.7  5808.0
     749  0.556646     8012   269.7  17077.6 144911.4  17.5 1106.8  9391.5
     762  0.561429     7833   259.6  13930.2 120083.0  16.8  901.1  7767.3
     774  0.566290     7961   270.0  18233.9 104172.7  17.4 1174.9  6712.2
     787  0.571161     7978   268.2  15948.4 147260.9  17.3 1028.3  9494.6
     800  0.576027     7969   257.5  16053.3 131145.3  16.6 1035.7  8461.0
     816  0.579053     4955   269.3  14672.0 108801.7  17.4  948.4  7033.1
     833  0.582089     4973   265.9  15322.4 169371.1  17.2  990.5 10948.4
     850  0.585042     4835   265.9  12948.2  86090.0  17.1  834.8  5550.6
     867  0.588006     4854   269.6  16082.4 113104.5  17.4 1036.2  7287.7
     885  0.590935     4798   265.3  17738.7  92853.1  17.1 1143.0  5982.8
     914  0.594550     5920   261.3  19255.8 102230.7  16.8 1235.1  6557.5
     945  0.598291     6126   266.1  15602.6 104352.7  17.1 1000.8  6693.6
     976  0.601977     6036   266.5  15119.6 130971.0  17.0  964.9  8358.1
