# Digested data for homa_w4 experiment, run at 2026-04-21 06:02:29.629696
# Averaged across 1 repeated sample(s)
# length  cum_frac  samples     p50      p99     p999   s50    s99    s999
      72  0.004655     1003    90.9    332.4    540.7   5.4   19.7    33.1
      92  0.007518      617    90.4    311.2    501.5   5.6   19.3    31.1
     154  0.011889      942    93.8    363.4    980.9   5.9   23.1    62.3
     222  0.017245     1154    95.3    341.1    432.6   6.1   22.0    27.9
     227  0.019844      560    91.3    351.8    709.3   5.9   22.8    45.9
     232  0.022410      553    93.7    420.2    631.3   6.1   27.3    41.1
     237  0.025032      565    91.7    360.1    653.8   6.0   23.6    42.8
     248  0.029867     1042    92.1    365.3    496.4   6.1   24.3    33.1
     254  0.032308      526    95.1    360.7    625.6   6.3   24.0    41.7
     259  0.034916      562    94.2    432.4    564.8   6.3   28.8    37.6
     265  0.037241      501    89.6    309.1    544.8   6.0   20.6    36.3
     271  0.039747      540    89.9    303.0    481.1   6.0   20.2    32.1
     279  0.043321      770    96.3    417.8    818.3   6.5   28.0    54.9
     288  0.046648      717    96.4    352.5    477.4   6.4   23.4    31.7
     297  0.050138      752    89.9    360.3    756.3   6.0   24.1    50.7
     303  0.060009     2127    91.7    316.2    562.0   6.1   21.2    37.7
     305  0.068821     1899    91.3    364.5    571.7   6.1   24.4    38.3
     308  0.077174     1800    94.3    328.1    488.6   6.3   22.0    32.8
     310  0.086163     1937    90.8    351.6    555.2   6.1   23.6    37.2
     313  0.094540     1805    95.2    336.4    736.9   6.4   22.4    49.2
     315  0.102847     1790    93.6    344.2    517.3   6.2   22.9    34.4
     318  0.111065     1771    92.2    361.1    568.0   6.1   23.9    37.6
     321  0.119994     1924    94.1    361.3    809.7   6.3   24.2    54.2
     323  0.128635     1862    93.0    361.9    629.0   6.2   24.2    42.1
     326  0.137489     1908    94.9    310.9    512.1   6.3   20.8    34.2
     331  0.143884     1378    91.1    320.0    569.1   6.1   21.3    37.9
     335  0.150047     1328    93.4    373.3    609.2   6.2   24.9    40.7
     340  0.156525     1396    93.8    351.0    516.7   6.3   23.5    34.5
     345  0.162874     1368    93.0    335.7    697.4   6.2   22.5    46.7
     350  0.169306     1386    93.0    319.6    482.9   6.2   21.3    32.2
     355  0.175687     1375    95.7    332.6    500.6   6.4   22.1    33.3
     360  0.182327     1431    90.9    348.4    494.7   6.0   23.2    32.9
     365  0.189196     1480    93.6    325.2    503.5   6.2   21.7    33.6
     371  0.195651     1391    96.2    330.8    489.0   6.4   22.1    32.6
     376  0.202431     1461    89.1    314.7    873.8   5.9   21.0    58.3
     385  0.206505      878    94.3    372.1    721.3   6.2   24.7    47.8
     395  0.210612      885    90.5    300.8    454.5   6.0   20.0    30.2
     405  0.214742      890    95.5    384.3    830.2   6.4   25.6    55.3
     415  0.218919      900    91.9    358.1    625.8   6.1   23.9    41.7
     425  0.222762      828    94.8    326.4   1438.0   6.3   21.8    95.9
     430  0.226715      852    89.2    319.5    657.3   5.9   21.3    43.9
     435  0.231031      930    90.9    366.6    625.4   6.1   24.4    41.7
     441  0.235231      905    94.1    357.8    573.2   6.3   23.9    38.2
     446  0.239361      890    89.0    295.6    426.9   5.9   19.6    28.4
     452  0.243422      875    92.6    309.9    634.0   6.2   20.6    42.2
     457  0.247348      846    93.9    343.1    782.7   6.2   22.8    52.0
     463  0.251511      897    93.1    356.6    625.4   6.2   23.8    41.7
     468  0.255460      851    92.6    357.8    733.6   6.2   23.8    48.9
     474  0.259576      887    92.6    399.7    653.4   6.2   26.6    43.6
     480  0.263674      883    92.6    418.4    957.2   6.2   27.9    63.7
     491  0.284032     4387    92.7    363.1    532.6   6.1   24.1    35.3
     502  0.303305     4153    92.6    348.6    609.0   6.1   23.1    40.3
     513  0.322165     4064    91.2    350.6    601.2   6.0   23.2    39.8
