# Fraction of RTTS longer than a given time for homa_w4 experiment
# Includes messages <= 315 bytes; measured at 2026-04-21 06:02:29.629696
# Averaged across 1 repeated sample(s)
# Data collected at 2026-04-21 06:02:29.629696 
#       usec        frac
      19.550  0.99995488
      19.870  0.99990976
      20.180  0.99986463
      20.530  0.99981951
      21.160  0.99977439
      21.500  0.99963902
      22.060  0.99954878
      22.310  0.99941341
      22.610  0.99932317
      22.970  0.99918780
      23.240  0.99896219
      23.500  0.99887194
      23.830  0.99842072
      24.070  0.99824023
      24.360  0.99792438
      24.610  0.99733779
      24.860  0.99684144
      25.110  0.99648046
      25.390  0.99575851
      25.670  0.99499143
      25.930  0.99440484
      26.190  0.99345727
      26.470  0.99246458
      26.740  0.99183287
      27.010  0.99070481
      27.300  0.98971212
      27.580  0.98844870
      27.870  0.98695966
      28.170  0.98524501
      28.460  0.98389135
      28.750  0.98217670
      29.050  0.98055230
      29.350  0.97892789
      29.650  0.97734861
      29.950  0.97527299
      30.250  0.97301688
      30.570  0.97067052
      30.890  0.96836928
      31.200  0.96552658
      31.520  0.96299973
      31.850  0.96042776
      32.170  0.95731432
      32.500  0.95406552
      32.830  0.95140330
      33.160  0.94752279
      33.500  0.94436423
      33.840  0.94129591
      34.180  0.93804711
      34.530  0.93497879
      34.880  0.93127877
      35.240  0.92780435
      35.600  0.92423969
      35.960  0.92053966
      36.320  0.91765184
      36.690  0.91489938
      37.060  0.91137984
      37.450  0.90822128
      37.830  0.90542370
      38.210  0.90267124
      38.600  0.89969317
      38.990  0.89590290
      39.380  0.89265409
      39.780  0.88886382
      40.180  0.88561502
      40.600  0.88268207
      41.010  0.87943326
      41.440  0.87663568
      41.860  0.87361249
      42.320  0.87040881
      42.750  0.86697951
      43.200  0.86391120
      43.650  0.86115874
      44.100  0.85718798
      44.550  0.85425503
      45.010  0.85087086
      45.470  0.84807328
      45.930  0.84468911
      46.390  0.84162079
      46.860  0.83837199
      47.340  0.83575490
      47.820  0.83187438
      48.310  0.82799386
      48.810  0.82460969
      49.300  0.82127064
      49.800  0.81797672
      50.300  0.81472791
      50.810  0.81120837
      51.320  0.80845592
      51.840  0.80457540
      52.360  0.80074001
      52.890  0.79699486
      53.430  0.79356556
      53.980  0.79009115
      54.520  0.78657161
      55.070  0.78233011
      55.630  0.77822399
      56.200  0.77434347
      56.780  0.77014710
      57.390  0.76635683
      57.970  0.76202509
      58.550  0.75791896
      59.140  0.75318112
      59.750  0.74912012
      60.350  0.74483350
      60.960  0.74000541
      61.570  0.73517733
      62.190  0.73116145
      62.820  0.72664922
      63.450  0.72173089
      64.100  0.71577475
      64.750  0.71090154
      65.400  0.70571248
      66.060  0.70169660
      66.730  0.69614656
      67.400  0.69136360
      68.080  0.68581355
      68.770  0.68012815
      69.470  0.67530006
      70.170  0.66929880
      70.880  0.66401949
      71.600  0.65797311
      72.320  0.65300966
      73.050  0.64723400
      73.790  0.64213519
      74.550  0.63622417
      75.300  0.63103511
      76.060  0.62521433
      76.840  0.62020576
      77.610  0.61420449
      78.390  0.60847396
      79.120  0.60238246
      79.920  0.59674217
      80.720  0.59087627
      81.530  0.58505550
      82.180  0.57918960
      82.940  0.57336883
      83.770  0.56845050
      84.400  0.56276509
      85.030  0.55712481
      85.770  0.55152965
      86.460  0.54597960
      87.130  0.54051981
      87.850  0.53510513
      88.460  0.52973558
      89.140  0.52441115
      90.040  0.51926721
      90.750  0.51403303
      91.470  0.50888909
      92.090  0.50379027
      92.750  0.49873658
      93.510  0.49372800
      94.200  0.48876455
      94.850  0.48384622
      95.500  0.47897302
      96.130  0.47414493
      96.900  0.46936197
      97.400  0.46462413
      98.170  0.45997654
      98.930  0.45537406
      99.630  0.45081671
     100.180  0.44630449
     100.800  0.44183738
     101.510  0.43741540
     102.090  0.43303853
     102.680  0.42870680
     103.370  0.42437506
     103.970  0.42008844
     104.450  0.41584695
     105.030  0.41165057
     105.760  0.40749932
     106.380  0.40339320
     107.180  0.39933219
     107.880  0.39531631
