# Digested data for dctcp_static_o0_w4 experiment, run at 2026-04-20 22:36:22.005930
# Averaged across 1 repeated sample(s)
# length  cum_frac  samples     p50      p99     p999   s50    s99    s999
     154  0.011521      575  4782.1 1033100.7 2032883.4 290.9 65457.0 130732.1
     232  0.022281      537  4010.9 1036916.7 1056097.6 262.8 67707.7 69440.9
     254  0.032601      515  4963.7 1053103.9 3059822.0 333.0 70536.1 206465.7
     279  0.044102      574  4330.7 1053866.2 2052764.4 292.8 71159.1 139359.4
     303  0.060633      825  3924.3 1038034.5 1153835.7 266.4 70470.8 78332.4
     308  0.078205      877  3917.7 1037044.7 2030738.9 266.0 70355.8 137864.1
     313  0.096700      923  3786.3 1036036.3 2036460.2 256.9 70287.4 138158.8
     318  0.114132      870  3973.4 1050581.0 2037702.8 269.9 71371.0 138430.9
     323  0.131204      852  4011.9 1050955.4 2087962.0 271.4 71058.5 141173.9
     331  0.146232      750  3838.7 1036342.2 2040289.8 259.5 70161.5 138606.6
     340  0.160158      695  3942.7 1038855.0 3048825.4 266.2 70369.6 206840.3
     350  0.173483      665  4087.7 1047343.1 2075619.8 276.2 70910.2 140529.4
     360  0.186607      655  4405.7 1036500.7 2011367.1 296.7 69681.4 134900.5
     371  0.198910      614  4905.9 1039962.2 3048238.6 330.6 70078.3 206101.3
     385  0.209770      542  3921.3 1036077.0 2043207.3 265.1 70099.9 137961.3
     415  0.221452      583  3923.3 1034008.6 1046147.5 265.1 69768.4 70495.1
     435  0.234256      639  3764.1 1040640.2 3054927.4 254.2 70096.6 205442.3
     452  0.246519      612  4170.7 1042777.6 2046797.6 279.5 69921.7 138297.1
     468  0.259122      629  4593.9 1042408.1 1083834.8 310.4 70385.4 73182.6
     491  0.285671     1325  3942.2 1041242.4 2043248.9 265.5 70151.1 137592.5
     502  0.305107      970  4054.8 1044678.0 3026373.1 273.2 70396.1 203933.5
     513  0.323041      895  3994.1 1044617.1 2172844.6 268.8 70297.2 146221.0
     525  0.342297      961  3600.0 1034781.4 1108357.0 242.1 69588.5 74536.4
     537  0.361512      959  3875.4 1039580.0 2043193.7 260.8 69958.3 137496.2
     549  0.381510      998  3853.5 1035765.3 2031760.6 257.9 69328.3 135994.7
     561  0.400986      972  4620.5 1037104.5 2044295.2 310.5 69697.9 137385.4
     574  0.419981      948  4590.4 1036270.7 2011415.5 307.5 69408.6 134723.1
     587  0.439638      981  3828.1 1037095.5 2031408.2 256.2 69417.4 135971.1
     600  0.457651      899  3747.8 1044519.6 3038819.7 250.7 69867.5 203265.5
     615  0.468952      564  5062.8 1038115.9 1057292.9 337.0 69297.4 70252.0
     630  0.480053      554  4010.6 1035989.3 1060814.1 267.4 68701.7 70720.9
     646  0.492095      601  4356.6 1034944.7 2049554.2 287.4 68571.4 135194.9
     662  0.503857      587  4016.5 1039508.2 2043352.4 265.5 68705.1 135053.0
     679  0.515379      575  4537.7 1036504.3 2040430.2 297.6 68087.5 133798.7
     696  0.527060      583  4011.1 1040737.1 2034038.8 264.1 68507.2 133818.3
     713  0.537660      529  4411.1 1033950.9 1173394.7 289.3 67689.4 76943.9
     731  0.548460      539  4976.1 1038726.9 2098015.5 325.3 68157.9 137125.2
     762  0.562306      691  4065.4 1037322.8 1074838.2 265.9 67810.7 70296.8
     800  0.576933      730  4598.4 1041119.7 2052277.1 299.4 67781.2 133960.6
