# Digested data for unloaded_w4 experiment, run at 2026-04-21 01:38:23.306527
# Averaged across 1 repeated sample(s)
# length  cum_frac  samples     p50      p99     p999   s50    s99    s999
      60  0.005539      500    16.6     34.2    130.3   1.0    2.1     7.9
      72  0.011079      500    16.1     35.0     43.8   1.0    2.2     2.7
      92  0.016618      500    15.8     34.7     51.1   1.0    2.2     3.2
     119  0.022157      500    15.7     33.7     41.0   1.0    2.1     2.6
     154  0.027697      500    15.8     34.9    233.1   1.0    2.2    14.7
     199  0.033236      500    15.8     33.8     47.2   1.0    2.1     3.0
     222  0.038775      500    15.8     33.5     47.8   1.0    2.1     3.0
     227  0.044314      500    15.7     33.1     42.2   1.0    2.1     2.7
     232  0.049854      500    15.6     33.0     48.4   1.0    2.1     3.1
     237  0.055393      500    15.5     33.0     34.8   1.0    2.1     2.2
     243  0.060932      500    15.4     32.6     44.2   1.0    2.1     2.9
     248  0.066472      500    15.5     32.7    231.5   1.0    2.1    14.9
     254  0.072011      500    15.4     32.9     47.7   1.0    2.1     3.1
     259  0.077550      500    15.4     32.7     45.3   1.0    2.1     2.9
     265  0.083090      500    15.3     34.6     45.0   1.0    2.3     2.9
     271  0.088629      500    15.3     32.5     47.9   1.0    2.1     3.1
     279  0.094168      500    15.3     32.7     41.7   1.0    2.1     2.7
     288  0.099708      500    15.2     32.8     41.4   1.0    2.1     2.7
     297  0.105247      500    15.3     33.9    226.0   1.0    2.2    14.7
     303  0.110786      500    15.3     33.0     47.0   1.0    2.2     3.1
     305  0.116325      500    15.3     32.8     48.5   1.0    2.1     3.2
     308  0.121865      500    15.3     32.6     44.7   1.0    2.1     2.9
     310  0.127404      500    15.2     32.7     40.7   1.0    2.1     2.7
     313  0.132943      500    15.3     41.8     47.3   1.0    2.7     3.1
     315  0.138483      500    15.3     32.5     33.1   1.0    2.1     2.2
     318  0.144022      500    15.4     33.9    228.7   1.0    2.2    14.9
     321  0.149561      500    15.3     36.3     44.7   1.0    2.4     2.9
     323  0.155101      500    15.4     32.8     54.8   1.0    2.1     3.6
     326  0.160640      500    15.3     32.4     46.0   1.0    2.1     3.0
     331  0.166179      500    15.3     32.1     36.8   1.0    2.1     2.4
     335  0.171719      500    15.3     33.1     47.9   1.0    2.2     3.1
     340  0.177258      500    15.3     32.9     45.4   1.0    2.1     3.0
     345  0.182797      500    15.3     33.6     44.8   1.0    2.2     2.9
     350  0.188336      500    15.4     36.0    225.3   1.0    2.3    14.7
     355  0.193876      500    15.4     32.9     40.3   1.0    2.1     2.6
     360  0.199415      500    15.4     33.1     44.6   1.0    2.1     2.9
     365  0.204954      500    15.4     36.0     47.6   1.0    2.3     3.1
     371  0.210494      500    15.4     32.6     41.3   1.0    2.1     2.7
     376  0.216033      500    15.4     32.8     39.4   1.0    2.1     2.6
     385  0.221572      500    15.3     32.6     40.5   1.0    2.1     2.6
     395  0.227112      500    15.3     33.2    229.7   1.0    2.2    15.0
     405  0.232651      500    15.3     32.5     35.7   1.0    2.1     2.3
     415  0.238190      500    15.4     32.4     45.9   1.0    2.1     3.0
     425  0.243730      500    15.3     33.1     45.8   1.0    2.2     3.0
     430  0.249269      500    15.3     33.0     40.4   1.0    2.2     2.6
     435  0.254808      500    15.3     33.1     44.8   1.0    2.2     2.9
     441  0.260347      500    15.3     33.9     45.4   1.0    2.2     3.0
     446  0.265887      500    15.3     33.3    219.0   1.0    2.2    14.3
     452  0.271426      500    15.3     38.2     44.3   1.0    2.5     2.9
     457  0.276965      500    15.3     32.4     32.9   1.0    2.1     2.1
     463  0.282505      500    15.3     32.6     37.5   1.0    2.1     2.4
     468  0.288044      500    15.4     32.6     35.5   1.0    2.1     2.3
     474  0.293583      500    15.3     32.6     32.9   1.0    2.1     2.1
     480  0.299123      500    15.3     32.7     33.7   1.0    2.1     2.2
     491  0.304662      500    15.4     33.6     55.0   1.0    2.2     3.6
     502  0.310201      500    15.4     33.3    219.7   1.0    2.2    14.3
     513  0.315740      500    15.4     32.6     37.3   1.0    2.1     2.4
     525  0.321280      500    15.4     37.0     44.3   1.0    2.4     2.9
     537  0.326819      500    15.4     32.5     47.1   1.0    2.1     3.1
     549  0.332358      500    15.4     37.0     44.7   1.0    2.4     2.9
     561  0.337898      500    15.4     44.8     49.7   1.0    2.9     3.2
     574  0.343437      500    15.4     32.5     33.3   1.0    2.1     2.2
     587  0.348976      500    15.5     43.2    226.7   1.0    2.8    14.6
     600  0.354516      500    15.6     32.8     33.1   1.0    2.1     2.1
     607  0.360055      500    15.5     33.4     48.2   1.0    2.2     3.1
     615  0.365594      500    15.5     34.6     50.1   1.0    2.2     3.2
     623  0.371134      500    15.5     33.5     49.0   1.0    2.2     3.2
     630  0.376673      500    15.5     33.2     45.0   1.0    2.1     2.9
     638  0.382212      500    15.6     33.1     45.3   1.0    2.1     2.9
     646  0.387751      500    15.6     34.0    228.8   1.0    2.2    14.7
     654  0.393291      500    15.6     33.0     35.4   1.0    2.1     2.3
     662  0.398830      500    15.6     33.1     34.5   1.0    2.1     2.2
     671  0.404369      500    15.7     33.5     45.5   1.0    2.1     2.9
     679  0.409909      500    15.7     33.3     35.3   1.0    2.1     2.2
     685  0.415448      500    15.7     32.9     48.2   1.0    2.1     3.1
     690  0.420987      500    15.7     33.4     38.6   1.0    2.1     2.5
     696  0.426527      500    15.7     33.4    227.3   1.0    2.1    14.5
     702  0.432066      500    15.7     33.1     50.2   1.0    2.1     3.2
     707  0.437605      500    15.7     33.3     43.4   1.0    2.1     2.8
     713  0.443145      500    15.8     34.9     46.6   1.0    2.2     3.0
     719  0.448684      500    15.7     33.3     50.6   1.0    2.1     3.2
     725  0.454223      500    15.8     33.3     36.6   1.0    2.1     2.3
     731  0.459762      500    15.8     34.0     50.0   1.0    2.2     3.2
     737  0.465302      500    15.8     45.8     50.3   1.0    2.9     3.2
     749  0.470841      500    15.8     33.1    227.6   1.0    2.1    14.4
     762  0.476380      500    15.8     33.3     48.4   1.0    2.1     3.1
     774  0.481920      500    15.8     33.5     50.6   1.0    2.1     3.2
     787  0.487459      500    15.8     33.2     45.1   1.0    2.1     2.9
     800  0.492998      500    15.8     40.6     49.0   1.0    2.6     3.1
     816  0.498538      500    15.8     32.8     47.5   1.0    2.1     3.0
     833  0.504077      500    15.8     33.6     49.6   1.0    2.1     3.1
     850  0.509616      500    15.9     33.4    229.3   1.0    2.1    14.5
     867  0.515156      500    15.9     32.9     45.4   1.0    2.1     2.9
     885  0.520695      500    15.9     33.5     43.8   1.0    2.1     2.8
     914  0.526234      500    16.0     33.6     49.5   1.0    2.1     3.1
     945  0.531773      500    16.1     33.7     46.3   1.0    2.1     2.9
     976  0.537313      500    16.0     34.5     50.1   1.0    2.2     3.1
    1009  0.542852      500    16.1     34.7     48.5   1.0    2.2     3.0
    1042  0.548391      500    16.1     34.1    237.0   1.0    2.1    14.7
    1085  0.553931      500    16.2     34.0     50.4   1.0    2.1     3.1
    1130  0.559470      500    16.3     33.3     33.8   1.0    2.0     2.1
