# Digested data for dctcp_static_w4 experiment, run at 2026-04-21 05:09:27.266183
# Averaged across 1 repeated sample(s)
# length  cum_frac  samples     p50      p99     p999   s50    s99    s999
      60  0.002308      574   118.7   1804.8   3238.6   6.9  105.0   188.4
      92  0.007461     1282   120.6   1573.8   2948.6   7.4   96.9   179.1
     119  0.009728      564   111.0   1528.3   3423.4   6.9   95.7   214.4
     154  0.012201      615   118.9   1562.6   3490.6   7.6   99.5   222.2
     199  0.014629      604   115.1   1648.3   4802.1   7.4  105.7   307.8
     222  0.017925      820   123.2   1523.9  61245.9   8.0   98.5  3959.0
     227  0.020655      679   115.0   1574.9   6426.3   7.5  102.3   417.3
     232  0.023252      646   112.8   1765.2  88156.9   7.4  115.7  5777.0
     237  0.025720      614   115.3   1574.4   3525.9   7.6  103.6   232.0
     243  0.028305      643   103.0   1434.2   4648.4   6.8   95.0   308.0
     248  0.030806      622   116.6   2078.1   2669.7   7.8  138.7   178.2
     254  0.033406      647   114.4   1816.4   2983.9   7.6  121.3   199.2
     259  0.035883      616   114.0   1615.3   3674.2   7.6  108.0   245.8
     265  0.038460      641   117.3   1745.9   6741.9   7.9  116.9   451.6
     271  0.041028      639   114.1   1531.5   3162.1   7.7  103.0   212.7
     279  0.044446      850   108.5   1680.2 139577.6   7.3  112.8  9367.6
     288  0.047682      805   114.3   1790.6   6738.4   7.7  119.9   451.3
     297  0.051111      853   108.6   1639.9 114551.5   7.3  109.8  7672.6
     303  0.061000     2460   118.3   1600.8   2958.9   7.9  107.0   197.8
     305  0.069458     2104   108.8   1608.4   3179.3   7.3  107.9   213.4
     308  0.077635     2034   119.6   1769.7   4072.7   8.0  119.0   273.9
     310  0.086234     2139   125.2   1583.0   3065.5   8.4  106.2   205.7
     313  0.094744     2117   112.6   1529.0   2710.0   7.6  102.8   182.2
     315  0.103504     2179   120.0   1828.4   2908.3   8.1  123.3   196.1
     318  0.112087     2135   122.6   1872.8   3429.6   8.3  126.0   230.8
     321  0.120561     2108   121.5   1689.5   3446.7   8.2  113.7   231.9
     323  0.129091     2122   120.4   1740.8   2744.0   8.1  117.2   184.8
     326  0.137361     2057   115.4   1831.9   3808.4   7.8  123.0   255.8
     331  0.144086     1673   131.0   1872.2   6052.1   8.8  125.6   405.9
     335  0.150506     1597   127.0   1772.5   5196.7   8.5  119.1   349.2
     340  0.156922     1596   121.1   1605.8   4046.4   8.1  107.8   271.8
     345  0.163696     1685   109.7   1509.8   2831.4   7.3  101.1   189.5
     350  0.170405     1669   115.7   1800.4   4506.3   7.7  120.3   301.2
     355  0.176741     1576   116.9   1962.6   3750.2   7.8  131.0   250.4
     360  0.183056     1571   120.6   1465.4   2749.5   8.1   98.2   184.2
     365  0.189605     1629   123.0   1646.2   2866.7   8.2  110.3   192.0
     371  0.195924     1572   122.8   1780.4   3600.9   8.2  119.1   240.9
     376  0.202493     1634   119.6   1611.3   2214.8   8.0  107.6   147.9
     385  0.206754     1060   129.7   1616.1   3741.8   8.7  108.3   250.8
     395  0.210815     1010   119.9   1849.3   3533.2   8.1  124.4   237.6
     405  0.215024     1047   113.3   1905.0   3026.9   7.6  128.1   203.6
     415  0.219028      996   117.7   1659.0   3431.4   7.9  111.6   230.9
     425  0.223144     1024   119.6   1654.8   3127.3   8.0  111.2   210.2
     430  0.227281     1029   122.2   1550.8   3612.7   8.2  103.9   242.0
     435  0.231518     1054   122.7   1632.9   3158.9   8.2  109.4   211.6
     441  0.235365      957   115.8   1799.1   2785.2   7.8  120.7   186.8
     446  0.239538     1038   115.6   1571.6   2137.7   7.7  105.1   142.9
     452  0.243747     1047   115.8   1784.3   2975.3   7.7  118.7   198.0
     457  0.247650      971   122.0   1367.5   2475.5   8.1   91.0   164.8
     463  0.251715     1011   115.1   1778.2   3447.5   7.6  118.0   228.8
     468  0.255759     1006   111.3   1718.6   2478.8   7.4  114.8   165.6
     474  0.259747      992   120.3   1455.1   6061.2   8.1   97.7   406.8
     480  0.263899     1033   120.4   1536.0   2642.2   8.1  103.2   177.6
     491  0.283465     4867   118.7   1791.0  10968.3   8.0  120.1   735.6
     502  0.302898     4834   110.6   1568.6   3931.7   7.4  105.2   263.7
     513  0.322777     4945   115.6   1646.0   3231.2   7.7  110.2   216.4
     525  0.341759     4722   119.0   1807.1   5466.0   7.9  120.7   365.1
     537  0.361614     4939   123.9   1740.6   5363.8   8.3  116.2   358.1
     549  0.380545     4709   114.7   1593.4   2949.4   7.6  106.1   196.4
     561  0.400424     4945   114.9   1758.5   3661.1   7.6  116.7   242.9
     574  0.419840     4830   113.0   1649.2   2573.6   7.5  109.2   170.4
     587  0.439064     4782   117.6   1811.0   4336.9   7.7  119.3   285.7
     600  0.458766     4901   112.7   1594.5   3301.8   7.5  105.9   219.2
     607  0.464728     1483   118.5   1584.9   2960.0   7.8  104.3   194.9
     615  0.470654     1474   114.3   1628.2   5118.5   7.5  107.3   337.4
     623  0.476238     1389   114.8   1779.5   3900.6   7.5  117.0   256.4
     630  0.481697     1358   115.0   1744.9   2611.1   7.6  115.1   172.2
     638  0.487590     1466   115.2   1826.3   4903.6   7.6  120.2   322.8
     646  0.493721     1525   129.0   1776.2   2786.5   8.5  116.8   183.2
     654  0.499522     1443   119.6   1706.5  68255.9   7.9  112.1  4484.6
