# Fraction of RTTS longer than a given time for dctcp_static_w4 experiment
# Includes messages <= 315 bytes; measured at 2026-04-21 05:09:27.266183
# Averaged across 1 repeated sample(s)
# Data collected at 2026-04-21 05:09:27.266183 
#       usec        frac
      29.020  0.99996116
      30.410  0.99992232
      30.960  0.99984464
      31.310  0.99976696
      31.730  0.99968928
      32.110  0.99945625
      32.450  0.99910669
      32.820  0.99864062
      33.180  0.99821338
      33.520  0.99743659
      33.870  0.99654329
      34.220  0.99549462
      34.580  0.99448479
      34.940  0.99335845
      35.290  0.99180487
      35.650  0.98931914
      36.020  0.98691110
      36.400  0.98473609
      36.780  0.98186196
      37.150  0.97883249
      37.530  0.97584185
      37.920  0.97261817
      38.300  0.96916146
      38.690  0.96496679
      39.080  0.96088865
      39.480  0.95770381
      39.890  0.95308191
      40.290  0.94985824
      40.700  0.94593545
      41.110  0.94259525
      41.530  0.93875015
      41.950  0.93537111
      42.370  0.93152600
      42.800  0.92795277
      43.230  0.92453490
      43.670  0.92127238
      44.110  0.91812638
      44.560  0.91525226
      45.010  0.91191207
      45.490  0.90872723
      45.950  0.90422185
      46.410  0.89987183
      46.880  0.89528877
      47.350  0.89097759
      47.830  0.88565658
      48.310  0.88025789
      48.810  0.87396590
      49.300  0.86829534
      49.800  0.86087700
      50.300  0.85431312
      50.810  0.84654523
      51.320  0.83904921
      51.840  0.83178623
      52.360  0.82436789
      52.890  0.81726026
      53.420  0.81108479
      53.960  0.80421020
      54.500  0.79663650
      55.050  0.78917932
      55.610  0.78199402
      56.170  0.77449800
      56.740  0.76855556
      57.310  0.76203053
      57.890  0.75651532
      58.470  0.75119431
      59.060  0.74571795
      59.660  0.74125141
      60.260  0.73659067
      60.870  0.73123082
      61.480  0.72676428
      62.100  0.72256962
      62.730  0.71767585
      63.360  0.71320931
      64.000  0.70831553
      64.640  0.70346060
      65.300  0.69922709
      65.980  0.69514895
      66.640  0.69029401
      67.310  0.68489533
      67.990  0.68073950
      68.680  0.67584573
      69.370  0.67095196
      70.070  0.66702917
      70.780  0.66345594
      71.500  0.65941663
      72.230  0.65572688
      72.970  0.65199829
      73.700  0.64846390
      74.440  0.64454111
      75.190  0.64046297
      75.980  0.63634598
      76.770  0.63285043
      77.550  0.62888880
      78.330  0.62535441
      79.130  0.62147046
      79.930  0.61719812
      80.730  0.61358605
      81.540  0.61001282
      82.380  0.60542976
      83.210  0.60174001
      84.050  0.59816678
      84.920  0.59474890
      85.770  0.59148639
      86.640  0.58795199
      87.520  0.58414573
      88.400  0.58103857
      89.290  0.57738766
      90.200  0.57451354
      91.120  0.57148406
      92.040  0.56740591
      92.970  0.56387152
      93.900  0.56002641
      94.840  0.55688041
      95.790  0.55322950
      96.760  0.54996699
      97.740  0.54693751
      98.720  0.54445178
      99.710  0.54181070
     100.710  0.53897541
     101.720  0.53645085
     102.740  0.53369325
     103.770  0.53027537
     104.840  0.52763429
     105.890  0.52460481
     107.010  0.52208024
     108.110  0.51897308
     109.230  0.51590477
     110.330  0.51314716
     111.450  0.51038956
     112.570  0.50724356
     113.720  0.50440828
     114.860  0.50141764
     116.020  0.49881540
     117.210  0.49652387
     118.410  0.49438770
     119.600  0.49229036
     120.810  0.48972696
     122.020  0.48654212
     123.250  0.48382336
     124.500  0.48118227
     125.750  0.47842467
     127.010  0.47570591
     128.300  0.47217152
     129.670  0.46995766
     131.050  0.46747194
     132.370  0.46506389
     133.730  0.46238397
     135.070  0.46013128
     136.430  0.45772323
     137.810  0.45523750
     139.190  0.45290713
     140.590  0.45026605
     142.000  0.44766381
     143.510  0.44482852
     144.950  0.44207092
     146.430  0.43954635
     147.920  0.43686643
     149.440  0.43469142
     150.970  0.43185614
     152.490  0.42929273
     154.030  0.42649629
     155.640  0.42377753
     157.230  0.42086457
     158.810  0.41787393
     160.410  0.41542704
     162.020  0.41356275
     163.650  0.41107702
     165.290  0.40831942
     166.950  0.40560065
     168.620  0.40350332
     170.310  0.40132831
     172.050  0.39864839
     173.790  0.39565775
     175.550  0.39293898
     177.310  0.39099701
     179.120  0.38827825
     180.920  0.38575368
     182.760  0.38357867
     184.590  0.38093758
     186.510  0.37868490
     188.410  0.37627685
     190.300  0.37363576
     192.240  0.37115004
     194.170  0.36819824
     196.160  0.36512992
     198.140  0.36217812
     200.130  0.35996427
     202.260  0.35747854
     204.370  0.35452674
     206.450  0.35227405
     208.550  0.34947761
     210.660  0.34675885
     212.870  0.34446732
     215.010  0.34128248
     217.180  0.33868023
     219.370  0.33603915
     221.610  0.33343691
     223.850  0.33091234
     226.160  0.32819358
     228.440  0.32574669
     230.730  0.32310560
     233.130  0.32100827
     235.510  0.31813415
     237.870  0.31545423
     240.260  0.31312386
     242.680  0.31071581
     245.130  0.30857964
     247.600  0.30652115
     250.080  0.30430730
     252.590  0.30158853
     255.140  0.29910281
     257.760  0.29669476
     260.340  0.29432555
     262.950  0.29187867
     265.610  0.28935410
     268.280  0.28690721
     271.020  0.28430497
     273.780  0.28178040
     276.530  0.27960539
     279.300  0.27735270
     282.150  0.27506117
     285.030  0.27284732
     287.740  0.27008972
     290.640  0.26737096
     293.590  0.26504059
     296.600  0.26278790
     299.600  0.26080708
     302.270  0.25816600
     305.310  0.25661242
     308.370  0.25467045
     311.460  0.25276731
     314.320  0.25020391
     317.480  0.24787354
     320.320  0.24538781
     323.340  0.24290209
     326.580  0.24064940
     329.840  0.23824135
     332.880  0.23583330
     335.580  0.23346409
     338.140  0.23109488
     340.940  0.22876452
     343.910  0.22647299
     347.380  0.22449217
     350.670  0.22223948
     353.990  0.21998679
     357.310  0.21777294
     360.890  0.21559793
     364.520  0.21377248
     367.710  0.21159747
     370.160  0.20946130
     373.280  0.20736396
     376.340  0.20526663
     379.310  0.20320814
     382.500  0.20114965
     385.250  0.19913000
     388.730  0.19711034
     392.510  0.19512953
     396.300  0.19314872
     400.360  0.19128442
     403.880  0.18934245
     407.480  0.18743931
     410.950  0.18553618
     414.070  0.18367188
     417.370  0.18180759
     420.230  0.17998213
     424.150  0.17815668
     427.160  0.17637006
     429.790  0.17458345
     432.870  0.17283567
     436.530  0.17108789
     440.290  0.16934012
     443.470  0.16763118
     447.540  0.16592224
     451.080  0.16425215
     453.990  0.16258205
     457.560  0.16095079
     460.580  0.15931953
     465.310  0.15784363
     468.150  0.15625121
     471.460  0.15465880
     474.460  0.15310522
     478.140  0.15155164
     481.760  0.14999806
     485.370  0.14848332
     488.790  0.14696858
     492.640  0.14549268
     495.840  0.14401678
     498.970  0.14254088
