# Fraction of RTTS longer than a given time for unloaded_w4 experiment
# Includes messages <= 303 bytes; measured at 2026-04-21 05:09:27.266183
# Averaged across 1 repeated sample(s)
# Data collected at 2026-04-21 05:09:27.266183 
#       usec        frac
      14.380  0.99990000
      14.530  0.99410000
      14.590  0.98410000
      14.620  0.97420000
      14.650  0.96440000
      14.670  0.95470000
      14.690  0.94510000
      14.710  0.93560000
      14.730  0.92620000
      14.740  0.91690000
      14.750  0.90770000
      14.770  0.89860000
      14.780  0.88960000
      14.790  0.88070000
      14.800  0.87180000
      14.810  0.86300000
      14.820  0.85430000
      14.830  0.84570000
      14.840  0.83720000
      14.850  0.82880000
      14.860  0.82050000
      14.870  0.81220000
      14.880  0.80400000
      14.890  0.79590000
      14.900  0.78790000
      14.900  0.78000000
      14.910  0.77220000
      14.920  0.76440000
      14.930  0.75670000
      14.940  0.74910000
      14.940  0.74160000
      14.950  0.73410000
      14.960  0.72670000
      14.970  0.71940000
      14.970  0.71220000
      14.980  0.70500000
      14.990  0.69790000
      15.000  0.69090000
      15.000  0.68390000
      15.010  0.67700000
      15.020  0.67020000
      15.030  0.66340000
      15.030  0.65670000
      15.040  0.65010000
      15.050  0.64350000
      15.060  0.63700000
      15.060  0.63060000
      15.070  0.62420000
      15.080  0.61790000
      15.090  0.61170000
      15.090  0.60550000
      15.100  0.59940000
      15.110  0.59340000
      15.120  0.58740000
      15.120  0.58150000
      15.130  0.57560000
      15.140  0.56980000
      15.140  0.56410000
      15.150  0.55840000
      15.160  0.55280000
      15.160  0.54720000
      15.170  0.54170000
      15.180  0.53620000
      15.190  0.53080000
      15.190  0.52540000
      15.200  0.52010000
      15.210  0.51480000
      15.220  0.50960000
      15.230  0.50450000
      15.240  0.49940000
      15.250  0.49440000
      15.250  0.48940000
      15.260  0.48450000
      15.270  0.47960000
      15.280  0.47480000
      15.290  0.47000000
      15.300  0.46520000
      15.310  0.46050000
      15.320  0.45580000
      15.330  0.45120000
      15.330  0.44660000
      15.340  0.44210000
      15.350  0.43760000
      15.360  0.43320000
      15.370  0.42880000
      15.380  0.42450000
      15.390  0.42020000
      15.400  0.41590000
      15.410  0.41170000
      15.420  0.40750000
